Parameter Sets,Stats,Variance Ratio,SVM Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,Random Classifier Accuracy
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5119.692573336028), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(3.0313059701492535), 'Stressed Variance': np.float64(864.055176652651), 'Stressed Steady State Time': 10.0}",0.6399999999999997,0.5625,0.6625,0.65,0.5875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.221417910447761), 'Normal Variance': np.float64(1299.7717203775896), 'Normal Steady State Time': 10.0}",0.6399999999999997,0.5625,0.6625,0.65,0.5875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5119.692573336028), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.8111567164179103), 'Stressed Variance': np.float64(777.9698232888728), 'Stressed Steady State Time': 10.0}",0.6399999999999997,0.7,0.675,0.7125,0.525
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.99115671641791), 'Normal Variance': np.float64(1170.2085411993207), 'Normal Steady State Time': 10.0}",0.6399999999999997,0.7,0.675,0.7125,0.525
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5119.692573336028), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.5479104477611942), 'Stressed Variance': np.float64(589.2997195143685), 'Stressed Steady State Time': 10.0}",0.6399999999999997,0.575,0.6125,0.55,0.625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.024216417910448), 'Normal Variance': np.float64(1081.8607941621183), 'Normal Steady State Time': 10.0}",0.6399999999999997,0.575,0.6125,0.55,0.625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5119.692573336028), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.522089552238806), 'Stressed Variance': np.float64(716.1237657830251), 'Stressed Steady State Time': 10.0}",0.6399999999999997,0.7125,0.625,0.5625,0.5125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.074776119402985), 'Normal Variance': np.float64(1098.6301548006236), 'Normal Steady State Time': 10.0}",0.6399999999999997,0.7125,0.625,0.5625,0.5125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5119.692573336028), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.9615298507462686), 'Stressed Variance': np.float64(835.851094674482), 'Stressed Steady State Time': 10.0}",0.6399999999999997,0.625,0.6125,0.5375,0.625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.226567164179104), 'Normal Variance': np.float64(1293.2708314992203), 'Normal Steady State Time': 10.0}",0.6399999999999997,0.625,0.6125,0.5375,0.625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5119.692573336028), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.7838805970149254), 'Stressed Variance': np.float64(769.4593371797729), 'Stressed Steady State Time': 10.0}",0.6399999999999997,0.5375,0.575,0.5625,0.525
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.870858208955224), 'Normal Variance': np.float64(1155.7366432933284), 'Normal Steady State Time': 10.0}",0.6399999999999997,0.5375,0.575,0.5625,0.525
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5119.692573336028), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.773208955223881), 'Stressed Variance': np.float64(661.1340882100691), 'Stressed Steady State Time': 10.0}",0.6399999999999997,0.6125,0.625,0.65,0.4875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.073358208955224), 'Normal Variance': np.float64(1076.9499170806416), 'Normal Steady State Time': 10.0}",0.6399999999999997,0.6125,0.625,0.65,0.4875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5119.692573336028), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.7076492537313435), 'Stressed Variance': np.float64(809.3455385038429), 'Stressed Steady State Time': 10.0}",0.6399999999999997,0.6,0.625,0.5625,0.5375
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.160485074626866), 'Normal Variance': np.float64(1103.7932370781352), 'Normal Steady State Time': 10.0}",0.6399999999999997,0.6,0.625,0.5625,0.5375
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5159.609014169891), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(3.085410447761194), 'Stressed Variance': np.float64(883.1403543091444), 'Stressed Steady State Time': 10.0}",0.6499999999999997,0.55,0.625,0.5125,0.5
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.9264925373134325), 'Normal Variance': np.float64(1192.7663876977058), 'Normal Steady State Time': 10.0}",0.6499999999999997,0.55,0.625,0.5125,0.5
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5159.609014169891), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.917723880597015), 'Stressed Variance': np.float64(873.3038649685342), 'Stressed Steady State Time': 10.0}",0.6499999999999997,0.675,0.7,0.5625,0.55
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.993843283582089), 'Normal Variance': np.float64(1172.6220143336486), 'Normal Steady State Time': 10.0}",0.6499999999999997,0.675,0.7,0.5625,0.55
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5159.609014169891), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.6721641791044775), 'Stressed Variance': np.float64(649.0118520327467), 'Stressed Steady State Time': 10.0}",0.6499999999999997,0.6125,0.6625,0.5875,0.5625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.958507462686567), 'Normal Variance': np.float64(1043.9502186678546), 'Normal Steady State Time': 10.0}",0.6499999999999997,0.6125,0.6625,0.5875,0.5625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5159.609014169891), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.8192910447761195), 'Stressed Variance': np.float64(802.0361129302182), 'Stressed Steady State Time': 10.0}",0.6499999999999997,0.5875,0.65,0.5875,0.4375
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.04820895522388), 'Normal Variance': np.float64(1078.2528251503675), 'Normal Steady State Time': 10.0}",0.6499999999999997,0.5875,0.65,0.5875,0.4375
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5159.609014169891), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.9137313432835823), 'Stressed Variance': np.float64(814.022856226331), 'Stressed Steady State Time': 10.0}",0.6499999999999997,0.65,0.75,0.65,0.4625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.121641791044776), 'Normal Variance': np.float64(1257.1868450657162), 'Normal Steady State Time': 10.0}",0.6499999999999997,0.65,0.75,0.65,0.4625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5159.609014169891), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.8671268656716418), 'Stressed Variance': np.float64(790.3270835361441), 'Stressed Steady State Time': 10.0}",0.6499999999999997,0.6125,0.6875,0.525,0.55
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.234216417910448), 'Normal Variance': np.float64(1178.5665232665963), 'Normal Steady State Time': 10.0}",0.6499999999999997,0.6125,0.6875,0.525,0.55
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5159.609014169891), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.6152611940298507), 'Stressed Variance': np.float64(612.0141029168523), 'Stressed Steady State Time': 10.0}",0.6499999999999997,0.675,0.6125,0.625,0.5125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.921492537313433), 'Normal Variance': np.float64(1026.6781649365114), 'Normal Steady State Time': 10.0}",0.6499999999999997,0.675,0.6125,0.625,0.5125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5159.609014169891), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.7426119402985076), 'Stressed Variance': np.float64(785.0935275061262), 'Stressed Steady State Time': 10.0}",0.6499999999999997,0.6,0.675,0.525,0.425
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.147164179104478), 'Normal Variance': np.float64(1097.9988650924483), 'Normal Steady State Time': 10.0}",0.6499999999999997,0.6,0.675,0.525,0.425
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5159.609014169891), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.848805970149254), 'Stressed Variance': np.float64(807.1130358877256), 'Stressed Steady State Time': 10.0}",0.6499999999999997,0.575,0.6125,0.5625,0.55
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.013320895522388), 'Normal Variance': np.float64(1224.996650911951), 'Normal Steady State Time': 10.0}",0.6499999999999997,0.575,0.6125,0.5625,0.55
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5159.609014169891), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.903694029850746), 'Stressed Variance': np.float64(867.8219565033972), 'Stressed Steady State Time': 10.0}",0.6499999999999997,0.6125,0.625,0.6125,0.525
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.858320895522388), 'Normal Variance': np.float64(1121.726830016429), 'Normal Steady State Time': 10.0}",0.6499999999999997,0.6125,0.625,0.6125,0.525
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5199.219569401748), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.8519402985074627), 'Stressed Variance': np.float64(719.323078324794), 'Stressed Steady State Time': 10.0}",0.6599999999999997,0.6125,0.625,0.6375,0.475
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.928208955223881), 'Normal Variance': np.float64(1028.5589505235016), 'Normal Steady State Time': 10.0}",0.6599999999999997,0.6125,0.625,0.6375,0.475
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5199.219569401748), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.7988432835820896), 'Stressed Variance': np.float64(704.9661404530519), 'Stressed Steady State Time': 10.0}",0.6599999999999997,0.625,0.6625,0.65,0.5625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.047910447761194), 'Normal Variance': np.float64(1078.139644887503), 'Normal Steady State Time': 10.0}",0.6599999999999997,0.625,0.6625,0.65,0.5625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5199.219569401748), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(3.165634328358209), 'Stressed Variance': np.float64(934.0012592991197), 'Stressed Steady State Time': 10.0}",0.6599999999999997,0.6875,0.6375,0.6125,0.4
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.118507462686567), 'Normal Variance': np.float64(1256.168344040989), 'Normal Steady State Time': 10.0}",0.6599999999999997,0.6875,0.6375,0.6125,0.4
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5199.219569401748), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.664813432835821), 'Stressed Variance': np.float64(672.065746980118), 'Stressed Steady State Time': 10.0}",0.6599999999999997,0.65,0.6625,0.5125,0.55
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.226343283582089), 'Normal Variance': np.float64(1182.7161567776789), 'Normal Steady State Time': 10.0}",0.6599999999999997,0.65,0.6625,0.5125,0.55
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5199.219569401748), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(3.0561940298507464), 'Stressed Variance': np.float64(817.9182601414568), 'Stressed Steady State Time': 10.0}",0.6599999999999997,0.525,0.6125,0.55,0.5125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.063470149253732), 'Normal Variance': np.float64(1074.646829749109), 'Normal Steady State Time': 10.0}",0.6599999999999997,0.525,0.6125,0.55,0.5125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5199.219569401748), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.513134328358209), 'Stressed Variance': np.float64(603.6053498774783), 'Stressed Steady State Time': 10.0}",0.6599999999999997,0.525,0.5875,0.5375,0.5375
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.123768656716418), 'Normal Variance': np.float64(1095.3869574390178), 'Normal Steady State Time': 10.0}",0.6599999999999997,0.525,0.5875,0.5375,0.5375
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5199.219569401748), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(3.024776119402985), 'Stressed Variance': np.float64(909.1628189797283), 'Stressed Steady State Time': 10.0}",0.6599999999999997,0.675,0.7625,0.675,0.5125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.018955223880597), 'Normal Variance': np.float64(1225.4426257741143), 'Normal Steady State Time': 10.0}",0.6599999999999997,0.675,0.7625,0.675,0.5125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5199.219569401748), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.84955223880597), 'Stressed Variance': np.float64(750.6303505457785), 'Stressed Steady State Time': 10.0}",0.6599999999999997,0.6625,0.6625,0.525,0.575
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.979253731343284), 'Normal Variance': np.float64(1163.7524800400981), 'Normal Steady State Time': 10.0}",0.6599999999999997,0.6625,0.6625,0.525,0.575
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5199.219569401748), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.934589552238806), 'Stressed Variance': np.float64(743.4222513240701), 'Stressed Steady State Time': 10.0}",0.6599999999999997,0.625,0.6625,0.5375,0.4875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.9798880597014925), 'Normal Variance': np.float64(1082.342692524783), 'Normal Steady State Time': 10.0}",0.6599999999999997,0.625,0.6625,0.5375,0.4875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5199.219569401748), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.7917537313432836), 'Stressed Variance': np.float64(710.501297670695), 'Stressed Steady State Time': 10.0}",0.6599999999999997,0.575,0.6,0.5625,0.3875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.183470149253731), 'Normal Variance': np.float64(1125.351525271497), 'Normal Steady State Time': 10.0}",0.6599999999999997,0.575,0.6,0.5625,0.3875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5238.531165219199), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.8314925373134328), 'Stressed Variance': np.float64(779.171157473825), 'Stressed Steady State Time': 10.0}",0.6699999999999997,0.5625,0.5875,0.525,0.4875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.9395149253731345), 'Normal Variance': np.float64(1205.8406326005233), 'Normal Steady State Time': 10.0}",0.6699999999999997,0.5625,0.5875,0.525,0.4875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5238.531165219199), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.714328358208955), 'Stressed Variance': np.float64(822.8808543996435), 'Stressed Steady State Time': 10.0}",0.6699999999999997,0.6375,0.6375,0.5875,0.4875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.991865671641791), 'Normal Variance': np.float64(1162.3218741312098), 'Normal Steady State Time': 10.0}",0.6699999999999997,0.6375,0.6375,0.5875,0.4875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5238.531165219199), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(3.055597014925373), 'Stressed Variance': np.float64(725.1582522555134), 'Stressed Steady State Time': 10.0}",0.6699999999999997,0.5625,0.5625,0.6,0.4625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.017388059701492), 'Normal Variance': np.float64(1067.1641752673204), 'Normal Steady State Time': 10.0}",0.6699999999999997,0.5625,0.5625,0.6,0.4625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5238.531165219199), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(3.0378358208955225), 'Stressed Variance': np.float64(926.23610576409), 'Stressed Steady State Time': 10.0}",0.6699999999999997,0.5875,0.5875,0.6,0.525
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.107649253731343), 'Normal Variance': np.float64(1104.7486728322008), 'Normal Steady State Time': 10.0}",0.6699999999999997,0.5875,0.5875,0.6,0.525
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5238.531165219199), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.693544776119403), 'Stressed Variance': np.float64(730.597018031577), 'Stressed Steady State Time': 10.0}",0.6699999999999997,0.5375,0.6125,0.575,0.4875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.888694029850746), 'Normal Variance': np.float64(1173.408842324293), 'Normal Steady State Time': 10.0}",0.6699999999999997,0.5375,0.6125,0.575,0.4875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5238.531165219199), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.616716417910448), 'Stressed Variance': np.float64(773.4103325016707), 'Stressed Steady State Time': 10.0}",0.6699999999999997,0.65,0.6625,0.5875,0.5625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.874813432835821), 'Normal Variance': np.float64(1126.3832462338494), 'Normal Steady State Time': 10.0}",0.6699999999999997,0.65,0.6625,0.5875,0.5625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5238.531165219199), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.8784701492537312), 'Stressed Variance': np.float64(684.0388498983626), 'Stressed Steady State Time': 10.0}",0.6699999999999997,0.55,0.5625,0.6625,0.575
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.022537313432836), 'Normal Variance': np.float64(1067.8573278903987), 'Normal Steady State Time': 10.0}",0.6699999999999997,0.55,0.5625,0.6625,0.575
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5238.531165219199), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(3.174365671641791), 'Stressed Variance': np.float64(968.6512010901649), 'Stressed Steady State Time': 10.0}",0.6699999999999997,0.5625,0.575,0.6,0.4875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.085335820895523), 'Normal Variance': np.float64(1078.2302924245375), 'Normal Steady State Time': 10.0}",0.6699999999999997,0.5625,0.575,0.6,0.4875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5238.531165219199), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.9392164179104476), 'Stressed Variance': np.float64(843.6794023710737), 'Stressed Steady State Time': 10.0}",0.6699999999999997,0.6,0.6,0.575,0.5
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.238582089552239), 'Normal Variance': np.float64(1303.1668099298286), 'Normal Steady State Time': 10.0}",0.6699999999999997,0.6,0.6,0.575,0.5
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5238.531165219199), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.707723880597015), 'Stressed Variance': np.float64(812.6161791476387), 'Stressed Steady State Time': 10.0}",0.6699999999999997,0.6875,0.6375,0.6125,0.4875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.172686567164179), 'Normal Variance': np.float64(1166.6191345734017), 'Normal Steady State Time': 10.0}",0.6699999999999997,0.6875,0.6375,0.6125,0.4875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5277.550470306203), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.5994402985074627), 'Stressed Variance': np.float64(603.2462310300178), 'Stressed Steady State Time': 10.0}",0.6799999999999997,0.55,0.6,0.6125,0.525
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.951082089552239), 'Normal Variance': np.float64(1031.3615995753507), 'Normal Steady State Time': 10.0}",0.6799999999999997,0.55,0.6,0.6125,0.525
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5277.550470306203), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(3.1896641791044775), 'Stressed Variance': np.float64(882.9011543648362), 'Stressed Steady State Time': 10.0}",0.6799999999999997,0.6125,0.5875,0.6375,0.4625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.088507462686567), 'Normal Variance': np.float64(1088.639405235019), 'Normal Steady State Time': 10.0}",0.6799999999999997,0.6125,0.5875,0.6375,0.4625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5277.550470306203), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.6648507462686566), 'Stressed Variance': np.float64(724.8682719926486), 'Stressed Steady State Time': 10.0}",0.6799999999999997,0.65,0.575,0.5375,0.525
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.125), 'Normal Variance': np.float64(1257.574151119403), 'Normal Steady State Time': 10.0}",0.6799999999999997,0.65,0.575,0.5375,0.525
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5277.550470306203), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(3.363283582089552), 'Stressed Variance': np.float64(1048.699442949432), 'Stressed Steady State Time': 10.0}",0.6799999999999997,0.7,0.6375,0.6625,0.3875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.905783582089552), 'Normal Variance': np.float64(1141.7266829680889), 'Normal Steady State Time': 10.0}",0.6799999999999997,0.7,0.6375,0.6625,0.3875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5277.550470306203), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.4465298507462685), 'Stressed Variance': np.float64(541.8392304953776), 'Stressed Steady State Time': 10.0}",0.6799999999999997,0.6875,0.6125,0.65,0.4625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.032014925373134), 'Normal Variance': np.float64(1058.2548705669417), 'Normal Steady State Time': 10.0}",0.6799999999999997,0.6875,0.6125,0.65,0.4625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5277.550470306203), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(3.2561194029850746), 'Stressed Variance': np.float64(907.78499986634), 'Stressed Steady State Time': 10.0}",0.6799999999999997,0.575,0.5875,0.55,0.55
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.227089552238806), 'Normal Variance': np.float64(1140.7076094397416), 'Normal Steady State Time': 10.0}",0.6799999999999997,0.575,0.5875,0.55,0.55
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5277.550470306203), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(2.7919402985074626), 'Stressed Variance': np.float64(750.6733529516596), 'Stressed Steady State Time': 10.0}",0.6799999999999997,0.6125,0.625,0.6125,0.5125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.161977611940299), 'Normal Variance': np.float64(1278.7277557905436), 'Normal Steady State Time': 10.0}",0.6799999999999997,0.6125,0.625,0.6125,0.5125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(5277.550470306203), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(3.1675), 'Stressed Variance': np.float64(981.2657870335821), 'Stressed Steady State Time': 10.0}",0.6799999999999997,0.6875,0.575,0.5875,0.5
