Parameter Sets,Stats,Variance Ratio,SVM Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,Random Classifier Accuracy
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2018.0039888811798), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.1875373134328358), 'Stressed Variance': np.float64(118.52833721875696), 'Stressed Steady State Time': 10.0}",0.1,0.775,0.725,0.5875,0.575
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.014253731343284), 'Normal Variance': np.float64(1084.2306177266653), 'Normal Steady State Time': 10.0}",0.1,0.775,0.725,0.5875,0.575
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2116.96249836801), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.099402985074627), 'Stressed Variance': np.float64(119.58989516596124), 'Stressed Steady State Time': 10.0}",0.11,0.7375,0.7625,0.5625,0.475
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.1475), 'Normal Variance': np.float64(1242.3024601679106), 'Normal Steady State Time': 10.0}",0.11,0.7375,0.7625,0.5625,0.475
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2116.96249836801), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.0353358208955223), 'Stressed Variance': np.float64(95.52087824543327), 'Stressed Steady State Time': 10.0}",0.11,0.825,0.7625,0.6375,0.4625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.846231343283582), 'Normal Variance': np.float64(1140.8122880360324), 'Normal Steady State Time': 10.0}",0.11,0.825,0.7625,0.6375,0.4625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2116.96249836801), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.1761940298507463), 'Stressed Variance': np.float64(140.6876123802629), 'Stressed Steady State Time': 10.0}",0.11,0.775,0.725,0.575,0.425
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.712388059701492), 'Normal Variance': np.float64(967.3695181777679), 'Normal Steady State Time': 10.0}",0.11,0.775,0.725,0.575,0.425
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2116.96249836801), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.2444776119402985), 'Stressed Variance': np.float64(142.2441112942749), 'Stressed Steady State Time': 10.0}",0.11,0.75,0.625,0.525,0.4375
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.038432835820895), 'Normal Variance': np.float64(1082.7103885887723), 'Normal Steady State Time': 10.0}",0.11,0.75,0.625,0.525,0.4375
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2116.96249836801), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.0830970149253731), 'Stressed Variance': np.float64(121.07089339357317), 'Stressed Steady State Time': 10.0}",0.11,0.75,0.725,0.6125,0.55
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.126753731343284), 'Normal Variance': np.float64(1248.8879260289038), 'Normal Steady State Time': 10.0}",0.11,0.75,0.725,0.6125,0.55
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2116.96249836801), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.0041044776119403), 'Stressed Variance': np.float64(89.8066249443083), 'Stressed Steady State Time': 10.0}",0.11,0.85,0.75,0.65,0.3875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.954813432835821), 'Normal Variance': np.float64(1186.6480701144465), 'Normal Steady State Time': 10.0}",0.11,0.85,0.75,0.65,0.3875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2116.96249836801), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.1764925373134327), 'Stressed Variance': np.float64(138.4454921753174), 'Stressed Steady State Time': 10.0}",0.11,0.8625,0.7625,0.6375,0.5125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(4.767686567164179), 'Normal Variance': np.float64(986.6367021107154), 'Normal Steady State Time': 10.0}",0.11,0.8625,0.7625,0.6375,0.5125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2116.96249836801), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.2468283582089552), 'Stressed Variance': np.float64(139.4636653138227), 'Stressed Steady State Time': 10.0}",0.11,0.775,0.7125,0.65,0.55
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.050111940298508), 'Normal Variance': np.float64(1090.8083470023948), 'Normal Steady State Time': 10.0}",0.11,0.775,0.7125,0.65,0.55
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': np.float64(2116.96249836801), 'd': 1, 'label': 0}","{'Stressed Mean': np.float64(1.1430223880597015), 'Stressed Variance': np.float64(127.99308937263311), 'Stressed Steady State Time': 10.0}",0.11,0.7375,0.7125,0.55,0.525
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': np.float64(2326.2660501299033), 'd': 1, 'label': 1}","{'Normal Mean': np.float64(5.107164179104478), 'Normal Variance': np.float64(1230.8944859879707), 'Normal Steady State Time': 10.0}",0.11,0.7375,0.7125,0.55,0.525
