Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,LSTM Accuracy,LSTM Conv1D Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723437, 'rho': 242.62791872472204, 'd': 0.7303082000929949, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.927857142857142, 'Stressed Variance': 132.28576179471787, 'Stressed Steady State Time': 13.69284912688456}, {'Normal Mean': 9.869458333333334, 'Normal Variance': 1163.7677505399306, 'Normal Steady State Time': 12.775248871259329})",0.11,1.0,0.7,0.9875,0.7,0.8875,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723437, 'rho': 242.62791872472204, 'd': 0.7303082000929949, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.877436974789916, 'Stressed Variance': 130.86804553174213, 'Stressed Steady State Time': 13.69284912688456}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.11,1.0,0.55,1.0,0.475,0.8,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723437, 'rho': 242.62791872472204, 'd': 0.7303082000929949, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.877436974789916, 'Stressed Variance': 130.86804553174213, 'Stressed Steady State Time': 13.69284912688456}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.11,1.0,0.55,1.0,0.475,0.8,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723437, 'rho': 242.62791872472204, 'd': 0.7303082000929949, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.877436974789916, 'Stressed Variance': 130.86804553174213, 'Stressed Steady State Time': 13.69284912688456}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.11,1.0,0.55,1.0,0.475,0.8,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723437, 'rho': 242.62791872472204, 'd': 0.7303082000929949, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.877436974789916, 'Stressed Variance': 130.86804553174213, 'Stressed Steady State Time': 13.69284912688456}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.11,1.0,0.55,1.0,0.475,0.8,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723437, 'rho': 242.62791872472204, 'd': 0.7303082000929949, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.877436974789916, 'Stressed Variance': 130.86804553174213, 'Stressed Steady State Time': 13.69284912688456}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.11,1.0,0.55,1.0,0.475,0.8,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723437, 'rho': 242.62791872472204, 'd': 0.7303082000929949, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.877436974789916, 'Stressed Variance': 130.86804553174213, 'Stressed Steady State Time': 13.69284912688456}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.11,1.0,0.55,1.0,0.475,0.8,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723437, 'rho': 242.62791872472204, 'd': 0.7303082000929949, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.877436974789916, 'Stressed Variance': 130.86804553174213, 'Stressed Steady State Time': 13.69284912688456}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.11,1.0,0.55,1.0,0.475,0.8,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723437, 'rho': 242.62791872472204, 'd': 0.7303082000929949, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.877436974789916, 'Stressed Variance': 130.86804553174213, 'Stressed Steady State Time': 13.69284912688456}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.11,1.0,0.55,1.0,0.475,0.8,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723437, 'rho': 242.62791872472204, 'd': 0.7303082000929949, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.877436974789916, 'Stressed Variance': 130.86804553174213, 'Stressed Steady State Time': 13.69284912688456}, {'Normal Mean': 10.021208333333334, 'Normal Variance': 1186.8650085399304, 'Normal Steady State Time': 12.775248871259329})",0.11,1.0,0.55,1.0,0.475,0.8,0.45,1.0,0.9875
