Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2018.0039888811798, 'd': 1, 'label': 0}","{'Stressed Mean': 1.2544776119402985, 'Stressed Variance': 145.89859935397638, 'Stressed Steady State Time': 10.0}",0.1,0.75,0.6,0.725,0.6,0.7375,0.4
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2326.2660501299033, 'd': 1, 'label': 1}","{'Normal Mean': 5.032388059701493, 'Normal Variance': 1109.6202196703052, 'Normal Steady State Time': 10.0}",0.1,0.75,0.6,0.725,0.6,0.7375,0.4
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2018.0039888811798, 'd': 1, 'label': 0}","{'Stressed Mean': 1.1477985074626866, 'Stressed Variance': 115.9846108250724, 'Stressed Steady State Time': 10.0}",0.1,0.8,0.5875,0.825,0.6,0.725,0.4625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2326.2660501299033, 'd': 1, 'label': 1}","{'Normal Mean': 5.081679104477612, 'Normal Variance': 1094.0285150910559, 'Normal Steady State Time': 10.0}",0.1,0.8,0.5875,0.825,0.6,0.725,0.4625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2018.0039888811798, 'd': 1, 'label': 0}","{'Stressed Mean': 1.2108955223880598, 'Stressed Variance': 141.45940367565163, 'Stressed Steady State Time': 10.0}",0.1,0.8125,0.6875,0.7,0.6,0.7125,0.45
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2326.2660501299033, 'd': 1, 'label': 1}","{'Normal Mean': 5.025223880597015, 'Normal Variance': 1216.9947368901762, 'Normal Steady State Time': 10.0}",0.1,0.8125,0.6875,0.7,0.6,0.7125,0.45
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2018.0039888811798, 'd': 1, 'label': 0}","{'Stressed Mean': 1.144776119402985, 'Stressed Variance': 114.05598017375809, 'Stressed Steady State Time': 10.0}",0.1,0.8,0.6375,0.725,0.6125,0.725,0.4375
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2326.2660501299033, 'd': 1, 'label': 1}","{'Normal Mean': 4.936716417910448, 'Normal Variance': 1171.7992787703272, 'Normal Steady State Time': 10.0}",0.1,0.8,0.6375,0.725,0.6125,0.725,0.4375
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2018.0039888811798, 'd': 1, 'label': 0}","{'Stressed Mean': 1.2095149253731343, 'Stressed Variance': 143.3562154363444, 'Stressed Steady State Time': 10.0}",0.1,0.85,0.7,0.75,0.6,0.8,0.55
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2326.2660501299033, 'd': 1, 'label': 1}","{'Normal Mean': 5.161529850746269, 'Normal Variance': 1146.4100648237359, 'Normal Steady State Time': 10.0}",0.1,0.85,0.7,0.75,0.6,0.8,0.55
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2018.0039888811798, 'd': 1, 'label': 0}","{'Stressed Mean': 1.1929850746268658, 'Stressed Variance': 115.17454780574738, 'Stressed Steady State Time': 10.0}",0.1,0.775,0.5625,0.625,0.575,0.6625,0.575
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2326.2660501299033, 'd': 1, 'label': 1}","{'Normal Mean': 5.044962686567164, 'Normal Variance': 1087.7751798493541, 'Normal Steady State Time': 10.0}",0.1,0.775,0.5625,0.625,0.575,0.6625,0.575
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2018.0039888811798, 'd': 1, 'label': 0}","{'Stressed Mean': 1.2898134328358208, 'Stressed Variance': 148.25955295026733, 'Stressed Steady State Time': 10.0}",0.1,0.7875,0.7125,0.7625,0.6625,0.725,0.4875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2326.2660501299033, 'd': 1, 'label': 1}","{'Normal Mean': 4.978805970149254, 'Normal Variance': 1205.7107448429495, 'Normal Steady State Time': 10.0}",0.1,0.7875,0.7125,0.7625,0.6625,0.725,0.4875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2018.0039888811798, 'd': 1, 'label': 0}","{'Stressed Mean': 1.2544776119402985, 'Stressed Variance': 145.89859935397638, 'Stressed Steady State Time': 10.0}",0.1,0.725,0.4625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2326.2660501299033, 'd': 1, 'label': 1}","{'Normal Mean': 5.032388059701493, 'Normal Variance': 1109.6202196703052, 'Normal Steady State Time': 10.0}",0.1,0.725,0.4625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2018.0039888811798, 'd': 1, 'label': 0}","{'Stressed Mean': 1.1477985074626866, 'Stressed Variance': 115.9846108250724, 'Stressed Steady State Time': 10.0}",0.1,0.7,0.45
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2326.2660501299033, 'd': 1, 'label': 1}","{'Normal Mean': 5.081679104477612, 'Normal Variance': 1094.0285150910559, 'Normal Steady State Time': 10.0}",0.1,0.7,0.45
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2018.0039888811798, 'd': 1, 'label': 0}","{'Stressed Mean': 1.2108955223880598, 'Stressed Variance': 141.45940367565163, 'Stressed Steady State Time': 10.0}",0.1,0.725,0.475
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2326.2660501299033, 'd': 1, 'label': 1}","{'Normal Mean': 5.025223880597015, 'Normal Variance': 1216.9947368901762, 'Normal Steady State Time': 10.0}",0.1,0.725,0.475
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2018.0039888811798, 'd': 1, 'label': 0}","{'Stressed Mean': 1.144776119402985, 'Stressed Variance': 114.05598017375809, 'Stressed Steady State Time': 10.0}",0.1,0.775,0.5375
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2326.2660501299033, 'd': 1, 'label': 1}","{'Normal Mean': 4.936716417910448, 'Normal Variance': 1171.7992787703272, 'Normal Steady State Time': 10.0}",0.1,0.775,0.5375
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2018.0039888811798, 'd': 1, 'label': 0}","{'Stressed Mean': 1.2095149253731343, 'Stressed Variance': 143.3562154363444, 'Stressed Steady State Time': 10.0}",0.1,0.7875,0.625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2326.2660501299033, 'd': 1, 'label': 1}","{'Normal Mean': 5.161529850746269, 'Normal Variance': 1146.4100648237359, 'Normal Steady State Time': 10.0}",0.1,0.7875,0.625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2018.0039888811798, 'd': 1, 'label': 0}","{'Stressed Mean': 1.1929850746268658, 'Stressed Variance': 115.17454780574738, 'Stressed Steady State Time': 10.0}",0.1,0.7,0.4875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2326.2660501299033, 'd': 1, 'label': 1}","{'Normal Mean': 5.044962686567164, 'Normal Variance': 1087.7751798493541, 'Normal Steady State Time': 10.0}",0.1,0.7,0.4875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2018.0039888811798, 'd': 1, 'label': 0}","{'Stressed Mean': 1.2898134328358208, 'Stressed Variance': 148.25955295026733, 'Stressed Steady State Time': 10.0}",0.1,0.725,0.425
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2326.2660501299033, 'd': 1, 'label': 1}","{'Normal Mean': 4.978805970149254, 'Normal Variance': 1205.7107448429495, 'Normal Steady State Time': 10.0}",0.1,0.725,0.425
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2018.0039888811798, 'd': 1, 'label': 0}","{'Stressed Mean': 1.1726492537313433, 'Stressed Variance': 113.28388626503674, 'Stressed Steady State Time': 10.0}",0.1,0.7875,0.525
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2326.2660501299033, 'd': 1, 'label': 1}","{'Normal Mean': 4.757425373134328, 'Normal Variance': 1130.0888068041322, 'Normal Steady State Time': 10.0}",0.1,0.7875,0.525
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2018.0039888811798, 'd': 1, 'label': 0}","{'Stressed Mean': 1.2670149253731344, 'Stressed Variance': 151.06631496992648, 'Stressed Steady State Time': 10.0}",0.1,0.675,0.45
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2326.2660501299033, 'd': 1, 'label': 1}","{'Normal Mean': 4.967126865671641, 'Normal Variance': 1055.7325387600247, 'Normal Steady State Time': 10.0}",0.1,0.675,0.45
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2018.0039888811798, 'd': 1, 'label': 0}","{'Stressed Mean': 1.1875373134328358, 'Stressed Variance': 118.52833721875696, 'Stressed Steady State Time': 10.0}",0.1,0.7,0.6
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2326.2660501299033, 'd': 1, 'label': 1}","{'Normal Mean': 5.014253731343284, 'Normal Variance': 1084.2306177266653, 'Normal Steady State Time': 10.0}",0.1,0.7,0.6
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2116.96249836801, 'd': 1, 'label': 0}","{'Stressed Mean': 1.099402985074627, 'Stressed Variance': 119.58989516596124, 'Stressed Steady State Time': 10.0}",0.11,0.6375,0.625
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2326.2660501299033, 'd': 1, 'label': 1}","{'Normal Mean': 5.1475, 'Normal Variance': 1242.3024601679106, 'Normal Steady State Time': 10.0}",0.11,0.6375,0.625
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2116.96249836801, 'd': 1, 'label': 0}","{'Stressed Mean': 1.0353358208955223, 'Stressed Variance': 95.52087824543327, 'Stressed Steady State Time': 10.0}",0.11,0.7625,0.5125
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2326.2660501299033, 'd': 1, 'label': 1}","{'Normal Mean': 4.846231343283582, 'Normal Variance': 1140.8122880360324, 'Normal Steady State Time': 10.0}",0.11,0.7625,0.5125
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2116.96249836801, 'd': 1, 'label': 0}","{'Stressed Mean': 1.1761940298507463, 'Stressed Variance': 140.6876123802629, 'Stressed Steady State Time': 10.0}",0.11,0.7125,0.45
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2326.2660501299033, 'd': 1, 'label': 1}","{'Normal Mean': 4.712388059701492, 'Normal Variance': 967.3695181777679, 'Normal Steady State Time': 10.0}",0.11,0.7125,0.45
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2116.96249836801, 'd': 1, 'label': 0}","{'Stressed Mean': 1.2444776119402985, 'Stressed Variance': 142.2441112942749, 'Stressed Steady State Time': 10.0}",0.11,0.65,0.4875
"{'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2326.2660501299033, 'd': 1, 'label': 1}","{'Normal Mean': 5.038432835820895, 'Normal Variance': 1082.7103885887723, 'Normal Steady State Time': 10.0}",0.11,0.65,0.4875
"{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 2116.96249836801, 'd': 1, 'label': 0}","{'Stressed Mean': 1.0830970149253731, 'Stressed Variance': 121.07089339357317, 'Stressed Steady State Time': 10.0}",0.11,0.675,0.525
