epoch,train_loss,val_loss,lr,eval_epoch,eval/knn_val_acc,eval/svm_val_acc,eval/knn_train_acc,eval/svm_train_acc
1,8.19613766670227,6.079047081548692,0.0,10.0,0.6666666666666666,0.6533333333333333,0.725752508361204,0.7157190635451505
2,8.191516160964966,6.065958546028105,0.014285714285714284,20.0,0.6933333333333334,0.6666666666666666,0.7357859531772575,0.7290969899665551
3,8.166826248168945,6.014536336653367,0.028571428571428567,30.0,0.7066666666666667,0.7866666666666666,0.7525083612040134,0.7491638795986622
4,8.090488910675049,5.92099922499404,0.04285714285714285,40.0,0.7466666666666667,0.6533333333333333,0.7625418060200669,0.7391304347826086
5,7.990735173225403,5.854524998628762,0.057142857142857134,50.0,0.6933333333333334,0.7066666666666667,0.7224080267558528,0.7391304347826086
6,7.970401644706726,5.843754325221826,0.07142857142857142,60.0,0.72,0.72,0.7658862876254181,0.782608695652174
7,7.957196474075317,5.838488356218908,0.0857142857142857,70.0,0.7733333333333333,0.7733333333333333,0.7892976588628763,0.7892976588628763
8,7.949658751487732,5.825650866438703,0.09999999999999999,80.0,0.8,0.8533333333333334,0.8160535117056856,0.802675585284281
9,7.93769907951355,5.821127849030234,0.11428571428571427,90.0,0.76,0.7733333333333333,0.7993311036789298,0.8093645484949833
10,7.936909914016724,5.814666651797154,0.12857142857142856,100.0,0.76,0.7466666666666667,0.8127090301003345,0.8260869565217391
11,7.9294456243515015,5.815336652118885,0.14285714285714285,110.0,0.72,0.76,0.8160535117056856,0.8160535117056856
12,7.923400521278381,5.810365621135253,0.15714285714285714,120.0,0.72,0.7866666666666666,0.8060200668896321,0.8327759197324415
13,7.925073266029358,5.8075114940774855,0.1714285714285714,130.0,0.7066666666666667,0.76,0.7993311036789298,0.8193979933110368
14,7.913923144340515,5.800102180147292,0.18571428571428572,140.0,0.7066666666666667,0.76,0.7859531772575251,0.8193979933110368
15,7.9128804206848145,5.794696892079834,0.19999999999999998,150.0,0.7066666666666667,0.76,0.8127090301003345,0.8327759197324415
