representation,n_dims,D_score,mean_within_distance,mean_between_distance,pooled_distance_sd,n_within_pairs,n_between_pairs,ARI,NMI,n_clusters,kmeans_inertia
Raw traces,540,1.5206677740432704,12.16725578396631,31.276892968098586,12.566608900589824,18018,91260,0.49966927606363004,0.6249997341703039,6,29634.716260658548
catch22,22,0.29949848317366184,5.7662910692146685,6.5254040580649075,2.534613801065808,18018,91260,0.18961546692753414,0.25054391079581256,6,6009.959487840714
SimCLR IY017-inst b512 D16 154043,16,1.0492948925575758,3.0264927679807547,5.3687113918194616,2.2321833837671017,18018,91260,0.372675815032772,0.5046978554518243,6,1852.5687255859375
IY036 SupCon v1-jitter b2048 lr2.4 175732,16,1.7952666555600372,2.8255410789915407,5.713192905852165,1.6084807334428073,18018,91260,0.6044576029029619,0.6859593587378114,6,1777.7607421875
