epoch,train_loss,val_loss,lr,eval_epoch,eval/knn_val_acc,eval/svm_val_acc,eval/knn_train_acc,eval/svm_train_acc
1,8.90588092803955,6.124847499295372,0.0,10.0,0.6486781174920561,0.6976391149345114,0.7437731237934554,0.6985176285848791
2,8.907332420349121,6.120995820704945,0.014285714285714284,20.0,0.656586646516314,0.7095956366736417,0.7299750792251575,0.693304534238222
3,8.904325485229492,6.108573287983701,0.028571428571428567,30.0,0.6966243315508022,0.7059724482678447,0.7531426242405285,0.7217397860367832
4,8.886348724365234,6.077731813053944,0.04285714285714285,40.0,0.6867002828799503,0.7168420134852359,0.7709249280417563,0.7117876607804665
5,8.850828647613525,6.028016152373633,0.057142857142857134,50.0,0.7388737115399518,0.7373968263194607,0.7893421231394332,0.7597234860333079
6,8.787225723266602,5.962805231274517,0.07142857142857142,60.0,0.6905884290475083,0.7482368441447725,0.7718954480684227,0.7496983282938866
7,8.725132465362549,5.915311926159124,0.0857142857142857,70.0,0.7625431101294273,0.7678955475470821,0.8094925403550678,0.7699022600101736
8,8.692474365234375,5.900662281277688,0.09999999999999999,80.0,0.7575878671626753,0.7745674455552972,0.8143813644736385,0.7684377083313588
9,8.682208061218262,5.895005261050973,0.11428571428571427,90.0,0.7812422498643726,0.8045425482445943,0.7961360555824116,0.789622096788972
10,8.677265167236328,5.8946974306420605,0.12857142857142856,100.0,0.7635607998139967,0.8030041463225607,0.7711017352126204,0.807590820624133
11,8.670390129089355,5.889323790936991,0.14285714285714285,110.0,0.7800366193908393,0.7733138611175695,0.7995199887520812,0.8034457730258482
12,8.666050910949707,5.8885462934884085,0.15714285714285714,120.0,0.8143464698132217,0.833027202976052,0.8080245447910445,0.8095042780005244
13,8.663862705230713,5.881804524509291,0.1714285714285714,130.0,0.7796345811051694,0.7960905409594669,0.789612270657782,0.8023743376840029
14,8.656628131866455,5.879017853241033,0.18571428571428572,140.0,0.7626666279159885,0.8245538828179493,0.8001603697279331,0.7796953188437393
15,8.652313232421875,5.877899384581237,0.19999999999999998,150.0,0.7789511160195303,0.7636286135007363,0.7692366818008044,0.784256104997425
16,8.6544508934021,5.876640930126197,0.21428571428571427,160.0,0.7959999612493219,0.8092822405642098,0.8411040653643093,0.8294265141246685
17,8.649139881134033,5.873741628392317,0.22857142857142854,170.0,0.8246924164922885,0.8193695264667132,0.8307019364745359,0.8080001058441785
18,8.65016794204712,5.8710738453542755,0.24285714285714285,180.0,0.8063967681934434,0.8156770712237464,0.8108281991007984,0.8161864658470853
19,8.653395652770996,5.869307491560329,0.2571428571428571,190.0,0.8164099434240099,0.8033863248856856,0.8264100103316556,0.8041533729538108
20,8.649637699127197,5.8673191182121665,0.2714285714285714,200.0,0.8158664651631403,0.7996924164922886,0.8112109047939514,0.8091917059237984
