epoch,train_loss,val_loss,lr,eval_epoch,eval/knn_val_acc,eval/svm_val_acc,eval/knn_train_acc,eval/svm_train_acc
1,8.19613766670227,7.955742647910539,0.0,10.0,0.6533333333333333,0.6666666666666666,0.725752508361204,0.7290969899665551
2,8.194833517074585,7.954602270391029,5.9523809523809525e-06,20.0,0.6266666666666667,0.6533333333333333,0.7324414715719063,0.7190635451505016
3,8.195414066314697,7.952259894275585,1.1904761904761905e-05,30.0,0.64,0.6666666666666666,0.725752508361204,0.7290969899665551
4,8.192232131958008,7.948760624589591,1.7857142857142855e-05,40.0,0.64,0.68,0.7157190635451505,0.725752508361204
5,8.185945510864258,7.9439326523731895,2.380952380952381e-05,50.0,0.6666666666666666,0.6666666666666666,0.7324414715719063,0.7324414715719063
6,8.183730363845825,7.9377921904908,2.9761904761904762e-05,60.0,0.68,0.6933333333333334,0.7290969899665551,0.725752508361204
7,8.17344856262207,7.930196904053299,3.571428571428571e-05,70.0,0.7466666666666667,0.68,0.745819397993311,0.7357859531772575
8,8.164306163787842,7.921030984594603,4.1666666666666665e-05,80.0,0.7466666666666667,0.76,0.7625418060200669,0.7591973244147158
9,8.153082370758057,7.910218220382704,4.761904761904762e-05,90.0,0.72,0.7066666666666667,0.7759197324414716,0.7357859531772575
10,8.139984846115112,7.897677031357414,5.357142857142857e-05,100.0,0.7466666666666667,0.7066666666666667,0.7725752508361204,0.7424749163879598
11,8.12886643409729,7.883270131328509,5.9523809523809524e-05,110.0,0.76,0.7466666666666667,0.7625418060200669,0.7324414715719063
12,8.111501455307007,7.866901002279142,6.547619047619048e-05,120.0,0.76,0.7466666666666667,0.7692307692307693,0.7558528428093646
13,8.093249559402466,7.8494521715342245,7.142857142857142e-05,130.0,0.7733333333333333,0.76,0.7725752508361204,0.7625418060200669
14,8.069486618041992,7.832319197482277,7.738095238095239e-05,140.0,0.8,0.76,0.782608695652174,0.7625418060200669
15,8.056626558303833,7.815327013912474,8.333333333333333e-05,150.0,0.8,0.7733333333333333,0.7859531772575251,0.7759197324414716
16,8.043946981430054,7.798565168356675,8.928571428571429e-05,160.0,0.8,0.7866666666666666,0.782608695652174,0.7759197324414716
17,8.021610260009766,7.782716257016733,9.523809523809524e-05,170.0,0.7733333333333333,0.7866666666666666,0.782608695652174,0.7759197324414716
