class_name,label,split,tf,condition,x,y,representation,method
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),-29.18366241455078,-1.131435513496399,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.1% glucose,1,train,Nrg1,0.1% glucose,29.758691787719727,5.406656265258789,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.1% glucose,4,train,Rtg1,0.1% glucose,-6.993076801300049,4.808340072631836,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),-9.700014114379883,5.96988582611084,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.01% glucose,0,train,Nrg1,0.01% glucose,1.472778081893921,-7.295034408569336,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,-34.073917388916016,3.446915864944458,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),-10.305096626281738,-9.759434700012207,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),12.880850791931152,3.4513540267944336,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),-25.800506591796875,-0.562627911567688,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.1% glucose,1,train,Nrg1,0.1% glucose,34.572486877441406,6.079462051391602,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),-14.596418380737305,-5.539034843444824,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),-9.107993125915527,-2.395620822906494,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.01% glucose,0,train,Nrg1,0.01% glucose,11.758942604064941,7.021448612213135,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.1% glucose,4,train,Rtg1,0.1% glucose,-6.251340389251709,3.2456867694854736,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.1% glucose,4,train,Rtg1,0.1% glucose,-14.351197242736816,2.66632080078125,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.01% glucose,0,train,Nrg1,0.01% glucose,9.480123519897461,6.654874801635742,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),-16.63899040222168,-8.696063995361328,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.01% glucose,0,train,Nrg1,0.01% glucose,11.947693824768066,3.199971914291382,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.01% glucose,0,train,Nrg1,0.01% glucose,6.178012847900391,0.3000832796096802,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,-30.492725372314453,3.910756826400757,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,-36.38987731933594,-0.6673800945281982,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,-19.710359573364258,-11.948086738586426,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),-25.051250457763672,-2.234973669052124,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.01% glucose,0,train,Nrg1,0.01% glucose,6.439712047576904,1.5671043395996094,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,-33.03007888793945,2.711812734603882,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.1% glucose,4,train,Rtg1,0.1% glucose,-7.476362228393555,-13.118002891540527,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.1% glucose,1,train,Nrg1,0.1% glucose,35.2333869934082,0.567955732345581,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),-30.25824737548828,5.929080963134766,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.1% glucose,4,train,Rtg1,0.1% glucose,-10.905672073364258,3.297318696975708,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 2% glucose (mock/steady),5,train,Rtg1,2% glucose (mock/steady),-16.9716796875,-2.6991188526153564,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.1% glucose,4,train,Rtg1,0.1% glucose,-21.078327178955078,2.9245264530181885,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.01% glucose,0,train,Nrg1,0.01% glucose,4.306939601898193,-1.4839181900024414,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 2% glucose (mock/steady),2,train,Nrg1,2% glucose (mock/steady),15.28451919555664,3.1527462005615234,SimCLR IY017-inst b512 D16 154043,t-SNE
Nrg1 @ 0.01% glucose,0,train,Nrg1,0.01% glucose,2.536210060119629,-6.557926177978516,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.1% glucose,4,train,Rtg1,0.1% glucose,-12.019366264343262,2.576831102371216,SimCLR IY017-inst b512 D16 154043,t-SNE
Rtg1 @ 0.01% glucose,3,train,Rtg1,0.01% glucose,-30.66273307800293,-3.497793674468994,SimCLR IY017-inst b512 D16 154043,t-SNE
