epoch,train_loss,val_loss,lr,eval_epoch,eval/knn_train_cv,eval/svm_train_cv,eval/svm_test_acc,eval/knn_test_acc
1,6.83243787856329,6.770532735890771,0.0,10.0,0.68990990990991,0.7058738738738739,0.7340425531914894,0.7127659574468085
2,6.808738549550374,6.7233308732948345,5e-05,20.0,0.7674954954954955,0.7728288288288289,0.7659574468085106,0.7340425531914894
3,6.723862784249442,6.609948452088108,0.0001,30.0,0.7754954954954955,0.7807927927927929,0.7659574468085106,0.7978723404255319
4,6.60106220699492,6.530780520474246,0.00015,40.0,0.7701981981981982,0.7754954954954955,0.776595744680851,0.8085106382978723
5,6.555379322596958,6.508163542401527,0.0002,50.0,0.7701981981981982,0.7808288288288289,0.8191489361702128,0.8191489361702128
6,6.546821457999093,6.494252485181004,0.00025,60.0,0.7755675675675675,0.7941981981981983,0.8085106382978723,0.8404255319148937
7,6.532963661920457,6.481776517773778,0.0003,70.0,0.7755315315315316,0.7914954954954955,0.8085106382978723,0.8404255319148937
8,6.520273798987979,6.47628129443661,0.00035,80.0,0.7808288288288288,0.7915315315315317,0.8191489361702128,0.8404255319148937
9,6.510186649504162,6.444969718263227,0.0004,90.0,0.7782342342342342,0.8075315315315315,0.8085106382978723,0.8404255319148937
10,6.481641928354899,6.416965458044619,0.00045000000000000004,100.0,0.8022342342342343,0.8075315315315315,0.8085106382978723,0.8085106382978723
11,6.44278655733381,6.390514149149384,0.0005,110.0,0.7942342342342342,0.7994594594594594,0.7872340425531915,0.7978723404255319
12,6.390865643819173,6.346696030328953,0.00055,120.0,0.7969009009009008,0.8048648648648647,0.8191489361702128,0.8085106382978723
13,6.324757121858143,6.2822032872309315,0.0006,130.0,0.788864864864865,0.7941621621621622,0.8191489361702128,0.8085106382978723
14,6.224611282348633,6.135430900080347,0.0006500000000000001,140.0,0.788864864864865,0.8048288288288289,0.8085106382978723,0.7872340425531915
15,6.080169836680095,5.991743053672943,0.0007,150.0,0.788864864864865,0.804864864864865,0.8085106382978723,0.7872340425531915
16,5.995764096577962,5.927106095664008,0.00075,160.0,0.788864864864865,0.804864864864865,0.8191489361702128,0.8085106382978723
17,5.929657413845971,5.883728525741368,0.0008,,,,,
18,5.8935396784827825,5.846469307046082,0.00085,,,,,
19,5.838547910962786,5.817789905078779,0.0009000000000000001,,,,,
20,5.796765509105864,5.7324242902729665,0.00095,,,,,
21,5.745449838184175,5.673614357548181,0.001,,,,,
22,5.6982119878133135,5.643661326539755,0.0009999238475781956,,,,,
23,5.655967825935001,5.608944923970476,0.0009996954135095479,,,,,
24,5.634955179123652,5.584918405731393,0.0009993147673772868,,,,,
25,5.611264932723272,5.569405566756031,0.0009987820251299122,,,,,
26,5.590944426400321,5.547978484918893,0.0009980973490458728,,,,,
27,5.566193830399286,5.54249705726792,0.0009972609476841367,,,,,
28,5.563100337982178,5.537912035840794,0.0009962730758206612,,,,,
29,5.551715464819045,5.50174188313048,0.0009951340343707852,,,,,
30,5.541529678163075,5.511713178375918,0.0009938441702975688,,,,,
31,5.535135473523821,5.501601417232638,0.000992403876506104,,,,,
32,5.522393839699881,5.492285231059784,0.000990813591723832,,,,,
33,5.518146128881545,5.485187793254351,0.0009890738003669028,,,,,
34,5.50757782799857,5.470127079138369,0.0009871850323926177,,,,,
35,5.509061813354492,5.462460035530676,0.0009851478631379982,,,,,
36,5.502835364568801,5.479167635383165,0.0009829629131445341,,,,,
37,5.496798288254511,5.444197735450496,0.0009806308479691594,,,,,
38,5.476956503731864,5.435949579774393,0.0009781523779815178,,,,,
39,5.4825662431262785,5.421821222194988,0.0009755282581475768,,,,,
40,5.468208335694813,5.422124546785084,0.0009727592877996585,,,,,
41,5.459714480808803,5.414992456807198,0.0009698463103929542,,,,,
42,5.4513982364109586,5.406532030877756,0.0009667902132486009,,,,,
43,5.441386495317731,5.40392688045241,0.0009635919272833937,,,,,
44,5.439176173437209,5.3982380241249635,0.0009602524267262203,,,,,
45,5.433502378917876,5.3819277479570875,0.0009567727288213005,,,,,
46,5.428090844835554,5.398647623734018,0.0009531538935183251,,,,,
47,5.430464176904588,5.376689502242737,0.0009493970231495835,,,,,
48,5.426741486503964,5.401015315772858,0.0009455032620941839,,,,,
49,5.421945776258196,5.3843252380563635,0.0009414737964294635,,,,,
50,5.411735534667969,5.3733972941538015,0.0009373098535696979,,,,,
51,5.420313585372198,5.38123583618148,0.0009330127018922195,,,,,
52,5.409819353194464,5.374002047016292,0.0009285836503510562,,,,,
53,5.402542159670875,5.372814159413367,0.0009240240480782129,,,,,
54,5.39688930057344,5.383101104812542,0.0009193352839727121,,,,,
55,5.399958088284447,5.345232241035887,0.0009145187862775209,,,,,
56,5.393933500562396,5.3504591715197956,0.0009095760221444959,,,,,
57,5.386934507460821,5.357451789888047,0.0009045084971874737,,,,,
58,5.38156659262521,5.362066913227679,0.0008993177550236464,,,,,
59,5.380419549487886,5.344753147550437,0.0008940053768033609,,,,,
60,5.373868669782366,5.346105805706903,0.0008885729807284854,,,,,
61,5.376305829911005,5.347599674349202,0.000883022221559489,,,,,
62,5.369101297287714,5.339622052811423,0.000877354790111386,,,,,
63,5.360473746345157,5.334037809341864,0.0008715724127386971,,,,,
64,5.368305773962112,5.339299686323581,0.0008656768508095852,,,,,
65,5.3603622118632,5.344802475376711,0.0008596699001693256,,,,,
66,5.368375278654552,5.331846713016963,0.0008535533905932737,,,,,
67,5.353847094944546,5.345602687350333,0.0008473291852294987,,,,,
68,5.365036601112003,5.340403797498637,0.0008409991800312493,,,,,
69,5.3469340687706355,5.336102432006291,0.0008345653031794292,,,,,
70,5.353046598888579,5.318381325052865,0.0008280295144952537,,,,,
71,5.344546340760731,5.311362009820627,0.0008213938048432696,,,,,
72,5.3442924817403155,5.322124615076588,0.0008146601955249188,,,,,
73,5.340557893117269,5.314864275959388,0.0008078307376628291,,,,,
74,5.3365435146150135,5.3269200079323245,0.0008009075115760243,,,,,
75,5.337377956935337,5.306360981817877,0.0007938926261462366,,,,,
76,5.3369052069527765,5.332210767908427,0.0007867882181755231,,,,,
77,5.3306965827941895,5.307370835674298,0.0007795964517353734,,,,,
78,5.321427844819569,5.309413085099149,0.0007723195175075137,,,,,
79,5.323826313018799,5.314769937412972,0.0007649596321166025,,,,,
80,5.322140829903739,5.302203147318586,0.0007575190374550272,,,,,
81,5.317390192122686,5.310815351367874,0.00075,,,,,
82,5.318216119493757,5.302613869074391,0.0007424048101231686,,,,,
83,5.323594592866444,5.302429577278915,0.0007347357813929454,,,,,
84,5.314759004683721,5.306516548561874,0.0007269952498697733,,,,,
85,5.3062778654552645,5.292556477896674,0.0007191855733945387,,,,,
86,5.311756429218111,5.309838172639833,0.0007113091308703497,,,,,
87,5.312848613375709,5.294873306302493,0.0007033683215379002,,,,,
88,5.2994475818815685,5.304270752346227,0.0006953655642446368,,,,,
89,5.301536264873686,5.29434773047013,0.0006873032967079561,,,,,
90,5.289432525634766,5.299439038137281,0.0006791839747726501,,,,,
91,5.29431997026716,5.300614017542729,0.0006710100716628344,,,,,
92,5.290394555954706,5.295030107508197,0.0006627840772285784,,,,,
93,5.2785162925720215,5.290150558158802,0.0006545084971874737,,,,,
