method,accuracy
"IY036 SupCon + SVM, label-supervised",0.851063829787234
"Best SimCLR + SVM, self-supervised (IY031)",0.7978723404255319
Raw SVM (IY031),0.7553
Catch22 + SVM (IY031),0.5426
Chance,0.16666666666666666
