epoch,train_loss,val_loss,lr,eval_epoch,eval/knn_val_acc_smooth,eval/knn_val_acc,eval/svm_val_acc,eval/knn_train_acc,eval/svm_train_acc
1,8.90588092803955,6.124847499295372,0.0,10.0,0.6486781174920561,0.6486781174920561,0.6976391149345114,0.7437731237934554,0.6985176285848791
2,8.907332420349121,6.120995820704945,0.014285714285714284,20.0,0.652632382004185,0.656586646516314,0.7095956366736417,0.7299750792251575,0.693304534238222
3,8.904325485229492,6.108573182203534,0.028571428571428567,30.0,0.6672963651863908,0.6966243315508022,0.6987260714562504,0.7531426242405285,0.7236851388454454
4,8.886348724365234,6.077731760370463,0.04285714285714285,40.0,0.6887241985068072,0.7129616174533054,0.7272586801519026,0.7644978957545426,0.7129867015478526
5,8.850828170776367,6.028016045560457,0.057142857142857134,50.0,0.7213217533390167,0.7543793110129426,0.7650037781911183,0.7869085285131577,0.7685002906765498
6,8.787225723266602,5.9628052323075265,0.07142857142857142,60.0,0.74315356247901,0.762119758970782,0.7746197589707818,0.7804074605927905,0.7744586939144337
7,8.72513198852539,5.915311926985531,0.0857142857142857,70.0,0.7657198584308559,0.7806605053088429,0.8129761489576067,0.802813796393715,0.8122069222092682
8,8.692474365234375,5.900662282517299,0.09999999999999999,80.0,0.783484460978067,0.8076731186545764,0.8479447609083159,0.8195166001586083,0.8411961971924438
9,8.682208061218262,5.895005207334482,0.11428571428571427,90.0,0.7962534552688005,0.8004267418429823,0.813684317600558,0.8185824462959276,0.8214617081038726
10,8.677265167236328,5.894697430435459,0.12857142857142856,100.0,0.7889764008370146,0.7588293420134852,0.8044732814074247,0.7976635687497433,0.7842546674123153
11,8.670390129089355,5.889323737840305,0.14285714285714285,110.0,0.7623487108941073,0.7277900488258543,0.8124525304192822,0.7910471227760874,0.81681643617912
12,8.666050910949707,5.888546188534649,0.15714285714285714,120.0,0.7596873466118989,0.7924426489963573,0.7656228202743548,0.8116906079879179,0.8022689753335671
13,8.663862705230713,5.881804524509291,0.1714285714285714,130.0,0.7662848110258595,0.778621735255367,0.7878313182980702,0.8192240199934915,0.8094144368299827
14,8.656628131866455,5.879017905924514,0.18571428571428572,140.0,0.7670254333617504,0.7300119158335271,0.7908122142137488,0.7711029832260673,0.7984980000189572
15,8.652313232421875,5.877899278387867,0.19999999999999998,150.0,0.7601622038802346,0.7718529605518096,0.8082660040300705,0.8055514244730698,0.8057033187679106
16,8.6544508934021,5.876640930126197,0.21428571428571427,160.0,0.7542509493916144,0.7608879717895064,0.7783616213283732,0.7979403433774719,0.8173183824481915
17,8.649139881134033,5.8737365525971255,0.22857142857142854,170.0,0.7589709434498437,0.7441718980082151,0.8042887313027979,0.7965260123916678,0.8124211144918058
18,8.650166988372803,5.871072374968636,0.24285714285714285,180.0,0.7663639269937225,0.7940319111834458,0.7933188987057274,0.7938130128308422,0.8174587286692385
19,8.653396606445312,5.869310966810692,0.2571428571428571,190.0,0.7799854362034669,0.8017524994187398,0.8288852398666977,0.811375595176033,0.812585899659719
20,8.64963436126709,5.867312973045601,0.2714285714285714,200.0,0.8004415962696014,0.8055403782066186,0.7949590211578702,0.8084613889915735,0.7989261950123696
21,8.64370059967041,5.860865689233023,0.2857142857142857,210.0,0.7998185176573923,0.7921626753468186,0.8022252576920095,0.8156535325099604,0.8161715686739147
22,8.64542818069458,5.85805864722518,0.3,220.0,0.8051693404634581,0.817804967836937,0.799529179260637,0.8165887843085216,0.8082819910079843
