Parameter Sets,Stats,Variance Ratio,LSTM Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.617314193419229, 'rho': 220.1176782932741, 'd': 0.7298677221707414, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999848839, 'rho': 1179.1338138103852, 'd': 0.78276361586175, 'label': 1}]","({'Stressed Mean': 10.141908396946565, 'Stressed Variance': 119.34024368626538, 'Stressed Steady State Time': 13.701112812960721}, {'Normal Mean': 10.054772727272727, 'Normal Variance': 1182.6431363119834, 'Normal Steady State Time': 12.775248871258444})",0.1,0.975
"[{'sigma_u': 18.0, 'sigma_b': 0.617314193419229, 'rho': 220.1176782932741, 'd': 0.7298677221707414, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999848839, 'rho': 1179.1338138103852, 'd': 0.78276361586175, 'label': 1}]","({'Stressed Mean': 9.982366412213741, 'Stressed Variance': 120.2780096672688, 'Stressed Steady State Time': 13.701112812960721}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871258444})",0.1,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.617314193419229, 'rho': 220.1176782932741, 'd': 0.7298677221707414, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999848839, 'rho': 1179.1338138103852, 'd': 0.78276361586175, 'label': 1}]","({'Stressed Mean': 9.982366412213741, 'Stressed Variance': 120.2780096672688, 'Stressed Steady State Time': 13.701112812960721}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871258444})",0.1,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.617314193419229, 'rho': 220.1176782932741, 'd': 0.7298677221707414, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999848839, 'rho': 1179.1338138103852, 'd': 0.78276361586175, 'label': 1}]","({'Stressed Mean': 9.982366412213741, 'Stressed Variance': 120.2780096672688, 'Stressed Steady State Time': 13.701112812960721}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871258444})",0.1,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.617314193419229, 'rho': 220.1176782932741, 'd': 0.7298677221707414, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999848839, 'rho': 1179.1338138103852, 'd': 0.78276361586175, 'label': 1}]","({'Stressed Mean': 9.982366412213741, 'Stressed Variance': 120.2780096672688, 'Stressed Steady State Time': 13.701112812960721}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871258444})",0.1,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.617314193419229, 'rho': 220.1176782932741, 'd': 0.7298677221707414, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999848839, 'rho': 1179.1338138103852, 'd': 0.78276361586175, 'label': 1}]","({'Stressed Mean': 9.982366412213741, 'Stressed Variance': 120.2780096672688, 'Stressed Steady State Time': 13.701112812960721}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871258444})",0.1,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.617314193419229, 'rho': 220.1176782932741, 'd': 0.7298677221707414, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999848839, 'rho': 1179.1338138103852, 'd': 0.78276361586175, 'label': 1}]","({'Stressed Mean': 9.982366412213741, 'Stressed Variance': 120.2780096672688, 'Stressed Steady State Time': 13.701112812960721}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871258444})",0.1,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.617314193419229, 'rho': 220.1176782932741, 'd': 0.7298677221707414, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999848839, 'rho': 1179.1338138103852, 'd': 0.78276361586175, 'label': 1}]","({'Stressed Mean': 9.982366412213741, 'Stressed Variance': 120.2780096672688, 'Stressed Steady State Time': 13.701112812960721}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871258444})",0.1,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.617314193419229, 'rho': 220.1176782932741, 'd': 0.7298677221707414, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999848839, 'rho': 1179.1338138103852, 'd': 0.78276361586175, 'label': 1}]","({'Stressed Mean': 9.982366412213741, 'Stressed Variance': 120.2780096672688, 'Stressed Steady State Time': 13.701112812960721}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871258444})",0.1,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.617314193419229, 'rho': 220.1176782932741, 'd': 0.7298677221707414, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999848839, 'rho': 1179.1338138103852, 'd': 0.78276361586175, 'label': 1}]","({'Stressed Mean': 9.982366412213741, 'Stressed Variance': 120.2780096672688, 'Stressed Steady State Time': 13.701112812960721}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871258444})",0.1,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723437, 'rho': 242.62791872472204, 'd': 0.7303082000929949, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.990114503816795, 'Stressed Variance': 132.93161983421712, 'Stressed Steady State Time': 13.69284912688456}, {'Normal Mean': 9.877007575757576, 'Normal Variance': 1167.7739258938818, 'Normal Steady State Time': 12.775248871259329})",0.11,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723437, 'rho': 242.62791872472204, 'd': 0.7303082000929949, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.991450381679389, 'Stressed Variance': 132.47801850708004, 'Stressed Steady State Time': 13.69284912688456}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.11,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723437, 'rho': 242.62791872472204, 'd': 0.7303082000929949, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.991450381679389, 'Stressed Variance': 132.47801850708004, 'Stressed Steady State Time': 13.69284912688456}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.11,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723437, 'rho': 242.62791872472204, 'd': 0.7303082000929949, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.991450381679389, 'Stressed Variance': 132.47801850708004, 'Stressed Steady State Time': 13.69284912688456}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.11,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723437, 'rho': 242.62791872472204, 'd': 0.7303082000929949, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.991450381679389, 'Stressed Variance': 132.47801850708004, 'Stressed Steady State Time': 13.69284912688456}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.11,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723437, 'rho': 242.62791872472204, 'd': 0.7303082000929949, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.991450381679389, 'Stressed Variance': 132.47801850708004, 'Stressed Steady State Time': 13.69284912688456}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.11,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723437, 'rho': 242.62791872472204, 'd': 0.7303082000929949, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.991450381679389, 'Stressed Variance': 132.47801850708004, 'Stressed Steady State Time': 13.69284912688456}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.11,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723437, 'rho': 242.62791872472204, 'd': 0.7303082000929949, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.991450381679389, 'Stressed Variance': 132.47801850708004, 'Stressed Steady State Time': 13.69284912688456}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.11,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723437, 'rho': 242.62791872472204, 'd': 0.7303082000929949, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.991450381679389, 'Stressed Variance': 132.47801850708004, 'Stressed Steady State Time': 13.69284912688456}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.11,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723437, 'rho': 242.62791872472204, 'd': 0.7303082000929949, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.991450381679389, 'Stressed Variance': 132.47801850708004, 'Stressed Steady State Time': 13.69284912688456}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.11,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024454249, 'rho': 265.1334098646233, 'd': 0.7306768380656191, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.293473282442749, 'Stressed Variance': 148.6303238141717, 'Stressed Steady State Time': 13.685940868844046}, {'Normal Mean': 9.877007575757576, 'Normal Variance': 1167.7739258938818, 'Normal Steady State Time': 12.775248871259329})",0.12,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024454249, 'rho': 265.1334098646233, 'd': 0.7306768380656191, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.159083969465648, 'Stressed Variance': 148.04278389371248, 'Stressed Steady State Time': 13.685940868844046}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.12,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024454249, 'rho': 265.1334098646233, 'd': 0.7306768380656191, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.159083969465648, 'Stressed Variance': 148.04278389371248, 'Stressed Steady State Time': 13.685940868844046}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.12,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024454249, 'rho': 265.1334098646233, 'd': 0.7306768380656191, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.159083969465648, 'Stressed Variance': 148.04278389371248, 'Stressed Steady State Time': 13.685940868844046}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.12,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024454249, 'rho': 265.1334098646233, 'd': 0.7306768380656191, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.159083969465648, 'Stressed Variance': 148.04278389371248, 'Stressed Steady State Time': 13.685940868844046}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.12,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024454249, 'rho': 265.1334098646233, 'd': 0.7306768380656191, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.159083969465648, 'Stressed Variance': 148.04278389371248, 'Stressed Steady State Time': 13.685940868844046}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.12,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024454249, 'rho': 265.1334098646233, 'd': 0.7306768380656191, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.159083969465648, 'Stressed Variance': 148.04278389371248, 'Stressed Steady State Time': 13.685940868844046}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.12,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024454249, 'rho': 265.1334098646233, 'd': 0.7306768380656191, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.159083969465648, 'Stressed Variance': 148.04278389371248, 'Stressed Steady State Time': 13.685940868844046}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.12,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024454249, 'rho': 265.1334098646233, 'd': 0.7306768380656191, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.159083969465648, 'Stressed Variance': 148.04278389371248, 'Stressed Steady State Time': 13.685940868844046}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.12,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024454249, 'rho': 265.1334098646233, 'd': 0.7306768380656191, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.159083969465648, 'Stressed Variance': 148.04278389371248, 'Stressed Steady State Time': 13.685940868844046}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.12,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.257442748091602, 'Stressed Variance': 162.0497919337451, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 9.877007575757576, 'Normal Variance': 1167.7739258938818, 'Normal Steady State Time': 12.775248871259329})",0.13,0.975
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.126221374045802, 'Stressed Variance': 157.06616740137522, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.13,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.126221374045802, 'Stressed Variance': 157.06616740137522, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.13,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.126221374045802, 'Stressed Variance': 157.06616740137522, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.13,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.126221374045802, 'Stressed Variance': 157.06616740137522, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.13,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.126221374045802, 'Stressed Variance': 157.06616740137522, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.13,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.126221374045802, 'Stressed Variance': 157.06616740137522, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.13,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.126221374045802, 'Stressed Variance': 157.06616740137522, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.13,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.126221374045802, 'Stressed Variance': 157.06616740137522, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.13,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.126221374045802, 'Stressed Variance': 157.06616740137522, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.13,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.43466717713082365, 'rho': 310.13422429167673, 'd': 0.7312590268608359, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.00179389312977, 'Stressed Variance': 171.99881357584053, 'Stressed Steady State Time': 13.675044864646951}, {'Normal Mean': 9.877007575757576, 'Normal Variance': 1167.7739258938818, 'Normal Steady State Time': 12.775248871259329})",0.13999999999999999,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.43466717713082365, 'rho': 310.13422429167673, 'd': 0.7312590268608359, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.077404580152672, 'Stressed Variance': 174.47049708058972, 'Stressed Steady State Time': 13.675044864646951}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.13999999999999999,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.43466717713082365, 'rho': 310.13422429167673, 'd': 0.7312590268608359, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.077404580152672, 'Stressed Variance': 174.47049708058972, 'Stressed Steady State Time': 13.675044864646951}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.13999999999999999,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.43466717713082365, 'rho': 310.13422429167673, 'd': 0.7312590268608359, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.077404580152672, 'Stressed Variance': 174.47049708058972, 'Stressed Steady State Time': 13.675044864646951}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.13999999999999999,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.43466717713082365, 'rho': 310.13422429167673, 'd': 0.7312590268608359, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.077404580152672, 'Stressed Variance': 174.47049708058972, 'Stressed Steady State Time': 13.675044864646951}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.13999999999999999,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.43466717713082365, 'rho': 310.13422429167673, 'd': 0.7312590268608359, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.077404580152672, 'Stressed Variance': 174.47049708058972, 'Stressed Steady State Time': 13.675044864646951}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.13999999999999999,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.43466717713082365, 'rho': 310.13422429167673, 'd': 0.7312590268608359, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.077404580152672, 'Stressed Variance': 174.47049708058972, 'Stressed Steady State Time': 13.675044864646951}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.13999999999999999,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.43466717713082365, 'rho': 310.13422429167673, 'd': 0.7312590268608359, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.077404580152672, 'Stressed Variance': 174.47049708058972, 'Stressed Steady State Time': 13.675044864646951}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.13999999999999999,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.43466717713082365, 'rho': 310.13422429167673, 'd': 0.7312590268608359, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.077404580152672, 'Stressed Variance': 174.47049708058972, 'Stressed Steady State Time': 13.675044864646951}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.13999999999999999,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.43466717713082365, 'rho': 310.13422429167673, 'd': 0.7312590268608359, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.077404580152672, 'Stressed Variance': 174.47049708058972, 'Stressed Steady State Time': 13.675044864646951}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.13999999999999999,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.4047410245672647, 'rho': 332.63090567625727, 'd': 0.7314928984034321, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.868053435114504, 'Stressed Variance': 178.99094888264085, 'Stressed Steady State Time': 13.670672704856269}, {'Normal Mean': 9.877007575757576, 'Normal Variance': 1167.7739258938818, 'Normal Steady State Time': 12.775248871259329})",0.14999999999999997,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.4047410245672647, 'rho': 332.63090567625727, 'd': 0.7314928984034321, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.004809160305344, 'Stressed Variance': 180.75890816968712, 'Stressed Steady State Time': 13.670672704856269}, {'Normal Mean': 9.986401515151515, 'Normal Variance': 1180.0387165963614, 'Normal Steady State Time': 12.775248871259329})",0.14999999999999997,1.0
