sigma_u,sigma_b,rho,d,fano_m,expected_fano_m_approx,expected_fano_m_exact
0.027825594022071243,0.0001,1.0,1.0,1.3138894736843043,36.938136638046274,1.969349397833726
0.027825594022071243,0.0001,1.0,0.03162277660168379,17.07749141631043,36.938136638046274,17.732935681462262
0.027825594022071243,0.0002782559402207126,1.0,0.31622776601683794,4.302197814206486,36.938136638046274,3.875422888733518
0.027825594022071243,0.000774263682681127,1.0,1.0,1.9190351916376005,36.938136638046274,1.945875795413356
0.027825594022071243,0.0001,1.0,0.01,32.67838037990238,36.938136638046274,27.272997991891497
0.027825594022071243,0.0001,1.0,0.31622776601683794,4.108979569892586,36.938136638046274,3.895276267157517
0.027825594022071243,0.0001,1.0,0.1,9.358026484016943,36.938136638046274,8.789051621767381
0.027825594022071243,0.0002782559402207126,1.0,1.0,1.9413454545458415,36.938136638046274,1.9630340455755555
0.027825594022071243,0.0002782559402207126,1.0,0.1,8.457153821310833,36.938136638046274,8.72887786114493
0.027825594022071243,0.000774263682681127,1.0,0.31622776601683794,3.8548435643560692,36.938136638046274,3.821490047891516
0.027825594022071243,0.0002782559402207126,1.0,0.03162277660168379,18.27996605166075,36.938136638046274,17.577179507040345
0.027825594022071243,0.000774263682681127,1.0,0.01,26.246104089101845,36.938136638046274,26.205473968593463
0.027825594022071243,0.0002782559402207126,2.154434690031884,0.03162277660168379,36.31155694225676,78.42636826811272,36.71445059285336
0.027825594022071243,0.0001,2.154434690031884,0.1,17.3407416547788,78.42636826811272,17.78100301638475
0.027825594022071243,0.0001,2.154434690031884,0.01,66.74061602438795,78.42636826811272,57.60345828486906
0.027825594022071243,0.0001,2.154434690031884,0.31622776601683794,6.988523809523267,78.42636826811272,7.237683627190175
0.027825594022071243,0.0002782559402207126,1.0,0.01,27.518283568830025,36.938136638046274,26.984224976762306
0.027825594022071243,0.0002782559402207126,2.154434690031884,0.01,51.30678608433197,78.42636826811272,56.98131568352964
0.027825594022071243,0.000774263682681127,1.0,0.1,8.538679357023199,36.938136638046274,8.565542652482991
0.027825594022071243,0.0002782559402207126,2.154434690031884,1.0,3.3265204081637227,78.42636826811272,3.074793955469723
0.027825594022071243,0.0002782559402207126,2.154434690031884,0.1,16.169679523291197,78.42636826811272,17.651362579070067
0.027825594022071243,0.0001,2.154434690031884,1.0,2.9667835443036314,78.42636826811272,3.0883999694544966
0.027825594022071243,0.000774263682681127,1.0,0.03162277660168379,16.650325608342385,36.938136638046274,17.155515609262682
0.027825594022071243,0.0001,4.641588833612778,1.0,4.710190196078943,167.81005372000587,5.499321340854293
0.027825594022071243,0.000774263682681127,2.154434690031884,0.01,53.48490588151655,78.42636826811272,55.30354749663337
0.027825594022071243,0.0002782559402207126,4.641588833612778,1.0,5.27921300236459,167.81005372000587,5.470008072332438
0.027825594022071243,0.0002782559402207126,2.154434690031884,0.31622776601683794,7.105583164983453,78.42636826811272,7.194910819999181
0.027825594022071243,0.0001,2.154434690031884,0.03162277660168379,40.03220119760772,78.42636826811272,37.050017098214596
0.027825594022071243,0.0001,4.641588833612778,0.1,36.23081974448071,167.81005372000587,37.15357503202898
0.027825594022071243,0.0001,4.641588833612778,0.31622776601683794,14.990754968288485,167.81005372000587,14.438681991862419
0.027825594022071243,0.000774263682681127,2.154434690031884,0.31622776601683794,6.860779155387131,78.42636826811272,7.0787160367572035
0.027825594022071243,0.0001,4.641588833612778,0.01,101.89051802402066,167.81005372000587,122.94845410469453
0.01,0.000774263682681127,1.0,0.03162277660168379,22.965354108200973,101.0,22.891567540209337
0.027825594022071243,0.000774263682681127,2.154434690031884,0.03162277660168379,33.55749634215425,78.42636826811272,35.806003263947105
0.027825594022071243,0.000774263682681127,2.154434690031884,0.1,17.356578205739392,78.42636826811272,17.29946753942519
0.027825594022071243,0.000774263682681127,2.154434690031884,1.0,3.015446913580302,78.42636826811272,3.0378276261000354
0.027825594022071243,0.0001,4.641588833612778,0.03162277660168379,86.00078909344354,167.81005372000587,78.66740741263607
0.027825594022071243,0.0002782559402207126,4.641588833612778,0.31622776601683794,14.424155555553849,167.81005372000587,14.346530772260095
0.01,0.0002782559402207126,2.154434690031884,0.31622776601683794,7.517068123392149,216.44346900318837,7.419817906173214
0.027825594022071243,0.0002782559402207126,4.641588833612778,0.03162277660168379,79.61596040819722,167.81005372000587,77.94445129267305
0.027825594022071243,0.0002782559402207126,4.641588833612778,0.1,38.036252371629466,167.81005372000587,36.87427317664732
0.01,0.0001,1.0,0.03162277660168379,24.587697431783834,101.0,24.73041994192287
0.027825594022071243,0.0002782559402207126,4.641588833612778,0.01,119.93561017776551,167.81005372000587,121.60808850222219
0.01,0.0002782559402207126,1.0,0.1,9.68119463087181,101.0,9.822480009984464
0.027825594022071243,0.000774263682681127,4.641588833612778,1.0,5.462866875982015,167.81005372000587,5.390366529975238
0.027825594022071243,0.000774263682681127,4.641588833612778,0.31622776601683794,14.182998476603636,167.81005372000587,14.096196700442844
0.027825594022071243,0.000774263682681127,4.641588833612778,0.01,112.7563679568548,167.81005372000587,117.99344651854098
0.027825594022071243,0.0001,10.0,0.03162277660168379,184.17595387140182,360.3813663804628,168.32935681462263
0.027825594022071243,0.0002782559402207126,10.0,0.03162277660168379,180.61984120602335,360.3813663804628,166.77179507040344
0.01,0.0001,1.0,0.01,49.72684215528422,101.0,50.25865720900448
0.027825594022071243,0.0001,10.0,0.31622776601683794,32.3836194174697,360.3813663804628,29.95276267157517
0.027825594022071243,0.000774263682681127,4.641588833612778,0.1,35.86972523961066,167.81005372000587,36.116138295986254
