Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,LSTM Conv1D Attention Accuracy,LSTM Conv1D Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024454249, 'rho': 265.1334098646233, 'd': 0.7306768380656191, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.146477272727273, 'Stressed Variance': 145.77085501463498, 'Stressed Steady State Time': 13.685940868844046}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.12,1.0,0.6125,1.0,0.6125,0.85,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024454249, 'rho': 265.1334098646233, 'd': 0.7306768380656191, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.146477272727273, 'Stressed Variance': 145.77085501463498, 'Stressed Steady State Time': 13.685940868844046}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.12,1.0,0.6125,1.0,0.6125,0.85,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024454249, 'rho': 265.1334098646233, 'd': 0.7306768380656191, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.146477272727273, 'Stressed Variance': 145.77085501463498, 'Stressed Steady State Time': 13.685940868844046}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.12,1.0,0.6125,1.0,0.6125,0.85,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024454249, 'rho': 265.1334098646233, 'd': 0.7306768380656191, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.146477272727273, 'Stressed Variance': 145.77085501463498, 'Stressed Steady State Time': 13.685940868844046}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.12,1.0,0.6125,1.0,0.6125,0.85,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024454249, 'rho': 265.1334098646233, 'd': 0.7306768380656191, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.146477272727273, 'Stressed Variance': 145.77085501463498, 'Stressed Steady State Time': 13.685940868844046}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.12,1.0,0.6125,1.0,0.6125,0.85,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.5101173024454249, 'rho': 265.1334098646233, 'd': 0.7306768380656191, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.146477272727273, 'Stressed Variance': 145.77085501463498, 'Stressed Steady State Time': 13.685940868844046}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.12,1.0,0.6125,1.0,0.6125,0.85,0.45,1.0,1.0
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.099242424242425, 'Stressed Variance': 158.83810548668504, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259329})",0.13,1.0,0.7125,1.0,0.6875,0.8125,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.069242424242423, 'Stressed Variance': 158.90414488062441, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.13,1.0,0.575,0.9875,0.575,0.9,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.069242424242423, 'Stressed Variance': 158.90414488062441, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.13,1.0,0.575,0.9875,0.575,0.9,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.069242424242423, 'Stressed Variance': 158.90414488062441, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.13,1.0,0.575,0.9875,0.575,0.9,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.069242424242423, 'Stressed Variance': 158.90414488062441, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.13,1.0,0.575,0.9875,0.575,0.9,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.069242424242423, 'Stressed Variance': 158.90414488062441, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.13,1.0,0.575,0.9875,0.575,0.9,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.069242424242423, 'Stressed Variance': 158.90414488062441, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.13,1.0,0.575,0.9875,0.575,0.9,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.069242424242423, 'Stressed Variance': 158.90414488062441, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.13,1.0,0.575,0.9875,0.575,0.9,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.4693766659898038, 'rho': 287.6352504443378, 'd': 0.7309898829629575, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 10.069242424242423, 'Stressed Variance': 158.90414488062441, 'Stressed Steady State Time': 13.680079893125885}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.13,1.0,0.575,0.9875,0.575,0.9,0.45,1.0,0.9875
