Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,LSTM Conv1D Attention Accuracy,LSTM Conv1D Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.23974081229021155, 'rho': 557.5321969399613, 'd': 0.7328131641422706, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.83246212121212, 'Stressed Variance': 295.03272651371674, 'Stressed Steady State Time': 13.646043069797487}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2499999999999999,0.925,0.525,1.0,0.5625,0.7125,0.45,0.9875,0.9125
"[{'sigma_u': 18.0, 'sigma_b': 0.23974081229021155, 'rho': 557.5321969399613, 'd': 0.7328131641422706, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.83246212121212, 'Stressed Variance': 295.03272651371674, 'Stressed Steady State Time': 13.646043069797487}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2499999999999999,0.925,0.525,1.0,0.5625,0.7125,0.45,0.9875,0.9125
"[{'sigma_u': 18.0, 'sigma_b': 0.23974081229021155, 'rho': 557.5321969399613, 'd': 0.7328131641422706, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.83246212121212, 'Stressed Variance': 295.03272651371674, 'Stressed Steady State Time': 13.646043069797487}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2499999999999999,0.925,0.525,1.0,0.5625,0.7125,0.45,0.9875,0.9125
"[{'sigma_u': 18.0, 'sigma_b': 0.23974081229021155, 'rho': 557.5321969399613, 'd': 0.7328131641422706, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.83246212121212, 'Stressed Variance': 295.03272651371674, 'Stressed Steady State Time': 13.646043069797487}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2499999999999999,0.925,0.525,1.0,0.5625,0.7125,0.45,0.9875,0.9125
"[{'sigma_u': 18.0, 'sigma_b': 0.23035185192341567, 'rho': 580.0187992696857, 'd': 0.7328898841196717, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.846818181818183, 'Stressed Variance': 294.1933535123967, 'Stressed Steady State Time': 13.644614582191622}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259329})",0.2599999999999999,0.975,0.6,0.925,0.6,0.675,0.45,1.0,0.975
"[{'sigma_u': 18.0, 'sigma_b': 0.23035185192341567, 'rho': 580.0187992696857, 'd': 0.7328898841196717, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.583598484848485, 'Stressed Variance': 286.21937492969465, 'Stressed Steady State Time': 13.644614582191622}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2599999999999999,0.925,0.6375,0.9625,0.6375,0.6625,0.45,1.0,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.23035185192341567, 'rho': 580.0187992696857, 'd': 0.7328898841196717, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.583598484848485, 'Stressed Variance': 286.21937492969465, 'Stressed Steady State Time': 13.644614582191622}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2599999999999999,0.925,0.6375,0.9625,0.6375,0.6625,0.45,1.0,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.23035185192341567, 'rho': 580.0187992696857, 'd': 0.7328898841196717, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.583598484848485, 'Stressed Variance': 286.21937492969465, 'Stressed Steady State Time': 13.644614582191622}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2599999999999999,0.925,0.6375,0.9625,0.6375,0.6625,0.45,1.0,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.23035185192341567, 'rho': 580.0187992696857, 'd': 0.7328898841196717, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.583598484848485, 'Stressed Variance': 286.21937492969465, 'Stressed Steady State Time': 13.644614582191622}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2599999999999999,0.925,0.6375,0.9625,0.6375,0.6625,0.45,1.0,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.23035185192341567, 'rho': 580.0187992696857, 'd': 0.7328898841196717, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.583598484848485, 'Stressed Variance': 286.21937492969465, 'Stressed Steady State Time': 13.644614582191622}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2599999999999999,0.925,0.6375,0.9625,0.6375,0.6625,0.45,1.0,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.23035185192341567, 'rho': 580.0187992696857, 'd': 0.7328898841196717, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.583598484848485, 'Stressed Variance': 286.21937492969465, 'Stressed Steady State Time': 13.644614582191622}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2599999999999999,0.925,0.6375,0.9625,0.6375,0.6625,0.45,1.0,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.23035185192341567, 'rho': 580.0187992696857, 'd': 0.7328898841196717, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.583598484848485, 'Stressed Variance': 286.21937492969465, 'Stressed Steady State Time': 13.644614582191622}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2599999999999999,0.925,0.6375,0.9625,0.6375,0.6625,0.45,1.0,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.23035185192341567, 'rho': 580.0187992696857, 'd': 0.7328898841196717, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.583598484848485, 'Stressed Variance': 286.21937492969465, 'Stressed Steady State Time': 13.644614582191622}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2599999999999999,0.925,0.6375,0.9625,0.6375,0.6625,0.45,1.0,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.23035185192341567, 'rho': 580.0187992696857, 'd': 0.7328898841196717, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.583598484848485, 'Stressed Variance': 286.21937492969465, 'Stressed Steady State Time': 13.644614582191622}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2599999999999999,0.925,0.6375,0.9625,0.6375,0.6625,0.45,1.0,0.95
"[{'sigma_u': 18.0, 'sigma_b': 0.22167073368575824, 'rho': 602.5050454006135, 'd': 0.7329609749592875, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.885681818181817, 'Stressed Variance': 309.27427983815426, 'Stressed Steady State Time': 13.64329117325169}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259329})",0.2699999999999999,0.9375,0.575,0.9375,0.6,0.7125,0.45,0.9875,0.85
"[{'sigma_u': 18.0, 'sigma_b': 0.22167073368575824, 'rho': 602.5050454006135, 'd': 0.7329609749592875, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.892651515151515, 'Stressed Variance': 309.79544599977044, 'Stressed Steady State Time': 13.64329117325169}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2699999999999999,0.95,0.6125,0.9,0.5875,0.8125,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.22167073368575824, 'rho': 602.5050454006135, 'd': 0.7329609749592875, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.892651515151515, 'Stressed Variance': 309.79544599977044, 'Stressed Steady State Time': 13.64329117325169}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2699999999999999,0.95,0.6125,0.9,0.5875,0.8125,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.22167073368575824, 'rho': 602.5050454006135, 'd': 0.7329609749592875, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.892651515151515, 'Stressed Variance': 309.79544599977044, 'Stressed Steady State Time': 13.64329117325169}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2699999999999999,0.95,0.6125,0.9,0.5875,0.8125,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.22167073368575824, 'rho': 602.5050454006135, 'd': 0.7329609749592875, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.892651515151515, 'Stressed Variance': 309.79544599977044, 'Stressed Steady State Time': 13.64329117325169}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2699999999999999,0.95,0.6125,0.9,0.5875,0.8125,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.22167073368575824, 'rho': 602.5050454006135, 'd': 0.7329609749592875, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.892651515151515, 'Stressed Variance': 309.79544599977044, 'Stressed Steady State Time': 13.64329117325169}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2699999999999999,0.95,0.6125,0.9,0.5875,0.8125,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.22167073368575824, 'rho': 602.5050454006135, 'd': 0.7329609749592875, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.892651515151515, 'Stressed Variance': 309.79544599977044, 'Stressed Steady State Time': 13.64329117325169}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2699999999999999,0.95,0.6125,0.9,0.5875,0.8125,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.22167073368575824, 'rho': 602.5050454006135, 'd': 0.7329609749592875, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.892651515151515, 'Stressed Variance': 309.79544599977044, 'Stressed Steady State Time': 13.64329117325169}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2699999999999999,0.95,0.6125,0.9,0.5875,0.8125,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.22167073368575824, 'rho': 602.5050454006135, 'd': 0.7329609749592875, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.892651515151515, 'Stressed Variance': 309.79544599977044, 'Stressed Steady State Time': 13.64329117325169}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2699999999999999,0.95,0.6125,0.9,0.5875,0.8125,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.22167073368575824, 'rho': 602.5050454006135, 'd': 0.7329609749592875, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.892651515151515, 'Stressed Variance': 309.79544599977044, 'Stressed Steady State Time': 13.64329117325169}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2699999999999999,0.95,0.6125,0.9,0.5875,0.8125,0.45,1.0,0.9875
"[{'sigma_u': 18.0, 'sigma_b': 0.21362030235665747, 'rho': 624.9909735162511, 'd': 0.733027034254289, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.717803030303031, 'Stressed Variance': 317.22051638544536, 'Stressed Steady State Time': 13.642061660349317}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259329})",0.2799999999999999,0.9375,0.55,0.925,0.525,0.7,0.45,0.9875,0.975
"[{'sigma_u': 18.0, 'sigma_b': 0.21362030235665747, 'rho': 624.9909735162511, 'd': 0.733027034254289, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.706022727272726, 'Stressed Variance': 322.79581221160464, 'Stressed Steady State Time': 13.642061660349317}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2799999999999999,0.925,0.55,0.9375,0.5625,0.6625,0.45,1.0,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.21362030235665747, 'rho': 624.9909735162511, 'd': 0.733027034254289, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.706022727272726, 'Stressed Variance': 322.79581221160464, 'Stressed Steady State Time': 13.642061660349317}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2799999999999999,0.925,0.55,0.9375,0.5625,0.6625,0.45,1.0,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.21362030235665747, 'rho': 624.9909735162511, 'd': 0.733027034254289, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.706022727272726, 'Stressed Variance': 322.79581221160464, 'Stressed Steady State Time': 13.642061660349317}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2799999999999999,0.925,0.55,0.9375,0.5625,0.6625,0.45,1.0,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.21362030235665747, 'rho': 624.9909735162511, 'd': 0.733027034254289, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.706022727272726, 'Stressed Variance': 322.79581221160464, 'Stressed Steady State Time': 13.642061660349317}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2799999999999999,0.925,0.55,0.9375,0.5625,0.6625,0.45,1.0,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.21362030235665747, 'rho': 624.9909735162511, 'd': 0.733027034254289, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.706022727272726, 'Stressed Variance': 322.79581221160464, 'Stressed Steady State Time': 13.642061660349317}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2799999999999999,0.925,0.55,0.9375,0.5625,0.6625,0.45,1.0,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.21362030235665747, 'rho': 624.9909735162511, 'd': 0.733027034254289, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.706022727272726, 'Stressed Variance': 322.79581221160464, 'Stressed Steady State Time': 13.642061660349317}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2799999999999999,0.925,0.55,0.9375,0.5625,0.6625,0.45,1.0,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.21362030235665747, 'rho': 624.9909735162511, 'd': 0.733027034254289, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.706022727272726, 'Stressed Variance': 322.79581221160464, 'Stressed Steady State Time': 13.642061660349317}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2799999999999999,0.925,0.55,0.9375,0.5625,0.6625,0.45,1.0,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.21362030235665747, 'rho': 624.9909735162511, 'd': 0.733027034254289, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.706022727272726, 'Stressed Variance': 322.79581221160464, 'Stressed Steady State Time': 13.642061660349317}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2799999999999999,0.925,0.55,0.9375,0.5625,0.6625,0.45,1.0,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.21362030235665747, 'rho': 624.9909735162511, 'd': 0.733027034254289, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.706022727272726, 'Stressed Variance': 322.79581221160464, 'Stressed Steady State Time': 13.642061660349317}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2799999999999999,0.925,0.55,0.9375,0.5625,0.6625,0.45,1.0,0.925
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422488985136, 'rho': 647.4766165082756, 'd': 0.7330885779025682, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.375113636363636, 'Stressed Variance': 309.51538824466246, 'Stressed Steady State Time': 13.640916393228894}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259329})",0.2899999999999999,0.925,0.55,0.925,0.55,0.65,0.45,0.9625,0.9125
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422488985136, 'rho': 647.4766165082756, 'd': 0.7330885779025682, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.386628787878788, 'Stressed Variance': 309.92638939250463, 'Stressed Steady State Time': 13.640916393228894}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2899999999999999,0.9625,0.5375,0.9375,0.5625,0.675,0.45,0.9875,0.9125
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422488985136, 'rho': 647.4766165082756, 'd': 0.7330885779025682, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.386628787878788, 'Stressed Variance': 309.92638939250463, 'Stressed Steady State Time': 13.640916393228894}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2899999999999999,0.9625,0.5375,0.9375,0.5625,0.675,0.45,0.9875,0.9125
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422488985136, 'rho': 647.4766165082756, 'd': 0.7330885779025682, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.386628787878788, 'Stressed Variance': 309.92638939250463, 'Stressed Steady State Time': 13.640916393228894}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2899999999999999,0.9625,0.5375,0.9375,0.5625,0.675,0.45,0.9875,0.9125
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422488985136, 'rho': 647.4766165082756, 'd': 0.7330885779025682, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.386628787878788, 'Stressed Variance': 309.92638939250463, 'Stressed Steady State Time': 13.640916393228894}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2899999999999999,0.9625,0.5375,0.9375,0.5625,0.675,0.45,0.9875,0.9125
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422488985136, 'rho': 647.4766165082756, 'd': 0.7330885779025682, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.386628787878788, 'Stressed Variance': 309.92638939250463, 'Stressed Steady State Time': 13.640916393228894}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2899999999999999,0.9625,0.5375,0.9375,0.5625,0.675,0.45,0.9875,0.9125
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422488985136, 'rho': 647.4766165082756, 'd': 0.7330885779025682, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.386628787878788, 'Stressed Variance': 309.92638939250463, 'Stressed Steady State Time': 13.640916393228894}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2899999999999999,0.9625,0.5375,0.9375,0.5625,0.675,0.45,0.9875,0.9125
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422488985136, 'rho': 647.4766165082756, 'd': 0.7330885779025682, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.386628787878788, 'Stressed Variance': 309.92638939250463, 'Stressed Steady State Time': 13.640916393228894}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2899999999999999,0.9625,0.5375,0.9375,0.5625,0.675,0.45,0.9875,0.9125
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422488985136, 'rho': 647.4766165082756, 'd': 0.7330885779025682, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.386628787878788, 'Stressed Variance': 309.92638939250463, 'Stressed Steady State Time': 13.640916393228894}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2899999999999999,0.9625,0.5375,0.9375,0.5625,0.675,0.45,0.9875,0.9125
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422488985136, 'rho': 647.4766165082756, 'd': 0.7330885779025682, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.386628787878788, 'Stressed Variance': 309.92638939250463, 'Stressed Steady State Time': 13.640916393228894}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2899999999999999,0.9625,0.5375,0.9375,0.5625,0.675,0.45,0.9875,0.9125
"[{'sigma_u': 18.0, 'sigma_b': 0.19915515692620797, 'rho': 669.9620029059695, 'd': 0.7331460536087037, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.759053030303031, 'Stressed Variance': 341.9102400123393, 'Stressed Steady State Time': 13.63984700016843}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259329})",0.2999999999999999,0.9,0.4875,0.9375,0.4875,0.6375,0.45,0.9625,0.7625
"[{'sigma_u': 18.0, 'sigma_b': 0.19915515692620797, 'rho': 669.9620029059695, 'd': 0.7331460536087037, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999834102, 'rho': 1179.133813796912, 'd': 0.7827636158616957, 'label': 1}]","({'Stressed Mean': 9.76621212121212, 'Stressed Variance': 340.71208565197435, 'Stressed Steady State Time': 13.63984700016843}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259329})",0.2999999999999999,0.8875,0.6625,0.9125,0.625,0.65,0.45,0.9875,0.9625
