Parameter Sets,Stats,Mean Ratio,Normal Mean,Stress Mean,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY001A Accuracy,IY006C-Transformer Accuracy,Vanilla Transformer Accuracy,Full Transformer Accuracy
"[{'sigma_u': 0.8281432397587164, 'sigma_b': 0.17185676024128357, 'rho': 118.45788220403487, 'd': 0.2576935172231525, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 75.71364485981309, 'Stressed Variance': 6021.305851200979, 'Stressed Steady State Time': 38.80578800645727, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7899999999999996,100,78.99999999999996,0.75,0.5625,0.7,0.475,0.6,0.45,0.65,0.7375,0.875,0.6375,0.8125
"[{'sigma_u': 0.8281613064155239, 'sigma_b': 0.17183869358447607, 'rho': 119.97498509395858, 'd': 0.25770430876703554, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 79.83523364485981, 'Stressed Variance': 6445.514160459429, 'Stressed Steady State Time': 38.80416298758897, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7999999999999996,100,79.99999999999996,0.7125,0.4875,0.5375,0.4375,0.575,0.45,0.5625,0.7,0.7875,0.5375,0.8
"[{'sigma_u': 0.8281613064155239, 'sigma_b': 0.17183869358447607, 'rho': 119.97498509395858, 'd': 0.25770430876703554, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 79.83523364485981, 'Stressed Variance': 6445.514160459429, 'Stressed Steady State Time': 38.80416298758897, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7999999999999996,100,79.99999999999996,0.7125,0.4875,0.5375,0.4375,0.575,0.45,0.5625,0.7,0.7875,0.5375,0.8125
"[{'sigma_u': 0.8281613064155239, 'sigma_b': 0.17183869358447607, 'rho': 119.97498509395858, 'd': 0.25770430876703554, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 79.83523364485981, 'Stressed Variance': 6445.514160459429, 'Stressed Steady State Time': 38.80416298758897, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7999999999999996,100,79.99999999999996,0.7125,0.4875,0.5375,0.4375,0.575,0.45,0.5625,0.7,0.7875,0.5375,0.8
"[{'sigma_u': 0.8281613064155239, 'sigma_b': 0.17183869358447607, 'rho': 119.97498509395858, 'd': 0.25770430876703554, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 79.83523364485981, 'Stressed Variance': 6445.514160459429, 'Stressed Steady State Time': 38.80416298758897, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7999999999999996,100,79.99999999999996,0.7125,0.4875,0.5375,0.4375,0.575,0.45,0.5625,0.7,0.7875,0.5375,0.8125
"[{'sigma_u': 0.8281613064155239, 'sigma_b': 0.17183869358447607, 'rho': 119.97498509395858, 'd': 0.25770430876703554, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 79.83523364485981, 'Stressed Variance': 6445.514160459429, 'Stressed Steady State Time': 38.80416298758897, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7999999999999996,100,79.99999999999996,0.7125,0.4875,0.5375,0.4375,0.575,0.45,0.5625,0.7,0.7875,0.5375,0.8
"[{'sigma_u': 0.8281613064155239, 'sigma_b': 0.17183869358447607, 'rho': 119.97498509395858, 'd': 0.25770430876703554, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 79.83523364485981, 'Stressed Variance': 6445.514160459429, 'Stressed Steady State Time': 38.80416298758897, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7999999999999996,100,79.99999999999996,0.7125,0.4875,0.5375,0.4375,0.575,0.45,0.5625,0.7,0.7875,0.5375,0.8
"[{'sigma_u': 0.8281613064155239, 'sigma_b': 0.17183869358447607, 'rho': 119.97498509395858, 'd': 0.25770430876703554, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 79.83523364485981, 'Stressed Variance': 6445.514160459429, 'Stressed Steady State Time': 38.80416298758897, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7999999999999996,100,79.99999999999996,0.7125,0.4875,0.5375,0.4375,0.575,0.45,0.5625,0.7,0.7875,0.5375,0.8
"[{'sigma_u': 0.8281613064155239, 'sigma_b': 0.17183869358447607, 'rho': 119.97498509395858, 'd': 0.25770430876703554, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 79.83523364485981, 'Stressed Variance': 6445.514160459429, 'Stressed Steady State Time': 38.80416298758897, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7999999999999996,100,79.99999999999996,0.7125,0.4875,0.5375,0.4375,0.575,0.45,0.5625,0.7,0.7875,0.5375,0.8
"[{'sigma_u': 0.8281613064155239, 'sigma_b': 0.17183869358447607, 'rho': 119.97498509395858, 'd': 0.25770430876703554, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 79.83523364485981, 'Stressed Variance': 6445.514160459429, 'Stressed Steady State Time': 38.80416298758897, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7999999999999996,100,79.99999999999996,0.7125,0.4875,0.5375,0.4375,0.575,0.45,0.5625,0.7,0.7875,0.5375,0.8
"[{'sigma_u': 0.8281613064155239, 'sigma_b': 0.17183869358447607, 'rho': 119.97498509395858, 'd': 0.25770430876703554, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 79.83523364485981, 'Stressed Variance': 6445.514160459429, 'Stressed Steady State Time': 38.80416298758897, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.7999999999999996,100,79.99999999999996,0.7125,0.4875,0.5375,0.4375,0.575,0.45,0.5625,0.7,0.7875,0.5375,0.8
"[{'sigma_u': 0.8281789220312019, 'sigma_b': 0.1718210779687981, 'rho': 121.49208832808955, 'd': 0.25771483433596043, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 80.56429906542056, 'Stressed Variance': 6581.01997777972, 'Stressed Steady State Time': 38.80257815102669, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8099999999999996,100,80.99999999999996,0.7,0.45,0.6,0.45,0.5875,0.45,0.5375,0.5,0.825,0.5375,0.575
"[{'sigma_u': 0.8281789220312019, 'sigma_b': 0.1718210779687981, 'rho': 121.49208832808955, 'd': 0.25771483433596043, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 80.56429906542056, 'Stressed Variance': 6581.01997777972, 'Stressed Steady State Time': 38.80257815102669, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8099999999999996,100,80.99999999999996,0.7,0.45,0.6,0.45,0.5875,0.45,0.5375,0.5,0.825,0.5375,0.6875
"[{'sigma_u': 0.8281789220312019, 'sigma_b': 0.1718210779687981, 'rho': 121.49208832808955, 'd': 0.25771483433596043, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 80.56429906542056, 'Stressed Variance': 6581.01997777972, 'Stressed Steady State Time': 38.80257815102669, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8099999999999996,100,80.99999999999996,0.7,0.45,0.6,0.45,0.5875,0.45,0.5375,0.5,0.825,0.5375,0.575
"[{'sigma_u': 0.8281789220312019, 'sigma_b': 0.1718210779687981, 'rho': 121.49208832808955, 'd': 0.25771483433596043, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 80.56429906542056, 'Stressed Variance': 6581.01997777972, 'Stressed Steady State Time': 38.80257815102669, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8099999999999996,100,80.99999999999996,0.7,0.45,0.6,0.45,0.5875,0.45,0.5375,0.5,0.825,0.5375,0.575
"[{'sigma_u': 0.8281789220312019, 'sigma_b': 0.1718210779687981, 'rho': 121.49208832808955, 'd': 0.25771483433596043, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 80.56429906542056, 'Stressed Variance': 6581.01997777972, 'Stressed Steady State Time': 38.80257815102669, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8099999999999996,100,80.99999999999996,0.7,0.45,0.6,0.45,0.5875,0.45,0.5375,0.5,0.825,0.5375,0.575
"[{'sigma_u': 0.8281789220312019, 'sigma_b': 0.1718210779687981, 'rho': 121.49208832808955, 'd': 0.25771483433596043, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 80.56429906542056, 'Stressed Variance': 6581.01997777972, 'Stressed Steady State Time': 38.80257815102669, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8099999999999996,100,80.99999999999996,0.7,0.45,0.6,0.45,0.5875,0.45,0.5375,0.5,0.825,0.5375,0.575
"[{'sigma_u': 0.8281789220312019, 'sigma_b': 0.1718210779687981, 'rho': 121.49208832808955, 'd': 0.25771483433596043, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 80.56429906542056, 'Stressed Variance': 6581.01997777972, 'Stressed Steady State Time': 38.80257815102669, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8099999999999996,100,80.99999999999996,0.7,0.45,0.6,0.45,0.5875,0.45,0.5375,0.5,0.825,0.5375,0.575
"[{'sigma_u': 0.8281789220312019, 'sigma_b': 0.1718210779687981, 'rho': 121.49208832808955, 'd': 0.25771483433596043, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 80.56429906542056, 'Stressed Variance': 6581.01997777972, 'Stressed Steady State Time': 38.80257815102669, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8099999999999996,100,80.99999999999996,0.7,0.45,0.6,0.45,0.5875,0.45,0.5375,0.5,0.825,0.5375,0.575
"[{'sigma_u': 0.8281789220312019, 'sigma_b': 0.1718210779687981, 'rho': 121.49208832808955, 'd': 0.25771483433596043, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 80.56429906542056, 'Stressed Variance': 6581.01997777972, 'Stressed Steady State Time': 38.80257815102669, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8099999999999996,100,80.99999999999996,0.7,0.45,0.6,0.45,0.5875,0.45,0.5375,0.5,0.825,0.5375,0.7375
"[{'sigma_u': 0.8281789220312019, 'sigma_b': 0.1718210779687981, 'rho': 121.49208832808955, 'd': 0.25771483433596043, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 80.56429906542056, 'Stressed Variance': 6581.01997777972, 'Stressed Steady State Time': 38.80257815102669, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8099999999999996,100,80.99999999999996,0.7,0.45,0.6,0.45,0.5875,0.45,0.5375,0.5,0.825,0.5375,0.725
"[{'sigma_u': 0.8281961032880852, 'sigma_b': 0.17180389671191482, 'rho': 123.00919189385142, 'd': 0.2577251036432606, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 82.85542056074766, 'Stressed Variance': 6608.405451925932, 'Stressed Steady State Time': 38.801032024578625, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8199999999999996,100,81.99999999999996,0.6125,0.3375,0.475,0.35,0.575,0.45,0.475,0.5125,0.7,0.4625,0.7375
"[{'sigma_u': 0.8281961032880852, 'sigma_b': 0.17180389671191482, 'rho': 123.00919189385142, 'd': 0.2577251036432606, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 82.85542056074766, 'Stressed Variance': 6608.405451925932, 'Stressed Steady State Time': 38.801032024578625, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8199999999999996,100,81.99999999999996,0.6125,0.3375,0.475,0.35,0.575,0.45,0.475,0.5125,0.7,0.4625,0.7375
"[{'sigma_u': 0.8281961032880852, 'sigma_b': 0.17180389671191482, 'rho': 123.00919189385142, 'd': 0.2577251036432606, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 82.85542056074766, 'Stressed Variance': 6608.405451925932, 'Stressed Steady State Time': 38.801032024578625, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8199999999999996,100,81.99999999999996,0.6125,0.3375,0.475,0.35,0.575,0.45,0.475,0.5125,0.7,0.4625,0.7375
"[{'sigma_u': 0.8281961032880852, 'sigma_b': 0.17180389671191482, 'rho': 123.00919189385142, 'd': 0.2577251036432606, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 82.85542056074766, 'Stressed Variance': 6608.405451925932, 'Stressed Steady State Time': 38.801032024578625, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8199999999999996,100,81.99999999999996,0.6125,0.3375,0.475,0.35,0.575,0.45,0.475,0.5125,0.7,0.4625,0.7375
"[{'sigma_u': 0.8281961032880852, 'sigma_b': 0.17180389671191482, 'rho': 123.00919189385142, 'd': 0.2577251036432606, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 82.85542056074766, 'Stressed Variance': 6608.405451925932, 'Stressed Steady State Time': 38.801032024578625, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8199999999999996,100,81.99999999999996,0.6125,0.3375,0.475,0.35,0.575,0.45,0.475,0.5125,0.7,0.4625,0.7375
"[{'sigma_u': 0.8281961032880852, 'sigma_b': 0.17180389671191482, 'rho': 123.00919189385142, 'd': 0.2577251036432606, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 82.85542056074766, 'Stressed Variance': 6608.405451925932, 'Stressed Steady State Time': 38.801032024578625, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8199999999999996,100,81.99999999999996,0.6125,0.3375,0.475,0.35,0.575,0.45,0.475,0.5125,0.7,0.4625,0.7375
"[{'sigma_u': 0.8281961032880852, 'sigma_b': 0.17180389671191482, 'rho': 123.00919189385142, 'd': 0.2577251036432606, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 82.85542056074766, 'Stressed Variance': 6608.405451925932, 'Stressed Steady State Time': 38.801032024578625, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8199999999999996,100,81.99999999999996,0.6125,0.3375,0.475,0.35,0.575,0.45,0.475,0.5125,0.7,0.4625,0.7375
"[{'sigma_u': 0.8281961032880852, 'sigma_b': 0.17180389671191482, 'rho': 123.00919189385142, 'd': 0.2577251036432606, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 82.85542056074766, 'Stressed Variance': 6608.405451925932, 'Stressed Steady State Time': 38.801032024578625, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8199999999999996,100,81.99999999999996,0.6125,0.3375,0.475,0.35,0.575,0.45,0.475,0.5125,0.7,0.4625,0.7375
"[{'sigma_u': 0.8281961032880852, 'sigma_b': 0.17180389671191482, 'rho': 123.00919189385142, 'd': 0.2577251036432606, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 82.85542056074766, 'Stressed Variance': 6608.405451925932, 'Stressed Steady State Time': 38.801032024578625, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8199999999999996,100,81.99999999999996,0.6125,0.3375,0.475,0.35,0.575,0.45,0.475,0.5125,0.7,0.4625,0.7375
"[{'sigma_u': 0.8281961032880852, 'sigma_b': 0.17180389671191482, 'rho': 123.00919189385142, 'd': 0.2577251036432606, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 82.85542056074766, 'Stressed Variance': 6608.405451925932, 'Stressed Steady State Time': 38.801032024578625, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8199999999999996,100,81.99999999999996,0.6125,0.3375,0.475,0.35,0.575,0.45,0.475,0.5125,0.7,0.4625,0.7375
"[{'sigma_u': 0.8282128660558401, 'sigma_b': 0.1717871339441599, 'rho': 124.5262957792731, 'd': 0.2577351259349888, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 83.96995327102803, 'Stressed Variance': 7050.8511065398725, 'Stressed Steady State Time': 38.799523207102176, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8299999999999996,100,82.99999999999996,0.6125,0.525,0.475,0.5375,0.5125,0.45,0.575,0.5,0.6125,0.5125,0.7
"[{'sigma_u': 0.8282128660558401, 'sigma_b': 0.1717871339441599, 'rho': 124.5262957792731, 'd': 0.2577351259349888, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 83.96995327102803, 'Stressed Variance': 7050.8511065398725, 'Stressed Steady State Time': 38.799523207102176, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8299999999999996,100,82.99999999999996,0.6125,0.525,0.475,0.5375,0.5125,0.45,0.575,0.5,0.6125,0.5125,0.7
"[{'sigma_u': 0.8282128660558401, 'sigma_b': 0.1717871339441599, 'rho': 124.5262957792731, 'd': 0.2577351259349888, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 83.96995327102803, 'Stressed Variance': 7050.8511065398725, 'Stressed Steady State Time': 38.799523207102176, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8299999999999996,100,82.99999999999996,0.6125,0.525,0.475,0.5375,0.5125,0.45,0.575,0.5,0.6125,0.5125,0.7
"[{'sigma_u': 0.8282128660558401, 'sigma_b': 0.1717871339441599, 'rho': 124.5262957792731, 'd': 0.2577351259349888, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 83.96995327102803, 'Stressed Variance': 7050.8511065398725, 'Stressed Steady State Time': 38.799523207102176, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8299999999999996,100,82.99999999999996,0.6125,0.525,0.475,0.5375,0.5125,0.45,0.575,0.5,0.6125,0.5125,0.575
"[{'sigma_u': 0.8282128660558401, 'sigma_b': 0.1717871339441599, 'rho': 124.5262957792731, 'd': 0.2577351259349888, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 83.96995327102803, 'Stressed Variance': 7050.8511065398725, 'Stressed Steady State Time': 38.799523207102176, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8299999999999996,100,82.99999999999996,0.6125,0.525,0.475,0.5375,0.5125,0.45,0.575,0.5,0.6125,0.5125,0.7
"[{'sigma_u': 0.8282128660558401, 'sigma_b': 0.1717871339441599, 'rho': 124.5262957792731, 'd': 0.2577351259349888, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 83.96995327102803, 'Stressed Variance': 7050.8511065398725, 'Stressed Steady State Time': 38.799523207102176, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8299999999999996,100,82.99999999999996,0.6125,0.525,0.475,0.5375,0.5125,0.45,0.575,0.5,0.6125,0.5125,0.7
"[{'sigma_u': 0.8282128660558401, 'sigma_b': 0.1717871339441599, 'rho': 124.5262957792731, 'd': 0.2577351259349888, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 83.96995327102803, 'Stressed Variance': 7050.8511065398725, 'Stressed Steady State Time': 38.799523207102176, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8299999999999996,100,82.99999999999996,0.6125,0.525,0.475,0.5375,0.5125,0.45,0.575,0.5,0.6125,0.5125,0.7
"[{'sigma_u': 0.8282128660558401, 'sigma_b': 0.1717871339441599, 'rho': 124.5262957792731, 'd': 0.2577351259349888, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 83.96995327102803, 'Stressed Variance': 7050.8511065398725, 'Stressed Steady State Time': 38.799523207102176, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8299999999999996,100,82.99999999999996,0.6125,0.525,0.475,0.5375,0.5125,0.45,0.575,0.5,0.6125,0.5125,0.7
"[{'sigma_u': 0.8282128660558401, 'sigma_b': 0.1717871339441599, 'rho': 124.5262957792731, 'd': 0.2577351259349888, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 83.96995327102803, 'Stressed Variance': 7050.8511065398725, 'Stressed Steady State Time': 38.799523207102176, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8299999999999996,100,82.99999999999996,0.6125,0.525,0.475,0.5375,0.5125,0.45,0.575,0.5,0.6125,0.5125,0.7
"[{'sigma_u': 0.8282128660558401, 'sigma_b': 0.1717871339441599, 'rho': 124.5262957792731, 'd': 0.2577351259349888, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 83.96995327102803, 'Stressed Variance': 7050.8511065398725, 'Stressed Steady State Time': 38.799523207102176, 'Normal Mean': 99.41070093457944, 'Normal Variance': 9992.803707919906, 'Normal Steady State Time': 38.7784957354107}",0.8299999999999996,100,82.99999999999996,0.6125,0.525,0.475,0.5375,0.5125,0.45,0.575,0.5,0.6125,0.5125,0.7
