label,time_12.0,time_13.0,time_14.0,time_15.0,time_16.0,time_17.0,time_18.0,time_19.0,time_20.0,time_21.0,time_22.0,time_23.0,time_24.0,time_25.0,time_26.0,time_27.0,time_28.0,time_29.0,time_30.0,time_31.0,time_32.0,time_33.0,time_34.0,time_35.0,time_36.0,time_37.0,time_38.0,time_39.0,time_40.0,time_41.0,time_42.0,time_43.0,time_44.0,time_45.0,time_46.0,time_47.0,time_48.0,time_49.0,time_50.0,time_51.0,time_52.0,time_53.0,time_54.0,time_55.0,time_56.0,time_57.0,time_58.0,time_59.0,time_60.0,time_61.0,time_62.0,time_63.0,time_64.0,time_65.0,time_66.0,time_67.0,time_68.0,time_69.0,time_70.0,time_71.0,time_72.0,time_73.0,time_74.0,time_75.0,time_76.0,time_77.0,time_78.0,time_79.0,time_80.0,time_81.0,time_82.0,time_83.0,time_84.0,time_85.0,time_86.0,time_87.0,time_88.0,time_89.0,time_90.0,time_91.0,time_92.0,time_93.0,time_94.0,time_95.0,time_96.0,time_97.0,time_98.0,time_99.0,time_100.0,time_101.0,time_102.0,time_103.0,time_104.0,time_105.0,time_106.0,time_107.0,time_108.0,time_109.0,time_110.0,time_111.0,time_112.0,time_113.0,time_114.0,time_115.0,time_116.0,time_117.0,time_118.0,time_119.0,time_120.0,time_121.0,time_122.0,time_123.0,time_124.0,time_125.0,time_126.0,time_127.0,time_128.0,time_129.0,time_130.0,time_131.0,time_132.0,time_133.0,time_134.0,time_135.0,time_136.0,time_137.0,time_138.0,time_139.0,time_140.0,time_141.0,time_142.0,time_143.0,time_144.0,time_145.0,time_146.0,time_147.0,time_148.0,time_149.0,time_150.0,time_151.0,time_152.0,time_153.0,time_154.0,time_155.0,time_156.0
0,7,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,11,3,2,2,0,0,0,0,0,0,0,0,0,217,363,189,92,44,23,14,6,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,23,11,6,3,2,2,1,0,56,28,13,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,27,16,8,4,1,0,137,65,28,9,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,1,91,39,18,8,8,6,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,232,110,53,25,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,18,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,41,22,12,7,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,178,88,39,19,6,3,2,2,1,1,4,56,24,14,5,5,2,2,1,0,0,276,129,63,32,11,8,4,3,3,2,19,11,6,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,121,59,24,12,4,0,0,63,32,18,7,5,3,1,0,0,0,0,0,0,0,0,79,157,70,33,18,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,94,38,17,9,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,137,57,28,15,7,87,50,28,15,9,7,76,30,14,8,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,147,50,23,14,8,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,115,48,26,11,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,79,43,19,7,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,90,91,50,30,14,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,81,61,27,14,5,4,1,0,0,0,0,0,0,0,0,0,0,0,251,126,54,28,8,5,2,82,35,14,4,3,1,1,1,26,15,12,6,3,2,2
0,19,12,5,1,0,0,38,12,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,166,81,43,25,15,11,6,4,3,1,37,19,16,10,8,4,3,2,2,1,0,0,0,0,0,0,176,77,37,20,10,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,50,31,16,7,4,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,4,1,1,0,0,0,0,0,0,39,20,8,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,60,29,13,2,1,0,0,0,0,42,20,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,120,59,21,10,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,62,29,14
0,0,15,7,4,1,1,0,127,47,21,13,6,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,122,69,36,21,16,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,37,96,52,28,13,7,2,17,9,7,3,2,1,0,0,0,0,4,19,8,5,1,1,0,0,60,28,16,7,3,2,164,65,38,17,7,94,47,24,12,7,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,64,28,15,10,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,46,17,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,111,49,21,11,8,4,2,186,83,40,21,7,136,61,33,17,6,2,0,0,0,16,11,120,64,27,16,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,14,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,48,23,9,51,33,18,5,3,2,2,2,2,1,40,240,115,53,26,12,6,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,56,54,33,15,7,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,38,16,9,4,0,0,0,0,0,0,0,115,50,179,89,40,16,11,8,5,3,1,1,0,0,0,0,0,0,0,0,0,159,80,51,26,15,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,44,19,11,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,3,2,2,289,128,61,218,116,51,22,12,7,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,43,21,9,5,3,0,0,0,0,0,0,0,0,0,195,97,274,133,58,26,13,35,13,4,2,0,0,0,0,133,67,30,15,7,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
