exp_id,group_id,channel,condition,tf
2801,ch10_YOX1,GFP,0% glucose,Yox1
2801,ch10_YOX1,mCherry,0% glucose,Yox1
2801,ch11_CUP9,GFP,0% glucose,Cup9
2801,ch11_CUP9,mCherry,0% glucose,Cup9
2801,ch12_CIN5,GFP,0% glucose,Cin5
2801,ch12_CIN5,mCherry,0% glucose,Cin5
2801,ch13_YHP1,GFP,0% glucose,Yhp1
2801,ch13_YHP1,mCherry,0% glucose,Yhp1
2801,ch14_STP3,GFP,0% glucose,Stp3
2801,ch14_STP3,mCherry,0% glucose,Stp3
2801,ch15_CBF1,GFP,0% glucose,Cbf1
2801,ch15_CBF1,mCherry,0% glucose,Cbf1
2801,ch16_GCN4,GFP,0% glucose,Gcn4
2801,ch16_GCN4,mCherry,0% glucose,Gcn4
2801,ch17_SUT1,GFP,0% glucose,Sut1
2801,ch17_SUT1,mCherry,0% glucose,Sut1
2801,ch18_RME1,GFP,0% glucose,Rme1
2801,ch18_RME1,mCherry,0% glucose,Rme1
2801,ch19_INO2,GFP,0% glucose,Ino2
2801,ch19_INO2,mCherry,0% glucose,Ino2
2801,ch1_REI1,GFP,0% glucose,Rei1
2801,ch1_REI1,mCherry,0% glucose,Rei1
2801,ch20_FZF1,GFP,0% glucose,Fzf1
2801,ch20_FZF1,mCherry,0% glucose,Fzf1
2801,ch2_MSN1,GFP,0% glucose,Msn1
2801,ch2_MSN1,mCherry,0% glucose,Msn1
2801,ch3_MIG3,GFP,0% glucose,Mig3
2801,ch3_MIG3,mCherry,0% glucose,Mig3
2801,ch5_PHD1,GFP,0% glucose,Phd1
2801,ch5_PHD1,mCherry,0% glucose,Phd1
2801,ch6_YAP3,GFP,0% glucose,Yap3
2801,ch6_YAP3,mCherry,0% glucose,Yap3
2801,ch7_SPT2,GFP,0% glucose,Spt2
2801,ch7_SPT2,mCherry,0% glucose,Spt2
2801,ch8_OPI1,GFP,0% glucose,Opi1
2801,ch8_OPI1,mCherry,0% glucose,Opi1
2801,ch9_MAC1,GFP,0% glucose,Mac1
2801,ch9_MAC1,mCherry,0% glucose,Mac1
2841,Ace2,GFP,0% glucose,Ace2
2841,Cin5,GFP,0% glucose,Cin5
2841,Cup2,GFP,0% glucose,Cup2
2841,Ino2,GFP,0% glucose,Ino2
2841,Msn1,GFP,0% glucose,Msn1
2841,Nhp10,GFP,0% glucose,Nhp10
2841,Rei1,GFP,0% glucose,Rei1
2841,Rgm1,GFP,0% glucose,Rgm1
2841,Rme1,GFP,0% glucose,Rme1
2841,Sfa1,GFP,0% glucose,Sfa1
2841,Spt15,GFP,0% glucose,Spt15
2841,Srd1,GFP,0% glucose,Srd1
2841,Ste12,GFP,0% glucose,Ste12
2841,Swi6,GFP,0% glucose,Swi6
2841,Ume6,GFP,0% glucose,Ume6
2841,Yap3,GFP,0% glucose,Yap3
2841,Yox1,GFP,0% glucose,Yox1
2841,Yrr1,GFP,0% glucose,Yrr1
2842,Ace2,GFP,0% glucose,Ace2
2842,Adr1,GFP,0% glucose,Adr1
2842,Arg81,GFP,0% glucose,Arg81
2842,Gcr1,GFP,0% glucose,Gcr1
2842,Hal9,GFP,0% glucose,Hal9
2842,Msn2,GFP,0% glucose,Msn2
2842,Pdr1,GFP,0% glucose,Pdr1
2842,Rgm1,GFP,0% glucose,Rgm1
2842,Rgt1,GFP,0% glucose,Rgt1
2842,Rsf2,GFP,0% glucose,Rsf2
2842,Sfl1,GFP,0% glucose,Sfl1
2842,Snt2,GFP,0% glucose,Snt2
2842,Sum1,GFP,0% glucose,Sum1
2842,Swi4,GFP,0% glucose,Swi4
2842,Swi6,GFP,0% glucose,Swi6
2842,Tbs1,GFP,0% glucose,Tbs1
2842,Tho2,GFP,0% glucose,Tho2
2842,Tye7,GFP,0% glucose,Tye7
2842,Ume6,GFP,0% glucose,Ume6
2842,Yrr1,GFP,0% glucose,Yrr1
2843,ch10_FHL1,GFP,0% glucose,Fhl1
2843,ch11_DAL81,GFP,0% glucose,Dal81
2843,ch12_ASG1,GFP,0% glucose,Asg1
2843,ch13_ARO80,GFP,0% glucose,Aro80
2843,ch14_AZF1,GFP,0% glucose,Azf1
2843,ch15_FKH2,GFP,0% glucose,Fkh2
2843,ch16_GIS1,GFP,0% glucose,Gis1
2843,ch17_LEU3,GFP,0% glucose,Leu3
2843,ch18_RSC3,GFP,0% glucose,Rsc3
2843,ch19_UPC2,GFP,0% glucose,Upc2
2843,ch1_RFX1,GFP,0% glucose,Rfx1
2843,ch20_ZAP1,GFP,0% glucose,Zap1
2843,ch2_REB1,GFP,0% glucose,Reb1
2843,ch3_RPH1,GFP,0% glucose,Rph1
2843,ch4_LYS14,GFP,0% glucose,Lys14
2843,ch5_ECM22,GFP,0% glucose,Ecm22
2843,ch6_BAS1,GFP,0% glucose,Bas1
2843,ch7_MBP1,GFP,0% glucose,Mbp1
2843,ch8_PIP2,GFP,0% glucose,Pip2
2843,ch9_PDR3,GFP,0% glucose,Pdr3
2844,ch10_STP4,GFP,0% glucose,Stp4
2844,ch11_TEC1,GFP,0% glucose,Tec1
2844,ch12_STB1,GFP,0% glucose,Stb1
2844,ch13_INO4,GFP,0% glucose,Ino4
2844,ch14_NHP6B,GFP,0% glucose,Nhp6B
2844,ch15_HAP3,GFP,0% glucose,Hap3
2844,ch16_MET32,GFP,0% glucose,Met32
2844,ch17_HAC1,GFP,0% glucose,Hac1
2844,ch18_TYE7,GFP,0% glucose,Tye7
2844,ch19_HAP2,GFP,0% glucose,Hap2
2844,ch1_IXR1,GFP,0% glucose,Ixr1
2844,ch20_HAP5,GFP,0% glucose,Hap5
2844,ch2_MOT2,GFP,0% glucose,Mot2
2844,ch3_HCM1,GFP,0% glucose,Hcm1
2844,ch4_NDD1,GFP,0% glucose,Ndd1
2844,ch5_PHO2,GFP,0% glucose,Pho2
2844,ch6_STP1,GFP,0% glucose,Stp1
2844,ch7_STB3,GFP,0% glucose,Stb3
2844,ch8_FKH1,GFP,0% glucose,Fkh1
2844,ch9_MOT3,GFP,0% glucose,Mot3
2849,ch10_MET28,GFP,0% glucose,Met28
2849,ch11_PHD1,GFP,0% glucose,Phd1
2849,ch12_ROX1,GFP,0% glucose,Rox1
2849,ch13_CBF1,GFP,0% glucose,Cbf1
2849,ch14_STP3,GFP,0% glucose,Stp3
2849,ch15_YHP1,GFP,0% glucose,Yhp1
2849,ch16_SPT2,GFP,0% glucose,Spt2
2849,ch17_SUT1,GFP,0% glucose,Sut1
2849,ch18_GCN4,GFP,0% glucose,Gcn4
2849,ch19_OPI1,GFP,0% glucose,Opi1
2849,ch1_TBF1,GFP,0% glucose,Tbf1
2849,ch20_MIG3,GFP,0% glucose,Mig3
2849,ch2_GZF3,GFP,0% glucose,Gzf3
2849,ch4_STP2,GFP,0% glucose,Stp2
2849,ch5_UGA3,GFP,0% glucose,Uga3
2849,ch6_UME1,GFP,0% glucose,Ume1
2849,ch7_DIG1,GFP,0% glucose,Dig1
2849,ch8_RDS2,GFP,0% glucose,Rds2
2849,ch9_MET31,GFP,0% glucose,Met31
2852,Afg2,GFP,low N₂,Afg2
2852,Def1,GFP,low N₂,Def1
2852,Gcd6_poss_mix,GFP,low N₂,Gcd6_Poss_Mix
2852,Gis4,GFP,low N₂,Gis4
2852,Gsh1,GFP,low N₂,Gsh1
2852,Hcs1,GFP,low N₂,Hcs1
2852,Hsc82,GFP,low N₂,Hsc82
2852,Mac10,GFP,low N₂,Mac10
2852,Mip6,GFP,low N₂,Mip6
2852,Pan3,GFP,low N₂,Pan3
2852,Pbs2,GFP,low N₂,Pbs2
2852,Sac7,GFP,low N₂,Sac7
2852,Ssa1,GFP,low N₂,Ssa1
2852,Sse2_poss_mix,GFP,low N₂,Sse2_Poss_Mix
2852,Ssk1,GFP,low N₂,Ssk1
2852,Sst2,GFP,low N₂,Sst2
2852,Ths1,GFP,low N₂,Ths1
2852,Whi3,GFP,low N₂,Whi3
2852,Ypk1,GFP,low N₂,Ypk1
2853,Gts1,GFP,low N₂,Gts1
2853,Gzf3,GFP,low N₂,Gzf3
2853,Hcm1,GFP,low N₂,Hcm1
2853,Ino4,GFP,low N₂,Ino4
2853,Mot3,GFP,low N₂,Mot3
2853,Ndd1,GFP,low N₂,Ndd1
2853,Nhp6b,GFP,low N₂,Nhp6B
2853,Pho2,GFP,low N₂,Pho2
2853,Rds2,GFP,low N₂,Rds2
2853,Rpn4,GFP,low N₂,Rpn4
2853,Stb1,GFP,low N₂,Stb1
2853,Stb3,GFP,low N₂,Stb3
2853,Stp1,GFP,low N₂,Stp1
2853,Stp2,GFP,low N₂,Stp2
2853,Tbf1,GFP,low N₂,Tbf1
2853,Tec1,GFP,low N₂,Tec1
2853,Uga3,GFP,low N₂,Uga3
2853,Ume1,GFP,low N₂,Ume1
2854,Abf2,GFP,low N₂,Abf2
2854,Arg80,GFP,low N₂,Arg80
2854,Cbf1,GFP,low N₂,Cbf1
2854,Cup2,GFP,low N₂,Cup2
2854,Hac1,GFP,low N₂,Hac1
2854,Hap2,GFP,low N₂,Hap2
2854,Hap3,GFP,low N₂,Hap3
2854,Hap5,GFP,low N₂,Hap5
2854,Mcm1,GFP,low N₂,Mcm1
2854,Met32,GFP,low N₂,Met32
2854,Phd1,GFP,low N₂,Phd1
2854,Rgm1,GFP,low N₂,Rgm1
2854,Rox1,GFP,low N₂,Rox1
2854,Spt15,GFP,low N₂,Spt15
2854,Srd1,GFP,low N₂,Srd1
2854,Stp3,GFP,low N₂,Stp3
2854,Tye7,GFP,low N₂,Tye7
2854,Yap5,GFP,low N₂,Yap5
2854,Yap7,GFP,low N₂,Yap7
2854,Yhp1,GFP,low N₂,Yhp1
2858,Cin5,GFP,low N₂,Cin5
