Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,LSTM Conv1D 4-Head Attention Accuracy,LSTM Conv1D Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.0228439520955587, 'rho': 5795.902957972253, 'd': 0.7346306158358888, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999849757, 'rho': 1179.1338138059741, 'd': 0.7827636158617448, 'label': 1}]","({'Stressed Mean': 9.822310606060606, 'Stressed Variance': 2914.541040115645, 'Stressed Steady State Time': 13.612283213410109}, {'Normal Mean': 9.815902255639097, 'Normal Variance': 1168.5424614039798, 'Normal Steady State Time': 12.775248871258528})",2.5799999999999987,0.6625,0.5625,0.7875,0.5625,0.6,0.45,0.9375,0.5
"[{'sigma_u': 18.0, 'sigma_b': 0.0228439520955587, 'rho': 5795.902957972253, 'd': 0.7346306158358888, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999849757, 'rho': 1179.1338138059741, 'd': 0.7827636158617448, 'label': 1}]","({'Stressed Mean': 9.655037878787878, 'Stressed Variance': 2949.5042965894745, 'Stressed Steady State Time': 13.612283213410109}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258528})",2.5799999999999987,0.6875,0.5375,0.7125,0.5125,0.65,0.45,0.9125,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.0228439520955587, 'rho': 5795.902957972253, 'd': 0.7346306158358888, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999849757, 'rho': 1179.1338138059741, 'd': 0.7827636158617448, 'label': 1}]","({'Stressed Mean': 9.655037878787878, 'Stressed Variance': 2949.5042965894745, 'Stressed Steady State Time': 13.612283213410109}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258528})",2.5799999999999987,0.6875,0.5375,0.7125,0.5125,0.65,0.45,0.9125,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.0228439520955587, 'rho': 5795.902957972253, 'd': 0.7346306158358888, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999849757, 'rho': 1179.1338138059741, 'd': 0.7827636158617448, 'label': 1}]","({'Stressed Mean': 9.655037878787878, 'Stressed Variance': 2949.5042965894745, 'Stressed Steady State Time': 13.612283213410109}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258528})",2.5799999999999987,0.6875,0.5375,0.7125,0.5125,0.65,0.45,0.9125,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.0228439520955587, 'rho': 5795.902957972253, 'd': 0.7346306158358888, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999849757, 'rho': 1179.1338138059741, 'd': 0.7827636158617448, 'label': 1}]","({'Stressed Mean': 9.655037878787878, 'Stressed Variance': 2949.5042965894745, 'Stressed Steady State Time': 13.612283213410109}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258528})",2.5799999999999987,0.6875,0.5375,0.7125,0.5125,0.65,0.45,0.9125,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.0228439520955587, 'rho': 5795.902957972253, 'd': 0.7346306158358888, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999849757, 'rho': 1179.1338138059741, 'd': 0.7827636158617448, 'label': 1}]","({'Stressed Mean': 9.655037878787878, 'Stressed Variance': 2949.5042965894745, 'Stressed Steady State Time': 13.612283213410109}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258528})",2.5799999999999987,0.6875,0.5375,0.7125,0.5125,0.65,0.45,0.9125,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.0228439520955587, 'rho': 5795.902957972253, 'd': 0.7346306158358888, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999849757, 'rho': 1179.1338138059741, 'd': 0.7827636158617448, 'label': 1}]","({'Stressed Mean': 9.655037878787878, 'Stressed Variance': 2949.5042965894745, 'Stressed Steady State Time': 13.612283213410109}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258528})",2.5799999999999987,0.6875,0.5375,0.7125,0.5125,0.65,0.45,0.9125,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.0228439520955587, 'rho': 5795.902957972253, 'd': 0.7346306158358888, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999849757, 'rho': 1179.1338138059741, 'd': 0.7827636158617448, 'label': 1}]","({'Stressed Mean': 9.655037878787878, 'Stressed Variance': 2949.5042965894745, 'Stressed Steady State Time': 13.612283213410109}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258528})",2.5799999999999987,0.6875,0.5375,0.7125,0.5125,0.65,0.45,0.9125,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.0228439520955587, 'rho': 5795.902957972253, 'd': 0.7346306158358888, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999849757, 'rho': 1179.1338138059741, 'd': 0.7827636158617448, 'label': 1}]","({'Stressed Mean': 9.655037878787878, 'Stressed Variance': 2949.5042965894745, 'Stressed Steady State Time': 13.612283213410109}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258528})",2.5799999999999987,0.6875,0.5375,0.7125,0.5125,0.65,0.45,0.9125,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.0228439520955587, 'rho': 5795.902957972253, 'd': 0.7346306158358888, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999849757, 'rho': 1179.1338138059741, 'd': 0.7827636158617448, 'label': 1}]","({'Stressed Mean': 9.655037878787878, 'Stressed Variance': 2949.5042965894745, 'Stressed Steady State Time': 13.612283213410109}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258528})",2.5799999999999987,0.6875,0.5375,0.7125,0.5125,0.65,0.45,0.9125,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.022755596610530164, 'rho': 5818.384797787495, 'd': 0.7346313757269837, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984868, 'rho': 1179.1338138056506, 'd': 0.7827636158617403, 'label': 1}]","({'Stressed Mean': 10.297613636363636, 'Stressed Variance': 3156.1924488507234, 'Stressed Steady State Time': 13.612269133079298}, {'Normal Mean': 9.616127819548872, 'Normal Variance': 1078.5831308708803, 'Normal Steady State Time': 12.775248871258603})",2.589999999999999,0.7,0.5375,0.7375,0.55,0.55,0.45,0.9,0.675
"[{'sigma_u': 18.0, 'sigma_b': 0.022755596610530164, 'rho': 5818.384797787495, 'd': 0.7346313757269837, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984868, 'rho': 1179.1338138056506, 'd': 0.7827636158617403, 'label': 1}]","({'Stressed Mean': 10.066704545454545, 'Stressed Variance': 3093.376876261192, 'Stressed Steady State Time': 13.612269133079298}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258603})",2.589999999999999,0.7625,0.5625,0.6875,0.5125,0.6125,0.45,0.85,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.022755596610530164, 'rho': 5818.384797787495, 'd': 0.7346313757269837, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984868, 'rho': 1179.1338138056506, 'd': 0.7827636158617403, 'label': 1}]","({'Stressed Mean': 10.066704545454545, 'Stressed Variance': 3093.376876261192, 'Stressed Steady State Time': 13.612269133079298}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258603})",2.589999999999999,0.7625,0.5625,0.6875,0.5125,0.6125,0.45,0.85,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.022755596610530164, 'rho': 5818.384797787495, 'd': 0.7346313757269837, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984868, 'rho': 1179.1338138056506, 'd': 0.7827636158617403, 'label': 1}]","({'Stressed Mean': 10.066704545454545, 'Stressed Variance': 3093.376876261192, 'Stressed Steady State Time': 13.612269133079298}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258603})",2.589999999999999,0.7625,0.5625,0.6875,0.5125,0.6125,0.45,0.85,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.022755596610530164, 'rho': 5818.384797787495, 'd': 0.7346313757269837, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984868, 'rho': 1179.1338138056506, 'd': 0.7827636158617403, 'label': 1}]","({'Stressed Mean': 10.066704545454545, 'Stressed Variance': 3093.376876261192, 'Stressed Steady State Time': 13.612269133079298}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258603})",2.589999999999999,0.7625,0.5625,0.6875,0.5125,0.6125,0.45,0.85,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.022755596610530164, 'rho': 5818.384797787495, 'd': 0.7346313757269837, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984868, 'rho': 1179.1338138056506, 'd': 0.7827636158617403, 'label': 1}]","({'Stressed Mean': 10.066704545454545, 'Stressed Variance': 3093.376876261192, 'Stressed Steady State Time': 13.612269133079298}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258603})",2.589999999999999,0.7625,0.5625,0.6875,0.5125,0.6125,0.45,0.85,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.022755596610530164, 'rho': 5818.384797787495, 'd': 0.7346313757269837, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984868, 'rho': 1179.1338138056506, 'd': 0.7827636158617403, 'label': 1}]","({'Stressed Mean': 10.066704545454545, 'Stressed Variance': 3093.376876261192, 'Stressed Steady State Time': 13.612269133079298}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258603})",2.589999999999999,0.7625,0.5625,0.6875,0.5125,0.6125,0.45,0.85,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.022755596610530164, 'rho': 5818.384797787495, 'd': 0.7346313757269837, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984868, 'rho': 1179.1338138056506, 'd': 0.7827636158617403, 'label': 1}]","({'Stressed Mean': 10.066704545454545, 'Stressed Variance': 3093.376876261192, 'Stressed Steady State Time': 13.612269133079298}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258603})",2.589999999999999,0.7625,0.5625,0.6875,0.5125,0.6125,0.45,0.85,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.022755596610530164, 'rho': 5818.384797787495, 'd': 0.7346313757269837, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984868, 'rho': 1179.1338138056506, 'd': 0.7827636158617403, 'label': 1}]","({'Stressed Mean': 10.066704545454545, 'Stressed Variance': 3093.376876261192, 'Stressed Steady State Time': 13.612269133079298}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258603})",2.589999999999999,0.7625,0.5625,0.6875,0.5125,0.6125,0.45,0.85,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.022755596610530164, 'rho': 5818.384797787495, 'd': 0.7346313757269837, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984868, 'rho': 1179.1338138056506, 'd': 0.7827636158617403, 'label': 1}]","({'Stressed Mean': 10.066704545454545, 'Stressed Variance': 3093.376876261192, 'Stressed Steady State Time': 13.612269133079298}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258603})",2.589999999999999,0.7625,0.5625,0.6875,0.5125,0.6125,0.45,0.85,0.75
"[{'sigma_u': 18.0, 'sigma_b': 0.022667921974224795, 'rho': 5840.866637398382, 'd': 0.7346321297792521, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999849509, 'rho': 1179.1338138058743, 'd': 0.7827636158617438, 'label': 1}]","({'Stressed Mean': 10.479659090909092, 'Stressed Variance': 3209.4917074595387, 'Stressed Steady State Time': 13.612255160967269}, {'Normal Mean': 9.507894736842106, 'Normal Variance': 1056.8995617332805, 'Normal Steady State Time': 12.775248871258546})",2.5999999999999988,0.8,0.625,0.725,0.5625,0.625,0.45,0.825,0.725
"[{'sigma_u': 18.0, 'sigma_b': 0.022667921974224795, 'rho': 5840.866637398382, 'd': 0.7346321297792521, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999849509, 'rho': 1179.1338138058743, 'd': 0.7827636158617438, 'label': 1}]","({'Stressed Mean': 11.090378787878787, 'Stressed Variance': 3518.3341044019744, 'Stressed Steady State Time': 13.612255160967269}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258546})",2.5999999999999988,0.7,0.575,0.725,0.5875,0.5625,0.45,0.875,0.8375
"[{'sigma_u': 18.0, 'sigma_b': 0.022667921974224795, 'rho': 5840.866637398382, 'd': 0.7346321297792521, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999849509, 'rho': 1179.1338138058743, 'd': 0.7827636158617438, 'label': 1}]","({'Stressed Mean': 11.090378787878787, 'Stressed Variance': 3518.3341044019744, 'Stressed Steady State Time': 13.612255160967269}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258546})",2.5999999999999988,0.7,0.575,0.725,0.5875,0.5625,0.45,0.875,0.8375
"[{'sigma_u': 18.0, 'sigma_b': 0.022667921974224795, 'rho': 5840.866637398382, 'd': 0.7346321297792521, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999849509, 'rho': 1179.1338138058743, 'd': 0.7827636158617438, 'label': 1}]","({'Stressed Mean': 11.090378787878787, 'Stressed Variance': 3518.3341044019744, 'Stressed Steady State Time': 13.612255160967269}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258546})",2.5999999999999988,0.7,0.575,0.725,0.5875,0.5625,0.45,0.875,0.8375
"[{'sigma_u': 18.0, 'sigma_b': 0.022667921974224795, 'rho': 5840.866637398382, 'd': 0.7346321297792521, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999849509, 'rho': 1179.1338138058743, 'd': 0.7827636158617438, 'label': 1}]","({'Stressed Mean': 11.090378787878787, 'Stressed Variance': 3518.3341044019744, 'Stressed Steady State Time': 13.612255160967269}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258546})",2.5999999999999988,0.7,0.575,0.725,0.5875,0.5625,0.45,0.875,0.8375
"[{'sigma_u': 18.0, 'sigma_b': 0.022667921974224795, 'rho': 5840.866637398382, 'd': 0.7346321297792521, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999849509, 'rho': 1179.1338138058743, 'd': 0.7827636158617438, 'label': 1}]","({'Stressed Mean': 11.090378787878787, 'Stressed Variance': 3518.3341044019744, 'Stressed Steady State Time': 13.612255160967269}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258546})",2.5999999999999988,0.7,0.575,0.725,0.5875,0.5625,0.45,0.875,0.8375
"[{'sigma_u': 18.0, 'sigma_b': 0.022667921974224795, 'rho': 5840.866637398382, 'd': 0.7346321297792521, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999849509, 'rho': 1179.1338138058743, 'd': 0.7827636158617438, 'label': 1}]","({'Stressed Mean': 11.090378787878787, 'Stressed Variance': 3518.3341044019744, 'Stressed Steady State Time': 13.612255160967269}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258546})",2.5999999999999988,0.7,0.575,0.725,0.5875,0.5625,0.45,0.875,0.8375
"[{'sigma_u': 18.0, 'sigma_b': 0.022667921974224795, 'rho': 5840.866637398382, 'd': 0.7346321297792521, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999849509, 'rho': 1179.1338138058743, 'd': 0.7827636158617438, 'label': 1}]","({'Stressed Mean': 11.090378787878787, 'Stressed Variance': 3518.3341044019744, 'Stressed Steady State Time': 13.612255160967269}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258546})",2.5999999999999988,0.7,0.575,0.725,0.5875,0.5625,0.45,0.875,0.8375
"[{'sigma_u': 18.0, 'sigma_b': 0.022667921974224795, 'rho': 5840.866637398382, 'd': 0.7346321297792521, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999849509, 'rho': 1179.1338138058743, 'd': 0.7827636158617438, 'label': 1}]","({'Stressed Mean': 11.090378787878787, 'Stressed Variance': 3518.3341044019744, 'Stressed Steady State Time': 13.612255160967269}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258546})",2.5999999999999988,0.7,0.575,0.725,0.5875,0.5625,0.45,0.875,0.8375
"[{'sigma_u': 18.0, 'sigma_b': 0.022667921974224795, 'rho': 5840.866637398382, 'd': 0.7346321297792521, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999849509, 'rho': 1179.1338138058743, 'd': 0.7827636158617438, 'label': 1}]","({'Stressed Mean': 11.090378787878787, 'Stressed Variance': 3518.3341044019744, 'Stressed Steady State Time': 13.612255160967269}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258546})",2.5999999999999988,0.7,0.575,0.725,0.5875,0.5625,0.45,0.875,0.8375
"[{'sigma_u': 18.0, 'sigma_b': 0.022580920346634288, 'rho': 5863.348476641109, 'd': 0.7346328780588599, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984868, 'rho': 1179.1338138056506, 'd': 0.7827636158617403, 'label': 1}]","({'Stressed Mean': 9.304507575757576, 'Stressed Variance': 2728.825570590852, 'Stressed Steady State Time': 13.612241295847346}, {'Normal Mean': 9.616127819548872, 'Normal Variance': 1078.5831308708803, 'Normal Steady State Time': 12.775248871258603})",2.609999999999999,0.625,0.4875,0.8125,0.425,0.525,0.45,0.875,0.675
"[{'sigma_u': 18.0, 'sigma_b': 0.022580920346634288, 'rho': 5863.348476641109, 'd': 0.7346328780588599, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984868, 'rho': 1179.1338138056506, 'd': 0.7827636158617403, 'label': 1}]","({'Stressed Mean': 9.38155303030303, 'Stressed Variance': 2795.2023339517323, 'Stressed Steady State Time': 13.612241295847346}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258603})",2.609999999999999,0.725,0.65,0.7,0.625,0.65,0.45,0.875,0.7375
"[{'sigma_u': 18.0, 'sigma_b': 0.022580920346634288, 'rho': 5863.348476641109, 'd': 0.7346328780588599, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984868, 'rho': 1179.1338138056506, 'd': 0.7827636158617403, 'label': 1}]","({'Stressed Mean': 9.38155303030303, 'Stressed Variance': 2795.2023339517323, 'Stressed Steady State Time': 13.612241295847346}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258603})",2.609999999999999,0.725,0.65,0.7,0.625,0.65,0.45,0.875,0.7375
"[{'sigma_u': 18.0, 'sigma_b': 0.022580920346634288, 'rho': 5863.348476641109, 'd': 0.7346328780588599, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984868, 'rho': 1179.1338138056506, 'd': 0.7827636158617403, 'label': 1}]","({'Stressed Mean': 9.38155303030303, 'Stressed Variance': 2795.2023339517323, 'Stressed Steady State Time': 13.612241295847346}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258603})",2.609999999999999,0.725,0.65,0.7,0.625,0.65,0.45,0.875,0.7375
"[{'sigma_u': 18.0, 'sigma_b': 0.022580920346634288, 'rho': 5863.348476641109, 'd': 0.7346328780588599, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984868, 'rho': 1179.1338138056506, 'd': 0.7827636158617403, 'label': 1}]","({'Stressed Mean': 9.38155303030303, 'Stressed Variance': 2795.2023339517323, 'Stressed Steady State Time': 13.612241295847346}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258603})",2.609999999999999,0.725,0.65,0.7,0.625,0.65,0.45,0.875,0.7375
"[{'sigma_u': 18.0, 'sigma_b': 0.022580920346634288, 'rho': 5863.348476641109, 'd': 0.7346328780588599, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984868, 'rho': 1179.1338138056506, 'd': 0.7827636158617403, 'label': 1}]","({'Stressed Mean': 9.38155303030303, 'Stressed Variance': 2795.2023339517323, 'Stressed Steady State Time': 13.612241295847346}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258603})",2.609999999999999,0.725,0.65,0.7,0.625,0.65,0.45,0.875,0.7375
"[{'sigma_u': 18.0, 'sigma_b': 0.022580920346634288, 'rho': 5863.348476641109, 'd': 0.7346328780588599, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984868, 'rho': 1179.1338138056506, 'd': 0.7827636158617403, 'label': 1}]","({'Stressed Mean': 9.38155303030303, 'Stressed Variance': 2795.2023339517323, 'Stressed Steady State Time': 13.612241295847346}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258603})",2.609999999999999,0.725,0.65,0.7,0.625,0.65,0.45,0.875,0.7375
"[{'sigma_u': 18.0, 'sigma_b': 0.022580920346634288, 'rho': 5863.348476641109, 'd': 0.7346328780588599, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984868, 'rho': 1179.1338138056506, 'd': 0.7827636158617403, 'label': 1}]","({'Stressed Mean': 9.38155303030303, 'Stressed Variance': 2795.2023339517323, 'Stressed Steady State Time': 13.612241295847346}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258603})",2.609999999999999,0.725,0.65,0.7,0.625,0.65,0.45,0.875,0.7375
"[{'sigma_u': 18.0, 'sigma_b': 0.022580920346634288, 'rho': 5863.348476641109, 'd': 0.7346328780588599, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.0601454399984868, 'rho': 1179.1338138056506, 'd': 0.7827636158617403, 'label': 1}]","({'Stressed Mean': 9.38155303030303, 'Stressed Variance': 2795.2023339517323, 'Stressed Steady State Time': 13.612241295847346}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871258603})",2.609999999999999,0.725,0.65,0.7,0.625,0.65,0.45,0.875,0.7375
