Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 1941.17576785881, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.2875, 'Stressed Variance': 129.74797807835822, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.110522388059701, 'Normal Variance': 1265.0953221151708, 'Normal Steady State Time': 10.0})",0.1,0.825,0.55,0.675,0.5375,0.6375,0.475
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 1941.17576785881, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 0.8797388059701493, 'Stressed Variance': 110.89744023028513, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.120708955223881, 'Normal Variance': 1279.7097950197706, 'Normal Steady State Time': 10.0})",0.1,0.7875,0.65,0.7625,0.625,0.7375,0.6125
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 1941.17576785881, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.2005223880597016, 'Stressed Variance': 123.14523853308087, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.299589552238806, 'Normal Variance': 1310.3796863986965, 'Normal Steady State Time': 10.0})",0.1,0.8125,0.5875,0.7125,0.5875,0.725,0.475
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 1941.17576785881, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 0.9769029850746269, 'Stressed Variance': 115.67629488611051, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.1225, 'Normal Variance': 1265.4144340485072, 'Normal Steady State Time': 10.0})",0.1,0.8,0.7125,0.7625,0.675,0.725,0.4625
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 1941.17576785881, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.2115298507462686, 'Stressed Variance': 122.39648646552682, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.307835820895522, 'Normal Variance': 1326.1515803909558, 'Normal Steady State Time': 10.0})",0.1,0.8375,0.6375,0.75,0.55,0.7125,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 1941.17576785881, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 0.9445895522388059, 'Stressed Variance': 111.5747281897416, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.156268656716418, 'Normal Variance': 1280.3593860770775, 'Normal Steady State Time': 10.0})",0.1,0.825,0.625,0.7,0.575,0.725,0.5125
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 1941.17576785881, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.2276119402985075, 'Stressed Variance': 125.82117787926039, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.269589552238806, 'Normal Variance': 1313.6129558016817, 'Normal Steady State Time': 10.0})",0.1,0.825,0.6875,0.7,0.5875,0.7875,0.4875
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 1941.17576785881, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 0.8880597014925373, 'Stressed Variance': 111.80769325016703, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.200261194029851, 'Normal Variance': 1290.0766491855093, 'Normal Steady State Time': 10.0})",0.1,0.85,0.625,0.75,0.6375,0.775,0.475
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 1941.17576785881, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 1.2368283582089552, 'Stressed Variance': 129.9873824780018, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.2700746268656715, 'Normal Variance': 1315.1716865615947, 'Normal Steady State Time': 10.0})",0.1,0.825,0.7,0.7625,0.65,0.75,0.525
"[{'sigma_u': 18.0, 'sigma_b': 0.01, 'rho': 1941.17576785881, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.02, 'rho': 2321.54778054067, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 0.9562686567164179, 'Stressed Variance': 112.42211742036086, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 5.272462686567164, 'Normal Variance': 1303.167779009802, 'Normal Steady State Time': 10.0})",0.1,0.825,0.6375,0.6625,0.575,0.725,0.45
