Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY002A Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723163, 'rho': 242.6279187226958, 'd': 0.7303082000929672, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.953068181818182, 'Stressed Variance': 131.46147164686636, 'Stressed Steady State Time': 13.692849126885081}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259532})",0.11,1.0,0.6375,0.9875,0.575,0.8375,0.45,0.9625,0.4375
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723163, 'rho': 242.6279187226958, 'd': 0.7303082000929672, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.94314393939394, 'Stressed Variance': 130.84854769140264, 'Stressed Steady State Time': 13.692849126885081}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.11,1.0,0.7,0.9875,0.65,0.9125,0.45,0.675,0.4125
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723163, 'rho': 242.6279187226958, 'd': 0.7303082000929672, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.94314393939394, 'Stressed Variance': 130.84854769140264, 'Stressed Steady State Time': 13.692849126885081}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.11,1.0,0.7,0.9875,0.65,0.9125,0.45,0.675,0.4125
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723163, 'rho': 242.6279187226958, 'd': 0.7303082000929672, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.94314393939394, 'Stressed Variance': 130.84854769140264, 'Stressed Steady State Time': 13.692849126885081}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.11,1.0,0.7,0.9875,0.65,0.9125,0.45,0.675,0.4125
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723163, 'rho': 242.6279187226958, 'd': 0.7303082000929672, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.94314393939394, 'Stressed Variance': 130.84854769140264, 'Stressed Steady State Time': 13.692849126885081}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.11,1.0,0.7,0.9875,0.65,0.9125,0.45,0.675,0.4125
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723163, 'rho': 242.6279187226958, 'd': 0.7303082000929672, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.94314393939394, 'Stressed Variance': 130.84854769140264, 'Stressed Steady State Time': 13.692849126885081}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.11,1.0,0.7,0.9875,0.65,0.9125,0.45,0.675,0.4125
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723163, 'rho': 242.6279187226958, 'd': 0.7303082000929672, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.94314393939394, 'Stressed Variance': 130.84854769140264, 'Stressed Steady State Time': 13.692849126885081}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.11,1.0,0.7,0.9875,0.65,0.9125,0.45,0.675,0.4125
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723163, 'rho': 242.6279187226958, 'd': 0.7303082000929672, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.94314393939394, 'Stressed Variance': 130.84854769140264, 'Stressed Steady State Time': 13.692849126885081}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.11,1.0,0.7,0.9875,0.65,0.9125,0.45,0.675,0.4125
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723163, 'rho': 242.6279187226958, 'd': 0.7303082000929672, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.94314393939394, 'Stressed Variance': 130.84854769140264, 'Stressed Steady State Time': 13.692849126885081}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.11,1.0,0.7,0.9875,0.65,0.9125,0.45,0.675,0.4125
"[{'sigma_u': 18.0, 'sigma_b': 0.5586128427723163, 'rho': 242.6279187226958, 'd': 0.7303082000929672, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.94314393939394, 'Stressed Variance': 130.84854769140264, 'Stressed Steady State Time': 13.692849126885081}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.11,1.0,0.7,0.9875,0.65,0.9125,0.45,0.675,0.4125
