Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY002A Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.21362030235669868, 'rho': 624.9909735153282, 'd': 0.7330270342543457, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.706022727272726, 'Stressed Variance': 322.79581221160464, 'Stressed Steady State Time': 13.64206166034826}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.2799999999999999,0.925,0.55,0.9375,0.5625,0.6625,0.45,0.525,0.25
"[{'sigma_u': 18.0, 'sigma_b': 0.21362030235669868, 'rho': 624.9909735153282, 'd': 0.7330270342543457, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.706022727272726, 'Stressed Variance': 322.79581221160464, 'Stressed Steady State Time': 13.64206166034826}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.2799999999999999,0.925,0.55,0.9375,0.5625,0.6625,0.45,0.525,0.25
"[{'sigma_u': 18.0, 'sigma_b': 0.21362030235669868, 'rho': 624.9909735153282, 'd': 0.7330270342543457, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.706022727272726, 'Stressed Variance': 322.79581221160464, 'Stressed Steady State Time': 13.64206166034826}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.2799999999999999,0.925,0.55,0.9375,0.5625,0.6625,0.45,0.525,0.25
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422489155708, 'rho': 647.4766165134096, 'd': 0.7330885779032664, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.375113636363636, 'Stressed Variance': 309.51538824466246, 'Stressed Steady State Time': 13.640916393215901}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259532})",0.2899999999999999,0.925,0.55,0.9125,0.55,0.65,0.45,0.5625,0.3375
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422489155708, 'rho': 647.4766165134096, 'd': 0.7330885779032664, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.386628787878788, 'Stressed Variance': 309.92638939250463, 'Stressed Steady State Time': 13.640916393215901}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.2899999999999999,0.9625,0.5375,0.925,0.5625,0.675,0.45,0.5,0.325
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422489155708, 'rho': 647.4766165134096, 'd': 0.7330885779032664, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.386628787878788, 'Stressed Variance': 309.92638939250463, 'Stressed Steady State Time': 13.640916393215901}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.2899999999999999,0.9625,0.5375,0.925,0.5625,0.675,0.45,0.5,0.325
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422489155708, 'rho': 647.4766165134096, 'd': 0.7330885779032664, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.386628787878788, 'Stressed Variance': 309.92638939250463, 'Stressed Steady State Time': 13.640916393215901}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.2899999999999999,0.9625,0.5375,0.925,0.5625,0.675,0.45,0.5,0.325
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422489155708, 'rho': 647.4766165134096, 'd': 0.7330885779032664, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.386628787878788, 'Stressed Variance': 309.92638939250463, 'Stressed Steady State Time': 13.640916393215901}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.2899999999999999,0.9625,0.5375,0.925,0.5625,0.675,0.45,0.5,0.325
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422489155708, 'rho': 647.4766165134096, 'd': 0.7330885779032664, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.386628787878788, 'Stressed Variance': 309.92638939250463, 'Stressed Steady State Time': 13.640916393215901}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.2899999999999999,0.9625,0.5375,0.925,0.5625,0.675,0.45,0.5,0.325
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422489155708, 'rho': 647.4766165134096, 'd': 0.7330885779032664, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.386628787878788, 'Stressed Variance': 309.92638939250463, 'Stressed Steady State Time': 13.640916393215901}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.2899999999999999,0.9625,0.5375,0.925,0.5625,0.675,0.45,0.5,0.325
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422489155708, 'rho': 647.4766165134096, 'd': 0.7330885779032664, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.386628787878788, 'Stressed Variance': 309.92638939250463, 'Stressed Steady State Time': 13.640916393215901}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.2899999999999999,0.9625,0.5375,0.925,0.5625,0.675,0.45,0.5,0.325
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422489155708, 'rho': 647.4766165134096, 'd': 0.7330885779032664, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.386628787878788, 'Stressed Variance': 309.92638939250463, 'Stressed Steady State Time': 13.640916393215901}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.2899999999999999,0.9625,0.5375,0.925,0.5625,0.675,0.45,0.5,0.325
"[{'sigma_u': 18.0, 'sigma_b': 0.20613422489155708, 'rho': 647.4766165134096, 'd': 0.7330885779032664, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.386628787878788, 'Stressed Variance': 309.92638939250463, 'Stressed Steady State Time': 13.640916393215901}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.2899999999999999,0.9625,0.5375,0.925,0.5625,0.675,0.45,0.5,0.325
"[{'sigma_u': 18.0, 'sigma_b': 0.19915515692625774, 'rho': 669.9620029052577, 'd': 0.7331460536087013, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.759053030303031, 'Stressed Variance': 341.9102400123393, 'Stressed Steady State Time': 13.639847000168475}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259532})",0.29999999999999993,0.9,0.4875,0.9375,0.4875,0.6375,0.45,0.7875,0.2875
"[{'sigma_u': 18.0, 'sigma_b': 0.19915515692625774, 'rho': 669.9620029052577, 'd': 0.7331460536087013, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.76621212121212, 'Stressed Variance': 340.71208565197435, 'Stressed Steady State Time': 13.639847000168475}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.29999999999999993,0.8875,0.6625,0.9125,0.625,0.65,0.45,0.8375,0.2875
"[{'sigma_u': 18.0, 'sigma_b': 0.19915515692625774, 'rho': 669.9620029052577, 'd': 0.7331460536087013, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.76621212121212, 'Stressed Variance': 340.71208565197435, 'Stressed Steady State Time': 13.639847000168475}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.29999999999999993,0.8875,0.6625,0.9125,0.625,0.65,0.45,0.8375,0.2875
"[{'sigma_u': 18.0, 'sigma_b': 0.19915515692625774, 'rho': 669.9620029052577, 'd': 0.7331460536087013, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.76621212121212, 'Stressed Variance': 340.71208565197435, 'Stressed Steady State Time': 13.639847000168475}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.29999999999999993,0.8875,0.6625,0.9125,0.625,0.65,0.45,0.8375,0.2875
"[{'sigma_u': 18.0, 'sigma_b': 0.19915515692625774, 'rho': 669.9620029052577, 'd': 0.7331460536087013, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.76621212121212, 'Stressed Variance': 340.71208565197435, 'Stressed Steady State Time': 13.639847000168475}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.29999999999999993,0.8875,0.6625,0.9125,0.625,0.65,0.45,0.8375,0.2875
"[{'sigma_u': 18.0, 'sigma_b': 0.19915515692625774, 'rho': 669.9620029052577, 'd': 0.7331460536087013, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.76621212121212, 'Stressed Variance': 340.71208565197435, 'Stressed Steady State Time': 13.639847000168475}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.29999999999999993,0.8875,0.6625,0.9125,0.625,0.65,0.45,0.8375,0.2875
"[{'sigma_u': 18.0, 'sigma_b': 0.19915515692625774, 'rho': 669.9620029052577, 'd': 0.7331460536087013, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.76621212121212, 'Stressed Variance': 340.71208565197435, 'Stressed Steady State Time': 13.639847000168475}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.29999999999999993,0.8875,0.6625,0.9125,0.625,0.65,0.45,0.8375,0.2875
"[{'sigma_u': 18.0, 'sigma_b': 0.19915515692625774, 'rho': 669.9620029052577, 'd': 0.7331460536087013, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.76621212121212, 'Stressed Variance': 340.71208565197435, 'Stressed Steady State Time': 13.639847000168475}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.29999999999999993,0.8875,0.6625,0.9125,0.625,0.65,0.45,0.8375,0.2875
"[{'sigma_u': 18.0, 'sigma_b': 0.19915515692625774, 'rho': 669.9620029052577, 'd': 0.7331460536087013, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.76621212121212, 'Stressed Variance': 340.71208565197435, 'Stressed Steady State Time': 13.639847000168475}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.29999999999999993,0.8875,0.6625,0.9125,0.625,0.65,0.45,0.8375,0.2875
"[{'sigma_u': 18.0, 'sigma_b': 0.19915515692625774, 'rho': 669.9620029052577, 'd': 0.7331460536087013, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.76621212121212, 'Stressed Variance': 340.71208565197435, 'Stressed Steady State Time': 13.639847000168475}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.29999999999999993,0.8875,0.6625,0.9125,0.625,0.65,0.45,0.8375,0.2875
"[{'sigma_u': 18.0, 'sigma_b': 0.19263326987703544, 'rho': 692.4471575219852, 'd': 0.7331998517849854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.187651515151515, 'Stressed Variance': 374.943650545225, 'Stressed Steady State Time': 13.638846183144826}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259532})",0.30999999999999994,0.95,0.6125,0.975,0.55,0.6625,0.45,0.5,0.3125
"[{'sigma_u': 18.0, 'sigma_b': 0.19263326987703544, 'rho': 692.4471575219852, 'd': 0.7331998517849854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.026060606060605, 'Stressed Variance': 368.3237905417815, 'Stressed Steady State Time': 13.638846183144826}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.30999999999999994,0.9625,0.5125,0.8875,0.5375,0.6375,0.45,0.5125,0.2875
"[{'sigma_u': 18.0, 'sigma_b': 0.19263326987703544, 'rho': 692.4471575219852, 'd': 0.7331998517849854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.026060606060605, 'Stressed Variance': 368.3237905417815, 'Stressed Steady State Time': 13.638846183144826}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.30999999999999994,0.9625,0.5125,0.8875,0.5375,0.6375,0.45,0.5125,0.2875
"[{'sigma_u': 18.0, 'sigma_b': 0.19263326987703544, 'rho': 692.4471575219852, 'd': 0.7331998517849854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.026060606060605, 'Stressed Variance': 368.3237905417815, 'Stressed Steady State Time': 13.638846183144826}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.30999999999999994,0.9625,0.5125,0.8875,0.5375,0.6375,0.45,0.5125,0.2875
"[{'sigma_u': 18.0, 'sigma_b': 0.19263326987703544, 'rho': 692.4471575219852, 'd': 0.7331998517849854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.026060606060605, 'Stressed Variance': 368.3237905417815, 'Stressed Steady State Time': 13.638846183144826}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.30999999999999994,0.9625,0.5125,0.8875,0.5375,0.6375,0.45,0.5125,0.2875
"[{'sigma_u': 18.0, 'sigma_b': 0.19263326987703544, 'rho': 692.4471575219852, 'd': 0.7331998517849854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.026060606060605, 'Stressed Variance': 368.3237905417815, 'Stressed Steady State Time': 13.638846183144826}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.30999999999999994,0.9625,0.5125,0.8875,0.5375,0.6375,0.45,0.5125,0.2875
"[{'sigma_u': 18.0, 'sigma_b': 0.19263326987703544, 'rho': 692.4471575219852, 'd': 0.7331998517849854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.026060606060605, 'Stressed Variance': 368.3237905417815, 'Stressed Steady State Time': 13.638846183144826}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.30999999999999994,0.9625,0.5125,0.8875,0.5375,0.6375,0.45,0.5125,0.2875
"[{'sigma_u': 18.0, 'sigma_b': 0.19263326987703544, 'rho': 692.4471575219852, 'd': 0.7331998517849854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.026060606060605, 'Stressed Variance': 368.3237905417815, 'Stressed Steady State Time': 13.638846183144826}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.30999999999999994,0.9625,0.5125,0.8875,0.5375,0.6375,0.45,0.5125,0.2875
"[{'sigma_u': 18.0, 'sigma_b': 0.19263326987703544, 'rho': 692.4471575219852, 'd': 0.7331998517849854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.026060606060605, 'Stressed Variance': 368.3237905417815, 'Stressed Steady State Time': 13.638846183144826}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.30999999999999994,0.9625,0.5125,0.8875,0.5375,0.6375,0.45,0.5125,0.2875
"[{'sigma_u': 18.0, 'sigma_b': 0.19263326987703544, 'rho': 692.4471575219852, 'd': 0.7331998517849854, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 10.026060606060605, 'Stressed Variance': 368.3237905417815, 'Stressed Steady State Time': 13.638846183144826}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.30999999999999994,0.9625,0.5125,0.8875,0.5375,0.6375,0.45,0.5125,0.2875
"[{'sigma_u': 18.0, 'sigma_b': 0.1865250585145128, 'rho': 714.9321020927683, 'd': 0.7332503144371938, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.867462121212121, 'Stressed Variance': 369.6924715894743, 'Stressed Steady State Time': 13.637907550950727}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259532})",0.3199999999999999,0.8625,0.6125,0.95,0.55,0.6125,0.45,0.6625,0.175
"[{'sigma_u': 18.0, 'sigma_b': 0.1865250585145128, 'rho': 714.9321020927683, 'd': 0.7332503144371938, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.776553030303031, 'Stressed Variance': 363.94223054264233, 'Stressed Steady State Time': 13.637907550950727}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.3199999999999999,0.925,0.5875,0.9,0.5875,0.725,0.45,0.55,0.3625
"[{'sigma_u': 18.0, 'sigma_b': 0.1865250585145128, 'rho': 714.9321020927683, 'd': 0.7332503144371938, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.776553030303031, 'Stressed Variance': 363.94223054264233, 'Stressed Steady State Time': 13.637907550950727}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.3199999999999999,0.925,0.5875,0.9,0.5875,0.725,0.45,0.55,0.3625
"[{'sigma_u': 18.0, 'sigma_b': 0.1865250585145128, 'rho': 714.9321020927683, 'd': 0.7332503144371938, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.776553030303031, 'Stressed Variance': 363.94223054264233, 'Stressed Steady State Time': 13.637907550950727}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.3199999999999999,0.925,0.5875,0.9,0.5875,0.725,0.45,0.55,0.3625
"[{'sigma_u': 18.0, 'sigma_b': 0.1865250585145128, 'rho': 714.9321020927683, 'd': 0.7332503144371938, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.776553030303031, 'Stressed Variance': 363.94223054264233, 'Stressed Steady State Time': 13.637907550950727}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.3199999999999999,0.925,0.5875,0.9,0.5875,0.725,0.45,0.55,0.3625
"[{'sigma_u': 18.0, 'sigma_b': 0.1865250585145128, 'rho': 714.9321020927683, 'd': 0.7332503144371938, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.776553030303031, 'Stressed Variance': 363.94223054264233, 'Stressed Steady State Time': 13.637907550950727}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.3199999999999999,0.925,0.5875,0.9,0.5875,0.725,0.45,0.55,0.3625
"[{'sigma_u': 18.0, 'sigma_b': 0.1865250585145128, 'rho': 714.9321020927683, 'd': 0.7332503144371938, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.776553030303031, 'Stressed Variance': 363.94223054264233, 'Stressed Steady State Time': 13.637907550950727}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.3199999999999999,0.925,0.5875,0.9,0.5875,0.725,0.45,0.55,0.3625
"[{'sigma_u': 18.0, 'sigma_b': 0.1865250585145128, 'rho': 714.9321020927683, 'd': 0.7332503144371938, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.776553030303031, 'Stressed Variance': 363.94223054264233, 'Stressed Steady State Time': 13.637907550950727}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.3199999999999999,0.925,0.5875,0.9,0.5875,0.725,0.45,0.55,0.3625
"[{'sigma_u': 18.0, 'sigma_b': 0.1865250585145128, 'rho': 714.9321020927683, 'd': 0.7332503144371938, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.776553030303031, 'Stressed Variance': 363.94223054264233, 'Stressed Steady State Time': 13.637907550950727}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.3199999999999999,0.925,0.5875,0.9,0.5875,0.725,0.45,0.55,0.3625
"[{'sigma_u': 18.0, 'sigma_b': 0.1865250585145128, 'rho': 714.9321020927683, 'd': 0.7332503144371938, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.776553030303031, 'Stressed Variance': 363.94223054264233, 'Stressed Steady State Time': 13.637907550950727}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.3199999999999999,0.925,0.5875,0.9,0.5875,0.725,0.45,0.55,0.3625
"[{'sigma_u': 18.0, 'sigma_b': 0.18079236860937306, 'rho': 737.416855710773, 'd': 0.7332977424384661, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.885340909090909, 'Stressed Variance': 378.9230275352961, 'Stressed Steady State Time': 13.637025482645802}, {'Normal Mean': 9.611503759398497, 'Normal Variance': 1067.4328300695347, 'Normal Steady State Time': 12.775248871259532})",0.32999999999999985,0.875,0.5125,0.925,0.45,0.6125,0.45,0.6375,0.3125
"[{'sigma_u': 18.0, 'sigma_b': 0.18079236860937306, 'rho': 737.416855710773, 'd': 0.7332977424384661, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.728219696969697, 'Stressed Variance': 369.9650369820362, 'Stressed Steady State Time': 13.637025482645802}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.32999999999999985,0.95,0.5625,0.8875,0.625,0.6375,0.45,0.6,0.2875
"[{'sigma_u': 18.0, 'sigma_b': 0.18079236860937306, 'rho': 737.416855710773, 'd': 0.7332977424384661, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.06014543999845443, 'rho': 1179.133813805053, 'd': 0.7827636158616834, 'label': 1}]","({'Stressed Mean': 9.728219696969697, 'Stressed Variance': 369.9650369820362, 'Stressed Steady State Time': 13.637025482645802}, {'Normal Mean': 9.71781954887218, 'Normal Variance': 1100.314885471197, 'Normal Steady State Time': 12.775248871259532})",0.32999999999999985,0.95,0.5625,0.8875,0.625,0.6375,0.45,0.6,0.2875
