0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143
0,27,0,0,10,17,17,0,0,0,20,18,0,0,0,0,0,0,20,21,5,0,0,22,1,0,12,19,23,25,17,29,20,21,19,25,24,18,0,0,0,23,22,0,0,0,2,0,0,0,19,16,18,23,20,1,0,22,17,20,14,0,0,23,20,20,16,3,0,0,0,12,22,0,0,7,0,0,24,14,2,14,19,19,25,20,25,6,0,15,26,0,0,12,22,1,23,18,25,12,21,0,0,0,0,20,18,19,20,0,0,0,0,0,16,23,21,16,19,21,18,17,12,28,0,1,0,0,22,22,22,19,14,14,21,0,22,19,24,35,20,0,0,0
0,15,12,1,17,15,16,26,17,0,0,1,0,0,0,27,1,15,25,21,20,19,0,0,0,20,17,0,0,20,19,0,14,22,13,24,23,0,0,0,12,0,0,0,28,11,4,0,0,0,0,0,0,13,0,0,0,0,20,29,14,24,0,13,24,0,0,0,0,17,0,0,0,9,0,26,22,22,0,0,0,20,20,10,0,0,0,0,21,4,0,12,27,17,1,0,0,0,0,0,0,0,0,17,11,0,13,15,13,16,21,20,23,0,18,22,20,23,24,0,0,0,11,21,24,22,18,17,20,0,20,20,21,29,27,16,12,2,0,0,0,0,25,19
0,19,0,23,23,31,1,0,0,16,19,24,24,1,0,0,0,0,0,11,20,15,20,15,17,0,22,17,22,15,7,0,0,0,0,0,0,14,27,13,20,17,17,29,22,18,22,17,25,18,22,0,27,7,25,5,24,0,0,0,0,0,0,0,1,0,16,15,0,0,22,0,29,21,23,22,23,20,20,26,23,19,13,6,28,0,11,18,21,17,1,0,18,19,14,11,14,26,0,0,0,21,0,17,16,0,0,0,0,0,0,0,24,0,19,20,20,20,0,0,0,1,3,0,0,24,4,0,2,18,26,1,0,19,20,24,14,14,20,16,2,0,0,19
0,16,0,10,20,0,0,14,0,22,0,0,25,11,0,0,0,0,17,16,0,0,0,19,20,23,19,15,24,24,13,29,21,8,0,0,15,22,32,17,22,24,14,18,19,0,0,0,0,24,22,0,24,3,29,23,20,3,20,20,18,22,23,19,12,26,23,22,19,19,17,11,22,15,1,21,7,0,17,0,0,0,0,0,0,0,21,24,24,19,26,23,0,11,0,0,0,14,20,21,22,16,1,0,19,24,25,19,26,19,0,27,0,0,21,28,20,15,17,20,23,17,9,0,9,28,19,25,13,26,2,21,16,0,0,0,0,18,17,13,24,0,25,19
0,20,15,18,12,18,23,19,19,16,0,0,19,21,20,20,23,23,22,15,17,15,8,0,0,0,0,14,18,16,0,0,18,22,22,15,27,21,20,9,0,19,22,23,0,0,0,17,0,18,21,22,14,10,17,19,0,0,12,20,21,0,0,0,0,19,10,0,20,0,0,20,4,0,0,0,15,22,27,0,0,0,20,17,23,0,0,9,0,0,22,12,1,0,22,15,17,25,17,0,21,0,0,0,0,14,16,27,20,0,0,0,0,13,21,25,0,18,0,0,0,0,0,0,14,24,18,19,23,20,19,20,14,17,18,30,16,0,0,0,0,0,0,0
0,23,25,20,23,0,0,0,16,0,0,0,0,28,24,0,0,0,0,0,0,1,11,22,20,33,15,22,20,21,18,4,0,0,0,0,0,11,9,0,17,4,0,0,0,0,0,0,0,0,0,19,0,0,14,0,0,15,16,0,0,0,0,0,0,0,21,26,20,25,23,20,26,0,0,0,0,17,0,0,0,13,11,26,0,16,13,19,21,0,0,15,0,0,0,1,0,0,21,23,15,0,0,0,27,26,23,0,0,0,0,8,0,0,18,1,0,0,26,23,19,14,18,3,1,0,22,22,25,18,30,0,0,0,0,0,0,0,0,3,0,0,0,0
0,21,20,26,25,20,17,12,0,0,0,5,0,24,16,16,18,23,0,28,0,0,0,0,18,0,0,0,20,21,29,0,0,24,16,0,9,0,0,0,0,4,17,0,0,0,0,0,26,4,0,0,0,17,11,0,0,0,19,0,29,18,19,18,0,0,0,0,0,0,0,0,0,22,0,4,0,19,25,17,14,0,0,0,0,0,0,0,0,13,23,6,7,17,23,16,19,0,0,1,24,0,16,0,7,0,0,20,14,19,26,19,27,25,0,18,0,19,15,21,20,23,18,23,0,0,0,27,22,23,13,24,10,15,18,0,0,0,0,0,0,1,19,23
0,16,17,0,0,0,0,20,19,19,21,23,0,0,16,15,0,19,0,20,15,20,17,20,1,5,17,17,11,10,1,18,23,24,0,6,24,23,17,0,0,0,22,18,0,7,0,0,15,17,0,20,19,13,17,0,17,15,18,15,23,19,18,23,3,0,2,0,0,0,9,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,17,10,14,14,26,26,0,0,3,0,0,11,8,0,0,17,0,19,0,0,23,0,22,22,4,0,0,22,14,21,5,15,17,0,0,0,21,17,28,19,20,25,29,20,11,18
0,22,17,18,24,28,1,0,24,10,10,0,0,0,21,0,0,0,13,0,16,18,13,14,16,25,19,0,0,0,8,23,0,0,0,0,13,0,0,0,0,0,0,0,15,5,18,0,0,0,0,0,20,16,0,0,0,0,0,0,0,0,0,21,0,0,23,6,0,0,0,20,19,0,0,0,0,22,19,0,15,0,0,0,20,1,0,0,0,0,0,0,0,0,14,25,17,21,21,27,22,1,0,0,14,1,28,0,9,1,0,0,24,22,1,3,0,0,0,1,0,0,22,19,19,10,26,30,0,0,24,19,17,17,22,20,16,19,20,1,15,9,20,13
0,13,19,15,19,18,17,18,8,18,0,18,9,20,13,18,0,0,17,20,0,19,34,0,0,0,0,0,0,11,0,22,17,17,17,1,18,0,0,0,0,0,0,20,21,0,0,0,21,15,13,18,0,0,0,0,0,16,26,22,18,21,24,13,17,20,19,18,18,1,0,15,1,0,0,23,20,0,0,0,24,0,0,0,15,20,20,1,6,0,0,16,14,16,20,26,18,22,19,25,18,11,24,12,0,0,0,0,0,23,14,2,0,0,0,3,11,12,0,0,0,0,0,14,0,19,10,21,20,0,0,0,0,0,0,21,14,15,28,12,25,0,22,18
