d_model,nhead,num_layers,dropout_rate,learning_rate,batch_size,pooling_strategy,use_conv1d,use_auxiliary,gradient_clip,train_acc,val_acc,test_acc,time
128,4,2,0.1,0.01,64,last,True,False,1.0,0.96328125,0.9609375,0.95625,23.92655873298645
128,4,2,0.1,0.01,64,last,True,False,5.0,0.961328125,0.9609375,0.95375,13.427678108215332
128,4,2,0.1,0.01,64,last,True,True,1.0,0.936328125,0.965625,0.95125,18.534560918807983
128,4,2,0.1,0.01,64,last,True,True,5.0,0.890625,0.946875,0.92,18.63913917541504
128,4,2,0.1,0.01,64,last,False,False,1.0,0.533984375,0.5921875,0.52125,7.523338794708252
128,4,2,0.1,0.01,64,last,False,False,5.0,0.540625,0.5921875,0.5425,7.22144889831543
128,4,2,0.1,0.01,64,last,False,True,1.0,0.53671875,0.54375,0.535,5.280827760696411
128,4,2,0.1,0.01,64,last,False,True,5.0,0.5328125,0.5984375,0.51375,8.451849937438965
128,4,2,0.1,0.01,64,mean,True,False,1.0,0.97890625,0.9609375,0.97,11.257410764694214
128,4,2,0.1,0.01,64,mean,True,False,5.0,0.98046875,0.9609375,0.965,13.078882455825806
128,4,2,0.1,0.01,64,mean,True,True,1.0,0.96875,0.9609375,0.96125,18.93280553817749
128,4,2,0.1,0.01,64,mean,True,True,5.0,0.96171875,0.9671875,0.96625,17.35735821723938
128,4,2,0.1,0.01,64,mean,False,False,1.0,0.80625,0.815625,0.80375,14.751168727874756
128,4,2,0.1,0.01,64,mean,False,False,5.0,0.708984375,0.6859375,0.6875,14.46590542793274
128,4,2,0.1,0.01,64,mean,False,True,1.0,0.619921875,0.65,0.64625,16.17052984237671
128,4,2,0.1,0.01,64,mean,False,True,5.0,0.510546875,0.5,0.5,5.222209215164185
128,4,2,0.1,0.01,128,last,True,False,1.0,0.950390625,0.95625,0.96125,11.632366180419922
128,4,2,0.1,0.01,128,last,True,False,5.0,0.947265625,0.9609375,0.955,10.432018280029297
128,4,2,0.1,0.01,128,last,True,True,1.0,0.75625,0.7875,0.765,12.13464903831482
128,4,2,0.1,0.01,128,last,True,True,5.0,0.677734375,0.7046875,0.7325,12.135531425476074
128,4,2,0.1,0.01,128,last,False,False,1.0,0.54375,0.5875,0.52,4.560493469238281
128,4,2,0.1,0.01,128,last,False,False,5.0,0.516015625,0.5890625,0.53875,5.200901985168457
128,4,2,0.1,0.01,128,last,False,True,1.0,0.51484375,0.525,0.5,3.4941649436950684
128,4,2,0.1,0.01,128,last,False,True,5.0,0.5015625,0.5515625,0.5025,2.572739601135254
128,4,2,0.1,0.01,128,mean,True,False,1.0,0.96796875,0.95,0.965,11.526943445205688
128,4,2,0.1,0.01,128,mean,True,False,5.0,0.9640625,0.95625,0.965,11.593429327011108
128,4,2,0.1,0.01,128,mean,True,True,1.0,0.851953125,0.8328125,0.86375,12.171344757080078
128,4,2,0.1,0.01,128,mean,True,True,5.0,0.87109375,0.8609375,0.89125,12.12400484085083
128,4,2,0.1,0.01,128,mean,False,False,1.0,0.700390625,0.7171875,0.69625,7.329060792922974
128,4,2,0.1,0.01,128,mean,False,False,5.0,0.73203125,0.7125,0.6925,10.775397300720215
128,4,2,0.1,0.01,128,mean,False,True,1.0,0.534765625,0.5796875,0.555,4.828166484832764
128,4,2,0.1,0.01,128,mean,False,True,5.0,0.54375,0.5953125,0.585,11.379024744033813
128,4,2,0.1,0.001,64,last,True,False,1.0,0.560546875,0.68125,0.63875,13.239223718643188
128,4,2,0.1,0.001,64,last,True,False,5.0,0.548828125,0.63125,0.625,11.868098974227905
128,4,2,0.1,0.001,64,last,True,True,1.0,0.53515625,0.5484375,0.53625,7.607140064239502
128,4,2,0.1,0.001,64,last,True,True,5.0,0.537109375,0.584375,0.5675,7.846143007278442
128,4,2,0.1,0.001,64,last,False,False,1.0,0.503515625,0.540625,0.54375,3.294071912765503
128,4,2,0.1,0.001,64,last,False,False,5.0,0.498828125,0.5140625,0.49375,4.461560487747192
128,4,2,0.1,0.001,64,last,False,True,1.0,0.52265625,0.546875,0.48375,4.491076469421387
128,4,2,0.1,0.001,64,last,False,True,5.0,0.49765625,0.5,0.52375,4.525536298751831
128,4,2,0.1,0.001,64,mean,True,False,1.0,0.656640625,0.6453125,0.64625,11.031660795211792
128,4,2,0.1,0.001,64,mean,True,False,5.0,0.682421875,0.7140625,0.69375,16.66818928718567
128,4,2,0.1,0.001,64,mean,True,True,1.0,0.554296875,0.628125,0.60375,16.958632707595825
128,4,2,0.1,0.001,64,mean,True,True,5.0,0.571484375,0.6203125,0.6125,15.044347524642944
128,4,2,0.1,0.001,64,mean,False,False,1.0,0.558984375,0.584375,0.5625,4.759044647216797
128,4,2,0.1,0.001,64,mean,False,False,5.0,0.606640625,0.625,0.59625,9.690413475036621
128,4,2,0.1,0.001,64,mean,False,True,1.0,0.52890625,0.584375,0.5725,14.366152286529541
128,4,2,0.1,0.001,64,mean,False,True,5.0,0.516796875,0.5296875,0.52875,6.356009483337402
128,4,2,0.1,0.001,128,last,True,False,1.0,0.56328125,0.6234375,0.59,8.502516746520996
128,4,2,0.1,0.001,128,last,True,False,5.0,0.548046875,0.603125,0.63125,5.320497512817383
128,4,2,0.1,0.001,128,last,True,True,1.0,0.507421875,0.5546875,0.54125,3.8944101333618164
128,4,2,0.1,0.001,128,last,True,True,5.0,0.510546875,0.5390625,0.545,4.620888948440552
128,4,2,0.1,0.001,128,last,False,False,1.0,0.5296875,0.590625,0.535,6.662149667739868
128,4,2,0.1,0.001,128,last,False,False,5.0,0.5125,0.4625,0.485,2.8126585483551025
128,4,2,0.1,0.001,128,last,False,True,1.0,0.4921875,0.5703125,0.50625,7.263455390930176
128,4,2,0.1,0.001,128,last,False,True,5.0,0.5171875,0.5140625,0.5375,3.6419999599456787
128,4,2,0.1,0.001,128,mean,True,False,1.0,0.684765625,0.696875,0.6775,11.036923885345459
128,4,2,0.1,0.001,128,mean,True,False,5.0,0.687890625,0.7109375,0.6875,10.576517820358276
128,4,2,0.1,0.001,128,mean,True,True,1.0,0.5390625,0.5875,0.585,5.086219310760498
128,4,2,0.1,0.001,128,mean,True,True,5.0,0.54296875,0.5953125,0.57,7.254549503326416
128,4,2,0.1,0.001,128,mean,False,False,1.0,0.56640625,0.5875,0.57125,3.6510510444641113
128,4,2,0.1,0.001,128,mean,False,False,5.0,0.5765625,0.6,0.575,5.993421316146851
128,4,2,0.1,0.001,128,mean,False,True,1.0,0.512890625,0.54375,0.515,6.332926034927368
128,4,2,0.1,0.001,128,mean,False,True,5.0,0.509765625,0.5234375,0.525,4.304789304733276
128,4,2,0.01,0.01,64,last,True,False,1.0,0.999609375,0.9546875,0.95875,10.49105978012085
128,4,2,0.01,0.01,64,last,True,False,5.0,0.998828125,0.953125,0.96,8.873430252075195
128,4,2,0.01,0.01,64,last,True,True,1.0,0.9984375,0.95625,0.96125,10.069631814956665
128,4,2,0.01,0.01,64,last,True,True,5.0,0.996875,0.9515625,0.96,12.63675856590271
128,4,2,0.01,0.01,64,last,False,False,1.0,0.971484375,0.953125,0.96875,14.709546327590942
128,4,2,0.01,0.01,64,last,False,False,5.0,0.962890625,0.9640625,0.95875,14.722066164016724
128,4,2,0.01,0.01,64,last,False,True,1.0,0.969140625,0.9546875,0.96375,16.154810190200806
128,4,2,0.01,0.01,64,last,False,True,5.0,0.89296875,0.8984375,0.8875,16.118884086608887
128,4,2,0.01,0.01,64,mean,True,False,1.0,0.999609375,0.9578125,0.97,13.739421129226685
128,4,2,0.01,0.01,64,mean,True,False,5.0,0.99921875,0.965625,0.965,12.452595233917236
128,4,2,0.01,0.01,64,mean,True,True,1.0,0.99453125,0.9546875,0.955,10.76506495475769
128,4,2,0.01,0.01,64,mean,True,True,5.0,0.993359375,0.95625,0.95875,11.999840021133423
128,4,2,0.01,0.01,64,mean,False,False,1.0,0.96953125,0.9515625,0.96375,13.820314168930054
128,4,2,0.01,0.01,64,mean,False,False,5.0,0.978125,0.9578125,0.95625,13.464244604110718
128,4,2,0.01,0.01,64,mean,False,True,1.0,0.8765625,0.8859375,0.90375,16.0353000164032
128,4,2,0.01,0.01,64,mean,False,True,5.0,0.905078125,0.9,0.92,16.17168092727661
128,4,2,0.01,0.01,128,last,True,False,1.0,0.99921875,0.9546875,0.95375,5.779062986373901
128,4,2,0.01,0.01,128,last,True,False,5.0,0.994921875,0.95625,0.9525,5.552987098693848
128,4,2,0.01,0.01,128,last,True,True,1.0,0.9953125,0.9578125,0.95875,7.293655872344971
128,4,2,0.01,0.01,128,last,True,True,5.0,0.996484375,0.9640625,0.95875,9.674422025680542
128,4,2,0.01,0.01,128,last,False,False,1.0,0.917578125,0.9296875,0.93,10.79266881942749
128,4,2,0.01,0.01,128,last,False,False,5.0,0.907421875,0.921875,0.925,10.767768383026123
128,4,2,0.01,0.01,128,last,False,True,1.0,0.811328125,0.8546875,0.83125,11.381250858306885
128,4,2,0.01,0.01,128,last,False,True,5.0,0.775,0.8015625,0.79875,11.43108081817627
128,4,2,0.01,0.01,128,mean,True,False,1.0,0.996875,0.953125,0.96875,7.159282922744751
128,4,2,0.01,0.01,128,mean,True,False,5.0,0.983203125,0.9578125,0.97125,6.458136558532715
128,4,2,0.01,0.01,128,mean,True,True,1.0,0.9875,0.9765625,0.955,11.971357583999634
128,4,2,0.01,0.01,128,mean,True,True,5.0,0.984765625,0.9546875,0.97,12.129960775375366
128,4,2,0.01,0.01,128,mean,False,False,1.0,0.9296875,0.909375,0.9275,10.74566388130188
128,4,2,0.01,0.01,128,mean,False,False,5.0,0.899609375,0.9234375,0.87375,10.729401111602783
128,4,2,0.01,0.01,128,mean,False,True,1.0,0.67578125,0.6640625,0.65625,8.396149158477783
128,4,2,0.01,0.01,128,mean,False,True,5.0,0.773046875,0.7890625,0.7725,11.283931255340576
128,4,2,0.01,0.001,64,last,True,False,1.0,0.939453125,0.9546875,0.94625,14.743029117584229
128,4,2,0.01,0.001,64,last,True,False,5.0,0.9125,0.9375,0.94,13.375186681747437
128,4,2,0.01,0.001,64,last,True,True,1.0,0.867578125,0.9328125,0.925,17.32074737548828
128,4,2,0.01,0.001,64,last,True,True,5.0,0.861328125,0.9078125,0.865,15.680099964141846
128,4,2,0.01,0.001,64,last,False,False,1.0,0.59375,0.6234375,0.5525,5.9099037647247314
128,4,2,0.01,0.001,64,last,False,False,5.0,0.625,0.653125,0.635,11.945196151733398
128,4,2,0.01,0.001,64,last,False,True,1.0,0.5796875,0.6546875,0.60125,16.308964490890503
128,4,2,0.01,0.001,64,last,False,True,5.0,0.558984375,0.61875,0.585,6.833661317825317
128,4,2,0.01,0.001,64,mean,True,False,1.0,0.88828125,0.89375,0.87125,16.858263731002808
128,4,2,0.01,0.001,64,mean,True,False,5.0,0.866796875,0.8765625,0.845,17.051899909973145
128,4,2,0.01,0.001,64,mean,True,True,1.0,0.75546875,0.7796875,0.77125,18.671096086502075
128,4,2,0.01,0.001,64,mean,True,True,5.0,0.69765625,0.6828125,0.6775,14.294389247894287
128,4,2,0.01,0.001,64,mean,False,False,1.0,0.700390625,0.715625,0.6725,14.676082849502563
128,4,2,0.01,0.001,64,mean,False,False,5.0,0.648828125,0.64375,0.61875,7.436654329299927
128,4,2,0.01,0.001,64,mean,False,True,1.0,0.636328125,0.659375,0.61625,14.217758178710938
128,4,2,0.01,0.001,64,mean,False,True,5.0,0.61953125,0.646875,0.62125,13.21903681755066
128,4,2,0.01,0.001,128,last,True,False,1.0,0.876953125,0.9484375,0.925,10.677628993988037
128,4,2,0.01,0.001,128,last,True,False,5.0,0.898046875,0.9453125,0.92875,10.396246910095215
128,4,2,0.01,0.001,128,last,True,True,1.0,0.832421875,0.890625,0.8525,10.888947248458862
128,4,2,0.01,0.001,128,last,True,True,5.0,0.80234375,0.8671875,0.83625,10.945752620697021
128,4,2,0.01,0.001,128,last,False,False,1.0,0.6296875,0.675,0.61375,10.742042303085327
128,4,2,0.01,0.001,128,last,False,False,5.0,0.581640625,0.6453125,0.57375,10.143623352050781
128,4,2,0.01,0.001,128,last,False,True,1.0,0.5484375,0.60625,0.55875,8.945024490356445
128,4,2,0.01,0.001,128,last,False,True,5.0,0.57734375,0.625,0.58,10.808217287063599
128,4,2,0.01,0.001,128,mean,True,False,1.0,0.814453125,0.8234375,0.79375,11.53733205795288
128,4,2,0.01,0.001,128,mean,True,False,5.0,0.75703125,0.7703125,0.7325,10.599532127380371
128,4,2,0.01,0.001,128,mean,True,True,1.0,0.67890625,0.684375,0.69125,12.058700323104858
128,4,2,0.01,0.001,128,mean,True,True,5.0,0.66953125,0.675,0.67,8.698315620422363
128,4,2,0.01,0.001,128,mean,False,False,1.0,0.626953125,0.6046875,0.58625,4.972984075546265
128,4,2,0.01,0.001,128,mean,False,False,5.0,0.61875,0.6296875,0.60125,4.939303874969482
128,4,2,0.01,0.001,128,mean,False,True,1.0,0.597265625,0.6375,0.61,5.886284351348877
128,4,2,0.01,0.001,128,mean,False,True,5.0,0.566796875,0.584375,0.57,6.118795394897461
128,4,2,0.001,0.01,64,last,True,False,1.0,1.0,0.9609375,0.96,8.137846231460571
128,4,2,0.001,0.01,64,last,True,False,5.0,0.998828125,0.959375,0.9625,7.533111095428467
128,4,2,0.001,0.01,64,last,True,True,1.0,0.9984375,0.9578125,0.95375,10.138440608978271
128,4,2,0.001,0.01,64,last,True,True,5.0,0.998828125,0.95625,0.95125,9.086976766586304
128,4,2,0.001,0.01,64,last,False,False,1.0,0.999609375,0.9515625,0.96375,12.769763708114624
128,4,2,0.001,0.01,64,last,False,False,5.0,0.999609375,0.9453125,0.96375,11.017153978347778
