d_model,nhead,num_layers,dropout_rate,learning_rate,batch_size,pooling_strategy,use_conv1d,use_auxiliary,gradient_clip,train_acc,val_acc,test_acc,time
128,4,2,0.1,0.01,64,last,True,False,1.0,0.9359375,0.98125,0.97875,26.742151737213135
128,4,2,0.1,0.01,64,last,True,False,5.0,0.85078125,0.928125,0.93125,26.632558345794678
128,4,2,0.1,0.01,64,last,True,True,1.0,0.951953125,0.98125,0.99,27.166704416275024
128,4,2,0.1,0.01,64,last,True,True,5.0,0.82734375,0.9,0.88875,27.388898611068726
128,4,2,0.1,0.01,64,last,False,False,1.0,0.50859375,0.5,0.5,5.6575822830200195
128,4,2,0.1,0.01,64,last,False,False,5.0,0.496484375,0.4890625,0.49625,6.246528148651123
128,4,2,0.1,0.01,64,last,False,True,1.0,0.497265625,0.528125,0.52,6.259647846221924
128,4,2,0.1,0.01,64,last,False,True,5.0,0.51640625,0.546875,0.5325,12.916115045547485
128,4,2,0.1,0.01,64,mean,True,False,1.0,0.980078125,0.9828125,0.985,19.456117630004883
128,4,2,0.1,0.01,64,mean,True,False,5.0,0.980859375,0.9828125,0.9875,22.899519681930542
128,4,2,0.1,0.01,64,mean,True,True,1.0,0.968359375,0.984375,0.9875,27.816254138946533
128,4,2,0.1,0.01,64,mean,True,True,5.0,0.974609375,0.96875,0.97625,26.887491941452026
128,4,2,0.1,0.01,64,mean,False,False,1.0,0.6421875,0.640625,0.67375,22.06829833984375
128,4,2,0.1,0.01,64,mean,False,False,5.0,0.502734375,0.5015625,0.5225,14.917773723602295
128,4,2,0.1,0.01,64,mean,False,True,1.0,0.5125,0.521875,0.5425,6.310863494873047
128,4,2,0.1,0.01,64,mean,False,True,5.0,0.537890625,0.5328125,0.55375,9.062207221984863
128,4,2,0.1,0.01,64,learnable,True,False,1.0,0.50078125,0.5125,0.525,6.612094402313232
128,4,2,0.1,0.01,64,learnable,True,False,5.0,0.514453125,0.5,0.5,9.425358533859253
128,4,2,0.1,0.01,64,learnable,True,True,1.0,0.4984375,0.5,0.5,8.322409868240356
128,4,2,0.1,0.01,64,learnable,True,True,5.0,0.502734375,0.4984375,0.495,6.117738485336304
128,4,2,0.1,0.01,64,learnable,False,False,1.0,0.509375,0.5,0.5,6.751873731613159
128,4,2,0.1,0.01,64,learnable,False,False,5.0,0.4875,0.5,0.5,8.29724669456482
128,4,2,0.1,0.01,64,learnable,False,True,1.0,0.5,0.5,0.5,7.915160894393921
128,4,2,0.1,0.01,64,learnable,False,True,5.0,0.499609375,0.5,0.5,5.790756464004517
128,4,2,0.1,0.01,128,last,True,False,1.0,0.913671875,0.9453125,0.9625,25.26007628440857
128,4,2,0.1,0.01,128,last,True,False,5.0,0.701171875,0.7421875,0.7375,25.290323972702026
128,4,2,0.1,0.01,128,last,True,True,1.0,0.570703125,0.6390625,0.61125,10.268419742584229
128,4,2,0.1,0.01,128,last,True,True,5.0,0.623828125,0.6765625,0.6725,23.891130447387695
128,4,2,0.1,0.01,128,last,False,False,1.0,0.498828125,0.5265625,0.51375,5.838719844818115
128,4,2,0.1,0.01,128,last,False,False,5.0,0.5015625,0.515625,0.49875,8.808116912841797
128,4,2,0.1,0.01,128,last,False,True,1.0,0.526171875,0.5375,0.53625,11.327006816864014
128,4,2,0.1,0.01,128,last,False,True,5.0,0.521875,0.525,0.4975,6.939015865325928
128,4,2,0.1,0.01,128,mean,True,False,1.0,0.95078125,0.9703125,0.9725,25.361356019973755
128,4,2,0.1,0.01,128,mean,True,False,5.0,0.941796875,0.96875,0.97875,26.914377212524414
128,4,2,0.1,0.01,128,mean,True,True,1.0,0.925390625,0.946875,0.935,29.37952160835266
128,4,2,0.1,0.01,128,mean,True,True,5.0,0.913671875,0.928125,0.95625,29.126331567764282
128,4,2,0.1,0.01,128,mean,False,False,1.0,0.5140625,0.5265625,0.5275,10.717984676361084
128,4,2,0.1,0.01,128,mean,False,False,5.0,0.5125,0.4890625,0.47875,6.409835338592529
128,4,2,0.1,0.01,128,mean,False,True,1.0,0.667578125,0.6921875,0.66875,26.752451419830322
128,4,2,0.1,0.01,128,mean,False,True,5.0,0.587890625,0.5484375,0.58,24.579752206802368
128,4,2,0.1,0.01,128,learnable,True,False,1.0,0.51328125,0.5015625,0.50625,7.054071426391602
128,4,2,0.1,0.01,128,learnable,True,False,5.0,0.50703125,0.5,0.5,8.515806198120117
128,4,2,0.1,0.01,128,learnable,True,True,1.0,0.505859375,0.5,0.5,14.221252202987671
128,4,2,0.1,0.01,128,learnable,True,True,5.0,0.49609375,0.4953125,0.485,9.170775175094604
128,4,2,0.1,0.01,128,learnable,False,False,1.0,0.494921875,0.5,0.5,8.706342935562134
128,4,2,0.1,0.01,128,learnable,False,False,5.0,0.502734375,0.5,0.5,8.041606903076172
128,4,2,0.1,0.01,128,learnable,False,True,1.0,0.475,0.478125,0.5025,11.554221391677856
128,4,2,0.1,0.01,128,learnable,False,True,5.0,0.496875,0.5,0.5,11.892309665679932
128,4,2,0.1,0.001,64,last,True,False,1.0,0.544921875,0.60625,0.5925,32.25000834465027
128,4,2,0.1,0.001,64,last,True,False,5.0,0.52265625,0.5765625,0.5575,18.634777069091797
128,4,2,0.1,0.001,64,last,True,True,1.0,0.512109375,0.525,0.51,9.893215656280518
128,4,2,0.1,0.001,64,last,True,True,5.0,0.534765625,0.5890625,0.55875,21.932049989700317
128,4,2,0.1,0.001,64,last,False,False,1.0,0.491015625,0.53125,0.51375,8.250253915786743
128,4,2,0.1,0.001,64,last,False,False,5.0,0.5234375,0.5140625,0.50625,10.91998815536499
128,4,2,0.1,0.001,64,last,False,True,1.0,0.49296875,0.525,0.51625,6.816009759902954
128,4,2,0.1,0.001,64,last,False,True,5.0,0.495703125,0.5171875,0.505,12.022090196609497
128,4,2,0.1,0.001,64,mean,True,False,1.0,0.680859375,0.7234375,0.72875,27.282907724380493
128,4,2,0.1,0.001,64,mean,True,False,5.0,0.6359375,0.684375,0.66625,27.237759828567505
128,4,2,0.1,0.001,64,mean,True,True,1.0,0.6640625,0.6734375,0.6825,25.082951307296753
128,4,2,0.1,0.001,64,mean,True,True,5.0,0.647265625,0.6859375,0.71625,21.179662942886353
128,4,2,0.1,0.001,64,mean,False,False,1.0,0.51953125,0.5265625,0.5275,10.350442886352539
128,4,2,0.1,0.001,64,mean,False,False,5.0,0.512109375,0.5296875,0.53625,15.008026599884033
128,4,2,0.1,0.001,64,mean,False,True,1.0,0.500390625,0.496875,0.51125,7.368803024291992
128,4,2,0.1,0.001,64,mean,False,True,5.0,0.536328125,0.5703125,0.59,15.221482038497925
128,4,2,0.1,0.001,64,learnable,True,False,1.0,0.516015625,0.596875,0.56625,23.125410318374634
128,4,2,0.1,0.001,64,learnable,True,False,5.0,0.527734375,0.521875,0.49125,7.327812194824219
128,4,2,0.1,0.001,64,learnable,True,True,1.0,0.490234375,0.51875,0.50125,9.589762687683105
128,4,2,0.1,0.001,64,learnable,True,True,5.0,0.52734375,0.53125,0.55,12.929908275604248
128,4,2,0.1,0.001,64,learnable,False,False,1.0,0.513671875,0.509375,0.51375,9.407549619674683
