label,short_label,experiment,checkpoint,svm_acc,mlp_acc,delta,status
IY022-batch b64 D16 082200,IY022-batch b64 D16,EXP-26-IY022,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY022/IY022_simCLR_b64_lr0.01_L2_H4_D16_batch-wise_20260311_082200_model.pth,0.6702127659574468,0.6595744680851063,-0.010638297872340496,ok
IY022-global b64 D16 170229,IY022-global b64 D16,EXP-26-IY022,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY022/IY022_simCLR_b64_lr0.01_L2_H4_D16_20260303_170229_model.pth,0.6063829787234043,0.6595744680851063,0.05319148936170204,ok
IY023-global b512 D16 170227,IY023-global b512 D16,EXP-26-IY023,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY023/IY023_simCLR_mixed_b512_lr0.01_L2_H4_D16_global_20260315_170227_model.pth,0.6702127659574468,0.648936170212766,-0.021276595744680882,ok
IY017-inst b512 D16 154043,IY017-inst b512 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b512_lr0.01_L2_H4_D16_20260219_154043_model.pth,0.6808510638297872,0.648936170212766,-0.03191489361702127,ok
IY023-global b64 D16 125550,IY023-global b64 D16,EXP-26-IY023,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY023/IY023_simCLR_b64_lr0.01_L2_H4_D16_20260308_125550_model.pth,0.648936170212766,0.648936170212766,0.0,ok
IY017-inst b64 D8 092414,IY017-inst b64 D8,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b64_lr0.01_L2_H4_D8_20260224_092414_model.pth,0.6808510638297872,0.648936170212766,-0.03191489361702127,ok
IY017-inst b2048 D16 162432,IY017-inst b2048 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b2048_lr0.01_L2_H4_D16_20260220_162432_model.pth,0.648936170212766,0.648936170212766,0.0,ok
IY022-joint b64 D16 132219,IY022-joint b64 D16,EXP-26-IY022,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY022/IY022_simCLR_b64_lr0.01_L2_H4_D16_20260308_132219_model.pth,0.648936170212766,0.6382978723404256,-0.010638297872340385,ok
IY023-batch b64 D16 104312,IY023-batch b64 D16,EXP-26-IY023,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY023/IY023_simCLR_mixed_b64_lr0.01_L2_H4_D16_batch-wise_20260311_104312_model.pth,0.6914893617021277,0.6382978723404256,-0.05319148936170215,ok
IY022-global b64 D16 142010,IY022-global b64 D16,EXP-26-IY022,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY022/IY022_simCLR_b64_lr0.01_L2_H4_D16_global_20260312_142010_model.pth,0.6914893617021277,0.6382978723404256,-0.05319148936170215,ok
IY022-batch b64 D16 082230,IY022-batch b64 D16,EXP-26-IY022,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY022/IY022_simCLR_b64_lr0.01_L2_H4_D16_batch-wise_20260311_082230_model.pth,0.6595744680851063,0.6382978723404256,-0.02127659574468077,ok
IY017-inst b64 D16 #17,IY017-inst b64 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b64_lr0.01_d0.01_L2_H4_D16_model.pth,0.6276595744680851,0.6382978723404256,0.010638297872340496,ok
IY017-inst b32 D128 #09,IY017-inst b32 D128,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b32_lr0.01_L2_H4_D128_model.pth,0.6170212765957447,0.6382978723404256,0.021276595744680882,ok
IY017-inst b128 D16 151037,IY017-inst b128 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b128_lr0.01_L2_H4_D16_20260217_151037_model.pth,0.6170212765957447,0.6382978723404256,0.021276595744680882,ok
IY017-inst b4096 D16 140729,IY017-inst b4096 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b4096_lr0.01_L2_H4_D16_20260221_140729_model.pth,0.6382978723404256,0.6382978723404256,0.0,ok
IY017-inst b1024 D16 061239,IY017-inst b1024 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b1024_lr0.01_L2_H4_D16_20260224_061239_model.pth,0.6276595744680851,0.6382978723404256,0.010638297872340496,ok
IY023-global b64 D16 130449,IY023-global b64 D16,EXP-26-IY023,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY023/IY023_simCLR_mixed_b64_lr0.01_L2_H4_D16_global_20260315_130449_model.pth,0.6382978723404256,0.6276595744680851,-0.010638297872340496,ok
IY017-inst b100 D128 #00,IY017-inst b100 D128,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b100_lr0.01_L2_H4_D128_model.pth,0.6382978723404256,0.6170212765957447,-0.021276595744680882,ok
IY017-inst b16 D16 #05,IY017-inst b16 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b16_lr0.01_L2_H4_D16_model.pth,0.6063829787234043,0.6063829787234043,0.0,ok
IY017-inst b64 D16 215100,IY017-inst b64 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b64_lr0.01_L2_H4_D16_20260223_215100_model.pth,0.6382978723404256,0.5957446808510638,-0.042553191489361764,ok
IY017-inst b16 D16 #06,IY017-inst b16 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b16_lr0.01_d0.01_L2_H4_D16_model.pth,0.46808510638297873,0.5851063829787234,0.11702127659574468,ok
IY022-global b64 D16 125632,IY022-global b64 D16,EXP-26-IY022,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY022/IY022_simCLR_b64_lr0.01_L2_H4_D16_20260308_125632_model.pth,0.6170212765957447,0.5638297872340425,-0.05319148936170215,ok
IY017-inst b100 D128 #01,IY017-inst b100 D128,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b100_lr0.01_d0.01_L2_H4_D128_model.pth,0.5531914893617021,0.5531914893617021,0.0,ok
IY023-joint b64 D16 165118,IY023-joint b64 D16,EXP-26-IY023,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY023/IY023_simCLR_b64_lr0.01_L2_H4_D16_20260308_165118_model.pth,0.5851063829787234,0.5425531914893617,-0.042553191489361764,ok
