representation,ARI,NMI,n_clusters,kmeans_inertia
Raw SVM features,0.4227419485274057,0.5298726777703453,6,29339.85784292882
catch22,0.0892173819749982,0.15033764185526124,6,14254.835537046944
SimCLR,0.3201805159111078,0.4604556879565773,6,5008.3984375
SimCLR + SVM scores,0.44101931860668137,0.5675598496064882,6,287.58787555579255
