representation,D_score,mean_within_distance,mean_between_distance,pooled_distance_sd,n_within_pairs,n_between_pairs
Raw SVM features,1.0263138981637554,12.001834171568369,18.13861178521778,5.979435360496546,18018,91260
catch22,0.20331073774864003,8.585652979684165,9.106882300824214,2.563707784998858,18018,91260
SimCLR,0.8483148776678332,5.338083373980656,7.827034119392286,2.93399398140251,18018,91260
SimCLR + SVM scores,1.8151138538156426,1.3962331186649584,3.4899948340651727,1.1535153626858239,18018,91260
