representation,D_score,mean_within_distance,mean_between_distance,pooled_distance_sd,n_within_pairs,n_between_pairs
Raw SVM features,0.145046965338525,3.8697795711484284,4.858320692521354,6.815317501236721,66780,741576
catch22,0.29416698369744937,8.210558077884874,8.787251796158321,1.9604297906748636,66780,741576
SimCLR,0.3400114377120286,6.810983768511723,7.698888761116986,2.6113974240986284,66780,741576
SimCLR + SVM scores,0.740243769031536,3.8025103393542095,4.8156327840055475,1.3686335326764187,66780,741576
