representation,ARI,NMI,n_clusters,kmeans_inertia
Raw SVM features,0.07570404925766411,0.2081686316394866,12,4051.735507479086
catch22,0.0684279471508028,0.17125665340878127,12,29109.732221657432
SimCLR,0.1066581969126982,0.2332295625885986,12,11248.982421875
SimCLR + SVM scores,0.15633489851599927,0.27954433126476474,12,3875.114627457421
