label,short_label,experiment,checkpoint,checkpoint_name,accuracy,status,error
IY017-inst b4096 D16 140729,IY017-inst b4096 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b4096_lr0.01_L2_H4_D16_20260221_140729_model.pth,IY017_simCLR_b4096_lr0.01_L2_H4_D16_20260221_140729_model.pth,0.6632653061224489,ok,
IY017-inst b512 D16 154043,IY017-inst b512 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b512_lr0.01_L2_H4_D16_20260219_154043_model.pth,IY017_simCLR_b512_lr0.01_L2_H4_D16_20260219_154043_model.pth,0.6632653061224489,ok,
IY022-global b64 D16 125632,IY022-global b64 D16,EXP-26-IY022,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY022/IY022_simCLR_b64_lr0.01_L2_H4_D16_20260308_125632_model.pth,IY022_simCLR_b64_lr0.01_L2_H4_D16_20260308_125632_model.pth,0.6530612244897959,ok,
IY017-inst b2048 D16 162432,IY017-inst b2048 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b2048_lr0.01_L2_H4_D16_20260220_162432_model.pth,IY017_simCLR_b2048_lr0.01_L2_H4_D16_20260220_162432_model.pth,0.6530612244897959,ok,
IY023-global b512 D16 170227,IY023-global b512 D16,EXP-26-IY023,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY023/IY023_simCLR_mixed_b512_lr0.01_L2_H4_D16_global_20260315_170227_model.pth,IY023_simCLR_mixed_b512_lr0.01_L2_H4_D16_global_20260315_170227_model.pth,0.6530612244897959,ok,
IY023-batch b64 D8 120151,IY023-batch b64 D8,EXP-26-IY023,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY023/IY023_simCLR_mixed_b64_lr0.01_L2_H4_D8_batch-wise_20260416_120151_model.pth,IY023_simCLR_mixed_b64_lr0.01_L2_H4_D8_batch-wise_20260416_120151_model.pth,0.6530612244897959,ok,
IY017-inst b1024 D16 164413,IY017-inst b1024 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b1024_lr0.01_L2_H4_D16_20260219_164413_model.pth,IY017_simCLR_b1024_lr0.01_L2_H4_D16_20260219_164413_model.pth,0.6428571428571429,ok,
IY022-global b64 D16 142010,IY022-global b64 D16,EXP-26-IY022,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY022/IY022_simCLR_b64_lr0.01_L2_H4_D16_global_20260312_142010_model.pth,IY022_simCLR_b64_lr0.01_L2_H4_D16_global_20260312_142010_model.pth,0.6428571428571429,ok,
IY024-batch b64 D16 210002,IY024-batch b64 D16,EXP-26-IY024,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY024/IY024_simCLR_mixed_cross_view_b64_lr0.01_L2_H4_D16_batch-wise_20260419_210002_model.pth,IY024_simCLR_mixed_cross_view_b64_lr0.01_L2_H4_D16_batch-wise_20260419_210002_model.pth,0.6428571428571429,ok,
IY017-inst b16 D16 #05,IY017-inst b16 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b16_lr0.01_L2_H4_D16_model.pth,IY017_simCLR_b16_lr0.01_L2_H4_D16_model.pth,0.6326530612244898,ok,
IY023-global b64 D16 125550,IY023-global b64 D16,EXP-26-IY023,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY023/IY023_simCLR_b64_lr0.01_L2_H4_D16_20260308_125550_model.pth,IY023_simCLR_b64_lr0.01_L2_H4_D16_20260308_125550_model.pth,0.6326530612244898,ok,
IY017-inst b256 D16 154425,IY017-inst b256 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b256_lr0.01_L2_H4_D16_20260218_154425_model.pth,IY017_simCLR_b256_lr0.01_L2_H4_D16_20260218_154425_model.pth,0.6326530612244898,ok,
IY017-inst b1024 D16 061239,IY017-inst b1024 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b1024_lr0.01_L2_H4_D16_20260224_061239_model.pth,IY017_simCLR_b1024_lr0.01_L2_H4_D16_20260224_061239_model.pth,0.6326530612244898,ok,
IY017-inst b64 D16 215100,IY017-inst b64 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b64_lr0.01_L2_H4_D16_20260223_215100_model.pth,IY017_simCLR_b64_lr0.01_L2_H4_D16_20260223_215100_model.pth,0.6326530612244898,ok,
IY023-batch b1024 D16 183509,IY023-batch b1024 D16,EXP-26-IY023,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY023/IY023_simCLR_mixed_b1024_lr0.01_L2_H4_D16_batch-wise_20260311_183509_model.pth,IY023_simCLR_mixed_b1024_lr0.01_L2_H4_D16_batch-wise_20260311_183509_model.pth,0.6224489795918368,ok,
IY017-inst b4096 D16 023947,IY017-inst b4096 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b4096_lr0.01_L2_H4_D16_20260225_023947_model.pth,IY017_simCLR_b4096_lr0.01_L2_H4_D16_20260225_023947_model.pth,0.6224489795918368,ok,
IY024-batch b64 D8 203126,IY024-batch b64 D8,EXP-26-IY024,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY024/IY024_simCLR_mixed_cross_view_b64_lr0.01_L2_H4_D8_batch-wise_20260419_203126_model.pth,IY024_simCLR_mixed_cross_view_b64_lr0.01_L2_H4_D8_batch-wise_20260419_203126_model.pth,0.6122448979591837,ok,
IY022-joint b64 D16 132219,IY022-joint b64 D16,EXP-26-IY022,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY022/IY022_simCLR_b64_lr0.01_L2_H4_D16_20260308_132219_model.pth,IY022_simCLR_b64_lr0.01_L2_H4_D16_20260308_132219_model.pth,0.6020408163265306,ok,
IY017-inst b100 D128 #01,IY017-inst b100 D128,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b100_lr0.01_d0.01_L2_H4_D128_model.pth,IY017_simCLR_b100_lr0.01_d0.01_L2_H4_D128_model.pth,0.5918367346938775,ok,
IY023-joint b64 D16 165118,IY023-joint b64 D16,EXP-26-IY023,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY023/IY023_simCLR_b64_lr0.01_L2_H4_D16_20260308_165118_model.pth,IY023_simCLR_b64_lr0.01_L2_H4_D16_20260308_165118_model.pth,0.5612244897959183,ok,
IY017-inst b16 D16 #06,IY017-inst b16 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b16_lr0.01_d0.01_L2_H4_D16_model.pth,IY017_simCLR_b16_lr0.01_d0.01_L2_H4_D16_model.pth,0.5306122448979592,ok,
IY017-inst b64 D8 092414,IY017-inst b64 D8,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b64_lr0.01_L2_H4_D8_20260224_092414_model.pth,IY017_simCLR_b64_lr0.01_L2_H4_D8_20260224_092414_model.pth,0.5306122448979592,ok,
IY017-inst b64 D16 #17,IY017-inst b64 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b64_lr0.01_d0.01_L2_H4_D16_model.pth,IY017_simCLR_b64_lr0.01_d0.01_L2_H4_D16_model.pth,0.5,ok,
