Parameter Sets,Stats,Variance Ratio,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 0.8253879522097174, 'rho': 228.07926747444753, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 9.795746268656716, 'Stressed Variance': 117.53462369681442, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 9.985932835820895, 'Normal Variance': 1209.0441677865335, 'Normal Steady State Time': 10.0})",0.1,1.0,0.65,1.0,0.6625,0.95,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.8253879522097174, 'rho': 228.07926747444753, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.174776119402985, 'Stressed Variance': 122.05654286032524, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.1,1.0,0.725,1.0,0.7,0.9375,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.8253879522097174, 'rho': 228.07926747444753, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.174776119402985, 'Stressed Variance': 122.05654286032524, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.1,1.0,0.725,1.0,0.7,0.9375,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.8253879522097174, 'rho': 228.07926747444753, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.174776119402985, 'Stressed Variance': 122.05654286032524, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.1,1.0,0.725,1.0,0.7,0.9375,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.8253879522097174, 'rho': 228.07926747444753, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.174776119402985, 'Stressed Variance': 122.05654286032524, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.1,1.0,0.725,1.0,0.7,0.9375,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.8253879522097174, 'rho': 228.07926747444753, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.174776119402985, 'Stressed Variance': 122.05654286032524, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.1,1.0,0.725,1.0,0.7,0.9375,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.8253879522097174, 'rho': 228.07926747444753, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.174776119402985, 'Stressed Variance': 122.05654286032524, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.1,1.0,0.725,1.0,0.7,0.9375,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.8253879522097174, 'rho': 228.07926747444753, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.174776119402985, 'Stressed Variance': 122.05654286032524, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.1,1.0,0.725,1.0,0.7,0.9375,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.8253879522097174, 'rho': 228.07926747444753, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.174776119402985, 'Stressed Variance': 122.05654286032524, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.1,1.0,0.725,1.0,0.7,0.9375,0.45
"[{'sigma_u': 18.0, 'sigma_b': 0.8253879522097174, 'rho': 228.07926747444753, 'd': 1.0, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 0.07506675039929178, 'rho': 1208.9329432964666, 'd': 1.0, 'label': 1}]","({'Stressed Mean': 10.174776119402985, 'Stressed Variance': 122.05654286032524, 'Stressed Steady State Time': 10.0}, {'Normal Mean': 10.080559701492538, 'Normal Variance': 1186.9092937165851, 'Normal Steady State Time': 10.0})",0.1,1.0,0.725,1.0,0.7,0.9375,0.45
