representation,D_score,mean_within_distance,mean_between_distance,pooled_distance_sd,n_within_pairs,n_between_pairs
Raw SVM features,1.491892333772833,4.11912643824398,11.844539365459188,5.178264377616634,18018,91260
catch22,0.20305088310080613,6.029824285785407,6.414221964240866,1.8931101041536555,18018,91260
SimCLR,1.3018131721011643,2.4717783911686855,5.482221877810104,2.3125004041728006,18018,91260
SimCLR + SVM scores,1.6966158683649402,1.0213609497510039,3.3708812088499123,1.384827469144907,18018,91260
