class_name,label,tf,x,y,representation,method,TF & Condition,TF
Yox1,11,Yox1,1.6090118041045285,0.04727432985407485,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.9673940976331152,-0.004426589260555939,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.556398031327811,-0.002436713391028335,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.6139298281413212,-0.008114731058500533,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.5046865800247768,-0.014935142709922817,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.5606044918544442,0.03204727486421512,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.643232036248647,-0.04320020756864777,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.753217545851297,0.03317831677890615,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.742200739921277,0.005195974049398588,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.9475810167835295,-0.10490304858226263,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.6236307727885346,0.05052835935605106,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.526691008734053,-0.01521261486246491,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.649778919161555,0.00277990504350336,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.7771570845634734,-0.06022226063408016,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.6654154910197514,0.018475744290482356,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.8119132096166926,0.05609852718518409,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.9336418592505666,-0.02766764722519029,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.6548436994091738,-0.01199284886243807,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.6120550586358646,-0.038221298543110356,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.8753275289959601,-0.031913369139953914,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.7668474321562329,-0.05900912204365301,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,2.000760271074664,0.029378208325578258,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.6491555913542761,-0.03163075362964189,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.7123660072216378,-0.032202112883819356,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.6179804082557383,0.0018830247064708732,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,2.3879318625899004,0.13690777599555917,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.7251990533540067,0.02011854444722584,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.5610236690086052,-0.05849437767665504,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.77163148657065,0.022539623822977507,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.8499459096844206,-0.017471072443680794,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.5731819911846479,0.03689455646928227,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.528821044675184,-0.07840598790199836,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.801990859815126,0.019946573064784458,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.8944920829311058,0.018648389487130997,Raw SVM features,PCA,Yox1,Yox1
Yox1,11,Yox1,1.7653773187251214,-0.02034551443816836,Raw SVM features,PCA,Yox1,Yox1
Cup9,2,Cup9,-2.1744644444230286,0.014756754483992137,Raw SVM features,PCA,Cup9,Cup9
