representation,ARI,NMI,n_clusters,kmeans_inertia
Raw SVM features,0.021375467682232474,0.07660032231150098,12,5036.741748715889
catch22,0.01990149285690205,0.05682927501504086,12,25353.20014416941
SimCLR,0.027298689403193858,0.09325431684141407,12,9165.265625
SimCLR + SVM scores,0.05918502981878124,0.13683905505505423,12,8429.847330681398
