representation,ARI,NMI,n_clusters,kmeans_inertia
Raw SVM features,0.49110295405627225,0.6107019882689284,6,29795.568538530017
catch22,0.17281759162622806,0.2393552612828526,6,5649.145660151331
SimCLR,0.4408047216144451,0.5910788646093059,6,1167.4476318359375
SimCLR + SVM scores,0.4711217310792098,0.6028562854904577,6,165.1519162095514
