representation,D_score,mean_within_distance,mean_between_distance,pooled_distance_sd,n_within_pairs,n_between_pairs
Raw SVM features,1.5197750934035574,12.206023045712461,31.35758485222698,12.601576305362613,18018,91260
catch22,0.3276620047469284,5.60613502046703,6.354941918662331,2.285302803947765,18018,91260
SimCLR,1.2633413120265584,2.584329404853763,5.476483512184674,2.2892895845316197,18018,91260
SimCLR + SVM scores,1.9353532952985468,1.0722243836894938,3.4426831882276923,1.224819680363596,18018,91260
