representation,D_score,mean_within_distance,mean_between_distance,pooled_distance_sd,n_within_pairs,n_between_pairs
Raw SVM features,0.05146544736861746,2.8789594344756604,3.1877381982355395,5.999729518491777,373500,4125000
catch22,0.08275739697488081,5.891627857342316,6.048842917636258,1.8997100687164115,373500,4125000
SimCLR,0.13749508188687995,4.819135825113235,5.148907193161025,2.3984230091887957,373500,4125000
SimCLR + SVM scores,0.3213102525172503,4.330211678062041,4.764265343569666,1.3508864473109876,373500,4125000
