representation,ARI,NMI,n_clusters,kmeans_inertia
Raw SVM features,0.42781597639100294,0.5675240903280647,6,2681.303363097078
catch22,0.07186819632163838,0.12445983422325672,6,6245.287800614048
SimCLR,0.3241375185834555,0.48801745042534234,6,728.5245971679688
SimCLR + SVM scores,0.44486311475999035,0.5768672746698265,6,81.01975115583338
