representation,ARI,NMI,n_clusters,kmeans_inertia
Raw SVM features,0.02198065321439936,0.07818161888680462,12,3224.956744526234
catch22,0.018941200153956898,0.05263718307696385,12,26038.46412346209
SimCLR,0.03197986817874081,0.08961829015539798,12,8391.3798828125
SimCLR + SVM scores,0.06270786472794809,0.13256850089155708,12,7872.858680321966
