label,checkpoint,dataset,lp_acc,baseline_acc,supcon_acc,delta,n_epochs,final_loss,status
IY024-batch b64 D16 122627,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY024/IY024_simCLR_mixed_cross_view_b64_lr0.01_L2_H4_D16_batch-wise_20260416_122627_model.pth,Full,0.7978723404255319,0.7978723404255319,0.8404255319148937,0.042553191489361764,200,3.9553809382698755,ok
IY017-inst b512 D16 154043,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b512_lr0.01_L2_H4_D16_20260219_154043_model.pth,Full,0.7872340425531915,0.7978723404255319,0.7872340425531915,-0.010638297872340385,168,3.783374113195083,ok
IY017-inst b256 D16 154425,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b256_lr0.01_L2_H4_D16_20260218_154425_model.pth,Full,0.776595744680851,0.6702127659574468,0.7659574468085106,0.0957446808510638,119,3.8297763776014198,ok
IY023-batch b64 D16 104312,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY023/IY023_simCLR_mixed_b64_lr0.01_L2_H4_D16_batch-wise_20260311_104312_model.pth,Full,0.7659574468085106,0.7553191489361702,0.7553191489361702,0.0,200,3.9204182242327197,ok
IY023-batch b1024 D16 183509,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY023/IY023_simCLR_mixed_b1024_lr0.01_L2_H4_D16_batch-wise_20260311_183509_model.pth,Full,0.776595744680851,0.7659574468085106,0.7127659574468085,-0.05319148936170215,154,3.8575442857283324,ok
