cv_target,mu_target,autocorr_target,sigma_b_fixed,stress_rho,stress_sigma_u,stress_d,stress_sigma_b,stress_max_residual,normal_rho,normal_sigma_u,normal_d,normal_sigma_b,normal_max_residual
0.5,10.0,1.0,0.02,332792.5984413283,0.0016470482798945502,30711.09017745377,0.02,0.07434548792833058,332792.5984413283,0.0016470482798945502,30711.09017745377,0.02,0.07434548792833058
0.7,10.0,1.0,0.02,2980.0463339229354,0.0028554792921244737,260.62487715622,0.02,0.20734938257336138,2980.0463339229354,0.0028554792921244737,260.62487715622,0.02,0.20734938257336138
1.0,10.0,1.0,0.02,9600.610762516159,0.006085204297118962,737.455997308782,0.02,0.3650609599340544,9600.610762516159,0.006085204297118962,737.455997308782,0.02,0.3650609599340544
