alpha_off,alpha_on,beta,gamma_m,gamma_p,protein_degradation,fano_m,expected_fano_m
0.1,0.01,56.44444444444444,1.0,0.01,7.75,45.029686260074776,565.4444444444443
0.1,0.01,56.44444444444444,1.0,0.01,3.25,44.936102113025946,565.4444444444443
0.1,0.01,56.44444444444444,0.1,0.01,10.0,222.31156045056034,565.4444444444443
0.1,0.01,56.44444444444444,10.0,1.0,3.25,5.846524063247948,565.4444444444443
0.1,0.01,56.44444444444444,1.0,0.01,10.0,45.15826345149248,565.4444444444443
0.1,0.01,56.44444444444444,10.0,0.01,7.75,5.918920894526509,565.4444444444443
0.1,0.01,56.44444444444444,1.0,0.01,1.0,45.104085013747,565.4444444444443
0.1,0.01,56.44444444444444,100.0,0.01,1.0,1.506446956816792,565.4444444444443
0.1,0.01,56.44444444444444,1.0,0.1,10.0,44.97084818045183,565.4444444444443
0.1,0.01,56.44444444444444,10.0,0.1,10.0,5.898842404299041,565.4444444444443
0.1,0.01,56.44444444444444,10.0,1.0,1.0,5.860213931109706,565.4444444444443
0.1,0.01,56.44444444444444,10.0,0.1,3.25,5.902877789521138,565.4444444444443
0.1,0.01,56.44444444444444,0.1,0.01,1.0,220.61844399530597,565.4444444444443
0.1,0.01,56.44444444444444,0.1,0.01,3.25,220.85135972205774,565.4444444444443
0.1,0.01,56.44444444444444,10.0,0.01,3.25,5.911065852669538,565.4444444444443
0.1,0.01,56.44444444444444,100.0,0.1,1.0,1.4761258922777416,565.4444444444443
0.1,0.01,56.44444444444444,100.0,0.01,10.0,1.4965994843955983,565.4444444444443
0.1,0.01,56.44444444444444,100.0,10.0,3.25,1.4768824255373016,565.4444444444443
0.1,0.01,56.44444444444444,0.1,0.01,5.5,220.1840445694119,565.4444444444443
0.1,0.01,56.44444444444444,1.0,0.1,1.0,45.06395590702685,565.4444444444443
0.1,0.01,56.44444444444444,10.0,1.0,5.5,5.867604363902111,565.4444444444443
0.1,0.01,56.44444444444444,100.0,10.0,5.5,1.4938679184721553,565.4444444444443
0.1,0.01,56.44444444444444,10.0,1.0,7.75,5.878156012873397,565.4444444444443
0.1,0.01,56.44444444444444,1.0,0.1,3.25,45.060268501687155,565.4444444444443
0.1,0.01,56.44444444444444,1.0,0.01,5.5,45.05747896488339,565.4444444444443
0.1,0.01,56.44444444444444,10.0,0.1,1.0,5.909006586721627,565.4444444444443
0.1,0.01,56.44444444444444,1.0,0.1,5.5,45.08643725802241,565.4444444444443
0.1,0.01,56.44444444444444,10.0,10.0,1.0,5.87441772983427,565.4444444444443
0.1,0.01,56.44444444444444,1.0,1.0,5.5,45.207584981000046,565.4444444444443
0.1,0.01,56.44444444444444,100.0,100.0,7.75,1.4929656438835863,565.4444444444443
0.1,0.01,56.44444444444444,0.1,0.1,3.25,220.60995780312172,565.4444444444443
0.1,0.01,56.44444444444444,1.0,1.0,1.0,45.282353697009405,565.4444444444443
0.1,0.01,56.44444444444444,0.1,0.1,1.0,219.63687838158165,565.4444444444443
0.1,0.01,56.44444444444444,0.1,0.1,5.5,220.38105571267405,565.4444444444443
0.1,0.01,111.88888888888889,1.0,0.01,10.0,88.5633302933717,1119.8888888888887
0.1,0.01,56.44444444444444,10.0,0.1,7.75,5.901404427942533,565.4444444444443
0.1,0.01,56.44444444444444,10.0,0.01,1.0,5.892343143575615,565.4444444444443
0.1,0.01,111.88888888888889,100.0,1.0,3.25,1.9725261141282564,1119.8888888888887
0.1,0.01,111.88888888888889,100.0,1.0,10.0,1.9749243688668818,1119.8888888888887
0.1,0.01,56.44444444444444,10.0,10.0,7.75,5.872714270683257,565.4444444444443
0.1,0.01,111.88888888888889,100.0,0.01,10.0,1.9765662253040195,1119.8888888888887
0.1,0.01,56.44444444444444,100.0,0.1,5.5,1.4963700434344827,565.4444444444443
0.1,0.01,111.88888888888889,100.0,0.1,1.0,1.9766749769512815,1119.8888888888887
0.1,0.01,56.44444444444444,10.0,0.01,5.5,5.908713488684224,565.4444444444443
0.1,0.01,111.88888888888889,1.0,0.1,1.0,88.49351261791104,1119.8888888888887
0.1,0.01,56.44444444444444,10.0,0.01,10.0,5.907507948333054,565.4444444444443
0.1,0.01,111.88888888888889,1.0,0.1,3.25,88.33918799650625,1119.8888888888887
0.1,0.01,111.88888888888889,1.0,0.1,5.5,88.6282824766431,1119.8888888888887
0.1,0.01,56.44444444444444,100.0,10.0,10.0,1.4955760804156388,565.4444444444443
0.1,0.01,111.88888888888889,0.1,0.01,7.75,435.1400342553923,1119.8888888888887
0.1,0.01,56.44444444444444,10.0,0.1,5.5,5.897537969018927,565.4444444444443
0.1,0.01,111.88888888888889,100.0,10.0,5.5,1.9710403479982284,1119.8888888888887
0.1,0.01,56.44444444444444,100.0,0.1,3.25,1.494776070815738,565.4444444444443
0.1,0.01,56.44444444444444,100.0,0.01,3.25,1.5112860015669374,565.4444444444443
0.1,0.01,56.44444444444444,100.0,0.01,5.5,1.504958955637454,565.4444444444443
