alpha_off,alpha_on,beta,gamma_m,gamma_p,protein_degradation,fano_m,expected_fano_m
0.1,0.01,56.44444444444444,100.0,100.0,10.0,1.4930604491309398,565.4444444444443
0.1,0.01,56.44444444444444,0.1,0.01,7.75,222.20194081698517,565.4444444444443
0.1,0.01,56.44444444444444,10.0,1.0,10.0,5.915227394600227,565.4444444444443
0.1,0.01,56.44444444444444,100.0,100.0,1.0,1.5023510686276587,565.4444444444443
0.1,0.01,56.44444444444444,100.0,1.0,7.75,1.4828584599936097,565.4444444444443
0.1,0.01,56.44444444444444,100.0,1.0,1.0,1.503954114504663,565.4444444444443
0.1,0.01,56.44444444444444,100.0,1.0,3.25,1.495986824667149,565.4444444444443
0.1,0.01,56.44444444444444,100.0,1.0,5.5,1.483143992932559,565.4444444444443
0.1,0.01,56.44444444444444,100.0,0.1,7.75,1.493530810113256,565.4444444444443
0.1,0.01,56.44444444444444,100.0,0.1,10.0,1.510494564951965,565.4444444444443
0.1,0.01,56.44444444444444,100.0,0.01,7.75,1.5147281150068665,565.4444444444443
0.1,0.01,56.44444444444444,100.0,1.0,10.0,1.4985158218429684,565.4444444444443
0.1,0.01,56.44444444444444,100.0,10.0,7.75,1.4888865565401805,565.4444444444443
0.1,0.01,56.44444444444444,1.0,0.1,7.75,45.0635761852566,565.4444444444443
0.1,0.01,56.44444444444444,100.0,10.0,1.0,1.4835269968122229,565.4444444444443
0.1,0.01,111.88888888888889,10.0,0.1,1.0,10.648828821575645,1119.8888888888887
0.1,0.01,111.88888888888889,10.0,0.1,3.25,10.72418459189898,1119.8888888888887
0.1,0.01,111.88888888888889,10.0,0.1,7.75,10.691615792240059,1119.8888888888887
0.1,0.01,111.88888888888889,100.0,0.01,1.0,1.9767052527368065,1119.8888888888887
0.1,0.01,111.88888888888889,100.0,0.01,3.25,1.9764829745995696,1119.8888888888887
0.1,0.01,111.88888888888889,100.0,1.0,7.75,1.9774545457107608,1119.8888888888887
0.1,0.01,111.88888888888889,0.1,0.01,5.5,436.517141531119,1119.8888888888887
0.1,0.01,111.88888888888889,100.0,10.0,1.0,1.9777260050997745,1119.8888888888887
0.1,0.01,56.44444444444444,100.0,100.0,5.5,1.480367798888566,565.4444444444443
0.1,0.01,111.88888888888889,10.0,0.01,5.5,10.658105963829389,1119.8888888888887
0.1,0.01,111.88888888888889,100.0,10.0,10.0,1.9656447840864923,1119.8888888888887
0.1,0.01,111.88888888888889,100.0,0.1,3.25,1.991479427776697,1119.8888888888887
0.1,0.01,111.88888888888889,10.0,0.01,10.0,10.701299575762034,1119.8888888888887
0.1,0.01,56.44444444444444,0.1,0.1,7.75,220.498159171536,565.4444444444443
0.1,0.01,111.88888888888889,100.0,1.0,5.5,1.9502044740047673,1119.8888888888887
0.1,0.01,111.88888888888889,100.0,0.1,10.0,2.0001900147941045,1119.8888888888887
0.1,0.01,56.44444444444444,10.0,10.0,10.0,5.8889969127647905,565.4444444444443
0.1,0.01,111.88888888888889,10.0,0.01,1.0,10.690123936351322,1119.8888888888887
0.1,0.01,111.88888888888889,0.1,0.01,3.25,434.8532248558479,1119.8888888888887
0.1,0.01,167.33333333333331,0.1,0.01,1.0,661.8432800183108,1674.333333333333
0.1,0.01,56.44444444444444,10.0,10.0,3.25,5.9054022004946916,565.4444444444443
0.1,0.01,111.88888888888889,10.0,0.1,10.0,10.692813665766947,1119.8888888888887
0.1,0.01,111.88888888888889,100.0,1.0,1.0,1.9674435158766945,1119.8888888888887
0.1,0.01,111.88888888888889,10.0,1.0,5.5,10.65492789383439,1119.8888888888887
0.1,0.01,111.88888888888889,100.0,0.01,5.5,1.9823740431233807,1119.8888888888887
0.1,0.01,111.88888888888889,10.0,0.01,3.25,10.660899341152811,1119.8888888888887
0.1,0.01,111.88888888888889,10.0,0.1,5.5,10.694688283459348,1119.8888888888887
0.1,0.01,56.44444444444444,1.0,1.0,7.75,45.16716159016838,565.4444444444443
0.1,0.01,111.88888888888889,10.0,1.0,7.75,10.679573119053007,1119.8888888888887
0.1,0.01,167.33333333333331,0.1,0.01,5.5,670.8126723835837,1674.333333333333
0.1,0.01,111.88888888888889,10.0,1.0,10.0,10.663246819682705,1119.8888888888887
0.1,0.01,111.88888888888889,1.0,0.01,1.0,88.50923320026664,1119.8888888888887
0.1,0.01,167.33333333333331,0.1,0.01,10.0,661.795727021616,1674.333333333333
0.1,0.01,111.88888888888889,100.0,0.1,7.75,1.9831466804714322,1119.8888888888887
0.1,0.01,111.88888888888889,100.0,0.1,5.5,1.9865419692098278,1119.8888888888887
0.1,0.01,56.44444444444444,100.0,100.0,3.25,1.4955804311774459,565.4444444444443
0.1,0.01,111.88888888888889,100.0,0.01,7.75,1.9735813531695547,1119.8888888888887
0.1,0.01,111.88888888888889,100.0,100.0,3.25,1.9691473876363583,1119.8888888888887
0.1,0.01,111.88888888888889,0.1,0.01,10.0,436.8235411606857,1119.8888888888887
0.1,0.01,111.88888888888889,10.0,0.01,7.75,10.652291535180117,1119.8888888888887
0.1,0.01,111.88888888888889,1.0,0.01,7.75,88.38644718752788,1119.8888888888887
0.1,0.01,111.88888888888889,100.0,10.0,3.25,2.0038852973768746,1119.8888888888887
0.1,0.01,56.44444444444444,0.1,0.1,10.0,219.30760597874126,565.4444444444443
0.1,0.01,111.88888888888889,1.0,0.01,3.25,88.85321076972961,1119.8888888888887
0.1,0.01,111.88888888888889,10.0,1.0,1.0,10.779124893675396,1119.8888888888887
0.1,0.01,56.44444444444444,1.0,1.0,3.25,45.13818158216708,565.4444444444443
0.1,0.01,111.88888888888889,100.0,100.0,10.0,1.9805650668509596,1119.8888888888887
0.1,0.01,111.88888888888889,10.0,1.0,3.25,10.673119552471585,1119.8888888888887
0.1,0.01,111.88888888888889,0.1,0.1,1.0,437.97811620258057,1119.8888888888887
0.1,0.01,111.88888888888889,1.0,0.1,10.0,88.45084439349016,1119.8888888888887
0.1,0.01,167.33333333333331,0.1,0.01,7.75,665.2711758827717,1674.333333333333
0.1,0.01,56.44444444444444,1.0,1.0,10.0,45.245208318680305,565.4444444444443
0.1,0.01,167.33333333333331,0.1,0.01,3.25,660.9819970116097,1674.333333333333
0.1,0.01,111.88888888888889,100.0,10.0,7.75,1.974202116233932,1119.8888888888887
0.1,0.01,111.88888888888889,0.1,0.01,1.0,432.5111162161022,1119.8888888888887
0.1,0.01,56.44444444444444,10.0,10.0,5.5,5.904645770891885,565.4444444444443
0.1,0.01,111.88888888888889,1.0,0.01,5.5,88.21191194279139,1119.8888888888887
0.1,0.01,111.88888888888889,1.0,1.0,5.5,88.53489702288113,1119.8888888888887
0.1,0.01,167.33333333333331,1.0,0.01,1.0,131.29060030913976,1674.333333333333
0.1,0.01,111.88888888888889,0.1,0.1,3.25,435.330816484798,1119.8888888888887
0.1,0.01,111.88888888888889,1.0,1.0,1.0,87.89392479348531,1119.8888888888887
0.1,0.01,111.88888888888889,1.0,0.1,7.75,88.2972443729757,1119.8888888888887
0.1,0.01,167.33333333333331,1.0,0.01,5.5,131.1955625048291,1674.333333333333
0.1,0.01,167.33333333333331,1.0,0.1,5.5,131.57004980045608,1674.333333333333
0.1,0.01,167.33333333333331,10.0,0.1,5.5,15.362334496679019,1674.333333333333
0.1,0.01,167.33333333333331,0.1,0.1,7.75,668.0602635007757,1674.333333333333
0.1,0.01,56.44444444444444,0.01,0.01,10.0,418.9038512882312,565.4444444444443
0.1,0.01,167.33333333333331,0.1,0.1,10.0,667.4144085554287,1674.333333333333
0.1,0.01,167.33333333333331,10.0,0.01,5.5,15.33265193136518,1674.333333333333
0.1,0.01,167.33333333333331,1.0,0.1,1.0,130.9648835125392,1674.333333333333
0.1,0.01,167.33333333333331,1.0,0.01,7.75,131.52584970962315,1674.333333333333
0.1,0.01,167.33333333333331,100.0,0.1,7.75,2.4594288333707803,1674.333333333333
0.1,0.01,167.33333333333331,0.1,0.1,5.5,667.1364304625979,1674.333333333333
0.1,0.01,167.33333333333331,100.0,0.1,1.0,2.4385979007041945,1674.333333333333
0.1,0.01,111.88888888888889,10.0,10.0,7.75,10.620094038454626,1119.8888888888887
0.1,0.01,111.88888888888889,100.0,100.0,1.0,1.965179452089042,1119.8888888888887
0.1,0.01,167.33333333333331,0.1,0.1,3.25,666.3620324305363,1674.333333333333
0.1,0.01,167.33333333333331,0.1,0.1,1.0,666.0990057588298,1674.333333333333
0.1,0.01,111.88888888888889,10.0,10.0,5.5,10.727996415352457,1119.8888888888887
0.1,0.01,167.33333333333331,100.0,0.01,10.0,2.463900481828641,1674.333333333333
0.1,0.01,111.88888888888889,0.1,0.1,5.5,436.3258779339206,1119.8888888888887
0.1,0.01,167.33333333333331,100.0,1.0,7.75,2.4378691478156003,1674.333333333333
0.1,0.01,111.88888888888889,10.0,10.0,10.0,10.655955075657262,1119.8888888888887
0.1,0.01,111.88888888888889,10.0,10.0,1.0,10.695273087814686,1119.8888888888887
0.1,0.01,111.88888888888889,0.1,0.1,7.75,437.1269283884945,1119.8888888888887
0.1,0.01,167.33333333333331,1.0,0.1,7.75,131.75824728930743,1674.333333333333
0.1,0.01,111.88888888888889,100.0,100.0,5.5,1.9797006580810081,1119.8888888888887
0.1,0.01,167.33333333333331,100.0,0.01,1.0,2.4645982211255673,1674.333333333333
0.1,0.01,167.33333333333331,1.0,1.0,10.0,131.38218602300148,1674.333333333333
0.1,0.01,167.33333333333331,10.0,0.01,1.0,15.35050129288642,1674.333333333333
0.1,0.01,111.88888888888889,10.0,10.0,3.25,10.641352675181741,1119.8888888888887
0.1,0.01,111.88888888888889,1.0,1.0,7.75,88.38505325202165,1119.8888888888887
0.1,0.01,111.88888888888889,100.0,100.0,7.75,1.9730432191642335,1119.8888888888887
0.1,0.01,167.33333333333331,10.0,0.01,3.25,15.3393257528049,1674.333333333333
0.1,0.01,167.33333333333331,10.0,0.1,1.0,15.43453659994841,1674.333333333333
0.1,0.01,167.33333333333331,1.0,0.1,10.0,131.55339287912219,1674.333333333333
0.1,0.01,167.33333333333331,1.0,1.0,3.25,131.05940106588872,1674.333333333333
0.1,0.01,167.33333333333331,1.0,0.01,3.25,131.05623091222668,1674.333333333333
0.1,0.01,167.33333333333331,100.0,0.01,7.75,2.4665902233490145,1674.333333333333
0.1,0.01,167.33333333333331,1.0,0.01,10.0,131.4258828438959,1674.333333333333
0.1,0.01,167.33333333333331,10.0,0.1,7.75,15.402974137128828,1674.333333333333
0.1,0.01,111.88888888888889,0.1,0.1,10.0,435.88165463671567,1119.8888888888887
0.1,0.01,167.33333333333331,1.0,0.1,3.25,131.5098853537759,1674.333333333333
0.1,0.01,167.33333333333331,10.0,0.01,7.75,15.3339793628604,1674.333333333333
0.1,0.01,111.88888888888889,1.0,1.0,10.0,88.13235759356762,1119.8888888888887
0.1,0.01,167.33333333333331,10.0,1.0,5.5,15.36497826356399,1674.333333333333
0.1,0.01,167.33333333333331,100.0,0.01,5.5,2.451304808723784,1674.333333333333
0.1,0.01,56.44444444444444,1.0,10.0,10.0,45.12499631209873,565.4444444444443
0.1,0.01,167.33333333333331,100.0,1.0,1.0,2.4683261331982584,1674.333333333333
0.1,0.01,167.33333333333331,10.0,0.01,10.0,15.367653718406237,1674.333333333333
0.1,0.01,111.88888888888889,1.0,1.0,3.25,87.96398319866371,1119.8888888888887
0.1,0.01,56.44444444444444,1.0,10.0,3.25,45.10309968901562,565.4444444444443
0.1,0.01,56.44444444444444,0.01,0.01,5.5,437.1359061459,565.4444444444443
0.1,0.01,167.33333333333331,10.0,1.0,10.0,15.413582586738142,1674.333333333333
0.1,0.01,167.33333333333331,10.0,1.0,7.75,15.388321166682989,1674.333333333333
0.1,0.01,167.33333333333331,10.0,0.1,3.25,15.359808403404259,1674.333333333333
0.1,0.01,167.33333333333331,100.0,0.01,3.25,2.466401741547245,1674.333333333333
0.1,0.01,167.33333333333331,10.0,1.0,1.0,15.457585269105264,1674.333333333333
0.1,0.01,167.33333333333331,100.0,1.0,10.0,2.469398227489869,1674.333333333333
0.1,0.01,167.33333333333331,100.0,1.0,3.25,2.449753193717861,1674.333333333333
0.1,0.01,167.33333333333331,100.0,1.0,5.5,2.4464861955929504,1674.333333333333
0.1,0.01,167.33333333333331,100.0,10.0,10.0,2.460776351032171,1674.333333333333
0.1,0.01,167.33333333333331,10.0,1.0,3.25,15.368901837356251,1674.333333333333
0.1,0.01,167.33333333333331,100.0,10.0,5.5,2.4335135650837376,1674.333333333333
0.1,0.01,56.44444444444444,0.1,1.0,10.0,222.0625913498472,565.4444444444443
0.1,0.01,167.33333333333331,10.0,0.1,10.0,15.443386228437122,1674.333333333333
0.1,0.01,167.33333333333331,100.0,0.1,3.25,2.4514862811064497,1674.333333333333
0.1,0.01,167.33333333333331,100.0,0.1,5.5,2.438863102307629,1674.333333333333
0.1,0.01,167.33333333333331,100.0,0.1,10.0,2.449288190058509,1674.333333333333
0.1,0.01,56.44444444444444,1.0,10.0,7.75,45.069597753341476,565.4444444444443
0.1,0.01,167.33333333333331,100.0,10.0,1.0,2.4690586398427095,1674.333333333333
0.1,0.01,167.33333333333331,100.0,100.0,10.0,2.4905763928645848,1674.333333333333
0.1,0.01,167.33333333333331,100.0,100.0,5.5,2.468304647666458,1674.333333333333
0.1,0.01,167.33333333333331,100.0,10.0,7.75,2.4386396731974394,1674.333333333333
0.1,0.01,167.33333333333331,100.0,10.0,3.25,2.4458450205289983,1674.333333333333
0.1,0.01,222.77777777777777,0.1,0.01,7.75,870.1768414337154,2228.7777777777774
0.1,0.01,167.33333333333331,10.0,10.0,5.5,15.400567177073874,1674.333333333333
0.1,0.01,222.77777777777777,0.1,0.01,5.5,866.682384274386,2228.7777777777774
0.1,0.01,167.33333333333331,1.0,1.0,7.75,131.41294513323643,1674.333333333333
0.1,0.01,56.44444444444444,0.01,0.01,3.25,435.51979328421476,565.4444444444443
0.1,0.01,56.44444444444444,1.0,10.0,1.0,44.99893565942534,565.4444444444443
0.1,0.01,222.77777777777777,10.0,0.01,1.0,20.209162251481622,2228.7777777777774
0.1,0.01,222.77777777777777,1.0,0.1,7.75,174.69585250235684,2228.7777777777774
0.1,0.01,222.77777777777777,1.0,0.01,10.0,174.88885291425387,2228.7777777777774
0.1,0.01,222.77777777777777,1.0,0.01,5.5,175.0087788497263,2228.7777777777774
0.1,0.01,167.33333333333331,100.0,100.0,3.25,2.457588480107207,1674.333333333333
0.1,0.01,167.33333333333331,100.0,100.0,1.0,2.4476907492486886,1674.333333333333
0.1,0.01,56.44444444444444,0.01,0.01,7.75,442.26851862676676,565.4444444444443
0.1,0.01,222.77777777777777,10.0,0.1,1.0,20.249675893735045,2228.7777777777774
0.1,0.01,111.88888888888889,0.01,0.01,1.0,852.1383880728,1119.8888888888887
0.1,0.01,222.77777777777777,1.0,0.1,1.0,175.24573101914058,2228.7777777777774
0.1,0.01,56.44444444444444,10.0,100.0,3.25,5.883725558632236,565.4444444444443
0.1,0.01,222.77777777777777,0.1,0.1,1.0,863.9378626527142,2228.7777777777774
0.1,0.01,222.77777777777777,0.1,0.01,3.25,867.3119834963035,2228.7777777777774
0.1,0.01,222.77777777777777,10.0,0.1,5.5,20.203096891763057,2228.7777777777774
0.1,0.01,56.44444444444444,0.01,0.01,1.0,421.47795297353235,565.4444444444443
0.1,0.01,222.77777777777777,0.1,0.01,1.0,868.8435761338293,2228.7777777777774
0.1,0.01,167.33333333333331,1.0,1.0,1.0,131.37715897301297,1674.333333333333
0.1,0.01,167.33333333333331,100.0,100.0,7.75,2.454305109245973,1674.333333333333
0.1,0.01,222.77777777777777,0.1,0.1,5.5,849.6850495968544,2228.7777777777774
0.1,0.01,222.77777777777777,1.0,0.01,7.75,175.2176731462399,2228.7777777777774
0.1,0.01,222.77777777777777,10.0,0.01,10.0,20.295732694646617,2228.7777777777774
0.1,0.01,111.88888888888889,0.01,0.01,10.0,859.3314675387943,1119.8888888888887
0.1,0.01,222.77777777777777,10.0,0.1,3.25,20.318712151511594,2228.7777777777774
0.1,0.01,222.77777777777777,0.1,0.01,10.0,879.5093264696591,2228.7777777777774
0.1,0.01,222.77777777777777,10.0,0.01,5.5,20.295277207050482,2228.7777777777774
0.1,0.01,222.77777777777777,10.0,1.0,5.5,20.244960695018097,2228.7777777777774
0.1,0.01,222.77777777777777,10.0,1.0,7.75,20.239688779396396,2228.7777777777774
0.1,0.01,222.77777777777777,10.0,1.0,3.25,20.292741552598336,2228.7777777777774
0.1,0.01,222.77777777777777,10.0,0.1,7.75,20.157599861978913,2228.7777777777774
0.1,0.01,167.33333333333331,10.0,10.0,3.25,15.394565180787081,1674.333333333333
0.1,0.01,167.33333333333331,1.0,1.0,5.5,131.4338904589388,1674.333333333333
0.1,0.01,222.77777777777777,1.0,1.0,5.5,174.9946981669807,2228.7777777777774
0.1,0.01,167.33333333333331,10.0,10.0,1.0,15.434177363449505,1674.333333333333
0.1,0.01,222.77777777777777,1.0,1.0,7.75,174.52839440162086,2228.7777777777774
0.1,0.01,56.44444444444444,0.1,1.0,7.75,220.50015723396592,565.4444444444443
0.1,0.01,167.33333333333331,10.0,10.0,7.75,15.402610039738331,1674.333333333333
0.1,0.01,222.77777777777777,10.0,0.01,7.75,20.298581215668193,2228.7777777777774
0.1,0.01,222.77777777777777,10.0,0.01,3.25,20.324719397680123,2228.7777777777774
0.1,0.01,222.77777777777777,100.0,0.01,5.5,2.946459591888599,2228.7777777777774
0.1,0.01,222.77777777777777,10.0,10.0,5.5,20.23756904482028,2228.7777777777774
0.1,0.01,222.77777777777777,1.0,0.01,3.25,174.3817848744485,2228.7777777777774
0.1,0.01,222.77777777777777,1.0,0.01,1.0,175.05873761267455,2228.7777777777774
0.1,0.01,167.33333333333331,10.0,10.0,10.0,15.40261769370111,1674.333333333333
0.1,0.01,222.77777777777777,1.0,0.1,3.25,175.56487603307207,2228.7777777777774
0.1,0.01,222.77777777777777,1.0,0.1,5.5,175.38058708691293,2228.7777777777774
0.1,0.01,222.77777777777777,100.0,0.1,3.25,2.9408184227279315,2228.7777777777774
0.1,0.01,222.77777777777777,100.0,0.01,1.0,2.934023042532068,2228.7777777777774
0.1,0.01,222.77777777777777,100.0,1.0,1.0,2.9565515819248085,2228.7777777777774
0.1,0.01,222.77777777777777,1.0,0.1,10.0,174.6962354970395,2228.7777777777774
0.1,0.01,222.77777777777777,100.0,0.1,1.0,2.9355396012033044,2228.7777777777774
0.1,0.01,222.77777777777777,10.0,10.0,3.25,20.195428687771813,2228.7777777777774
0.1,0.01,222.77777777777777,100.0,1.0,7.75,2.9486939367306757,2228.7777777777774
0.1,0.01,222.77777777777777,10.0,1.0,10.0,20.366191317164247,2228.7777777777774
0.1,0.01,222.77777777777777,100.0,0.01,7.75,2.9289311383025223,2228.7777777777774
0.1,0.01,222.77777777777777,10.0,0.1,10.0,20.346925756100944,2228.7777777777774
0.1,0.01,222.77777777777777,10.0,10.0,7.75,20.173929020719772,2228.7777777777774
0.1,0.01,56.44444444444444,0.1,1.0,3.25,222.80784928443245,565.4444444444443
0.1,0.01,222.77777777777777,10.0,1.0,1.0,20.208799052917573,2228.7777777777774
0.1,0.01,222.77777777777777,100.0,1.0,5.5,2.951069621100109,2228.7777777777774
0.1,0.01,222.77777777777777,100.0,10.0,5.5,2.93298084454933,2228.7777777777774
0.1,0.01,222.77777777777777,1.0,1.0,1.0,175.18178770539782,2228.7777777777774
0.1,0.01,222.77777777777777,100.0,10.0,7.75,2.923627096193796,2228.7777777777774
0.1,0.01,167.33333333333331,0.01,0.01,1.0,1248.1401266599028,1674.333333333333
0.1,0.01,222.77777777777777,0.1,0.1,7.75,863.4958924647452,2228.7777777777774
0.1,0.01,222.77777777777777,100.0,10.0,10.0,2.9477852429283917,2228.7777777777774
0.1,0.01,167.33333333333331,0.01,0.01,5.5,1243.949363423098,1674.333333333333
0.1,0.01,222.77777777777777,0.1,0.1,3.25,864.6127389400067,2228.7777777777774
0.1,0.01,56.44444444444444,0.1,1.0,5.5,220.27507885193572,565.4444444444443
0.1,0.01,111.88888888888889,0.1,1.0,1.0,443.2560955449863,1119.8888888888887
0.1,0.01,222.77777777777777,100.0,1.0,10.0,2.9546074844306536,2228.7777777777774
0.1,0.01,111.88888888888889,0.1,1.0,5.5,444.92472756783525,1119.8888888888887
0.1,0.01,56.44444444444444,0.1,1.0,1.0,220.88618138126557,565.4444444444443
0.1,0.01,56.44444444444444,10.0,100.0,1.0,5.878622689213827,565.4444444444443
0.1,0.01,222.77777777777777,100.0,0.1,7.75,2.947439012916529,2228.7777777777774
0.1,0.01,222.77777777777777,100.0,0.01,3.25,2.9378012791197214,2228.7777777777774
0.1,0.01,222.77777777777777,100.0,1.0,3.25,2.9363689588054287,2228.7777777777774
0.1,0.01,222.77777777777777,100.0,0.01,10.0,2.9378515806576138,2228.7777777777774
0.1,0.01,222.77777777777777,100.0,100.0,7.75,2.9643756595374056,2228.7777777777774
0.1,0.01,56.44444444444444,10.0,100.0,5.5,5.8767506029878644,565.4444444444443
0.1,0.01,222.77777777777777,0.1,0.1,10.0,864.0122101760697,2228.7777777777774
0.1,0.01,111.88888888888889,10.0,100.0,1.0,10.630955764387936,1119.8888888888887
0.1,0.01,222.77777777777777,100.0,0.1,5.5,2.9469645383307115,2228.7777777777774
0.1,0.01,56.44444444444444,10.0,100.0,10.0,5.853573600822367,565.4444444444443
0.1,0.01,56.44444444444444,1.0,10.0,5.5,45.07822699520892,565.4444444444443
0.1,0.01,222.77777777777777,100.0,100.0,1.0,2.9262889232058478,2228.7777777777774
0.1,0.01,222.77777777777777,1.0,1.0,3.25,175.19611312975243,2228.7777777777774
0.1,0.01,56.44444444444444,10.0,100.0,7.75,5.855086263613478,565.4444444444443
0.1,0.01,111.88888888888889,0.01,0.01,5.5,838.795331987821,1119.8888888888887
0.1,0.01,222.77777777777777,100.0,0.1,10.0,2.9147986001087616,2228.7777777777774
0.1,0.01,222.77777777777777,100.0,10.0,1.0,2.917127425638583,2228.7777777777774
0.1,0.01,278.22222222222223,0.1,0.01,7.75,1082.1822872403004,2783.222222222222
0.1,0.01,222.77777777777777,1.0,1.0,10.0,174.0116678541594,2228.7777777777774
0.1,0.01,222.77777777777777,100.0,10.0,3.25,2.942335407611343,2228.7777777777774
0.1,0.01,111.88888888888889,0.1,1.0,3.25,443.4231836348412,1119.8888888888887
0.1,0.01,278.22222222222223,0.1,0.01,10.0,1093.3076029374622,2783.222222222222
0.1,0.01,278.22222222222223,0.1,0.01,3.25,1104.0717309327142,2783.222222222222
0.1,0.01,278.22222222222223,0.1,0.01,1.0,1086.2131623312364,2783.222222222222
0.1,0.01,222.77777777777777,10.0,10.0,1.0,20.27067473026642,2228.7777777777774
0.1,0.01,111.88888888888889,1.0,10.0,5.5,88.1880910760412,1119.8888888888887
0.1,0.01,111.88888888888889,0.01,0.01,3.25,836.6410110746405,1119.8888888888887
