label,short_label,experiment,checkpoint,acc_top1,recall_at_k,status,error
IY017-inst b1024 D16 164413,IY017-inst b1024 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b1024_lr0.01_L2_H4_D16_20260219_164413_model.pth,0.7269439421338155,0.9529837251356239,ok,
IY017-inst b64 D8 092414,IY017-inst b64 D8,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b64_lr0.01_L2_H4_D8_20260224_092414_model.pth,0.7233273056057866,0.918625678119349,ok,
IY023-global b64 D16 125550,IY023-global b64 D16,EXP-26-IY023,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY023/IY023_simCLR_b64_lr0.01_L2_H4_D16_20260308_125550_model.pth,0.7215189873417721,0.9005424954792043,ok,
IY017-inst b100 D128 #00,IY017-inst b100 D128,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b100_lr0.01_L2_H4_D128_model.pth,0.7197106690777577,0.8987341772151899,ok,
IY017-inst b64 D16 215100,IY017-inst b64 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b64_lr0.01_L2_H4_D16_20260223_215100_model.pth,0.7160940325497287,0.8987341772151899,ok,
IY017-inst b4096 D16 023947,IY017-inst b4096 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b4096_lr0.01_L2_H4_D16_20260225_023947_model.pth,0.7124773960216998,0.9023508137432188,ok,
IY017-inst b1024 D16 061239,IY017-inst b1024 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b1024_lr0.01_L2_H4_D16_20260224_061239_model.pth,0.7088607594936709,0.9132007233273056,ok,
IY023-joint b64 D16 165118,IY023-joint b64 D16,EXP-26-IY023,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY023/IY023_simCLR_b64_lr0.01_L2_H4_D16_20260308_165118_model.pth,0.6980108499095841,0.9077757685352622,ok,
IY017-inst b100 D128 #01,IY017-inst b100 D128,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b100_lr0.01_d0.01_L2_H4_D128_model.pth,0.6835443037974683,0.9005424954792043,ok,
IY017-inst b16 D16 #06,IY017-inst b16 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b16_lr0.01_d0.01_L2_H4_D16_model.pth,0.6835443037974683,0.9240506329113924,ok,
IY017-inst b64 D16 #17,IY017-inst b64 D16,EXP-26-IY017,/home/ianyang/stochastic_simulations/experiments/EXP-26-IY017/IY017_simCLR_b64_lr0.01_d0.01_L2_H4_D16_model.pth,0.6763110307414105,0.9150090415913201,ok,
