cv_target,mu_target,autocorr_target,sigma_b_fixed,stress_rho,stress_sigma_u,stress_d,stress_sigma_b,stress_max_residual,stress_actual_autocorr,stress_autocorr_error,normal_rho,normal_sigma_u,normal_d,normal_sigma_b,normal_max_residual,normal_actual_autocorr,normal_autocorr_error
0.5,10.0,1.0,0.02,11.534603811139778,0.003069207620453134,1.0,0.02,7.917133615364946e-10,0.7421016985792829,0.37422225740784054,11.534603811139778,0.003069207620453134,1.0,0.02,7.917133615364946e-10,0.7421016985792829,0.37422225740784054
0.6,10.0,1.0,0.02,12.665862484921062,0.0053317249698452175,1.0,0.02,1.2221335055073723e-12,0.8177413794101601,0.4498619382387178,12.665862484921062,0.0053317249698452175,1.0,0.02,1.2221335055073723e-12,0.8177413794101601,0.4498619382387178
0.7,10.0,1.0,0.02,14.009272324128066,0.00801854464825659,1.0,0.02,1.6342482922482304e-13,0.8628738694500773,0.49499442827863493,14.009272324128066,0.00801854464825659,1.0,0.02,1.6342482922482304e-13,0.8628738694500773,0.49499442827863493
0.7999999999999999,10.0,1.0,0.02,15.568135867367365,0.011136271734735024,1.0,0.02,9.237055564881302e-14,0.8916737163459284,0.5237942751744861,15.568135867367365,0.011136271734735024,1.0,0.02,9.237055564881302e-14,0.8916737163459284,0.5237942751744861
0.8999999999999999,10.0,1.0,0.02,17.346317711503374,0.01469263542300675,1.0,0.02,1.3322676295501878e-15,0.9109114907037816,0.5430320495323393,17.346317711503374,0.01469263542300675,1.0,0.02,1.3322676295501878e-15,0.9109114907037816,0.5430320495323393
0.9999999999999999,10.0,1.0,0.02,19.348268839148908,0.01869653767837246,1.0,0.02,1.928945891904732e-11,0.9241521184155767,0.5562726772441343,19.348268839148908,0.01869653767837246,1.0,0.02,1.928945891904732e-11,0.9241521184155767,0.5562726772441343
1.0999999999999999,10.0,1.0,0.02,21.579055021478528,0.023158110042968943,1.0,0.02,2.7551294579097885e-12,0.9334170249044,0.5655375837329577,21.579055021478528,0.023158110042968943,1.0,0.02,2.7551294579097885e-12,0.9334170249044,0.5655375837329577
1.1999999999999997,10.0,1.0,0.02,24.04438964241677,0.02808877928483377,1.0,0.02,4.618527782440651e-14,0.9399211740478587,0.5720417328764164,24.04438964241677,0.02808877928483377,1.0,0.02,4.618527782440651e-14,0.9399211740478587,0.5720417328764164
1.2999999999999998,10.0,1.0,0.02,26.750671348893654,0.03350134269784596,1.0,0.02,1.0960121699099545e-11,0.9444298710298958,0.5765504298584535,26.750671348893654,0.03350134269784596,1.0,0.02,1.0960121699099545e-11,0.9444298710298958,0.5765504298584535
1.4,10.0,1.0,0.02,29.705027004569992,0.0394100540091402,1.0,0.02,3.730349362740526e-14,0.9474440457129847,0.5795646045415423,29.705027004569992,0.0394100540091402,1.0,0.02,3.730349362740526e-14,0.9474440457129847,0.5795646045415423
