Parameter Sets,Stats,CV Ratio,Normal CV,Stress CV,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY001A Accuracy,IY006C-Transformer Accuracy,Vanilla Transformer Accuracy,Full Transformer Accuracy
"[{'sigma_u': 0.5408842516192405, 'sigma_b': 0.45911574838075947, 'rho': 55.72369768462396, 'd': 0.25583627165019324, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.73283018867924, 'Stressed Variance': 2535.5395636881453, 'Stressed Steady State Time': 39.0874989519589, 'Normal Mean': 101.96985981308411, 'Normal Variance': 10368.240353251374, 'Normal Steady State Time': 38.7784957354107}",0.5,1.0,0.5,0.9875,0.5625,0.9875,0.5125,0.7625,0.45,0.975,0.975,1.0,0.9875,1.0
"[{'sigma_u': 0.5408842516192405, 'sigma_b': 0.45911574838075947, 'rho': 55.72369768462396, 'd': 0.25583627165019324, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.50891509433963, 'Stressed Variance': 2487.2549205210926, 'Stressed Steady State Time': 39.0874989519589, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.5,1.0,0.5,1.0,0.5375,0.975,0.6125,0.8,0.45,0.9875,1.0,1.0,0.9875,1.0
"[{'sigma_u': 0.5408842516192405, 'sigma_b': 0.45911574838075947, 'rho': 55.72369768462396, 'd': 0.25583627165019324, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.50891509433963, 'Stressed Variance': 2487.2549205210926, 'Stressed Steady State Time': 39.0874989519589, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.5,1.0,0.5,1.0,0.5375,0.975,0.6125,0.8,0.45,0.9875,1.0,1.0,0.9875,1.0
"[{'sigma_u': 0.5408842516192405, 'sigma_b': 0.45911574838075947, 'rho': 55.72369768462396, 'd': 0.25583627165019324, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.50891509433963, 'Stressed Variance': 2487.2549205210926, 'Stressed Steady State Time': 39.0874989519589, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.5,1.0,0.5,1.0,0.5375,0.975,0.6125,0.8,0.45,0.9875,1.0,1.0,0.9875,1.0
"[{'sigma_u': 0.5408842516192405, 'sigma_b': 0.45911574838075947, 'rho': 55.72369768462396, 'd': 0.25583627165019324, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.50891509433963, 'Stressed Variance': 2487.2549205210926, 'Stressed Steady State Time': 39.0874989519589, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.5,1.0,0.5,1.0,0.5375,0.975,0.6125,0.8,0.45,0.9875,1.0,1.0,0.9875,1.0
"[{'sigma_u': 0.5408842516192405, 'sigma_b': 0.45911574838075947, 'rho': 55.72369768462396, 'd': 0.25583627165019324, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.50891509433963, 'Stressed Variance': 2487.2549205210926, 'Stressed Steady State Time': 39.0874989519589, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.5,1.0,0.5,1.0,0.5375,0.975,0.6125,0.8,0.45,0.9875,1.0,1.0,0.9875,1.0
"[{'sigma_u': 0.5408842516192405, 'sigma_b': 0.45911574838075947, 'rho': 55.72369768462396, 'd': 0.25583627165019324, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.50891509433963, 'Stressed Variance': 2487.2549205210926, 'Stressed Steady State Time': 39.0874989519589, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.5,1.0,0.5,1.0,0.5375,0.975,0.6125,0.8,0.45,0.9875,1.0,1.0,0.9875,1.0
"[{'sigma_u': 0.5408842516192405, 'sigma_b': 0.45911574838075947, 'rho': 55.72369768462396, 'd': 0.25583627165019324, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.50891509433963, 'Stressed Variance': 2487.2549205210926, 'Stressed Steady State Time': 39.0874989519589, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.5,1.0,0.5,1.0,0.5375,0.975,0.6125,0.8,0.45,0.9875,1.0,1.0,0.9875,1.0
"[{'sigma_u': 0.5408842516192405, 'sigma_b': 0.45911574838075947, 'rho': 55.72369768462396, 'd': 0.25583627165019324, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.50891509433963, 'Stressed Variance': 2487.2549205210926, 'Stressed Steady State Time': 39.0874989519589, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.5,1.0,0.5,1.0,0.5375,0.975,0.6125,0.8,0.45,0.9875,1.0,1.0,0.9875,1.0
"[{'sigma_u': 0.5408842516192405, 'sigma_b': 0.45911574838075947, 'rho': 55.72369768462396, 'd': 0.25583627165019324, 'label': 0}, {'sigma_u': 0.8284460788602276, 'sigma_b': 0.17155392113977236, 'rho': 150.3171014568991, 'd': 0.2578748816929603, 'label': 1}]","{'Stressed Mean': 98.50891509433963, 'Stressed Variance': 2487.2549205210926, 'Stressed Steady State Time': 39.0874989519589, 'Normal Mean': 102.54257009345794, 'Normal Variance': 10201.80267376845, 'Normal Steady State Time': 38.7784957354107}",0.5,1.0,0.5,1.0,0.5375,0.975,0.6125,0.8,0.45,0.9875,1.0,1.0,0.9875,1.0
