Parameter Sets,Stats,CV Ratio,Normal CV,Stress CV,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY001A Accuracy,Vanilla Transformer Accuracy,Full Transformer Accuracy,IY006B Transformer Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 8.241929741201707, 'rho': 105.60779541907189, 'd': 0.7133064689129335, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.58835877862595, 'Stressed Variance': 169.24211639036187, 'Stressed Steady State Time': 14.01921955823536}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.8800000000000003,0.32,0.2816000000000001,0.8,0.5875,0.65,0.5625,0.5625,0.45,0.575,0.8125,0.5125,0.5375,0.525
"[{'sigma_u': 18.0, 'sigma_b': 8.241929741201707, 'rho': 105.60779541907189, 'd': 0.7133064689129335, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.58835877862595, 'Stressed Variance': 169.24211639036187, 'Stressed Steady State Time': 14.01921955823536}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.8800000000000003,0.32,0.2816000000000001,0.8,0.5875,0.65,0.5625,0.5625,0.45,0.575,0.8125,0.5125,0.5375,0.525
"[{'sigma_u': 18.0, 'sigma_b': 8.241929741201707, 'rho': 105.60779541907189, 'd': 0.7133064689129335, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.58835877862595, 'Stressed Variance': 169.24211639036187, 'Stressed Steady State Time': 14.01921955823536}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.8800000000000003,0.32,0.2816000000000001,0.8,0.5875,0.65,0.5625,0.5625,0.45,0.575,0.8125,0.5125,0.5375,0.525
"[{'sigma_u': 18.0, 'sigma_b': 8.241929741201707, 'rho': 105.60779541907189, 'd': 0.7133064689129335, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.58835877862595, 'Stressed Variance': 169.24211639036187, 'Stressed Steady State Time': 14.01921955823536}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.8800000000000003,0.32,0.2816000000000001,0.8,0.5875,0.65,0.5625,0.5625,0.45,0.575,0.8125,0.5125,0.5375,0.525
"[{'sigma_u': 18.0, 'sigma_b': 8.241929741201707, 'rho': 105.60779541907189, 'd': 0.7133064689129335, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.58835877862595, 'Stressed Variance': 169.24211639036187, 'Stressed Steady State Time': 14.01921955823536}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.8800000000000003,0.32,0.2816000000000001,0.8,0.5875,0.65,0.5625,0.5625,0.45,0.575,0.8125,0.5125,0.5375,0.525
"[{'sigma_u': 18.0, 'sigma_b': 8.241929741201707, 'rho': 105.60779541907189, 'd': 0.7133064689129335, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.58835877862595, 'Stressed Variance': 169.24211639036187, 'Stressed Steady State Time': 14.01921955823536}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.8800000000000003,0.32,0.2816000000000001,0.8,0.5875,0.65,0.5625,0.5625,0.45,0.575,0.8125,0.5125,0.5375,0.525
"[{'sigma_u': 18.0, 'sigma_b': 8.051695119518456, 'rho': 107.36841308884851, 'd': 0.7136329861520613, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.32770992366412, 'Stressed Variance': 175.5603161295962, 'Stressed Steady State Time': 14.012805173034973}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.8900000000000003,0.32,0.2848000000000001,0.7375,0.55,0.6625,0.5375,0.5625,0.45,0.5125,0.8625,0.5375,0.575,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 8.051695119518456, 'rho': 107.36841308884851, 'd': 0.7136329861520613, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.32770992366412, 'Stressed Variance': 175.5603161295962, 'Stressed Steady State Time': 14.012805173034973}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.8900000000000003,0.32,0.2848000000000001,0.7375,0.55,0.6625,0.5375,0.5625,0.45,0.5125,0.8625,0.5375,0.575,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 8.051695119518456, 'rho': 107.36841308884851, 'd': 0.7136329861520613, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.32770992366412, 'Stressed Variance': 175.5603161295962, 'Stressed Steady State Time': 14.012805173034973}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.8900000000000003,0.32,0.2848000000000001,0.7375,0.55,0.6625,0.5375,0.5625,0.45,0.5125,0.8625,0.5375,0.575,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 8.051695119518456, 'rho': 107.36841308884851, 'd': 0.7136329861520613, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.32770992366412, 'Stressed Variance': 175.5603161295962, 'Stressed Steady State Time': 14.012805173034973}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.8900000000000003,0.32,0.2848000000000001,0.7375,0.55,0.6625,0.5375,0.5625,0.45,0.5125,0.8625,0.5375,0.575,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 8.051695119518456, 'rho': 107.36841308884851, 'd': 0.7136329861520613, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.32770992366412, 'Stressed Variance': 175.5603161295962, 'Stressed Steady State Time': 14.012805173034973}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.8900000000000003,0.32,0.2848000000000001,0.7375,0.55,0.6625,0.5375,0.5625,0.45,0.5125,0.8625,0.5375,0.575,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 8.051695119518456, 'rho': 107.36841308884851, 'd': 0.7136329861520613, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.32770992366412, 'Stressed Variance': 175.5603161295962, 'Stressed Steady State Time': 14.012805173034973}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.8900000000000003,0.32,0.2848000000000001,0.7375,0.55,0.6625,0.5375,0.5625,0.45,0.5125,0.8625,0.5375,0.575,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 8.051695119518456, 'rho': 107.36841308884851, 'd': 0.7136329861520613, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.32770992366412, 'Stressed Variance': 175.5603161295962, 'Stressed Steady State Time': 14.012805173034973}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.8900000000000003,0.32,0.2848000000000001,0.7375,0.55,0.6625,0.5375,0.5625,0.45,0.5125,0.8625,0.5375,0.575,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 8.051695119518456, 'rho': 107.36841308884851, 'd': 0.7136329861520613, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.32770992366412, 'Stressed Variance': 175.5603161295962, 'Stressed Steady State Time': 14.012805173034973}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.8900000000000003,0.32,0.2848000000000001,0.7375,0.55,0.6625,0.5375,0.5625,0.45,0.5125,0.8625,0.5375,0.575,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 8.051695119518456, 'rho': 107.36841308884851, 'd': 0.7136329861520613, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.32770992366412, 'Stressed Variance': 175.5603161295962, 'Stressed Steady State Time': 14.012805173034973}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.8900000000000003,0.32,0.2848000000000001,0.7375,0.55,0.6625,0.5375,0.5625,0.45,0.5125,0.8625,0.5375,0.575,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 8.051695119518456, 'rho': 107.36841308884851, 'd': 0.7136329861520613, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.32770992366412, 'Stressed Variance': 175.5603161295962, 'Stressed Steady State Time': 14.012805173034973}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.8900000000000003,0.32,0.2848000000000001,0.7375,0.55,0.6625,0.5375,0.5625,0.45,0.5125,0.8625,0.5375,0.575,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 7.868689062377779, 'rho': 109.14264808976543, 'd': 0.7139527936020473, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.431221374045805, 'Stressed Variance': 178.94107102732943, 'Stressed Steady State Time': 14.006528288162894}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.9000000000000004,0.32,0.2880000000000001,0.65,0.425,0.575,0.45,0.5125,0.45,0.4625,0.7625,0.45,0.55,0.45
"[{'sigma_u': 18.0, 'sigma_b': 7.868689062377779, 'rho': 109.14264808976543, 'd': 0.7139527936020473, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.431221374045805, 'Stressed Variance': 178.94107102732943, 'Stressed Steady State Time': 14.006528288162894}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.9000000000000004,0.32,0.2880000000000001,0.65,0.425,0.575,0.45,0.5125,0.45,0.4625,0.7625,0.45,0.55,0.45
"[{'sigma_u': 18.0, 'sigma_b': 7.868689062377779, 'rho': 109.14264808976543, 'd': 0.7139527936020473, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.431221374045805, 'Stressed Variance': 178.94107102732943, 'Stressed Steady State Time': 14.006528288162894}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.9000000000000004,0.32,0.2880000000000001,0.65,0.425,0.575,0.45,0.5125,0.45,0.4625,0.7625,0.45,0.55,0.45
"[{'sigma_u': 18.0, 'sigma_b': 7.868689062377779, 'rho': 109.14264808976543, 'd': 0.7139527936020473, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.431221374045805, 'Stressed Variance': 178.94107102732943, 'Stressed Steady State Time': 14.006528288162894}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.9000000000000004,0.32,0.2880000000000001,0.65,0.425,0.575,0.45,0.5125,0.45,0.4625,0.7625,0.45,0.55,0.45
"[{'sigma_u': 18.0, 'sigma_b': 7.868689062377779, 'rho': 109.14264808976543, 'd': 0.7139527936020473, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.431221374045805, 'Stressed Variance': 178.94107102732943, 'Stressed Steady State Time': 14.006528288162894}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.9000000000000004,0.32,0.2880000000000001,0.65,0.425,0.575,0.45,0.5125,0.45,0.4625,0.7625,0.45,0.55,0.45
"[{'sigma_u': 18.0, 'sigma_b': 7.868689062377779, 'rho': 109.14264808976543, 'd': 0.7139527936020473, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.431221374045805, 'Stressed Variance': 178.94107102732943, 'Stressed Steady State Time': 14.006528288162894}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.9000000000000004,0.32,0.2880000000000001,0.65,0.425,0.575,0.45,0.5125,0.45,0.4625,0.7625,0.45,0.55,0.45
"[{'sigma_u': 18.0, 'sigma_b': 7.868689062377779, 'rho': 109.14264808976543, 'd': 0.7139527936020473, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.431221374045805, 'Stressed Variance': 178.94107102732943, 'Stressed Steady State Time': 14.006528288162894}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.9000000000000004,0.32,0.2880000000000001,0.65,0.425,0.575,0.45,0.5125,0.45,0.4625,0.7625,0.45,0.55,0.45
"[{'sigma_u': 18.0, 'sigma_b': 7.868689062377779, 'rho': 109.14264808976543, 'd': 0.7139527936020473, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.431221374045805, 'Stressed Variance': 178.94107102732943, 'Stressed Steady State Time': 14.006528288162894}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.9000000000000004,0.32,0.2880000000000001,0.65,0.425,0.575,0.45,0.5125,0.45,0.4625,0.7625,0.45,0.55,0.45
"[{'sigma_u': 18.0, 'sigma_b': 7.868689062377779, 'rho': 109.14264808976543, 'd': 0.7139527936020473, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.431221374045805, 'Stressed Variance': 178.94107102732943, 'Stressed Steady State Time': 14.006528288162894}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.9000000000000004,0.32,0.2880000000000001,0.65,0.425,0.575,0.45,0.5125,0.45,0.4625,0.7625,0.45,0.55,0.45
"[{'sigma_u': 18.0, 'sigma_b': 7.868689062377779, 'rho': 109.14264808976543, 'd': 0.7139527936020473, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.431221374045805, 'Stressed Variance': 178.94107102732943, 'Stressed Steady State Time': 14.006528288162894}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.9000000000000004,0.32,0.2880000000000001,0.65,0.425,0.575,0.45,0.5125,0.45,0.4625,0.7625,0.45,0.55,0.45
"[{'sigma_u': 18.0, 'sigma_b': 7.692507337619641, 'rho': 110.93064336121803, 'd': 0.7142660512958771, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.5306106870229, 'Stressed Variance': 182.651276726298, 'Stressed Steady State Time': 14.000385405210316}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.9100000000000004,0.32,0.2912000000000001,0.7375,0.525,0.6,0.575,0.5875,0.45,0.5625,0.8,0.5,0.5375,0.55
"[{'sigma_u': 18.0, 'sigma_b': 7.692507337619641, 'rho': 110.93064336121803, 'd': 0.7142660512958771, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.5306106870229, 'Stressed Variance': 182.651276726298, 'Stressed Steady State Time': 14.000385405210316}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.9100000000000004,0.32,0.2912000000000001,0.7375,0.525,0.6,0.575,0.5875,0.45,0.5625,0.8,0.5,0.5375,0.55
"[{'sigma_u': 18.0, 'sigma_b': 7.692507337619641, 'rho': 110.93064336121803, 'd': 0.7142660512958771, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.5306106870229, 'Stressed Variance': 182.651276726298, 'Stressed Steady State Time': 14.000385405210316}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.9100000000000004,0.32,0.2912000000000001,0.7375,0.525,0.6,0.575,0.5875,0.45,0.5625,0.8,0.5,0.5375,0.55
"[{'sigma_u': 18.0, 'sigma_b': 7.692507337619641, 'rho': 110.93064336121803, 'd': 0.7142660512958771, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.5306106870229, 'Stressed Variance': 182.651276726298, 'Stressed Steady State Time': 14.000385405210316}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.9100000000000004,0.32,0.2912000000000001,0.7375,0.525,0.6,0.575,0.5875,0.45,0.5625,0.8,0.5,0.5375,0.55
"[{'sigma_u': 18.0, 'sigma_b': 7.692507337619641, 'rho': 110.93064336121803, 'd': 0.7142660512958771, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.5306106870229, 'Stressed Variance': 182.651276726298, 'Stressed Steady State Time': 14.000385405210316}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.9100000000000004,0.32,0.2912000000000001,0.7375,0.525,0.6,0.575,0.5875,0.45,0.5625,0.8,0.5,0.5375,0.55
"[{'sigma_u': 18.0, 'sigma_b': 7.692507337619641, 'rho': 110.93064336121803, 'd': 0.7142660512958771, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.5306106870229, 'Stressed Variance': 182.651276726298, 'Stressed Steady State Time': 14.000385405210316}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.9100000000000004,0.32,0.2912000000000001,0.7375,0.525,0.6,0.575,0.5875,0.45,0.5625,0.8,0.5,0.5375,0.55
"[{'sigma_u': 18.0, 'sigma_b': 7.692507337619641, 'rho': 110.93064336121803, 'd': 0.7142660512958771, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.5306106870229, 'Stressed Variance': 182.651276726298, 'Stressed Steady State Time': 14.000385405210316}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.9100000000000004,0.32,0.2912000000000001,0.7375,0.525,0.6,0.575,0.5875,0.45,0.5625,0.8,0.5,0.5375,0.55
"[{'sigma_u': 18.0, 'sigma_b': 7.692507337619641, 'rho': 110.93064336121803, 'd': 0.7142660512958771, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.5306106870229, 'Stressed Variance': 182.651276726298, 'Stressed Steady State Time': 14.000385405210316}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.9100000000000004,0.32,0.2912000000000001,0.7375,0.525,0.6,0.575,0.5875,0.45,0.5625,0.8,0.5,0.5375,0.55
"[{'sigma_u': 18.0, 'sigma_b': 7.692507337619641, 'rho': 110.93064336121803, 'd': 0.7142660512958771, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.5306106870229, 'Stressed Variance': 182.651276726298, 'Stressed Steady State Time': 14.000385405210316}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.9100000000000004,0.32,0.2912000000000001,0.7375,0.525,0.6,0.575,0.5875,0.45,0.5625,0.8,0.5,0.5375,0.55
"[{'sigma_u': 18.0, 'sigma_b': 7.692507337619641, 'rho': 110.93064336121803, 'd': 0.7142660512958771, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.5306106870229, 'Stressed Variance': 182.651276726298, 'Stressed Steady State Time': 14.000385405210316}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205886499443})",0.9100000000000004,0.32,0.2912000000000001,0.7375,0.525,0.6,0.575,0.5875,0.45,0.5625,0.8,0.5,0.5375,0.55
"[{'sigma_u': 18.0, 'sigma_b': 7.522776271199605, 'rho': 112.73253466322001, 'd': 0.7145729158819119, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.62405303030303, 'Stressed Variance': 186.54976236082416, 'Stressed Steady State Time': 13.994373111186556}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",0.9200000000000004,0.32,0.2944000000000001,0.625,0.425,0.575,0.425,0.425,0.45,0.5,0.7375,0.4,0.5125,0.4625
"[{'sigma_u': 18.0, 'sigma_b': 7.522776271199605, 'rho': 112.73253466322001, 'd': 0.7145729158819119, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.62405303030303, 'Stressed Variance': 186.54976236082416, 'Stressed Steady State Time': 13.994373111186556}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",0.9200000000000004,0.32,0.2944000000000001,0.625,0.425,0.575,0.425,0.425,0.45,0.5,0.7375,0.4,0.5125,0.4625
"[{'sigma_u': 18.0, 'sigma_b': 7.522776271199605, 'rho': 112.73253466322001, 'd': 0.7145729158819119, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.62405303030303, 'Stressed Variance': 186.54976236082416, 'Stressed Steady State Time': 13.994373111186556}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",0.9200000000000004,0.32,0.2944000000000001,0.625,0.425,0.575,0.425,0.425,0.45,0.5,0.7375,0.4,0.5125,0.4625
"[{'sigma_u': 18.0, 'sigma_b': 7.522776271199605, 'rho': 112.73253466322001, 'd': 0.7145729158819119, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.62405303030303, 'Stressed Variance': 186.54976236082416, 'Stressed Steady State Time': 13.994373111186556}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",0.9200000000000004,0.32,0.2944000000000001,0.625,0.425,0.575,0.425,0.425,0.45,0.5,0.7375,0.4,0.5125,0.4625
"[{'sigma_u': 18.0, 'sigma_b': 7.522776271199605, 'rho': 112.73253466322001, 'd': 0.7145729158819119, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.62405303030303, 'Stressed Variance': 186.54976236082416, 'Stressed Steady State Time': 13.994373111186556}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",0.9200000000000004,0.32,0.2944000000000001,0.625,0.425,0.575,0.425,0.425,0.45,0.5,0.7375,0.4,0.5125,0.4625
"[{'sigma_u': 18.0, 'sigma_b': 7.522776271199605, 'rho': 112.73253466322001, 'd': 0.7145729158819119, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.400818896483976, 'rho': 91.09946619101248, 'd': 0.7347427425708112, 'label': 1}]","({'Stressed Mean': 46.62405303030303, 'Stressed Variance': 186.54976236082416, 'Stressed Steady State Time': 13.994373111186556}, {'Normal Mean': 46.355037878787876, 'Normal Variance': 220.61421325614097, 'Normal Steady State Time': 13.610205886499443})",0.9200000000000004,0.32,0.2944000000000001,0.625,0.425,0.575,0.425,0.425,0.45,0.5,0.7375,0.4,0.5125,0.4625
