Parameter Sets,Stats,CV Ratio,Normal CV,Stress CV,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY001A Accuracy,Vanilla Transformer Accuracy,Full Transformer Accuracy
"[{'sigma_u': 18.0, 'sigma_b': 9.818093627167361, 'rho': 93.65093648566369, 'd': 0.7108189159994309, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.42931297709924, 'Stressed Variance': 143.86927815395373, 'Stressed Steady State Time': 14.068280647736739}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8100000000000003,0.32,0.2592000000000001,0.8625,0.4375,0.6875,0.45,0.5,0.45,0.5,0.925,0.5,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 9.818093627167361, 'rho': 93.65093648566369, 'd': 0.7108189159994309, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.42931297709924, 'Stressed Variance': 143.86927815395373, 'Stressed Steady State Time': 14.068280647736739}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8100000000000003,0.32,0.2592000000000001,0.8625,0.4375,0.6875,0.45,0.5,0.45,0.5,0.925,0.5,0.5375
"[{'sigma_u': 18.0, 'sigma_b': 9.562554126607896, 'rho': 95.32097989777385, 'd': 0.7111971245569892, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.411603053435115, 'Stressed Variance': 146.92936155235708, 'Stressed Steady State Time': 14.060799256224616}, {'Normal Mean': 46.44409090909091, 'Normal Variance': 223.54179841597795, 'Normal Steady State Time': 13.610205889568428})",0.8200000000000003,0.32,0.2624000000000001,0.925,0.5375,0.8375,0.55,0.5125,0.45,0.5,0.95,0.5,0.6375
"[{'sigma_u': 18.0, 'sigma_b': 9.562554126607896, 'rho': 95.32097989777385, 'd': 0.7111971245569892, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.363091603053434, 'Stressed Variance': 148.22713395344093, 'Stressed Steady State Time': 14.060799256224616}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8200000000000003,0.32,0.2624000000000001,0.875,0.45,0.7375,0.5,0.5875,0.45,0.5,0.8625,0.5625,0.6125
"[{'sigma_u': 18.0, 'sigma_b': 9.562554126607896, 'rho': 95.32097989777385, 'd': 0.7111971245569892, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.363091603053434, 'Stressed Variance': 148.22713395344093, 'Stressed Steady State Time': 14.060799256224616}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8200000000000003,0.32,0.2624000000000001,0.875,0.45,0.7375,0.5,0.5875,0.45,0.5,0.8625,0.5625,0.6125
"[{'sigma_u': 18.0, 'sigma_b': 9.562554126607896, 'rho': 95.32097989777385, 'd': 0.7111971245569892, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.363091603053434, 'Stressed Variance': 148.22713395344093, 'Stressed Steady State Time': 14.060799256224616}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8200000000000003,0.32,0.2624000000000001,0.875,0.45,0.7375,0.5,0.5875,0.45,0.5,0.8625,0.5625,0.6125
"[{'sigma_u': 18.0, 'sigma_b': 9.562554126607896, 'rho': 95.32097989777385, 'd': 0.7111971245569892, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.363091603053434, 'Stressed Variance': 148.22713395344093, 'Stressed Steady State Time': 14.060799256224616}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8200000000000003,0.32,0.2624000000000001,0.875,0.45,0.7375,0.5,0.5875,0.45,0.5,0.8625,0.5625,0.6125
"[{'sigma_u': 18.0, 'sigma_b': 9.562554126607896, 'rho': 95.32097989777385, 'd': 0.7111971245569892, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.363091603053434, 'Stressed Variance': 148.22713395344093, 'Stressed Steady State Time': 14.060799256224616}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8200000000000003,0.32,0.2624000000000001,0.875,0.45,0.7375,0.5,0.5875,0.45,0.5,0.8625,0.5625,0.6125
"[{'sigma_u': 18.0, 'sigma_b': 9.562554126607896, 'rho': 95.32097989777385, 'd': 0.7111971245569892, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.363091603053434, 'Stressed Variance': 148.22713395344093, 'Stressed Steady State Time': 14.060799256224616}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8200000000000003,0.32,0.2624000000000001,0.875,0.45,0.7375,0.5,0.5875,0.45,0.5,0.8625,0.5625,0.6125
"[{'sigma_u': 18.0, 'sigma_b': 9.562554126607896, 'rho': 95.32097989777385, 'd': 0.7111971245569892, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.363091603053434, 'Stressed Variance': 148.22713395344093, 'Stressed Steady State Time': 14.060799256224616}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8200000000000003,0.32,0.2624000000000001,0.875,0.45,0.7375,0.5,0.5875,0.45,0.5,0.8625,0.5625,0.6125
"[{'sigma_u': 18.0, 'sigma_b': 9.562554126607896, 'rho': 95.32097989777385, 'd': 0.7111971245569892, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.363091603053434, 'Stressed Variance': 148.22713395344093, 'Stressed Steady State Time': 14.060799256224616}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8200000000000003,0.32,0.2624000000000001,0.875,0.45,0.7375,0.5,0.5875,0.45,0.5,0.8625,0.5625,0.6125
"[{'sigma_u': 18.0, 'sigma_b': 9.562554126607896, 'rho': 95.32097989777385, 'd': 0.7111971245569892, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.363091603053434, 'Stressed Variance': 148.22713395344093, 'Stressed Steady State Time': 14.060799256224616}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8200000000000003,0.32,0.2624000000000001,0.875,0.45,0.7375,0.5,0.5875,0.45,0.5,0.8625,0.5625,0.6125
"[{'sigma_u': 18.0, 'sigma_b': 9.318271449625737, 'rho': 97.0033805790622, 'd': 0.7115674253715799, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.34652671755725, 'Stressed Variance': 152.50209480653808, 'Stressed Steady State Time': 14.053481994033115}, {'Normal Mean': 46.44409090909091, 'Normal Variance': 223.54179841597795, 'Normal Steady State Time': 13.610205889568428})",0.8300000000000003,0.32,0.2656000000000001,0.925,0.5125,0.7375,0.5,0.5625,0.45,0.5,0.9125,0.4875,0.675
"[{'sigma_u': 18.0, 'sigma_b': 9.318271449625737, 'rho': 97.0033805790622, 'd': 0.7115674253715799, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.420992366412214, 'Stressed Variance': 151.55803260299516, 'Stressed Steady State Time': 14.053481994033115}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8300000000000003,0.32,0.2656000000000001,0.775,0.4875,0.725,0.4875,0.4625,0.45,0.5,0.8375,0.5,0.5875
"[{'sigma_u': 18.0, 'sigma_b': 9.318271449625737, 'rho': 97.0033805790622, 'd': 0.7115674253715799, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.420992366412214, 'Stressed Variance': 151.55803260299516, 'Stressed Steady State Time': 14.053481994033115}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8300000000000003,0.32,0.2656000000000001,0.775,0.4875,0.725,0.4875,0.4625,0.45,0.5,0.8375,0.5,0.5875
"[{'sigma_u': 18.0, 'sigma_b': 9.318271449625737, 'rho': 97.0033805790622, 'd': 0.7115674253715799, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.420992366412214, 'Stressed Variance': 151.55803260299516, 'Stressed Steady State Time': 14.053481994033115}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8300000000000003,0.32,0.2656000000000001,0.775,0.4875,0.725,0.4875,0.4625,0.45,0.5,0.8375,0.5,0.5875
"[{'sigma_u': 18.0, 'sigma_b': 9.318271449625737, 'rho': 97.0033805790622, 'd': 0.7115674253715799, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.420992366412214, 'Stressed Variance': 151.55803260299516, 'Stressed Steady State Time': 14.053481994033115}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8300000000000003,0.32,0.2656000000000001,0.775,0.4875,0.725,0.4875,0.4625,0.45,0.5,0.8375,0.5,0.5875
"[{'sigma_u': 18.0, 'sigma_b': 9.318271449625737, 'rho': 97.0033805790622, 'd': 0.7115674253715799, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.420992366412214, 'Stressed Variance': 151.55803260299516, 'Stressed Steady State Time': 14.053481994033115}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8300000000000003,0.32,0.2656000000000001,0.775,0.4875,0.725,0.4875,0.4625,0.45,0.5,0.8375,0.5,0.5875
"[{'sigma_u': 18.0, 'sigma_b': 9.318271449625737, 'rho': 97.0033805790622, 'd': 0.7115674253715799, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.420992366412214, 'Stressed Variance': 151.55803260299516, 'Stressed Steady State Time': 14.053481994033115}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8300000000000003,0.32,0.2656000000000001,0.775,0.4875,0.725,0.4875,0.4625,0.45,0.5,0.8375,0.5,0.5875
"[{'sigma_u': 18.0, 'sigma_b': 9.318271449625737, 'rho': 97.0033805790622, 'd': 0.7115674253715799, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.420992366412214, 'Stressed Variance': 151.55803260299516, 'Stressed Steady State Time': 14.053481994033115}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8300000000000003,0.32,0.2656000000000001,0.775,0.4875,0.725,0.4875,0.4625,0.45,0.5,0.8375,0.5,0.5875
"[{'sigma_u': 18.0, 'sigma_b': 9.318271449625737, 'rho': 97.0033805790622, 'd': 0.7115674253715799, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.420992366412214, 'Stressed Variance': 151.55803260299516, 'Stressed Steady State Time': 14.053481994033115}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8300000000000003,0.32,0.2656000000000001,0.775,0.4875,0.725,0.4875,0.4625,0.45,0.5,0.8375,0.5,0.5875
"[{'sigma_u': 18.0, 'sigma_b': 9.318271449625737, 'rho': 97.0033805790622, 'd': 0.7115674253715799, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.420992366412214, 'Stressed Variance': 151.55803260299516, 'Stressed Steady State Time': 14.053481994033115}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8300000000000003,0.32,0.2656000000000001,0.775,0.4875,0.725,0.4875,0.4625,0.45,0.5,0.8375,0.5,0.5875
"[{'sigma_u': 18.0, 'sigma_b': 9.084504260521006, 'rho': 98.69835231485683, 'd': 0.7119299961221569, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.38519083969466, 'Stressed Variance': 154.95804023075578, 'Stressed Steady State Time': 14.046324855631093}, {'Normal Mean': 46.44409090909091, 'Normal Variance': 223.54179841597795, 'Normal Steady State Time': 13.610205889568428})",0.8400000000000003,0.32,0.2688000000000001,0.8375,0.6,0.625,0.5875,0.5625,0.45,0.5,0.9,0.4625,0.675
"[{'sigma_u': 18.0, 'sigma_b': 9.084504260521006, 'rho': 98.69835231485683, 'd': 0.7119299961221569, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.40912213740458, 'Stressed Variance': 155.4664740385176, 'Stressed Steady State Time': 14.046324855631093}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8400000000000003,0.32,0.2688000000000001,0.8375,0.5,0.675,0.55,0.5875,0.45,0.5,0.875,0.4875,0.5625
"[{'sigma_u': 18.0, 'sigma_b': 9.084504260521006, 'rho': 98.69835231485683, 'd': 0.7119299961221569, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.40912213740458, 'Stressed Variance': 155.4664740385176, 'Stressed Steady State Time': 14.046324855631093}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8400000000000003,0.32,0.2688000000000001,0.8375,0.5,0.675,0.55,0.5875,0.45,0.5,0.875,0.4875,0.5625
"[{'sigma_u': 18.0, 'sigma_b': 9.084504260521006, 'rho': 98.69835231485683, 'd': 0.7119299961221569, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.40912213740458, 'Stressed Variance': 155.4664740385176, 'Stressed Steady State Time': 14.046324855631093}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8400000000000003,0.32,0.2688000000000001,0.8375,0.5,0.675,0.55,0.5875,0.45,0.5,0.875,0.4875,0.5625
"[{'sigma_u': 18.0, 'sigma_b': 9.084504260521006, 'rho': 98.69835231485683, 'd': 0.7119299961221569, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.40912213740458, 'Stressed Variance': 155.4664740385176, 'Stressed Steady State Time': 14.046324855631093}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8400000000000003,0.32,0.2688000000000001,0.8375,0.5,0.675,0.55,0.5875,0.45,0.5,0.875,0.4875,0.5625
"[{'sigma_u': 18.0, 'sigma_b': 9.084504260521006, 'rho': 98.69835231485683, 'd': 0.7119299961221569, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.40912213740458, 'Stressed Variance': 155.4664740385176, 'Stressed Steady State Time': 14.046324855631093}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8400000000000003,0.32,0.2688000000000001,0.8375,0.5,0.675,0.55,0.5875,0.45,0.5,0.875,0.4875,0.5625
"[{'sigma_u': 18.0, 'sigma_b': 9.084504260521006, 'rho': 98.69835231485683, 'd': 0.7119299961221569, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.40912213740458, 'Stressed Variance': 155.4664740385176, 'Stressed Steady State Time': 14.046324855631093}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8400000000000003,0.32,0.2688000000000001,0.8375,0.5,0.675,0.55,0.5875,0.45,0.5,0.875,0.4875,0.5625
"[{'sigma_u': 18.0, 'sigma_b': 9.084504260521006, 'rho': 98.69835231485683, 'd': 0.7119299961221569, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.40912213740458, 'Stressed Variance': 155.4664740385176, 'Stressed Steady State Time': 14.046324855631093}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8400000000000003,0.32,0.2688000000000001,0.8375,0.5,0.675,0.55,0.5875,0.45,0.5,0.875,0.4875,0.5625
"[{'sigma_u': 18.0, 'sigma_b': 9.084504260521006, 'rho': 98.69835231485683, 'd': 0.7119299961221569, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.40912213740458, 'Stressed Variance': 155.4664740385176, 'Stressed Steady State Time': 14.046324855631093}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8400000000000003,0.32,0.2688000000000001,0.8375,0.5,0.675,0.55,0.5875,0.45,0.5,0.875,0.4875,0.5625
"[{'sigma_u': 18.0, 'sigma_b': 9.084504260521006, 'rho': 98.69835231485683, 'd': 0.7119299961221569, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.40912213740458, 'Stressed Variance': 155.4664740385176, 'Stressed Steady State Time': 14.046324855631093}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8400000000000003,0.32,0.2688000000000001,0.8375,0.5,0.675,0.55,0.5875,0.45,0.5,0.875,0.4875,0.5625
"[{'sigma_u': 18.0, 'sigma_b': 8.860577368315438, 'rho': 100.40609596069426, 'd': 0.7122850129785411, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.49534351145038, 'Stressed Variance': 159.53929129421365, 'Stressed Steady State Time': 14.039323891125123}, {'Normal Mean': 46.44409090909091, 'Normal Variance': 223.54179841597795, 'Normal Steady State Time': 13.610205889568428})",0.8500000000000003,0.32,0.27200000000000013,0.8125,0.4625,0.6625,0.5125,0.5375,0.45,0.5,0.825,0.5125,0.5875
"[{'sigma_u': 18.0, 'sigma_b': 8.860577368315438, 'rho': 100.40609596069426, 'd': 0.7122850129785411, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.30927480916031, 'Stressed Variance': 159.59705901608297, 'Stressed Steady State Time': 14.039323891125123}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8500000000000003,0.32,0.27200000000000013,0.8,0.4875,0.725,0.4625,0.575,0.45,0.5875,0.85,0.575,0.55
"[{'sigma_u': 18.0, 'sigma_b': 8.860577368315438, 'rho': 100.40609596069426, 'd': 0.7122850129785411, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.30927480916031, 'Stressed Variance': 159.59705901608297, 'Stressed Steady State Time': 14.039323891125123}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8500000000000003,0.32,0.27200000000000013,0.8,0.4875,0.725,0.4625,0.575,0.45,0.5875,0.85,0.575,0.55
"[{'sigma_u': 18.0, 'sigma_b': 8.860577368315438, 'rho': 100.40609596069426, 'd': 0.7122850129785411, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.30927480916031, 'Stressed Variance': 159.59705901608297, 'Stressed Steady State Time': 14.039323891125123}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8500000000000003,0.32,0.27200000000000013,0.8,0.4875,0.725,0.4625,0.575,0.45,0.5875,0.85,0.575,0.55
"[{'sigma_u': 18.0, 'sigma_b': 8.860577368315438, 'rho': 100.40609596069426, 'd': 0.7122850129785411, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.30927480916031, 'Stressed Variance': 159.59705901608297, 'Stressed Steady State Time': 14.039323891125123}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8500000000000003,0.32,0.27200000000000013,0.8,0.4875,0.725,0.4625,0.575,0.45,0.5875,0.85,0.575,0.55
"[{'sigma_u': 18.0, 'sigma_b': 8.860577368315438, 'rho': 100.40609596069426, 'd': 0.7122850129785411, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.30927480916031, 'Stressed Variance': 159.59705901608297, 'Stressed Steady State Time': 14.039323891125123}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8500000000000003,0.32,0.27200000000000013,0.8,0.4875,0.725,0.4625,0.575,0.45,0.5875,0.85,0.575,0.55
"[{'sigma_u': 18.0, 'sigma_b': 8.860577368315438, 'rho': 100.40609596069426, 'd': 0.7122850129785411, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.30927480916031, 'Stressed Variance': 159.59705901608297, 'Stressed Steady State Time': 14.039323891125123}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8500000000000003,0.32,0.27200000000000013,0.8,0.4875,0.725,0.4625,0.575,0.45,0.5875,0.85,0.575,0.55
"[{'sigma_u': 18.0, 'sigma_b': 8.860577368315438, 'rho': 100.40609596069426, 'd': 0.7122850129785411, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.30927480916031, 'Stressed Variance': 159.59705901608297, 'Stressed Steady State Time': 14.039323891125123}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8500000000000003,0.32,0.27200000000000013,0.8,0.4875,0.725,0.4625,0.575,0.45,0.5875,0.85,0.575,0.55
"[{'sigma_u': 18.0, 'sigma_b': 8.860577368315438, 'rho': 100.40609596069426, 'd': 0.7122850129785411, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.30927480916031, 'Stressed Variance': 159.59705901608297, 'Stressed Steady State Time': 14.039323891125123}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8500000000000003,0.32,0.27200000000000013,0.8,0.4875,0.725,0.4625,0.575,0.45,0.5875,0.85,0.575,0.55
"[{'sigma_u': 18.0, 'sigma_b': 8.860577368315438, 'rho': 100.40609596069426, 'd': 0.7122850129785411, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.30927480916031, 'Stressed Variance': 159.59705901608297, 'Stressed Steady State Time': 14.039323891125123}, {'Normal Mean': 46.50878787878788, 'Normal Variance': 220.7379530762167, 'Normal Steady State Time': 13.610205889568428})",0.8500000000000003,0.32,0.27200000000000013,0.8,0.4875,0.725,0.4625,0.575,0.45,0.5875,0.85,0.575,0.55
"[{'sigma_u': 18.0, 'sigma_b': 8.64587430794321, 'rho': 102.12680054443949, 'd': 0.7126326500532968, 'label': 0}, {'sigma_u': 9.0, 'sigma_b': 5.4008188932139225, 'rho': 91.09946611344435, 'd': 0.734742742405133, 'label': 1}]","({'Stressed Mean': 46.63324427480916, 'Stressed Variance': 162.40926886399393, 'Stressed Steady State Time': 14.032475216020645}, {'Normal Mean': 46.44409090909091, 'Normal Variance': 223.54179841597795, 'Normal Steady State Time': 13.610205889568428})",0.8600000000000003,0.32,0.2752000000000001,0.825,0.6125,0.625,0.6375,0.6,0.45,0.5375,0.875,0.55,0.6
