Parameter Sets,Stats,CV Ratio,Normal CV,Stress CV,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY001A Accuracy,IY006C-Transformer Accuracy,Vanilla Transformer Accuracy,Full Transformer Accuracy
"[{'sigma_u': 0.07048350451280559, 'sigma_b': 2.0, 'rho': 23.56294874580673, 'd': 1.1380408824532606, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.969405594405593, 'Stressed Variance': 24.82574230402465, 'Stressed Steady State Time': 8.787030548887772}, {'Normal Mean': 20.012804054054055, 'Normal Variance': 99.85797794809169, 'Normal Steady State Time': 3.3491978583729334})",0.5,0.5,0.25,1.0,0.7125,1.0,0.7125,0.825,0.45,0.9375,0.5,1.0,0.4875,0.975
"[{'sigma_u': 0.07048350451280559, 'sigma_b': 2.0, 'rho': 23.56294874580673, 'd': 1.1380408824532606, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.97776223776224, 'Stressed Variance': 25.257827160252333, 'Stressed Steady State Time': 8.787030548887772}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.5,0.5,0.25,1.0,0.625,1.0,0.6125,0.725,0.45,0.9625,0.5,1.0,0.4375,0.75
"[{'sigma_u': 0.07048350451280559, 'sigma_b': 2.0, 'rho': 23.56294874580673, 'd': 1.1380408824532606, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.97776223776224, 'Stressed Variance': 25.257827160252333, 'Stressed Steady State Time': 8.787030548887772}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.5,0.5,0.25,1.0,0.625,1.0,0.6125,0.725,0.45,0.9625,0.5,1.0,0.4375,0.75
"[{'sigma_u': 0.07048350451280559, 'sigma_b': 2.0, 'rho': 23.56294874580673, 'd': 1.1380408824532606, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.97776223776224, 'Stressed Variance': 25.257827160252333, 'Stressed Steady State Time': 8.787030548887772}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.5,0.5,0.25,1.0,0.625,1.0,0.6125,0.725,0.45,0.9625,0.5,1.0,0.4375,0.75
"[{'sigma_u': 0.07048350451280559, 'sigma_b': 2.0, 'rho': 23.56294874580673, 'd': 1.1380408824532606, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.97776223776224, 'Stressed Variance': 25.257827160252333, 'Stressed Steady State Time': 8.787030548887772}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.5,0.5,0.25,1.0,0.625,1.0,0.6125,0.725,0.45,0.9625,0.5,1.0,0.4375,0.75
"[{'sigma_u': 0.07048350451280559, 'sigma_b': 2.0, 'rho': 23.56294874580673, 'd': 1.1380408824532606, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.97776223776224, 'Stressed Variance': 25.257827160252333, 'Stressed Steady State Time': 8.787030548887772}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.5,0.5,0.25,1.0,0.625,1.0,0.6125,0.725,0.45,0.9625,0.5,1.0,0.4375,0.75
"[{'sigma_u': 0.07048350451280559, 'sigma_b': 2.0, 'rho': 23.56294874580673, 'd': 1.1380408824532606, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.97776223776224, 'Stressed Variance': 25.257827160252333, 'Stressed Steady State Time': 8.787030548887772}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.5,0.5,0.25,1.0,0.625,1.0,0.6125,0.725,0.45,0.9625,0.5,1.0,0.4375,0.75
"[{'sigma_u': 0.07048350451280559, 'sigma_b': 2.0, 'rho': 23.56294874580673, 'd': 1.1380408824532606, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.97776223776224, 'Stressed Variance': 25.257827160252333, 'Stressed Steady State Time': 8.787030548887772}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.5,0.5,0.25,1.0,0.625,1.0,0.6125,0.725,0.45,0.9625,0.5,1.0,0.4375,0.75
"[{'sigma_u': 0.07048350451280559, 'sigma_b': 2.0, 'rho': 23.56294874580673, 'd': 1.1380408824532606, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.97776223776224, 'Stressed Variance': 25.257827160252333, 'Stressed Steady State Time': 8.787030548887772}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.5,0.5,0.25,1.0,0.625,1.0,0.6125,0.725,0.45,0.9625,0.5,1.0,0.4375,0.75
"[{'sigma_u': 0.07048350451280559, 'sigma_b': 2.0, 'rho': 23.56294874580673, 'd': 1.1380408824532606, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.97776223776224, 'Stressed Variance': 25.257827160252333, 'Stressed Steady State Time': 8.787030548887772}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.5,0.5,0.25,1.0,0.625,1.0,0.6125,0.725,0.45,0.9625,0.5,1.0,0.4375,0.75
"[{'sigma_u': 0.0839654019088494, 'sigma_b': 2.0, 'rho': 24.20542087417708, 'd': 1.161507808719168, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.968426573426573, 'Stressed Variance': 26.540506615237906, 'Stressed Steady State Time': 8.609498726510777}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.51,0.5,0.255,1.0,0.6125,1.0,0.625,0.8,0.45,0.925,0.6,1.0,0.45,0.9875
"[{'sigma_u': 0.0839654019088494, 'sigma_b': 2.0, 'rho': 24.20542087417708, 'd': 1.161507808719168, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.968426573426573, 'Stressed Variance': 26.540506615237906, 'Stressed Steady State Time': 8.609498726510777}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.51,0.5,0.255,1.0,0.6125,1.0,0.625,0.8,0.45,0.925,0.6,1.0,0.45,0.9875
"[{'sigma_u': 0.0839654019088494, 'sigma_b': 2.0, 'rho': 24.20542087417708, 'd': 1.161507808719168, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.968426573426573, 'Stressed Variance': 26.540506615237906, 'Stressed Steady State Time': 8.609498726510777}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.51,0.5,0.255,1.0,0.6125,1.0,0.625,0.8,0.45,0.925,0.6,1.0,0.45,0.9875
"[{'sigma_u': 0.0839654019088494, 'sigma_b': 2.0, 'rho': 24.20542087417708, 'd': 1.161507808719168, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.968426573426573, 'Stressed Variance': 26.540506615237906, 'Stressed Steady State Time': 8.609498726510777}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.51,0.5,0.255,1.0,0.6125,1.0,0.625,0.8,0.45,0.925,0.6,1.0,0.45,0.9875
"[{'sigma_u': 0.0839654019088494, 'sigma_b': 2.0, 'rho': 24.20542087417708, 'd': 1.161507808719168, 'label': 0}, {'sigma_u': 0.2861515182063994, 'sigma_b': 1.0, 'rho': 76.80355551351164, 'd': 2.985789560028585, 'label': 1}]","({'Stressed Mean': 19.968426573426573, 'Stressed Variance': 26.540506615237906, 'Stressed Steady State Time': 8.609498726510777}, {'Normal Mean': 19.874087837837838, 'Normal Variance': 101.34681504633855, 'Normal Steady State Time': 3.3491978583729334})",0.51,0.5,0.255,1.0,0.6125,1.0,0.625,0.8,0.45,0.925,0.6,1.0,0.45,0.9875
