timestamp,omid,experiment,stage,key_index,fl_channels,error_type,error,details
2026-04-10T15:19:33,4053,4053_2026_03_26_TFScreen_LowN2_switch_last5_00,load,median_GFP,['GFP'],KeyError,'median_GFP_Z is not recognised. Perhaps prepend mother_ for a fluorescence signal.',"Traceback (most recent call last):   File ""/home/ianyang/wela/data_analysis/run_wela_high_quality_data_2.py"", line 220, in <module>     dl.load(expt, key_index=key_index, cutoff=0.9)   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 684, in load     r_df, grouper = self.load_from_h5(   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 534, in load_from_h5     key_index = self.validate_key_index(key_index, signals_available) KeyError: 'median_GFP_Z is not recognised. Perhaps prepend mother_ for a fluorescence signal.'"
2026-04-10T15:19:33,4053,4053_2026_03_26_TFScreen_LowN2_switch_last5_00,load,median_GFP_Z,['GFP_Z'],KeyError,'median_GFP_Z_Z is not recognised. Perhaps prepend mother_ for a fluorescence signal.',"Traceback (most recent call last):   File ""/home/ianyang/wela/data_analysis/run_wela_high_quality_data_2.py"", line 220, in <module>     dl.load(expt, key_index=key_index, cutoff=0.9)   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 684, in load     r_df, grouper = self.load_from_h5(   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 534, in load_from_h5     key_index = self.validate_key_index(key_index, signals_available) KeyError: 'median_GFP_Z_Z is not recognised. Perhaps prepend mother_ for a fluorescence signal.'"
2026-04-10T15:19:47,4052,4052_2026_03_24_TFScreen_plate2_zeroGlc_00,load,median_GFP,['GFP'],KeyError,'postprocessing is missing from 4 file(s) in 4052_2026_03_24_TFScreen_plate2_zeroGlc_00. Try running wela/examples/run_postprocessor.py to replace or update it.',"Traceback (most recent call last):   File ""/home/ianyang/wela/data_analysis/run_wela_high_quality_data_2.py"", line 220, in <module>     dl.load(expt, key_index=key_index, cutoff=0.9)   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 684, in load     r_df, grouper = self.load_from_h5(   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 527, in load_from_h5     grouper, signals_available = self.setup_h5_loading( KeyError: 'postprocessing is missing from 4 file(s) in 4052_2026_03_24_TFScreen_plate2_zeroGlc_00. Try running wela/examples/run_postprocessor.py to replace or update it.'"
2026-04-10T15:19:47,4052,4052_2026_03_24_TFScreen_plate2_zeroGlc_00,load,median_GFP_Z,['GFP_Z'],KeyError,'postprocessing is missing from 4 file(s) in 4052_2026_03_24_TFScreen_plate2_zeroGlc_00. Try running wela/examples/run_postprocessor.py to replace or update it.',"Traceback (most recent call last):   File ""/home/ianyang/wela/data_analysis/run_wela_high_quality_data_2.py"", line 220, in <module>     dl.load(expt, key_index=key_index, cutoff=0.9)   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 684, in load     r_df, grouper = self.load_from_h5(   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 527, in load_from_h5     grouper, signals_available = self.setup_h5_loading( KeyError: 'postprocessing is missing from 4 file(s) in 4052_2026_03_24_TFScreen_plate2_zeroGlc_00. Try running wela/examples/run_postprocessor.py to replace or update it.'"
2026-04-10T15:19:48,4052,4052_2026_03_24_TFScreen_plate2_zeroGlc_00,load,buddings,['buddings'],KeyError,'postprocessing is missing from 4 file(s) in 4052_2026_03_24_TFScreen_plate2_zeroGlc_00. Try running wela/examples/run_postprocessor.py to replace or update it.',"Traceback (most recent call last):   File ""/home/ianyang/wela/data_analysis/run_wela_high_quality_data_2.py"", line 220, in <module>     dl.load(expt, key_index=key_index, cutoff=0.9)   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 684, in load     r_df, grouper = self.load_from_h5(   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 527, in load_from_h5     grouper, signals_available = self.setup_h5_loading( KeyError: 'postprocessing is missing from 4 file(s) in 4052_2026_03_24_TFScreen_plate2_zeroGlc_00. Try running wela/examples/run_postprocessor.py to replace or update it.'"
2026-04-10T15:19:49,4051,4051_2026_03_24_TFScreen_plate1_zeroGlc_00,load,median_GFP,['GFP'],KeyError,'postprocessing is missing from 1 file(s) in 4051_2026_03_24_TFScreen_plate1_zeroGlc_00. Try running wela/examples/run_postprocessor.py to replace or update it.',"Traceback (most recent call last):   File ""/home/ianyang/wela/data_analysis/run_wela_high_quality_data_2.py"", line 220, in <module>     dl.load(expt, key_index=key_index, cutoff=0.9)   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 684, in load     r_df, grouper = self.load_from_h5(   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 527, in load_from_h5     grouper, signals_available = self.setup_h5_loading( KeyError: 'postprocessing is missing from 1 file(s) in 4051_2026_03_24_TFScreen_plate1_zeroGlc_00. Try running wela/examples/run_postprocessor.py to replace or update it.'"
2026-04-10T15:19:49,4051,4051_2026_03_24_TFScreen_plate1_zeroGlc_00,load,median_GFP_Z,['GFP_Z'],KeyError,'postprocessing is missing from 1 file(s) in 4051_2026_03_24_TFScreen_plate1_zeroGlc_00. Try running wela/examples/run_postprocessor.py to replace or update it.',"Traceback (most recent call last):   File ""/home/ianyang/wela/data_analysis/run_wela_high_quality_data_2.py"", line 220, in <module>     dl.load(expt, key_index=key_index, cutoff=0.9)   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 684, in load     r_df, grouper = self.load_from_h5(   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 527, in load_from_h5     grouper, signals_available = self.setup_h5_loading( KeyError: 'postprocessing is missing from 1 file(s) in 4051_2026_03_24_TFScreen_plate1_zeroGlc_00. Try running wela/examples/run_postprocessor.py to replace or update it.'"
2026-04-10T15:19:49,4051,4051_2026_03_24_TFScreen_plate1_zeroGlc_00,load,buddings,['buddings'],KeyError,'postprocessing is missing from 1 file(s) in 4051_2026_03_24_TFScreen_plate1_zeroGlc_00. Try running wela/examples/run_postprocessor.py to replace or update it.',"Traceback (most recent call last):   File ""/home/ianyang/wela/data_analysis/run_wela_high_quality_data_2.py"", line 220, in <module>     dl.load(expt, key_index=key_index, cutoff=0.9)   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 684, in load     r_df, grouper = self.load_from_h5(   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 527, in load_from_h5     grouper, signals_available = self.setup_h5_loading( KeyError: 'postprocessing is missing from 1 file(s) in 4051_2026_03_24_TFScreen_plate1_zeroGlc_00. Try running wela/examples/run_postprocessor.py to replace or update it.'"
2026-04-10T15:19:50,4054,4054_2026_03_26_TFScreen_plate1_zeroGlc_00,load,median_GFP,['GFP'],KeyError,'postprocessing is missing from 4 file(s) in 4054_2026_03_26_TFScreen_plate1_zeroGlc_00. Try running wela/examples/run_postprocessor.py to replace or update it.',"Traceback (most recent call last):   File ""/home/ianyang/wela/data_analysis/run_wela_high_quality_data_2.py"", line 220, in <module>     dl.load(expt, key_index=key_index, cutoff=0.9)   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 684, in load     r_df, grouper = self.load_from_h5(   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 527, in load_from_h5     grouper, signals_available = self.setup_h5_loading( KeyError: 'postprocessing is missing from 4 file(s) in 4054_2026_03_26_TFScreen_plate1_zeroGlc_00. Try running wela/examples/run_postprocessor.py to replace or update it.'"
2026-04-10T15:19:50,4054,4054_2026_03_26_TFScreen_plate1_zeroGlc_00,load,median_GFP_Z,['GFP_Z'],KeyError,'postprocessing is missing from 4 file(s) in 4054_2026_03_26_TFScreen_plate1_zeroGlc_00. Try running wela/examples/run_postprocessor.py to replace or update it.',"Traceback (most recent call last):   File ""/home/ianyang/wela/data_analysis/run_wela_high_quality_data_2.py"", line 220, in <module>     dl.load(expt, key_index=key_index, cutoff=0.9)   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 684, in load     r_df, grouper = self.load_from_h5(   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 527, in load_from_h5     grouper, signals_available = self.setup_h5_loading( KeyError: 'postprocessing is missing from 4 file(s) in 4054_2026_03_26_TFScreen_plate1_zeroGlc_00. Try running wela/examples/run_postprocessor.py to replace or update it.'"
2026-04-10T15:19:50,4054,4054_2026_03_26_TFScreen_plate1_zeroGlc_00,load,buddings,['buddings'],KeyError,'postprocessing is missing from 4 file(s) in 4054_2026_03_26_TFScreen_plate1_zeroGlc_00. Try running wela/examples/run_postprocessor.py to replace or update it.',"Traceback (most recent call last):   File ""/home/ianyang/wela/data_analysis/run_wela_high_quality_data_2.py"", line 220, in <module>     dl.load(expt, key_index=key_index, cutoff=0.9)   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 684, in load     r_df, grouper = self.load_from_h5(   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 527, in load_from_h5     grouper, signals_available = self.setup_h5_loading( KeyError: 'postprocessing is missing from 4 file(s) in 4054_2026_03_26_TFScreen_plate1_zeroGlc_00. Try running wela/examples/run_postprocessor.py to replace or update it.'"
2026-04-10T15:19:51,4102,4102_2026_03_27_TFScreen_plate1_zeroGlc_00,load,median_GFP,['GFP'],KeyError,'postprocessing is missing from 1 file(s) in 4102_2026_03_27_TFScreen_plate1_zeroGlc_00. Try running wela/examples/run_postprocessor.py to replace or update it.',"Traceback (most recent call last):   File ""/home/ianyang/wela/data_analysis/run_wela_high_quality_data_2.py"", line 220, in <module>     dl.load(expt, key_index=key_index, cutoff=0.9)   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 684, in load     r_df, grouper = self.load_from_h5(   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 527, in load_from_h5     grouper, signals_available = self.setup_h5_loading( KeyError: 'postprocessing is missing from 1 file(s) in 4102_2026_03_27_TFScreen_plate1_zeroGlc_00. Try running wela/examples/run_postprocessor.py to replace or update it.'"
2026-04-10T15:19:52,4102,4102_2026_03_27_TFScreen_plate1_zeroGlc_00,load,median_GFP_Z,['GFP_Z'],KeyError,'postprocessing is missing from 1 file(s) in 4102_2026_03_27_TFScreen_plate1_zeroGlc_00. Try running wela/examples/run_postprocessor.py to replace or update it.',"Traceback (most recent call last):   File ""/home/ianyang/wela/data_analysis/run_wela_high_quality_data_2.py"", line 220, in <module>     dl.load(expt, key_index=key_index, cutoff=0.9)   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 684, in load     r_df, grouper = self.load_from_h5(   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 527, in load_from_h5     grouper, signals_available = self.setup_h5_loading( KeyError: 'postprocessing is missing from 1 file(s) in 4102_2026_03_27_TFScreen_plate1_zeroGlc_00. Try running wela/examples/run_postprocessor.py to replace or update it.'"
2026-04-10T15:19:52,4102,4102_2026_03_27_TFScreen_plate1_zeroGlc_00,load,buddings,['buddings'],KeyError,'postprocessing is missing from 1 file(s) in 4102_2026_03_27_TFScreen_plate1_zeroGlc_00. Try running wela/examples/run_postprocessor.py to replace or update it.',"Traceback (most recent call last):   File ""/home/ianyang/wela/data_analysis/run_wela_high_quality_data_2.py"", line 220, in <module>     dl.load(expt, key_index=key_index, cutoff=0.9)   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 684, in load     r_df, grouper = self.load_from_h5(   File ""/home/ianyang/wela/src/wela/dataloader.py"", line 527, in load_from_h5     grouper, signals_available = self.setup_h5_loading( KeyError: 'postprocessing is missing from 1 file(s) in 4102_2026_03_27_TFScreen_plate1_zeroGlc_00. Try running wela/examples/run_postprocessor.py to replace or update it.'"
