d_model,nhead,num_layers,dropout_rate,learning_rate,batch_size,train_acc,val_acc,test_acc,time
32,2,1,0.1,0.001,32,0.519140625,0.5515625,0.53125,7.441699266433716
32,2,1,0.1,0.001,64,0.523046875,0.5171875,0.4975,2.796720504760742
32,2,1,0.1,0.0001,32,0.5109375,0.528125,0.50375,12.453518390655518
32,2,1,0.1,0.0001,64,0.519140625,0.509375,0.4775,3.328303575515747
32,2,1,0.2,0.001,32,0.500390625,0.546875,0.5325,10.476062297821045
32,2,1,0.2,0.001,64,0.482421875,0.553125,0.5225,8.80632996559143
32,2,1,0.2,0.0001,32,0.50390625,0.49375,0.5075,9.01893663406372
32,2,1,0.2,0.0001,64,0.498828125,0.4796875,0.47625,2.2285866737365723
32,2,1,0.3,0.001,32,0.491015625,0.5328125,0.51875,5.921870470046997
32,2,1,0.3,0.001,64,0.49140625,0.5203125,0.49,3.139669179916382
32,2,1,0.3,0.0001,32,0.506640625,0.521875,0.515,6.957614421844482
32,2,1,0.3,0.0001,64,0.50625,0.4921875,0.495,7.301896095275879
32,2,2,0.1,0.001,32,0.52421875,0.56875,0.51625,15.081916332244873
32,2,2,0.1,0.001,64,0.51640625,0.5359375,0.51875,6.935396194458008
32,2,2,0.1,0.0001,32,0.509375,0.509375,0.48375,5.737109661102295
32,2,2,0.1,0.0001,64,0.505078125,0.5171875,0.5025,3.941502809524536
32,2,2,0.2,0.001,32,0.509375,0.528125,0.51125,8.873998403549194
32,2,2,0.2,0.001,64,0.50625,0.4703125,0.52875,6.414462327957153
32,2,2,0.2,0.0001,32,0.4984375,0.4953125,0.485,13.441243648529053
32,2,2,0.2,0.0001,64,0.492578125,0.5046875,0.48625,4.1474995613098145
32,2,2,0.3,0.001,32,0.503125,0.528125,0.5025,10.708171606063843
32,2,2,0.3,0.001,64,0.51171875,0.496875,0.4925,3.9168202877044678
32,2,2,0.3,0.0001,32,0.519921875,0.525,0.5125,12.57252836227417
32,2,2,0.3,0.0001,64,0.498046875,0.471875,0.47875,2.696892738342285
32,2,3,0.1,0.001,32,0.494140625,0.53125,0.54,23.89289116859436
32,2,3,0.1,0.001,64,0.502734375,0.53125,0.51625,7.1281657218933105
32,2,3,0.1,0.0001,32,0.512109375,0.5046875,0.5,29.227330446243286
32,2,3,0.1,0.0001,64,0.5046875,0.528125,0.5075,3.4698758125305176
32,2,3,0.2,0.001,32,0.5125,0.5390625,0.5275,16.592362880706787
32,2,3,0.2,0.001,64,0.502734375,0.49375,0.50375,3.478604793548584
32,2,3,0.2,0.0001,32,0.492578125,0.515625,0.5125,17.45449185371399
32,2,3,0.2,0.0001,64,0.502734375,0.4578125,0.48,3.4432566165924072
32,2,3,0.3,0.001,32,0.50625,0.4953125,0.50375,9.881999969482422
32,2,3,0.3,0.001,64,0.508984375,0.484375,0.4875,3.4165754318237305
32,2,3,0.3,0.0001,32,0.508203125,0.50625,0.49625,14.595803499221802
32,2,3,0.3,0.0001,64,0.503125,0.4859375,0.485,5.61886739730835
32,4,1,0.1,0.001,32,0.51953125,0.5734375,0.565,11.696783304214478
32,4,1,0.1,0.001,64,0.50859375,0.5984375,0.57875,7.5008978843688965
32,4,1,0.1,0.0001,32,0.4921875,0.603125,0.58,14.062401533126831
32,4,1,0.1,0.0001,64,0.505078125,0.515625,0.48875,7.7217323780059814
32,4,1,0.2,0.001,32,0.518359375,0.5515625,0.505,9.673958539962769
32,4,1,0.2,0.001,64,0.51328125,0.5625,0.54125,4.514477491378784
32,4,1,0.2,0.0001,32,0.509375,0.4765625,0.49625,3.8458003997802734
32,4,1,0.2,0.0001,64,0.49609375,0.4546875,0.47,2.0947012901306152
32,4,1,0.3,0.001,32,0.515625,0.4875,0.4875,6.575986385345459
32,4,1,0.3,0.001,64,0.487890625,0.5171875,0.5,2.8116378784179688
32,4,1,0.3,0.0001,32,0.492578125,0.515625,0.48,6.367228269577026
32,4,1,0.3,0.0001,64,0.494921875,0.55,0.5125,4.1845316886901855
32,4,2,0.1,0.001,32,0.528515625,0.571875,0.55125,8.616091966629028
32,4,2,0.1,0.001,64,0.531640625,0.5640625,0.53,9.300713539123535
32,4,2,0.1,0.0001,32,0.503515625,0.503125,0.4875,10.833194017410278
32,4,2,0.1,0.0001,64,0.4921875,0.484375,0.5025,3.1357126235961914
32,4,2,0.2,0.001,32,0.491796875,0.5296875,0.525,9.881489276885986
32,4,2,0.2,0.001,64,0.508203125,0.4703125,0.49125,4.0398173332214355
32,4,2,0.2,0.0001,32,0.495703125,0.5015625,0.50375,15.385040760040283
32,4,2,0.2,0.0001,64,0.50703125,0.53125,0.52,10.65671157836914
32,4,2,0.3,0.001,32,0.511328125,0.5484375,0.54125,12.172221899032593
32,4,2,0.3,0.001,64,0.498828125,0.46875,0.4925,9.481693506240845
32,4,2,0.3,0.0001,32,0.50703125,0.4515625,0.47375,5.139290809631348
32,4,2,0.3,0.0001,64,0.51015625,0.50625,0.48,4.350613117218018
32,4,3,0.1,0.001,32,0.520703125,0.5359375,0.5225,13.628719091415405
32,4,3,0.1,0.001,64,0.521484375,0.49375,0.485,11.184552192687988
32,4,3,0.1,0.0001,32,0.480078125,0.471875,0.4275,7.6731696128845215
32,4,3,0.1,0.0001,64,0.505078125,0.4921875,0.46625,7.3810625076293945
32,4,3,0.2,0.001,32,0.49453125,0.4984375,0.53125,10.738279581069946
32,4,3,0.2,0.001,64,0.525390625,0.4984375,0.49125,5.071355581283569
32,4,3,0.2,0.0001,32,0.49921875,0.509375,0.5025,11.265989542007446
32,4,3,0.2,0.0001,64,0.51171875,0.503125,0.49875,9.284327507019043
32,4,3,0.3,0.001,32,0.49765625,0.5109375,0.49625,13.024903535842896
32,4,3,0.3,0.001,64,0.503125,0.496875,0.47875,11.203468799591064
32,4,3,0.3,0.0001,32,0.505078125,0.5125,0.52375,13.567271709442139
32,4,3,0.3,0.0001,64,0.501171875,0.5125,0.51125,6.953988075256348
64,2,1,0.1,0.001,32,0.52734375,0.5859375,0.5725,12.158499717712402
64,2,1,0.1,0.001,64,0.51953125,0.553125,0.54,3.863339424133301
64,2,1,0.1,0.0001,32,0.505078125,0.503125,0.50375,6.369198799133301
64,2,1,0.1,0.0001,64,0.50546875,0.584375,0.5625,7.474246501922607
64,2,1,0.2,0.001,32,0.5171875,0.571875,0.53,9.467740535736084
64,2,1,0.2,0.001,64,0.498828125,0.5234375,0.5125,4.0613954067230225
64,2,1,0.2,0.0001,32,0.499609375,0.5203125,0.52125,13.052490949630737
64,2,1,0.2,0.0001,64,0.48984375,0.4765625,0.49375,3.8532185554504395
64,2,1,0.3,0.001,32,0.484765625,0.5,0.5075,13.163435697555542
64,2,1,0.3,0.001,64,0.5125,0.5296875,0.49875,5.564785480499268
64,2,1,0.3,0.0001,32,0.518359375,0.5046875,0.51,7.658399343490601
64,2,1,0.3,0.0001,64,0.5015625,0.5828125,0.51,3.0737061500549316
64,2,2,0.1,0.001,32,0.515234375,0.590625,0.53875,9.924491167068481
64,2,2,0.1,0.001,64,0.5203125,0.55,0.535,4.676687240600586
64,2,2,0.1,0.0001,32,0.49765625,0.525,0.5,7.07916522026062
64,2,2,0.1,0.0001,64,0.49453125,0.4984375,0.4775,8.184097051620483
64,2,2,0.2,0.001,32,0.5,0.51875,0.4975,10.028527021408081
64,2,2,0.2,0.001,64,0.502734375,0.540625,0.52,6.1593310832977295
64,2,2,0.2,0.0001,32,0.49609375,0.525,0.52125,7.140110969543457
64,2,2,0.2,0.0001,64,0.5078125,0.553125,0.5175,10.796066999435425
64,2,2,0.3,0.001,32,0.5125,0.5140625,0.49875,6.684088230133057
64,2,2,0.3,0.001,64,0.50859375,0.503125,0.49125,5.546706199645996
64,2,2,0.3,0.0001,32,0.5109375,0.465625,0.5025,8.589390277862549
64,2,2,0.3,0.0001,64,0.50859375,0.5046875,0.495,4.980786323547363
64,2,3,0.1,0.001,32,0.51484375,0.553125,0.545,8.333134412765503
64,2,3,0.1,0.001,64,0.516796875,0.5328125,0.51125,8.08119010925293
64,2,3,0.1,0.0001,32,0.50078125,0.4890625,0.4875,20.058429479599
64,2,3,0.1,0.0001,64,0.515625,0.5390625,0.51625,14.046839714050293
64,2,3,0.2,0.001,32,0.504296875,0.5171875,0.505,13.609131813049316
64,2,3,0.2,0.001,64,0.515625,0.5265625,0.5025,7.718593597412109
64,2,3,0.2,0.0001,32,0.490625,0.4890625,0.5025,10.653045415878296
64,2,3,0.2,0.0001,64,0.4828125,0.534375,0.51125,6.027295827865601
64,2,3,0.3,0.001,32,0.503125,0.4953125,0.49125,6.584444761276245
64,2,3,0.3,0.001,64,0.49765625,0.509375,0.51125,8.007998943328857
64,2,3,0.3,0.0001,32,0.4859375,0.528125,0.51125,8.934085130691528
64,2,3,0.3,0.0001,64,0.517578125,0.509375,0.5125,8.043149948120117
64,4,1,0.1,0.001,32,0.5546875,0.5484375,0.51625,12.522446870803833
64,4,1,0.1,0.001,64,0.5390625,0.546875,0.51625,4.275918960571289
64,4,1,0.1,0.0001,32,0.52109375,0.5359375,0.505,5.959247350692749
64,4,1,0.1,0.0001,64,0.5015625,0.4734375,0.4925,2.362363576889038
64,4,1,0.2,0.001,32,0.51484375,0.503125,0.51,7.356033563613892
64,4,1,0.2,0.001,64,0.49765625,0.515625,0.51,4.948932886123657
64,4,1,0.2,0.0001,32,0.50703125,0.5125,0.5175,7.099337816238403
64,4,1,0.2,0.0001,64,0.51875,0.521875,0.50875,5.578962326049805
64,4,1,0.3,0.001,32,0.502734375,0.4734375,0.50625,4.614914894104004
64,4,1,0.3,0.001,64,0.498046875,0.521875,0.5125,4.309649229049683
64,4,1,0.3,0.0001,32,0.50703125,0.4984375,0.5,4.059090614318848
64,4,1,0.3,0.0001,64,0.48515625,0.5046875,0.51,4.4538350105285645
64,4,2,0.1,0.001,32,0.512890625,0.53125,0.52625,6.654757738113403
64,4,2,0.1,0.001,64,0.526171875,0.5765625,0.5525,11.501947164535522
64,4,2,0.1,0.0001,32,0.515234375,0.515625,0.51125,7.163748741149902
64,4,2,0.1,0.0001,64,0.502734375,0.515625,0.51,7.650373220443726
64,4,2,0.2,0.001,32,0.492578125,0.478125,0.49375,9.19581151008606
64,4,2,0.2,0.001,64,0.503515625,0.515625,0.51125,3.821829319000244
64,4,2,0.2,0.0001,32,0.501171875,0.565625,0.5375,6.944780349731445
64,4,2,0.2,0.0001,64,0.49140625,0.51875,0.51375,8.660350322723389
64,4,2,0.3,0.001,32,0.4921875,0.484375,0.49625,5.186427354812622
64,4,2,0.3,0.001,64,0.50859375,0.4828125,0.515,6.939733028411865
64,4,2,0.3,0.0001,32,0.51328125,0.4921875,0.5125,7.822137355804443
64,4,2,0.3,0.0001,64,0.49609375,0.5046875,0.485,7.667911052703857
64,4,3,0.1,0.001,32,0.51015625,0.521875,0.50875,12.262403964996338
64,4,3,0.1,0.001,64,0.53984375,0.571875,0.5475,12.420183897018433
64,4,3,0.1,0.0001,32,0.496484375,0.5265625,0.5225,8.601491689682007
64,4,3,0.1,0.0001,64,0.496875,0.5015625,0.50625,8.484929084777832
64,4,3,0.2,0.001,32,0.4984375,0.515625,0.515,10.486382007598877
64,4,3,0.2,0.001,64,0.51015625,0.5171875,0.50375,11.342752695083618
64,4,3,0.2,0.0001,32,0.513671875,0.490625,0.535,9.886539220809937
64,4,3,0.2,0.0001,64,0.503515625,0.521875,0.5,7.905141592025757
64,4,3,0.3,0.001,32,0.49140625,0.53125,0.505,19.52540135383606
64,4,3,0.3,0.001,64,0.4953125,0.4859375,0.49,6.859333753585815
64,4,3,0.3,0.0001,32,0.504296875,0.528125,0.50625,21.047760009765625
64,4,3,0.3,0.0001,64,0.505078125,0.5015625,0.50125,12.82063889503479
128,2,1,0.1,0.001,32,0.57890625,0.6703125,0.62125,10.539950609207153
128,2,1,0.1,0.001,64,0.5203125,0.5828125,0.5625,7.917265176773071
128,2,1,0.1,0.0001,32,0.521484375,0.540625,0.5275,11.561110734939575
128,2,1,0.1,0.0001,64,0.516796875,0.5703125,0.5375,9.608920335769653
128,2,1,0.2,0.001,32,0.509375,0.53125,0.52,8.306370496749878
128,2,1,0.2,0.001,64,0.51015625,0.5125,0.50375,4.116184949874878
128,2,1,0.2,0.0001,32,0.477734375,0.4859375,0.49625,4.721220016479492
128,2,1,0.2,0.0001,64,0.51796875,0.509375,0.5075,7.663668632507324
128,2,1,0.3,0.001,32,0.509765625,0.5671875,0.53375,17.98740315437317
128,2,1,0.3,0.001,64,0.525390625,0.5296875,0.5175,6.309133529663086
128,2,1,0.3,0.0001,32,0.499609375,0.4828125,0.4975,4.027925729751587
128,2,1,0.3,0.0001,64,0.5171875,0.5140625,0.49,4.662735462188721
128,2,2,0.1,0.001,32,0.528515625,0.565625,0.5575,7.825673580169678
128,2,2,0.1,0.001,64,0.528125,0.5390625,0.53,18.5001323223114
128,2,2,0.1,0.0001,32,0.517578125,0.55,0.53,12.837841033935547
128,2,2,0.1,0.0001,64,0.49921875,0.58125,0.5475,24.39440679550171
128,2,2,0.2,0.001,32,0.5109375,0.51875,0.51625,12.327803611755371
128,2,2,0.2,0.001,64,0.506640625,0.48125,0.49,5.389845848083496
128,2,2,0.2,0.0001,32,0.50546875,0.496875,0.49875,9.009075403213501
128,2,2,0.2,0.0001,64,0.5203125,0.5109375,0.51,5.391413688659668
128,2,2,0.3,0.001,32,0.505859375,0.525,0.51,27.891900300979614
128,2,2,0.3,0.001,64,0.506640625,0.5015625,0.5,9.259227991104126
128,2,2,0.3,0.0001,32,0.49609375,0.5140625,0.5075,8.451458930969238
128,2,2,0.3,0.0001,64,0.5015625,0.5375,0.5175,7.832360506057739
128,2,3,0.1,0.001,32,0.516015625,0.55625,0.53375,22.114028692245483
128,2,3,0.1,0.001,64,0.5390625,0.5640625,0.5575,21.769593477249146
128,2,3,0.1,0.0001,32,0.51484375,0.5203125,0.5075,15.268622875213623
128,2,3,0.1,0.0001,64,0.524609375,0.5015625,0.505,12.687020540237427
128,2,3,0.2,0.001,32,0.507421875,0.5234375,0.52875,10.736960411071777
128,2,3,0.2,0.001,64,0.500390625,0.5078125,0.50125,9.866060972213745
128,2,3,0.2,0.0001,32,0.507421875,0.5484375,0.525,20.640318632125854
128,2,3,0.2,0.0001,64,0.51015625,0.5203125,0.52125,11.273364543914795
128,2,3,0.3,0.001,32,0.49453125,0.4890625,0.495,9.215552806854248
128,2,3,0.3,0.001,64,0.5109375,0.475,0.495,9.895436525344849
128,2,3,0.3,0.0001,32,0.49921875,0.5015625,0.50375,11.557373285293579
128,2,3,0.3,0.0001,64,0.49921875,0.4890625,0.4875,11.419209003448486
128,4,1,0.1,0.001,32,0.5359375,0.5921875,0.55875,13.629083156585693
128,4,1,0.1,0.001,64,0.550390625,0.5953125,0.5625,10.692668437957764
128,4,1,0.1,0.0001,32,0.507421875,0.5484375,0.51625,10.211486577987671
128,4,1,0.1,0.0001,64,0.4984375,0.5390625,0.53,7.987324476242065
128,4,1,0.2,0.001,32,0.52265625,0.4890625,0.49875,5.753188610076904
128,4,1,0.2,0.001,64,0.496875,0.5578125,0.53375,5.313751697540283
128,4,1,0.2,0.0001,32,0.525,0.60625,0.585,15.086833953857422
128,4,1,0.2,0.0001,64,0.487890625,0.5078125,0.49125,4.451271057128906
128,4,1,0.3,0.001,32,0.50625,0.5,0.48875,5.753004550933838
128,4,1,0.3,0.001,64,0.490625,0.4984375,0.48625,5.942502021789551
128,4,1,0.3,0.0001,32,0.508203125,0.5328125,0.525,5.399497985839844
128,4,1,0.3,0.0001,64,0.492578125,0.515625,0.5125,5.6441333293914795
128,4,2,0.1,0.001,32,0.5296875,0.54375,0.525,8.948582887649536
128,4,2,0.1,0.001,64,0.541015625,0.5578125,0.5525,9.009960651397705
