timestamp,trial_id,experiment,best_val_acc,best_epoch,final_train_loss,final_val_loss,experiment_name,nhead,num_layers,d_model,batch_size,use_conv1d,lr,dropout,patience,epochs
2026-02-01 18:52:10,0,CV-Variation,0.9566666666666667,24,0.02734889438127478,0.29877129475275677,CV-Variation,8,4,64,64,False,0.0013662606357508903,0.3964200883071475,15,100
2026-02-01 20:00:41,1,CV-Variation,0.6133333333333333,24,0.6673205898602803,0.6756945784886678,CV-Variation,2,4,16,32,False,0.00013238117853619496,0.17704478524400225,15,100
2026-02-01 21:30:59,2,CV-Variation,0.8816666666666667,33,0.16006905210018157,0.42270612637201943,CV-Variation,4,2,64,32,True,0.0006810800698326676,0.3605609685905193,15,100
2026-02-01 22:14:38,3,CV-Variation,0.7333333333333333,26,0.5223379317919413,0.6007739551862081,CV-Variation,4,1,128,32,True,0.00012112664646114145,0.33327072265204977,15,100
2026-02-01 22:28:46,4,CV-Variation,0.49,1,0.6925461049079895,0.6942824506759644,CV-Variation,4,1,32,64,True,0.00010950578932951961,0.2742917045148085,15,100
2026-02-01 23:44:24,5,CV-Variation,0.935,28,0.09226631963253021,0.2194451069831848,CV-Variation,8,1,64,128,True,0.002417015403192399,0.4030496746175367,15,100
2026-02-02 00:27:46,6,CV-Variation,0.9366666666666666,31,0.09117503475149473,0.18005667388439178,CV-Variation,4,1,64,128,False,0.0013802073382387214,0.35880609658806817,15,100
2026-02-02 02:01:00,7,CV-Variation,0.795,38,0.3355133898258209,0.42924466292063396,CV-Variation,8,1,64,32,False,0.0003424926555787203,0.2935223631232897,15,100
2026-02-02 02:35:53,9,CV-Variation,0.9116666666666666,19,0.12344094932079315,0.27163625955581666,CV-Variation,2,2,16,32,False,0.007404123918099649,0.41990330373646734,15,100
2026-02-02 04:32:42,11,CV-Variation,0.9566666666666667,16,0.06483375664552053,0.21553577423095704,CV-Variation,4,4,64,64,False,0.0009776406966436517,0.4983173769722363,15,100
2026-02-02 08:03:11,12,CV-Variation,0.96,15,0.08324649090568224,0.19064920981725056,CV-Variation,8,4,64,64,False,0.000638542482663887,0.4893107308510497,15,100
2026-02-02 13:11:32,13,CV-Variation,0.955,29,0.08625378050406773,0.18468174119790395,CV-Variation,8,4,64,64,False,0.000402978551112272,0.49070221227678645,15,100
2026-02-02 17:38:11,14,CV-Variation,0.955,23,0.030840871136635542,0.2675147621333599,CV-Variation,8,4,64,64,False,0.0024934881604754366,0.42849469001803464,15,100
2026-02-02 20:52:24,15,CV-Variation,0.93,22,0.09856315938631693,0.42418690721193947,CV-Variation,8,3,64,64,False,0.0004534707964034812,0.4572725864780352,15,100
2026-02-02 22:47:23,17,CV-Variation,0.9433333333333334,46,0.08792329575618107,0.18313900589942933,CV-Variation,2,4,32,64,False,0.0009377711874937875,0.3910302889641689,15,100
2026-02-03 03:59:09,19,CV-Variation,0.9033333333333333,43,0.1319401092926661,0.394433274269104,CV-Variation,8,3,64,64,False,0.0002337905473103732,0.45665825152831624,15,100
2026-02-03 04:37:47,20,CV-Variation,0.9466666666666667,21,0.08818336919943491,0.19653451442718506,CV-Variation,2,2,64,128,False,0.0006261110273746602,0.3160566254814919,15,100
2026-02-03 05:56:34,21,CV-Variation,0.9483333333333334,6,0.07047595442334811,0.2669336299101512,CV-Variation,4,4,64,64,False,0.001129982809359665,0.48499180514040247,15,100
2026-02-03 07:49:40,22,CV-Variation,0.96,15,0.07399401368697485,0.16050726691881814,CV-Variation,4,4,64,64,False,0.0008405267211782929,0.4771474758068308,15,100
2026-02-03 10:00:58,23,CV-Variation,0.9533333333333334,20,0.06768050537010034,0.1844486900170644,CV-Variation,4,4,64,64,False,0.0006622541398687889,0.4441454059277331,15,100
2026-02-03 15:02:31,24,CV-Variation,0.955,28,0.016793715306557714,0.3270970906813939,CV-Variation,8,4,64,64,False,0.0020234159331171636,0.38008506780526957,15,100
2026-02-03 17:36:00,25,CV-Variation,0.9416666666666667,26,0.051575392176707584,0.36392088860273364,CV-Variation,4,4,64,64,False,0.004358820788222383,0.4455493032681241,15,100
2026-02-03 18:53:34,28,CV-Variation,0.9333333333333333,24,0.06913381504515807,0.4037228600184123,CV-Variation,2,2,128,128,False,0.0005028304965755059,0.41429472969251296,15,100
2026-02-03 20:41:21,30,CV-Variation,0.9016666666666666,50,0.12209169447422027,0.4872221008936564,CV-Variation,2,3,64,32,False,0.00026906646370956954,0.34988497099472793,15,100
2026-02-03 22:25:46,31,CV-Variation,0.95,13,0.07134605329235395,0.27213694612185163,CV-Variation,4,4,64,64,False,0.0009759095444805757,0.4969100121325871,15,100
2026-02-04 00:10:31,32,CV-Variation,0.95,13,0.04806656252841155,0.27768953402837115,CV-Variation,4,4,64,64,False,0.0011260773096785444,0.49966928327266585,15,100
2026-02-04 01:55:21,33,CV-Variation,0.95,13,0.07785699144999186,0.25722176939249036,CV-Variation,4,4,64,64,False,0.0005966220652038791,0.45746388503785246,15,100
2026-02-04 04:24:55,34,CV-Variation,0.5733333333333334,25,0.6446053369839986,0.6826482208569845,CV-Variation,4,4,64,64,True,0.0007892011722190755,0.3867737205572347,15,100
2026-02-04 06:21:12,35,CV-Variation,0.94,16,0.06740765170256297,0.3813534331321716,CV-Variation,4,4,64,32,True,0.001513281104854654,0.4276020453595391,15,100
2026-02-04 07:19:01,36,CV-Variation,0.9416666666666667,16,0.04764177253097296,0.48888508796691893,CV-Variation,4,2,64,64,False,0.0028690141453396882,0.47086243188916177,15,100
