label,time_0.0,time_1.0,time_2.0,time_3.0,time_4.0,time_5.0,time_6.0,time_7.0,time_8.0,time_9.0,time_10.0,time_11.0,time_12.0,time_13.0,time_14.0,time_15.0,time_16.0,time_17.0,time_18.0,time_19.0,time_20.0,time_21.0,time_22.0,time_23.0,time_24.0,time_25.0,time_26.0,time_27.0,time_28.0,time_29.0,time_30.0,time_31.0,time_32.0,time_33.0,time_34.0,time_35.0,time_36.0,time_37.0,time_38.0,time_39.0,time_40.0,time_41.0,time_42.0,time_43.0,time_44.0,time_45.0,time_46.0,time_47.0,time_48.0,time_49.0,time_50.0,time_51.0,time_52.0,time_53.0,time_54.0,time_55.0,time_56.0,time_57.0,time_58.0,time_59.0,time_60.0,time_61.0,time_62.0,time_63.0,time_64.0,time_65.0,time_66.0,time_67.0,time_68.0,time_69.0,time_70.0,time_71.0,time_72.0,time_73.0,time_74.0,time_75.0,time_76.0,time_77.0,time_78.0,time_79.0,time_80.0,time_81.0,time_82.0,time_83.0,time_84.0,time_85.0,time_86.0,time_87.0,time_88.0,time_89.0,time_90.0,time_91.0,time_92.0,time_93.0,time_94.0,time_95.0,time_96.0,time_97.0,time_98.0,time_99.0,time_100.0,time_101.0,time_102.0,time_103.0,time_104.0,time_105.0,time_106.0,time_107.0,time_108.0,time_109.0,time_110.0,time_111.0,time_112.0,time_113.0,time_114.0,time_115.0,time_116.0,time_117.0,time_118.0,time_119.0,time_120.0,time_121.0,time_122.0,time_123.0,time_124.0,time_125.0,time_126.0,time_127.0,time_128.0,time_129.0,time_130.0,time_131.0,time_132.0,time_133.0,time_134.0,time_135.0,time_136.0,time_137.0,time_138.0,time_139.0,time_140.0,time_141.0,time_142.0,time_143.0
0,-1,14,11,7,9,9,10,7,5,6,3,3,6,5,4,6,5,4,4,1,3,3,3,2,4,1,1,1,4,1,-2,4,1,1,-1,-1,0,0,2,-1,3,1,1,2,1,0,0,2,0,2,1,2,1,-3,0,-3,-2,0,0,2,0,1,1,0,-1,0,-2,0,0,-1,3,0,-1,3,0,5,-3,0,1,0,-1,0,-2,0,1,-1,0,0,-3,-2,2,0,1,1,1,1,-2,0,0,-1,-2,0,-2,2,1,1,1,-2,0,2,-1,-3,0,0,0,0,-3,0,-4,-2,2,1,-2,0,3,1,0,-1,-1,-5,0,0,1,3,-2,-2,1,2,0,1,-1,-1,0,0
0,1,86,78,69,58,55,48,43,38,33,28,26,26,21,23,20,176,150,141,116,108,100,92,88,80,70,62,57,47,40,34,30,24,21,18,15,14,11,11,9,9,4,6,6,5,5,4,6,4,5,7,3,2,2,2,2,0,2,-1,0,4,-1,6,1,1,1,0,0,1,0,1,1,1,-1,1,3,1,0,-1,1,3,4,0,4,0,-2,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,5,1,-1,2,3,0,0,0,-2,1,0,1,0,-3,1,0,2,-2,0,0,0,-1,-1,-1,-1,-1,2,0,-1,2,-1,0,0,-2,0,0,-2,-1,-3,3
0,0,3,2,5,4,4,5,3,4,6,142,132,116,103,91,81,70,66,56,54,52,38,35,30,29,28,27,24,18,16,13,13,14,11,13,10,8,5,6,2,6,5,2,0,4,3,4,1,5,2,0,0,0,2,0,0,-1,0,-1,-2,-2,-4,1,1,0,3,0,-2,1,2,-2,-1,0,2,0,1,0,0,-1,0,0,1,0,0,1,0,-2,-1,1,0,0,0,-1,-1,0,0,1,0,-1,0,1,-2,-1,0,0,-1,1,3,0,0,-4,4,0,-2,2,0,0,0,0,0,0,0,0,0,1,-1,0,47,45,45,41,38,33,23,24,20,20,14,13,12,9,7,7,7
0,0,45,42,35,25,24,21,18,17,11,11,9,8,8,6,8,7,6,7,7,7,4,1,3,4,2,2,2,-1,1,1,-1,1,1,1,0,1,3,1,1,1,0,0,1,-1,1,0,1,1,0,0,-2,0,2,0,2,-1,2,1,-1,0,1,0,4,0,2,0,1,0,-1,3,-1,-2,-2,0,0,-2,2,0,2,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,2,-1,0,0,2,0,0,0,-2,0,0,-1,0,0,1,3,1,-1,3,0,1,0,-1,-1,-2,0,0,0,0,2,1,-1,1,-1,0,-1,0,-2,0,-3,0,0,-1,4,-2,-1,0,1,0,2
0,-2,75,68,58,52,47,38,35,33,29,27,28,23,24,18,19,19,13,12,13,10,8,10,5,6,8,4,3,5,3,5,3,2,1,-1,1,0,0,1,2,-1,1,1,0,-1,-5,-1,0,-3,0,1,0,2,2,-2,0,2,-2,-3,1,3,-1,-1,0,1,2,-2,-1,0,0,2,-1,-2,1,1,-2,0,-1,-2,0,1,0,0,-1,-2,1,1,1,2,-1,2,0,-1,-1,-2,-4,-1,-1,-1,2,0,-3,0,1,0,-1,-1,0,2,-1,0,-1,-2,-2,5,-1,0,1,-1,-2,1,-1,-1,0,-2,-1,1,1,0,-1,0,-3,2,-2,1,1,-2,-1,-1,1,1,2,-2,-2
0,2,30,27,23,17,13,13,14,12,13,11,27,22,22,19,16,14,15,16,9,11,11,10,7,6,5,6,3,2,8,4,4,1,0,2,2,-1,1,0,-1,0,-1,-1,-2,0,-1,1,0,-3,0,0,-4,0,-2,1,-1,-2,3,1,0,0,1,0,3,-2,0,-2,1,0,0,1,0,1,-1,0,-1,4,0,1,2,0,-1,1,0,2,0,0,-1,2,0,-2,1,0,-2,0,-1,-1,-1,0,1,-2,3,2,1,-1,0,0,2,0,-2,0,-1,0,0,1,-3,0,0,1,1,1,-2,0,1,2,1,1,1,-1,0,0,-1,3,0,0,-2,1,1,0,-1,-2,0,-1,2
0,-1,161,139,124,110,93,90,79,71,66,55,52,48,42,36,32,30,31,24,21,23,14,16,14,12,10,10,9,8,6,6,7,-1,4,4,4,0,4,1,3,2,2,2,2,1,1,2,1,1,1,1,2,0,2,2,4,0,-1,3,0,0,2,3,-3,1,2,2,3,1,-1,-1,-2,1,0,3,1,1,0,2,-2,0,1,2,-1,1,1,1,2,4,1,1,2,1,-1,0,1,-2,-1,0,2,-2,3,-2,0,2,-1,-1,0,0,0,0,0,0,3,2,0,1,-3,0,0,2,1,-1,0,0,1,2,-1,-2,0,0,-1,-1,0,0,1,-1,-2,-1,-2,-1,3,1,0
0,1,37,28,23,23,19,17,13,14,14,11,10,10,10,10,7,8,6,7,4,2,4,5,4,3,3,7,4,3,3,-1,2,2,177,150,133,122,109,298,256,224,198,177,157,146,127,115,103,92,83,71,69,58,55,46,38,34,31,28,25,23,20,19,18,16,15,13,11,14,10,11,10,11,5,6,7,5,7,3,7,7,1,3,3,2,2,3,3,1,3,3,1,2,-1,-1,0,0,0,0,-1,1,-2,-3,-4,0,61,50,51,40,37,31,27,21,22,23,23,20,18,15,13,13,9,6,7,7,5,6,4,8,5,5,5,6,1,4,4,2,3,2,2,3,2,0,2
0,0,239,212,189,173,143,134,112,100,90,80,74,65,57,50,44,44,35,28,24,24,22,19,15,12,9,6,8,8,6,7,7,7,4,5,5,4,4,5,6,6,2,4,3,6,3,1,0,1,1,6,1,4,1,2,4,3,0,0,2,4,3,1,1,-1,0,0,-1,1,0,0,0,0,1,-1,1,0,-1,-1,0,-1,-3,2,0,0,0,-1,-1,1,1,2,2,-1,-3,-2,-2,0,0,0,-1,-1,-2,2,0,0,1,3,-1,-2,0,0,-3,1,0,3,0,1,0,0,0,-1,0,-1,-2,0,0,0,0,0,-1,-2,2,0,-2,-1,3,0,-2,-1,1,0,1,-2,-1
0,0,7,6,6,6,8,3,3,4,2,4,2,2,1,0,1,1,1,1,1,1,-1,2,0,0,1,0,1,2,1,-1,-1,-1,2,1,0,2,-3,0,-1,2,-1,0,-2,-2,0,0,0,2,-3,0,0,0,64,62,57,55,46,38,38,37,31,108,98,87,83,69,63,56,52,47,45,39,40,33,23,16,18,12,14,12,12,12,9,13,10,7,8,8,8,6,7,8,5,5,0,0,6,1,1,0,1,0,1,-2,1,1,-2,0,-2,0,0,-2,0,0,-4,0,2,0,0,2,-3,-1,0,-1,3,1,-1,1,0,0,0,0,3,0,-1,0,1,-1,2,1,1,0,1
0,0,103,99,85,78,75,67,57,49,44,39,36,32,29,31,24,21,20,16,16,13,13,12,12,11,12,9,8,6,7,7,3,2,3,1,2,2,4,2,5,2,3,-2,1,0,0,0,0,0,3,2,0,0,0,-3,-1,0,0,1,0,0,0,-1,0,1,-2,-2,-2,1,-3,0,3,0,0,-1,0,0,4,0,0,0,0,-1,3,0,1,1,0,-2,-1,0,-1,0,0,0,1,-3,3,-1,-1,0,-3,0,4,0,2,1,1,-2,1,4,0,1,3,0,0,-1,0,0,-3,0,-2,0,-1,0,-1,0,0,0,3,2,2,2,1,-1,0,2,-1,1,0,1,-1,1,1
0,-1,61,54,44,40,38,30,25,24,20,19,17,11,9,11,9,6,7,7,7,4,3,5,7,5,4,3,-1,5,3,3,0,2,5,2,2,-2,0,-1,0,1,2,0,0,-1,0,0,1,0,-1,0,0,-2,0,-3,2,0,0,-2,0,0,97,82,84,69,68,63,61,53,47,41,34,30,29,27,25,23,17,14,20,13,13,8,13,11,14,10,9,10,9,9,8,8,5,6,3,-1,3,3,4,2,0,4,0,1,-1,-1,-2,0,0,1,1,0,0,0,0,-1,-1,0,-1,0,-2,0,0,1,2,1,0,-3,2,0,0,0,4,0,1,2,0,1,1,-3,2,1,-2
0,-2,304,274,231,206,185,166,151,131,117,100,86,77,70,67,61,53,52,48,37,34,30,26,29,19,17,12,13,11,11,10,10,10,7,3,5,2,4,4,5,6,4,4,3,2,3,2,2,2,2,2,2,0,0,0,2,2,2,2,-1,0,2,3,2,0,3,0,2,1,1,2,38,36,35,30,26,19,17,17,16,16,11,9,8,6,4,1,1,2,6,1,3,2,1,0,2,1,1,1,0,1,-1,3,3,1,1,1,1,1,0,3,0,3,-2,0,1,0,1,2,-1,1,0,3,-2,4,2,0,0,1,-3,0,1,2,-1,-1,-1,-2,0,0,1,0,0,0,1
0,2,214,191,169,143,116,110,94,84,73,68,61,54,52,47,41,38,32,28,25,23,19,19,17,14,10,11,8,9,11,9,9,10,11,7,7,5,7,2,2,2,1,-1,0,1,-2,1,1,0,0,-2,0,0,0,-1,-4,0,0,0,-1,-4,0,3,0,0,0,0,-1,1,-1,1,0,4,2,0,0,-2,3,1,-1,0,-1,0,0,1,-1,1,1,0,0,0,4,2,-2,-1,1,3,1,-1,1,-1,-1,0,-1,-2,0,1,0,2,0,0,0,0,2,3,0,-2,5,0,2,-1,0,1,-2,1,3,-2,1,-1,0,1,2,0,19,18,16,13,12,10,10,9,8,11,7
0,-4,72,64,53,48,41,38,37,31,26,19,18,14,14,12,11,8,10,12,9,10,10,7,6,3,7,66,59,57,50,46,39,35,27,21,22,24,18,18,14,12,5,5,5,6,5,6,7,7,6,6,4,6,6,6,2,1,1,0,1,1,0,0,7,3,0,0,-1,3,1,1,1,1,1,-2,3,0,0,1,0,0,-2,0,1,-4,1,-2,4,-3,0,0,-1,-2,0,0,0,0,0,-2,0,0,262,225,197,173,151,132,117,107,94,83,105,97,88,86,71,63,52,51,47,39,37,30,28,22,21,20,18,19,17,16,12,9,10,7,28,28,21,19,17,15,12,11,9
0,0,38,33,35,30,27,27,20,16,13,10,8,6,6,7,5,4,3,3,2,3,-4,1,1,0,-1,-1,1,-1,-1,1,-3,0,0,-4,0,0,-2,0,3,2,1,-1,0,0,0,-2,2,1,-3,-2,2,0,3,-1,0,-2,0,1,-3,1,0,-1,64,61,54,51,44,36,35,34,34,30,28,19,19,14,15,17,13,21,17,15,13,11,11,9,7,11,6,8,9,49,41,39,33,24,24,20,19,16,14,11,10,10,7,7,6,7,5,3,3,1,1,4,5,2,2,0,0,-2,0,0,1,2,0,-4,1,1,2,0,0,0,0,0,-2,3,-1,0,0,-2,1,-3,-1
0,-1,5,4,2,3,0,-1,2,3,0,1,0,-1,-3,2,3,2,-1,-1,0,1,1,-1,0,2,0,1,1,-2,2,1,1,-1,3,2,3,1,-3,2,0,0,-1,0,0,-1,1,-2,-2,0,1,-2,-3,-1,0,-1,0,1,1,-3,0,0,1,-1,2,1,2,1,-2,1,0,1,-3,-2,0,0,-2,-2,2,0,-2,-1,0,1,-1,1,1,-3,1,2,0,0,-3,-2,0,-1,1,0,-1,0,-2,1,-1,2,3,0,0,0,0,0,-2,-1,0,2,-3,3,-1,1,2,0,2,-2,0,2,0,-1,2,-1,2,0,1,0,-1,-2,2,0,4,1,-2,-3,-2,0,-3,0,-3
0,0,73,63,58,50,47,35,39,35,32,29,24,18,15,106,98,88,75,65,56,55,52,47,46,39,37,34,31,30,23,20,18,16,19,16,14,16,11,11,8,5,7,10,5,6,3,4,5,6,3,3,3,1,1,1,0,1,-1,0,-1,0,0,0,1,3,0,-1,0,-1,-2,-1,0,0,0,0,1,2,1,-1,3,-2,0,2,1,0,-1,-1,1,1,-3,-3,0,3,2,1,1,-1,1,3,-1,-4,0,-1,0,2,1,-2,-1,-1,3,-1,2,0,-1,-1,0,2,-1,0,-2,-1,1,0,-2,0,0,0,0,0,0,0,1,0,1,0,-2,1,0,0,0,0,1,0,0
0,0,70,62,57,54,49,41,39,36,35,30,26,22,16,17,19,15,11,10,10,9,8,8,10,8,7,9,4,5,2,2,3,2,2,1,3,2,2,1,1,1,-1,-2,0,1,0,-2,0,-2,0,-4,0,2,-1,0,0,0,-3,0,-2,0,-1,0,1,1,0,3,-1,-1,-3,2,3,-1,0,-2,0,0,2,1,-1,0,108,95,80,75,64,63,54,51,44,41,39,34,37,27,26,22,19,20,13,12,18,18,14,15,12,8,4,12,8,9,3,6,5,2,1,6,2,2,2,6,2,2,2,4,2,2,2,3,2,3,2,1,5,3,-2,0,1,0,-2,2,0,-3,1
0,-1,44,39,38,32,32,26,24,20,22,17,18,13,13,8,12,10,8,8,5,3,7,5,3,1,2,1,4,2,1,1,3,0,2,5,8,1,1,1,20,15,12,11,10,7,9,11,7,5,5,5,2,4,8,3,2,3,1,1,2,1,0,1,1,1,1,0,-1,-1,-1,3,2,1,2,1,-2,1,0,-2,3,-1,1,0,3,3,-1,0,1,0,0,0,2,-2,0,0,1,1,20,19,17,16,19,14,12,9,9,8,9,7,8,5,5,8,5,2,2,4,5,3,1,3,5,4,1,2,1,2,2,2,1,2,1,1,3,1,3,1,0,1,-1,1,3,4,2
0,0,183,164,152,134,122,107,99,91,70,64,52,48,44,41,36,32,28,25,21,17,16,16,17,12,13,7,7,8,5,5,4,4,3,3,1,1,3,4,1,2,2,-2,2,2,3,2,-3,1,1,1,-3,2,0,2,-1,2,0,-1,0,2,-1,0,-4,0,0,2,-1,3,2,0,3,0,-2,0,-1,0,4,0,-1,1,0,1,0,122,111,99,87,74,66,59,49,43,40,34,30,26,23,20,18,15,15,13,7,6,7,8,4,6,5,6,5,4,4,3,6,1,1,2,1,0,-1,3,0,-1,2,-2,-2,-1,0,0,2,-1,1,-2,2,0,0,-2,0,0,0,1,1
0,0,366,325,292,254,216,196,178,151,141,127,114,101,92,80,70,61,55,46,39,35,32,28,25,18,18,17,13,13,12,11,9,10,12,9,7,69,66,57,46,45,45,44,38,31,29,29,23,21,18,14,15,11,13,6,7,7,5,6,7,4,35,33,27,20,20,17,15,8,11,9,12,9,7,7,3,5,4,3,4,3,2,4,3,2,4,1,1,1,2,1,433,394,351,309,278,252,229,213,189,170,152,139,129,114,106,96,78,76,70,62,53,48,41,38,32,28,24,19,23,16,14,12,13,13,12,10,11,10,9,8,7,4,3,6,6,5,5,4,1,0,1,2,2
0,0,51,44,41,37,30,34,29,22,16,16,14,14,13,15,12,9,10,11,7,6,8,8,6,1,1,4,2,2,4,6,4,2,4,4,5,0,2,4,2,2,2,2,1,1,2,2,1,0,2,2,0,1,2,0,0,1,-1,1,0,0,1,-1,0,0,0,0,0,0,0,-1,0,1,0,-1,0,0,0,0,-1,0,0,0,1,-1,-2,3,2,2,-3,0,0,2,1,0,3,2,-1,-1,-2,-4,0,4,1,0,1,1,-2,1,1,2,0,0,-2,0,0,1,-2,-1,1,2,190,176,155,139,120,108,98,89,79,72,63,58,53,49,42,37,31,27,28,22,28,24,22
0,2,31,128,166,151,140,125,109,99,88,71,63,55,49,42,40,36,32,29,29,21,25,24,21,22,19,14,14,11,7,7,8,6,5,6,7,4,3,4,3,3,3,3,2,0,2,1,4,1,1,1,1,2,1,3,0,3,1,2,0,-2,4,2,1,0,1,1,1,0,0,3,1,-1,0,0,-2,0,-2,0,-4,0,2,-1,-1,-1,1,0,3,2,0,0,-3,0,-1,0,1,-4,1,1,-1,-1,1,2,0,80,73,66,58,53,49,45,42,37,33,30,29,25,26,20,19,16,16,15,15,12,11,10,9,9,8,10,193,175,154,138,122,110,100,94,82,74,71,63,55
0,2,112,105,90,82,70,64,58,54,47,36,40,32,27,23,22,20,17,14,13,12,16,11,7,8,6,6,4,10,6,5,3,4,1,-2,-1,2,2,0,3,0,3,2,0,2,1,1,1,1,0,-3,1,2,-1,1,2,-1,0,0,0,-1,3,-3,0,1,0,-3,0,0,-2,0,-1,0,-1,0,-2,0,-1,0,2,2,-1,1,2,0,-2,1,4,1,2,0,17,15,16,12,13,9,8,8,8,7,7,5,7,3,3,1,3,0,1,3,-1,1,0,3,5,1,2,2,-1,0,1,0,-1,1,-3,0,-1,0,0,0,0,0,1,-1,-1,-1,-1,0,1,-1,2,0,0
0,0,3,3,-1,3,2,-1,1,1,-1,1,3,-1,1,2,-1,0,0,3,-2,0,-1,2,1,0,-2,-1,0,2,0,2,0,1,0,-1,1,0,-1,0,0,2,3,0,0,1,0,1,0,0,-1,-1,-2,2,-1,-1,2,0,1,1,0,0,0,0,2,0,1,3,1,-1,-2,0,0,0,-2,1,-2,-2,-2,-2,2,-2,-2,1,1,-1,-1,1,-4,0,2,2,1,0,0,-1,0,-1,-3,-1,0,-2,3,-2,0,0,1,-2,-1,0,0,1,1,-2,-1,0,0,-3,-1,0,-1,0,1,1,1,1,0,0,48,42,34,25,23,20,17,15,11,10,10,6,8,8,8,6,2
0,0,41,35,28,24,25,17,16,17,16,13,12,14,11,11,10,10,9,11,9,11,5,5,3,4,2,3,2,37,31,31,24,25,19,15,14,11,10,12,9,9,9,7,6,6,7,7,9,7,5,2,4,3,2,-1,1,1,2,0,-3,2,-4,2,0,2,0,-1,-1,0,1,0,2,0,-1,0,1,3,-2,2,0,-1,0,0,-1,1,0,0,-1,-3,2,0,3,0,2,0,-3,1,-1,1,4,2,0,0,0,1,1,0,1,4,2,1,-4,-3,0,-4,4,-1,0,0,1,0,0,-2,0,2,2,1,0,-2,0,-1,0,2,-2,1,-1,3,0,-4,-1,-1,0,1,0
0,0,336,304,272,251,227,204,175,162,149,125,113,97,93,86,72,67,59,56,47,42,38,34,28,30,23,19,21,18,16,15,14,12,12,11,12,9,9,7,6,9,10,6,5,7,8,6,10,6,4,2,3,1,1,-1,3,2,1,1,-1,0,-1,0,0,0,0,0,0,0,-5,0,0,-3,6,-1,0,2,0,-3,-1,-1,-2,0,1,0,0,0,0,0,0,-1,0,-1,3,0,1,0,-2,-2,-2,2,-2,0,-1,-1,3,0,0,0,0,0,1,1,0,-1,0,2,0,-2,46,44,37,33,30,26,26,24,17,19,17,11,12,11,11,9,8,9,3,5,6,5,1,3,200
0,-2,52,45,40,33,29,24,26,24,25,24,20,22,18,16,14,11,10,10,8,11,8,6,8,5,6,7,5,3,3,4,4,6,3,3,2,1,2,0,1,0,-3,0,0,2,1,0,0,-1,0,0,1,1,-2,0,2,-1,2,1,0,0,0,0,0,3,-1,0,-1,-2,-1,0,-1,2,1,0,1,-1,-2,3,0,1,3,-1,-1,-2,-3,1,2,1,2,1,2,-4,0,1,1,1,-1,0,2,1,2,0,1,-1,1,-1,-1,0,0,-2,-1,-1,0,0,2,0,0,-1,0,-1,2,-4,0,1,0,1,0,2,0,0,0,-1,0,0,-1,2,-1,0,-2,0,0,0,1
