sigma_u,sigma_b,rho,d,fano_m,expected_fano_m_approx,expected_fano_m_exact
20,0.001,200,0.1,9.37554664466471,11.0,10.949256280780807
10,0.001,100,0.1,10.787824822697365,11.0,10.899019998010099
10,0.001,200,0.1,16.829804900535635,21.0,20.798039996020197
20,0.01,200,0.1,12.145448389522967,11.0,10.940330680010566
10,0.01,100,0.1,11.806951180816661,11.0,10.881315519297715
1,0.001,100,0.1,76.68698021489358,101.0,91.73578555867385
10,0.01,200,0.1,22.097650940782913,21.0,20.76263103859543
1,0.001,200,0.1,161.56893121140757,201.0,182.4715711173477
20,0.1,200,0.1,10.928370072182139,11.0,10.851731441800895
