t_ac,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
3,1.1028707333339578,0.9178364220481208,2.507007970078421,5.0,0.2762444361877204,-0.08278378449474652,0.9502762430939227,14.0,0.011707988980716254,23.0,0.324559762477394,4.0,0.25,0.15384615384615374,0.18681318681318682,0.7030750086127036,10.0,1.8951310290433254,0.1951219512195122,0.14634146341463414,0.3681553890925781,0.8827089476510458
3,0.6007156224007366,-0.7025151800655133,1.865480392434483,5.0,0.18904436965291405,-0.04597601038829242,0.9723756906077348,10.0,0.003292181069958848,13.0,0.3033718592599726,2.0,0.5,-0.25274725274725274,0.14835164835164827,0.5099317645012448,9.0,1.8898249185717586,0.17073170731707318,0.7073170731707317,0.5645049299419531,1.0074339802633816
3,1.02297157128545,0.837204600520552,2.6343088346471655,13.0,0.25639830341314374,-0.0511290614146263,0.9171270718232044,16.0,0.002066115702479338,21.0,0.34732972207913765,7.0,0.25,0.18131868131868134,-0.5769230769230769,0.6868614703976197,8.0,1.9210942986162232,0.5121951219512195,0.24390243902439024,0.29452431127406253,0.8536201739722846
3,-0.09874296418860573,0.08934812992222518,2.5850972917742445,12.0,0.20797523328993817,-0.02873410140505835,0.9447513812154696,19.0,0.005866666666666668,16.0,0.3534287161025093,5.0,0.2857142857142857,-0.04395604395604391,0.2582417582417582,0.6824096681606376,9.0,1.8388109672632522,0.1951219512195122,0.6829268292682927,0.34361169648640627,0.8611934819786995
3,0.9415274696490554,1.1271280531098276,2.8625203547656137,14.0,0.22424202890256173,-0.09709068312931318,0.9226519337016574,19.0,0.012396694214876033,17.0,0.33102033375822454,7.0,0.25,-0.01098901098901095,0.19780219780219777,0.6905280767507698,10.0,1.9087420221968592,0.17073170731707318,0.7560975609756098,0.34361169648640627,0.834084576665263
3,0.8344078059661468,1.0191284035127992,3.6242891538026476,9.0,0.2513632160546705,-0.08184544579765625,0.9281767955801105,22.0,0.046296296296296294,19.0,0.3929790624191532,8.0,0.07407407407407407,0.0,0.5879120879120878,0.7679455186465113,8.0,1.7827280361845506,0.14634146341463414,0.7317073170731707,0.24543692606171874,0.765637406715106
3,0.5190380930964591,1.0750309742955337,2.3075224149482327,10.0,0.1773831452057834,-0.09507807949036665,0.9613259668508287,15.0,0.012962962962962963,29.0,0.31642806289448266,5.0,0.3333333333333333,-0.08241758241758246,0.03296703296703307,0.6379632586612769,6.0,1.9020092205010064,0.14634146341463414,0.8292682926829268,0.4172427743049219,0.9022218162974769
3,1.0202680994231041,1.1890202750453707,2.698312056985153,7.0,0.2611666146680251,-0.0012153128845008767,0.9447513812154696,20.0,0.0015432098765432107,20.0,0.3648929998202577,4.0,0.4,0.13461538461538458,-0.2802197802197802,0.7178874958293164,8.0,1.8546936242054408,0.14634146341463414,0.8536585365853658,0.34361169648640627,0.84505510595067
3,-1.2675001129585792,-0.7743056475795227,2.852886863548161,10.0,0.28471919037897275,0.017776298211246003,0.9060773480662984,19.0,0.01584022038567493,23.0,0.4135970094411799,7.0,0.25,-0.10439560439560436,0.16483516483516492,0.758863311828054,14.0,1.8388109672632527,0.2682926829268293,0.14634146341463414,0.29452431127406253,0.8185538161073721
3,0.8759817392325355,1.0723093156443175,2.8216532167533277,5.0,0.2850986035447356,-0.0972544621540557,0.9392265193370166,31.0,0.037037037037037035,7.0,0.3918883841179217,4.0,0.10526315789473684,0.0714285714285714,-0.2912087912087912,0.6797454573167457,10.0,1.8691192529374816,0.14634146341463414,0.8536585365853658,0.3190680038802344,0.8257436409682146
3,1.2460281902398356,0.3909689684349509,2.4023014456043406,6.0,0.24212873114669176,0.0058403828884556865,0.9558011049723757,16.0,0.014660493827160495,27.0,0.41028159573375156,4.0,0.4,-0.02197802197802201,-0.08791208791208793,0.6404758542939071,8.0,1.8263034995727399,0.1951219512195122,0.8048780487804879,0.4172427743049219,0.8923020965005751
3,1.2266856699460267,1.0633785059767034,3.2886688953256393,16.0,0.3426211046832348,-0.0046849208777001265,0.8729281767955801,21.0,0.026666666666666672,48.0,0.42512236647937207,10.0,0.16666666666666666,-0.02197802197802201,-0.15384615384615385,0.782444150888259,14.0,1.8031108190073684,0.14634146341463414,0.6829268292682927,0.24543692606171874,0.7675646777966144
3,-1.2136822741556812,-1.3824083313359332,3.2672304025198198,9.0,0.2876059865047196,0.04158256996270586,0.9281767955801105,24.0,0.01866666666666667,22.0,0.42438142682481134,5.0,0.2857142857142857,-0.21978021978021978,0.23076923076923084,0.805842239782907,10.0,1.8118036142630563,0.1951219512195122,0.8048780487804879,0.29452431127406253,0.7777596005211619
3,1.182504734494981,1.0190813446514668,2.8089672192547916,7.0,0.311383057044875,-0.015837271613539743,0.9392265193370166,15.0,0.003858024691358026,12.0,0.3715255224220938,4.0,0.4,-0.016483516483516536,0.35164835164835173,0.8202101856865942,10.0,1.815239574841864,0.14634146341463414,0.7317073170731707,0.44178646691109374,0.8230216868633667
3,0.5289559040462566,1.0703857243641173,2.313049646256804,9.0,0.16764687841736592,-0.07977313921513215,0.9392265193370166,19.0,0.006944444444444444,19.0,0.31974948783305523,8.0,0.14285714285714285,-0.03296703296703296,-0.39560439560439564,0.6542762604440774,6.0,1.8944014608243256,0.1951219512195122,0.8048780487804879,0.34361169648640627,0.9139535330752221
3,0.9033942619968605,1.06714434734402,3.1907079241345615,9.0,0.2920277470739745,-0.02517668203030016,0.8895027624309392,17.0,0.004266666666666667,20.0,0.41729756385542777,6.0,0.2857142857142857,-0.06043956043956045,0.08791208791208782,0.7908933384414331,9.0,1.806322061690909,0.17073170731707318,0.8536585365853658,0.3190680038802344,0.7719056807816167
3,1.2040226353760801,1.0397725381300973,3.4096626566724044,9.0,0.3183074835712324,-0.023303804902797487,0.9060773480662984,14.0,0.02026666666666667,26.0,0.42010266014680386,6.0,0.2857142857142857,-0.2912087912087912,0.44505494505494503,0.8093128895836127,12.0,1.802129025476626,0.14634146341463414,0.4634146341463415,0.29452431127406253,0.740206226722866
3,-1.1903177175135302,-1.347248838484127,2.760057561523,8.0,0.2952598018276188,0.015577326828461226,0.9337016574585635,17.0,0.0005144032921810702,12.0,0.4376184957684572,4.0,0.4,0.41758241758241765,-0.2857142857142857,0.7840785021146894,13.0,1.794175907867963,0.14634146341463414,0.14634146341463414,0.39269908169875,0.8322964375271171
