Parameter Sets,Stats,T_ac Ratio,Normal T_ac,Stress T_ac,SVM (rbf) Accuracy,SVM (linear) Accuracy,Random Forest Accuracy,Logistic Regression Accuracy,MLP Accuracy,Random Classifier Accuracy,Vanilla LSTM Accuracy,IY001A Accuracy,IY006C-Transformer Accuracy,Vanilla Transformer Accuracy,Full Transformer Accuracy
"[{'sigma_u': 0.9805787029716008, 'sigma_b': 0.01942129702839919, 'rho': 102.98001069773959, 'd': 0.020000053757485266, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 499.9986560664807, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0199999999999996,50,50.99999999999998,0.3875,0.5125,0.4625,0.4625,0.4875,0.45,0.4375,0.3625,0.4625,0.4875,0.5125
"[{'sigma_u': 0.9805787029716008, 'sigma_b': 0.01942129702839919, 'rho': 102.98001069773959, 'd': 0.020000053757485266, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 499.9986560664807, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0199999999999996,50,50.99999999999998,0.3875,0.5125,0.4625,0.4625,0.4875,0.45,0.4375,0.3625,0.4625,0.4875,0.5125
"[{'sigma_u': 0.9805787029716008, 'sigma_b': 0.01942129702839919, 'rho': 102.98001069773959, 'd': 0.020000053757485266, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 499.9986560664807, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0199999999999996,50,50.99999999999998,0.3875,0.5125,0.4625,0.4625,0.4875,0.45,0.4375,0.3625,0.4625,0.4875,0.5125
"[{'sigma_u': 0.9805787029716008, 'sigma_b': 0.01942129702839919, 'rho': 102.98001069773959, 'd': 0.020000053757485266, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 499.9986560664807, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0199999999999996,50,50.99999999999998,0.3875,0.5125,0.4625,0.4625,0.4875,0.45,0.4375,0.3625,0.4625,0.4875,0.5125
"[{'sigma_u': 0.9805787029716008, 'sigma_b': 0.01942129702839919, 'rho': 102.98001069773959, 'd': 0.020000053757485266, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 499.9986560664807, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0199999999999996,50,50.99999999999998,0.3875,0.5125,0.4625,0.4625,0.4875,0.45,0.4375,0.3625,0.4625,0.4875,0.5125
"[{'sigma_u': 0.9805787029716008, 'sigma_b': 0.01942129702839919, 'rho': 102.98001069773959, 'd': 0.020000053757485266, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 499.9986560664807, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0199999999999996,50,50.99999999999998,0.3875,0.5125,0.4625,0.4625,0.4875,0.45,0.4375,0.3625,0.4625,0.4875,0.5125
"[{'sigma_u': 0.9805787029716008, 'sigma_b': 0.01942129702839919, 'rho': 102.98001069773959, 'd': 0.020000053757485266, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 499.9986560664807, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0199999999999996,50,50.99999999999998,0.3875,0.5125,0.4625,0.4625,0.4875,0.45,0.4375,0.3625,0.4625,0.4875,0.5125
"[{'sigma_u': 0.9807636698575981, 'sigma_b': 0.01923633014240198, 'rho': 102.94059660987222, 'd': 0.019801993014433278, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 504.99967314962686, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0299999999999996,50,51.49999999999998,0.5,0.475,0.4375,0.5,0.4875,0.45,0.4375,0.4875,0.5375,0.625,0.5125
"[{'sigma_u': 0.9807636698575981, 'sigma_b': 0.01923633014240198, 'rho': 102.94059660987222, 'd': 0.019801993014433278, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 504.99967314962686, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0299999999999996,50,51.49999999999998,0.5,0.475,0.4375,0.5,0.4875,0.45,0.4375,0.4875,0.5375,0.625,0.5125
"[{'sigma_u': 0.9807636698575981, 'sigma_b': 0.01923633014240198, 'rho': 102.94059660987222, 'd': 0.019801993014433278, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 504.99967314962686, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0299999999999996,50,51.49999999999998,0.5,0.475,0.4375,0.5,0.4875,0.45,0.4375,0.4875,0.5375,0.625,0.5125
"[{'sigma_u': 0.9807636698575981, 'sigma_b': 0.01923633014240198, 'rho': 102.94059660987222, 'd': 0.019801993014433278, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 504.99967314962686, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0299999999999996,50,51.49999999999998,0.5,0.475,0.4375,0.5,0.4875,0.45,0.4375,0.4875,0.5375,0.625,0.5125
"[{'sigma_u': 0.9807636698575981, 'sigma_b': 0.01923633014240198, 'rho': 102.94059660987222, 'd': 0.019801993014433278, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 504.99967314962686, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0299999999999996,50,51.49999999999998,0.5,0.475,0.4375,0.5,0.4875,0.45,0.4375,0.4875,0.5375,0.625,0.5125
"[{'sigma_u': 0.9807636698575981, 'sigma_b': 0.01923633014240198, 'rho': 102.94059660987222, 'd': 0.019801993014433278, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 504.99967314962686, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0299999999999996,50,51.49999999999998,0.5,0.475,0.4375,0.5,0.4875,0.45,0.4375,0.4875,0.5375,0.625,0.5125
"[{'sigma_u': 0.9807636698575981, 'sigma_b': 0.01923633014240198, 'rho': 102.94059660987222, 'd': 0.019801993014433278, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 504.99967314962686, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0299999999999996,50,51.49999999999998,0.5,0.475,0.4375,0.5,0.4875,0.45,0.4375,0.4875,0.5375,0.625,0.5125
"[{'sigma_u': 0.9807636698575981, 'sigma_b': 0.01923633014240198, 'rho': 102.94059660987222, 'd': 0.019801993014433278, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 504.99967314962686, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0299999999999996,50,51.49999999999998,0.5,0.475,0.4375,0.5,0.4875,0.45,0.4375,0.4875,0.5375,0.625,0.5125
"[{'sigma_u': 0.9807636698575981, 'sigma_b': 0.01923633014240198, 'rho': 102.94059660987222, 'd': 0.019801993014433278, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 504.99967314962686, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0299999999999996,50,51.49999999999998,0.5,0.475,0.4375,0.5,0.4875,0.45,0.4375,0.4875,0.5375,0.625,0.5125
"[{'sigma_u': 0.9807636698575981, 'sigma_b': 0.01923633014240198, 'rho': 102.94059660987222, 'd': 0.019801993014433278, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 504.99967314962686, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0299999999999996,50,51.49999999999998,0.5,0.475,0.4375,0.5,0.4875,0.45,0.4375,0.4875,0.5375,0.625,0.5125
"[{'sigma_u': 0.9809451460354325, 'sigma_b': 0.019054853964567565, 'rho': 102.90195565808928, 'd': 0.019607817377332984, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 510.0006700164493, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0399999999999996,50,51.99999999999998,0.4875,0.525,0.5,0.525,0.55,0.45,0.4625,0.45,0.5375,0.475,0.5375
"[{'sigma_u': 0.9809451460354325, 'sigma_b': 0.019054853964567565, 'rho': 102.90195565808928, 'd': 0.019607817377332984, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 510.0006700164493, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0399999999999996,50,51.99999999999998,0.4875,0.525,0.5,0.525,0.55,0.45,0.4625,0.45,0.5375,0.475,0.5375
"[{'sigma_u': 0.9809451460354325, 'sigma_b': 0.019054853964567565, 'rho': 102.90195565808928, 'd': 0.019607817377332984, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 510.0006700164493, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0399999999999996,50,51.99999999999998,0.4875,0.525,0.5,0.525,0.55,0.45,0.4625,0.45,0.5375,0.475,0.5375
"[{'sigma_u': 0.9809451460354325, 'sigma_b': 0.019054853964567565, 'rho': 102.90195565808928, 'd': 0.019607817377332984, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 510.0006700164493, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0399999999999996,50,51.99999999999998,0.4875,0.525,0.5,0.525,0.55,0.45,0.4625,0.45,0.5375,0.475,0.5375
"[{'sigma_u': 0.9809451460354325, 'sigma_b': 0.019054853964567565, 'rho': 102.90195565808928, 'd': 0.019607817377332984, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 510.0006700164493, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0399999999999996,50,51.99999999999998,0.4875,0.525,0.5,0.525,0.55,0.45,0.4625,0.45,0.5375,0.475,0.5375
"[{'sigma_u': 0.9809451460354325, 'sigma_b': 0.019054853964567565, 'rho': 102.90195565808928, 'd': 0.019607817377332984, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 510.0006700164493, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0399999999999996,50,51.99999999999998,0.4875,0.525,0.5,0.525,0.55,0.45,0.4625,0.45,0.5375,0.475,0.5375
"[{'sigma_u': 0.9809451460354325, 'sigma_b': 0.019054853964567565, 'rho': 102.90195565808928, 'd': 0.019607817377332984, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 510.0006700164493, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0399999999999996,50,51.99999999999998,0.4875,0.525,0.5,0.525,0.55,0.45,0.4625,0.45,0.5375,0.475,0.5375
"[{'sigma_u': 0.9809451460354325, 'sigma_b': 0.019054853964567565, 'rho': 102.90195565808928, 'd': 0.019607817377332984, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 510.0006700164493, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0399999999999996,50,51.99999999999998,0.4875,0.525,0.5,0.525,0.55,0.45,0.4625,0.45,0.5375,0.475,0.5375
"[{'sigma_u': 0.9809451460354325, 'sigma_b': 0.019054853964567565, 'rho': 102.90195565808928, 'd': 0.019607817377332984, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 510.0006700164493, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0399999999999996,50,51.99999999999998,0.4875,0.525,0.5,0.525,0.55,0.45,0.4625,0.45,0.5375,0.475,0.5375
"[{'sigma_u': 0.9809451460354325, 'sigma_b': 0.019054853964567565, 'rho': 102.90195565808928, 'd': 0.019607817377332984, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 510.0006700164493, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0399999999999996,50,51.99999999999998,0.4875,0.525,0.5,0.525,0.55,0.45,0.4625,0.45,0.5375,0.475,0.5375
"[{'sigma_u': 0.9811232294177972, 'sigma_b': 0.018876770582202846, 'rho': 102.86406531041469, 'd': 0.019417413620174285, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 515.0016472641964, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0499999999999996,50,52.49999999999998,0.4875,0.5,0.575,0.4625,0.45,0.45,0.5375,0.575,0.5375,0.6,0.5375
"[{'sigma_u': 0.9811232294177972, 'sigma_b': 0.018876770582202846, 'rho': 102.86406531041469, 'd': 0.019417413620174285, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 515.0016472641964, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0499999999999996,50,52.49999999999998,0.4875,0.5,0.575,0.4625,0.45,0.45,0.5375,0.575,0.5375,0.6,0.5375
"[{'sigma_u': 0.9811232294177972, 'sigma_b': 0.018876770582202846, 'rho': 102.86406531041469, 'd': 0.019417413620174285, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 515.0016472641964, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0499999999999996,50,52.49999999999998,0.4875,0.5,0.575,0.4625,0.45,0.45,0.5375,0.575,0.5375,0.6,0.55
"[{'sigma_u': 0.9811232294177972, 'sigma_b': 0.018876770582202846, 'rho': 102.86406531041469, 'd': 0.019417413620174285, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 515.0016472641964, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0499999999999996,50,52.49999999999998,0.4875,0.5,0.575,0.4625,0.45,0.45,0.5375,0.575,0.5375,0.6,0.5375
"[{'sigma_u': 0.9811232294177972, 'sigma_b': 0.018876770582202846, 'rho': 102.86406531041469, 'd': 0.019417413620174285, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 515.0016472641964, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0499999999999996,50,52.49999999999998,0.4875,0.5,0.575,0.4625,0.45,0.45,0.5375,0.575,0.5375,0.6,0.5375
"[{'sigma_u': 0.9811232294177972, 'sigma_b': 0.018876770582202846, 'rho': 102.86406531041469, 'd': 0.019417413620174285, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 515.0016472641964, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0499999999999996,50,52.49999999999998,0.4875,0.5,0.575,0.4625,0.45,0.45,0.5375,0.575,0.5375,0.6,0.5375
"[{'sigma_u': 0.9811232294177972, 'sigma_b': 0.018876770582202846, 'rho': 102.86406531041469, 'd': 0.019417413620174285, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 515.0016472641964, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0499999999999996,50,52.49999999999998,0.4875,0.5,0.575,0.4625,0.45,0.45,0.5375,0.575,0.5375,0.6,0.5375
"[{'sigma_u': 0.9811232294177972, 'sigma_b': 0.018876770582202846, 'rho': 102.86406531041469, 'd': 0.019417413620174285, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 515.0016472641964, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0499999999999996,50,52.49999999999998,0.4875,0.5,0.575,0.4625,0.45,0.45,0.5375,0.575,0.5375,0.6,0.5375
"[{'sigma_u': 0.9811232294177972, 'sigma_b': 0.018876770582202846, 'rho': 102.86406531041469, 'd': 0.019417413620174285, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 515.0016472641964, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0499999999999996,50,52.49999999999998,0.4875,0.5,0.575,0.4625,0.45,0.45,0.5375,0.575,0.5375,0.6,0.5375
"[{'sigma_u': 0.9811232294177972, 'sigma_b': 0.018876770582202846, 'rho': 102.86406531041469, 'd': 0.019417413620174285, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 515.0016472641964, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0499999999999996,50,52.49999999999998,0.4875,0.5,0.575,0.4625,0.45,0.45,0.5375,0.575,0.5375,0.6,0.5375
"[{'sigma_u': 0.981298014288652, 'sigma_b': 0.018701985711348023, 'rho': 102.8269039021657, 'd': 0.019230672875204594, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 520.0026054675225, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0599999999999996,50,52.99999999999998,0.525,0.4125,0.4875,0.55,0.5375,0.45,0.4875,0.475,0.425,0.5125,0.5125
"[{'sigma_u': 0.981298014288652, 'sigma_b': 0.018701985711348023, 'rho': 102.8269039021657, 'd': 0.019230672875204594, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 520.0026054675225, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0599999999999996,50,52.99999999999998,0.525,0.4125,0.4875,0.55,0.5375,0.45,0.4875,0.475,0.425,0.5125,0.5125
"[{'sigma_u': 0.981298014288652, 'sigma_b': 0.018701985711348023, 'rho': 102.8269039021657, 'd': 0.019230672875204594, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 520.0026054675225, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0599999999999996,50,52.99999999999998,0.525,0.4125,0.4875,0.55,0.5375,0.45,0.4875,0.475,0.425,0.5125,0.5125
"[{'sigma_u': 0.981298014288652, 'sigma_b': 0.018701985711348023, 'rho': 102.8269039021657, 'd': 0.019230672875204594, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 520.0026054675225, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0599999999999996,50,52.99999999999998,0.525,0.4125,0.4875,0.55,0.5375,0.45,0.4875,0.475,0.425,0.5125,0.5125
"[{'sigma_u': 0.981298014288652, 'sigma_b': 0.018701985711348023, 'rho': 102.8269039021657, 'd': 0.019230672875204594, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 520.0026054675225, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0599999999999996,50,52.99999999999998,0.525,0.4125,0.4875,0.55,0.5375,0.45,0.4875,0.475,0.425,0.5125,0.5125
"[{'sigma_u': 0.981298014288652, 'sigma_b': 0.018701985711348023, 'rho': 102.8269039021657, 'd': 0.019230672875204594, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 520.0026054675225, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0599999999999996,50,52.99999999999998,0.525,0.4125,0.4875,0.55,0.5375,0.45,0.4875,0.475,0.425,0.5125,0.5125
"[{'sigma_u': 0.981298014288652, 'sigma_b': 0.018701985711348023, 'rho': 102.8269039021657, 'd': 0.019230672875204594, 'label': 0}, {'sigma_u': 0.9801978862328811, 'sigma_b': 0.019802113767118996, 'rho': 103.06125300750243, 'd': 0.02040830657036398, 'label': 1}]","{'Stressed Mean': nan, 'Stressed Variance': nan, 'Stressed Steady State Time': 520.0026054675225, 'Normal Mean': nan, 'Normal Variance': nan, 'Normal Steady State Time': 489.9965592697215}",1.0599999999999996,50,52.99999999999998,0.525,0.4125,0.4875,0.55,0.5375,0.45,0.4875,0.475,0.425,0.5125,0.5125
