architecture,hidden_size,num_layers,dropout_rate,learning_rate,batch_size,epochs,train_acc,val_acc,test_acc,test_acc_std,time
Vanilla LSTM,64,2,0.05,0.001,32,50,0.48203125,0.5,0.6449999999999999,0.0974935895328508,8.118483304977417
Vanilla LSTM,64,2,0.05,0.001,32,100,0.75390625,0.753125,0.6391249999999999,0.108234482144093,17.19281268119812
Vanilla LSTM,64,2,0.05,0.001,32,150,0.520703125,0.534375,0.6147500000000001,0.1146595504090261,6.496571779251099
Vanilla LSTM,64,2,0.05,0.001,64,50,0.715234375,0.7015625,0.635,0.0783681217077454,7.667714834213257
Vanilla LSTM,64,2,0.05,0.001,64,100,0.77578125,0.81875,0.6441250000000001,0.1158528835420163,16.735068321228027
Vanilla LSTM,64,2,0.05,0.001,64,150,0.5765625,0.5875,0.684375,0.0718228071367306,4.538305044174194
Vanilla LSTM,64,2,0.05,0.001,128,50,0.716015625,0.7265625,0.6821249999999999,0.0437965823438313,5.028930187225342
Vanilla LSTM,64,2,0.05,0.001,128,100,0.696484375,0.70625,0.70625,0.0464858849544676,6.50988507270813
Vanilla LSTM,64,2,0.05,0.001,128,150,0.663671875,0.6609375,0.677125,0.0533269690213122,4.216050863265991
Vanilla LSTM,64,2,0.05,0.0001,32,50,0.538671875,0.5375,0.52525,0.019723082923316,6.848665475845337
Vanilla LSTM,64,2,0.05,0.0001,32,100,0.57734375,0.571875,0.5596249999999999,0.0376208469468724,15.923818826675417
Vanilla LSTM,64,2,0.05,0.0001,32,150,0.53828125,0.5234375,0.558125,0.0454052929183371,6.848924875259399
Vanilla LSTM,64,2,0.05,0.0001,64,50,0.53515625,0.53125,0.5152500000000001,0.0075374067158406,6.104869604110718
Vanilla LSTM,64,2,0.05,0.0001,64,100,0.515234375,0.5125,0.5169999999999999,0.0066426651277932,3.3164730072021484
Vanilla LSTM,64,2,0.05,0.0001,64,150,0.51640625,0.5203125,0.512375,0.0104500299042634,3.4903228282928467
Vanilla LSTM,64,2,0.05,0.0001,128,50,0.52265625,0.51875,0.4995,0.0057608593109014,2.914662599563598
Vanilla LSTM,64,2,0.05,0.0001,128,100,0.5171875,0.5203125,0.506875,0.0086467118027606,1.7126505374908447
Vanilla LSTM,64,2,0.05,0.0001,128,150,0.528515625,0.521875,0.5018750000000001,0.0044458548109446,2.4067955017089844
Vanilla LSTM,64,2,0.05,0.0005,32,50,0.704296875,0.7,0.66875,0.079108311826255,16.20398497581482
Vanilla LSTM,64,2,0.05,0.0005,32,100,0.76953125,0.775,0.6755,0.1081538256373763,16.894774913787842
Vanilla LSTM,64,2,0.05,0.0005,32,150,0.845703125,0.8515625,0.6467499999999999,0.0982283691201274,27.25700163841248
Vanilla LSTM,64,2,0.05,0.0005,64,50,0.7109375,0.721875,0.6776249999999999,0.0530843962478617,8.874136209487915
Vanilla LSTM,64,2,0.05,0.0005,64,100,0.607421875,0.6234375,0.626,0.0559737661766653,6.068314075469971
Vanilla LSTM,64,2,0.05,0.0005,64,150,0.766015625,0.7796875,0.6535,0.0769187883419909,16.010162830352783
Vanilla LSTM,64,2,0.05,0.0005,128,50,0.6921875,0.6890625,0.62375,0.0607376530662817,5.09729528427124
